Total Atlantic Indian Pacific Arctic Southern
-1.369979509410750307e-01 5.811880772036177867e-02 -2.031825074848553903e-01 9.506916454130215008e-03 0.000000000000000000e+00 -1.441167630711677038e-03
-7.690523399580496966e-02 5.964522884242682427e-02 -1.423518918644485765e-01 4.573921186323654312e-03 0.000000000000000000e+00 1.227507839893133201e-03
-3.166588593699398019e-02 9.217322050561047031e-02 -1.242698232149122423e-01 8.438051537338979967e-04 0.000000000000000000e+00 -4.130883814261349118e-04
4.579700646451212789e-03 7.081602677593555606e-02 -6.793665614741936642e-02 1.761751836736897203e-03 0.000000000000000000e+00 -6.142181880188207072e-05
1.028947166201466257e-01 1.164492977963335618e-01 -1.886936407826822135e-02 3.831767131654591121e-03 0.000000000000000000e+00 1.483015770426677820e-03
1.235251435555140970e-01 9.562011877263197623e-02 9.133917685419951776e-03 6.515956569182536004e-03 0.000000000000000000e+00 1.225515052827963816e-02
8.968468396137857165e-03 4.513141242183874718e-02 -3.715563721659910501e-02 3.685128726193613244e-03 0.000000000000000000e+00 -2.692435535295390880e-03
2.630286190759243553e-02 9.191004799474930542e-02 -6.805622412106110408e-02 3.294457630458476425e-03 0.000000000000000000e+00 -8.454195965542480890e-04
-2.422484174885414579e-02 5.513356202969701275e-02 -8.541475856533137234e-02 5.193450328348337731e-03 0.000000000000000000e+00 8.629044584318795383e-04
-1.557409410554365554e-02 6.041762728183509151e-02 -8.179189511777668065e-02 2.095399364732137681e-03 0.000000000000000000e+00 3.704774365665801979e-03
-7.732682782676134070e-02 3.282300356320876772e-02 -1.164039514951393933e-01 3.340153762196376545e-03 0.000000000000000000e+00 2.913966342972904890e-03
-4.980259669836206021e-02 4.567159468530294919e-02 -1.022709961163317249e-01 1.898778145451210375e-03 0.000000000000000000e+00 4.898026587215499952e-03
-9.941195135439798158e-02 3.663422734837185751e-02 -1.450677570875381350e-01 3.524430584469694702e-03 0.000000000000000000e+00 5.497147800298582583e-03
2.794212509926439006e-02 1.107587594849576001e-01 -8.990782343836191404e-02 4.672673823281590921e-03 0.000000000000000000e+00 2.418515229387131239e-03
5.629264125292097326e-02 1.084704328560538583e-01 -6.499708342924276350e-02 5.852176219701872746e-03 2.334801786547411549e-05 6.943767588542501187e-03
4.130958528429311272e-02 1.235330478805419796e-01 -9.012546198800054642e-02 7.001699463098261245e-03 0.000000000000000000e+00 9.002999286534103763e-04
3.273388702557254726e-02 1.182571910089210976e-01 -8.548635883784627687e-02 3.175623479826888106e-03 0.000000000000000000e+00 -3.212568625329175007e-03
6.195842597405855356e-02 1.205066153967946085e-01 -6.435361523872124012e-02 3.175790809893696762e-03 0.000000000000000000e+00 2.629635006091490985e-03
