Total Atlantic Indian Pacific Arctic Southern Stratosphere None
7.082490174613998768e+00 3.660954452790713964e-01 4.825444384798500685e+00 -2.591443129143853330e-01 9.023724899152142653e-02 0.000000000000000000e+00 2.259620381507891351e-01 1.833895370308500361e+00
7.472002013209039895e+00 3.142850016993799511e-01 5.637407844281469238e+00 -3.761126016711446307e-01 -8.137696400982455391e-02 0.000000000000000000e+00 1.966985608585171685e-01 1.781100172050640751e+00
8.181525175018627749e+00 3.440415257824028239e-01 6.378210420391703828e+00 -3.376229563001904022e-01 -9.841776867341558988e-02 0.000000000000000000e+00 1.559592549418792329e-01 1.738522480110637591e+00
8.382168745319285463e+00 2.801819352721219847e-01 6.530606275864257348e+00 -3.305609841164346419e-01 -5.102862600834982137e-02 0.000000000000000000e+00 1.535691310978017921e-01 1.799401013209897648e+00
2.243179468911331398e+01 1.490216970058415136e+00 1.318717966365142935e+01 -1.281630066217377961e-01 7.758361836410788692e-01 0.000000000000000000e+00 4.741760800901103634e-01 6.632548798293998793e+00
2.372980553122450331e+01 1.623242476719639171e+00 1.353608326342760293e+01 2.243777311906981486e-01 6.648655189492150841e-01 0.000000000000000000e+00 4.614711762420879992e-01 7.219765364695274634e+00
2.470764516409633060e+01 1.435423631189098437e+00 1.506060421806438931e+01 1.366507623609370947e-01 4.603209757736270724e-01 0.000000000000000000e+00 5.155385619914618633e-01 7.099107014716858011e+00
2.476365914413902658e+01 1.481808941991695550e+00 1.583522697711202021e+01 1.723493202863648488e-01 3.061422772969168982e-01 0.000000000000000000e+00 4.519011749782232412e-01 6.516230452473767976e+00
2.403709600833731130e+01 1.490006760851745549e+00 1.533721344748535920e+01 2.359523708650582696e-01 2.429177448722609489e-01 3.982047073905936227e-04 3.907637513575113464e-01 6.339843728197989137e+00
2.293154523650684951e+01 1.293469896556215248e+00 1.474549420369483421e+01 1.175542192102162903e-01 4.113273752798124461e-02 1.354299840832761705e-02 3.814628138458207030e-01 6.338888367263458612e+00
3.097856596718306577e+01 1.896807639443469418e+00 1.792419499648752534e+01 7.008857791191429598e-01 3.161016321518998473e-01 4.723531251318474275e-03 6.614522678191117055e-01 9.474400120910599910e+00
3.434510015853165754e+01 1.862299610817543805e+00 2.016419377507384780e+01 1.166230294026945336e+00 3.252205403663918637e-01 3.672710305318611576e-03 6.911769410142715175e-01 1.013230628692733148e+01
4.195038959090405228e+01 2.018789980894499791e+00 2.592810569415367183e+01 1.922360351743390483e+00 2.298426859671108824e-01 2.053117519532748989e-03 6.568911192912553210e-01 1.119234664133462154e+01
5.857152882575834951e+01 2.962844138841770558e+00 3.819536493679142808e+01 2.310731204554721252e+00 1.671956765367982600e-01 1.537342395599337495e-03 8.100115698301059153e-01 1.412384395680780180e+01
7.030389016098827426e+01 3.360486137685497976e+00 4.655626208520708786e+01 3.273984058580317491e+00 1.484646796160375148e-01 3.267694998235115035e-03 7.080569707171090466e-01 1.625336853418392025e+01
7.777914320809848903e+01 3.772666203237565963e+00 5.196593190839436005e+01 3.254630565777719031e+00 4.317204382318191591e-01 0.000000000000000000e+00 7.288971455344132044e-01 1.762529694692253912e+01
8.272049014119684784e+01 4.177212725146612016e+00 5.464596175175358894e+01 3.775436591663996477e+00 4.734141471575017968e-01 6.457939366002023174e-03 4.877260887658288468e-01 1.915428089734322015e+01
9.153120409796970591e+01 4.525590379436065014e+00 6.263124082356916489e+01 3.194999590739374451e+00 5.082866757490343002e-01 7.002644208176256324e-03 4.857343353209102044e-01 2.017834964894680994e+01
1.036681763637202920e+02 4.375751580821670927e+00 7.404048848308165987e+01 2.522784812064874149e+00 5.367500363288155718e-01 0.000000000000000000e+00 5.649169483282450166e-01 2.162748450309499404e+01
1.075848455141292135e+02 4.495315218621908748e+00 7.731849953838674594e+01 1.680809590501339157e+00 6.068280346981773654e-01 0.000000000000000000e+00 3.700177588371266757e-01 2.311337537308386558e+01
1.050337311619258998e+02 5.110319350069627120e+00 7.640353412857906790e+01 4.832283254393451855e-01 4.257047083410065991e-01 1.441298675854841855e-03 2.674192290978604225e-01 2.234208412172307234e+01
