Total Atlantic Indian Pacific Arctic Southern
-2.524489706224605778e-01 -2.521181775091003718e-01 5.295089216029876499e-04 8.172695427032757032e-03 0.000000000000000000e+00 -9.032997461995951119e-03
-2.189502034879121650e-01 -2.462151094266411822e-01 3.217050518284038894e-03 4.066738246162838674e-03 0.000000000000000000e+00 1.998111717428215084e-02
-4.544661205783961239e-02 -1.188278900738458793e-01 -1.085236985075217634e-03 1.533343210550076885e-02 0.000000000000000000e+00 5.913308289558072417e-02
-2.031175113088916628e-01 -2.329728507946161598e-01 1.046806413209892720e-05 -2.903528609388222013e-03 0.000000000000000000e+00 3.280271182298694077e-02
-2.210540557196839506e-01 -2.981681015788829603e-01 1.876183378966923615e-04 3.293003914051258478e-04 0.000000000000000000e+00 7.659712712989720507e-02
-1.138774593082908237e-01 -1.677512300100497122e-01 2.938754341918549970e-05 7.490684025114229330e-03 0.000000000000000000e+00 4.635369913322548441e-02
-1.385249606837447856e-01 -2.355197527841855487e-01 1.990524549978960403e-04 1.657450290307032476e-02 0.000000000000000000e+00 8.022123674237253976e-02
-1.170441707594527259e-01 -2.312018254059501898e-01 -1.032214669783174934e-03 1.975932063963927246e-02 0.000000000000000000e+00 9.543054867664135799e-02
-2.074385780047000305e-01 -2.715712066840875738e-01 2.558938862952112731e-03 3.638720416513851856e-03 0.000000000000000000e+00 5.793496939992145989e-02
-2.150326590036586993e-01 -3.211453797147020284e-01 -1.817744392352570832e-03 -5.895179295781706377e-04 0.000000000000000000e+00 1.085199830329740406e-01
-1.054172949740625059e-01 -1.790522653264128017e-01 -3.313273036929369219e-04 6.854310532884823684e-03 0.000000000000000000e+00 6.711198712315841197e-02
1.802564432491751689e-02 -1.637937778481060314e-01 4.747131784130727609e-04 2.535683042243709780e-03 0.000000000000000000e+00 1.788090259523666958e-01
-2.522048126331556950e-01 -2.934861522573192216e-01 4.182577435098415344e-04 5.841128289701773973e-03 0.000000000000000000e+00 3.502195359095184451e-02
-2.587411498014422495e-01 -2.940897749172116105e-01 -1.911465426546265318e-03 4.987754428308173275e-03 0.000000000000000000e+00 3.227233611400740637e-02
