Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-3.744670279400213464e-01 -4.475140305863226642e-01 1.542741169683496455e-03 6.724454894311006695e-03 0.000000000000000000e+00 1.103636535855843231e-01 7.959635071216073073e-07 -4.571776844403602214e-02
-4.737670255452834378e-01 -5.936779190510386162e-01 3.217050518284038894e-03 1.101583352870107516e-02 0.000000000000000000e+00 1.175872857572244912e-01 1.685487290605574880e-07 -1.148073441681479734e-02
-2.335452748523908495e-01 -3.900397707822255144e-01 2.398810360268566308e-04 2.983063848507956292e-02 0.000000000000000000e+00 1.362259302967699093e-01 0.000000000000000000e+00 -9.801953888041725627e-03
-3.427768431491988732e-01 -4.190942263171968385e-01 -5.750779280914127163e-03 7.196529247049544137e-04 0.000000000000000000e+00 1.242153541480411211e-01 -2.080405525948015896e-07 -4.281232479127502349e-02
-2.219359863833597624e-01 -4.241914984832921287e-01 -3.552368855560770426e-03 -5.257555264366648926e-03 0.000000000000000000e+00 1.899437971847099949e-01 2.415657957082169681e-06 2.111922337719260995e-02
-2.002725210799630173e-01 -3.420132307136444783e-01 1.188357268764680426e-04 1.358267687696391307e-02 0.000000000000000000e+00 1.372193197829608968e-01 -8.289279774998158438e-08 -9.180039860322121784e-03
-3.594896028770698804e-01 -5.478233675521081425e-01 6.230421187268632768e-04 3.517912683462801754e-02 0.000000000000000000e+00 1.392239413886427191e-01 -1.730314023445133941e-06 1.330938464706407122e-02
-3.454594055030051902e-01 -5.532677722926965247e-01 -1.524124812054978781e-03 2.759937266475806852e-02 0.000000000000000000e+00 1.889417685106828670e-01 0.000000000000000000e+00 -7.208649573694676099e-03
-4.264936408268958368e-01 -5.137310809871981077e-01 -1.982278811351952282e-03 1.791466896546233109e-03 0.000000000000000000e+00 1.055698812315476603e-01 3.556218655010105581e-07 -1.814198477830527081e-02
-2.968279847549760153e-01 -4.385253213318131560e-01 -1.773931300614542232e-03 -1.242085924783134163e-02 0.000000000000000000e+00 1.830001274324525584e-01 5.038528832220492521e-06 -2.711303883600173215e-02
-2.360774460857973100e-01 -3.950539806244792729e-01 -2.003855672245992078e-03 -1.489287502929802567e-03 0.000000000000000000e+00 1.550051624159645702e-01 0.000000000000000000e+00 7.464515297893138668e-03
-2.750526817218913456e-01 -5.561241110105088481e-01 6.302679204493213646e-04 4.285470712635841388e-03 0.000000000000000000e+00 2.581551602783507260e-01 -1.223783033937988327e-05 1.801276820752109598e-02
-4.899529095387034627e-01 -6.710674506383951243e-01 1.001480973907363731e-03 5.447681511115189947e-05 0.000000000000000000e+00 1.642314568505628680e-01 -5.275204778269260004e-06 1.581876969660751461e-02
-4.255366453564086160e-01 -5.665732591132885965e-01 -1.923372497961294827e-03 -1.167019347307187739e-02 0.000000000000000000e+00 1.689959760383763221e-01 1.928212673839978792e-07 -1.436598913173051974e-02
-2.926397655221437133e-01 -5.968113084027182325e-01 -4.482648305748901559e-03 1.431265440894859998e-02 0.000000000000000000e+00 2.632252188830294659e-01 -1.897592828718292914e-06 3.111821548717402797e-02
-4.582221270401960478e-01 -6.509338899280677770e-01 -8.548067498784918492e-05 1.635781966160130760e-02 0.000000000000000000e+00 1.739836372243667439e-01 5.822286172903448262e-06 2.449964390718579240e-03
-2.821819182258655245e-01 -4.761184159220962497e-01 7.526562950618040761e-04 2.058133012246635835e-02 0.000000000000000000e+00 1.638172185482126564e-01 0.000000000000000000e+00 9.281138221594216475e-03
-2.653013140368873923e-01 -3.500342600242597468e-01 1.426519117856491934e-04 -4.807891480722218877e-03 0.000000000000000000e+00 1.116399133347884265e-01 -1.046284442430640804e-06 -2.224068149403697278e-02
-2.856350219440109695e-01 -3.891958013848421660e-01 2.418292587457994630e-04 -2.674038014136236995e-03 0.000000000000000000e+00 9.981349546707010689e-02 0.000000000000000000e+00 6.179492729151504771e-03
-2.409195356825485357e-01 -3.624059575749054019e-01 -1.747758707972025879e-05 -9.448958874078364082e-04 0.000000000000000000e+00 1.268336123355506551e-01 1.032811792483312007e-06 -4.385849780498708023e-03
-1.961103743893913287e-01 -3.248545331295039085e-01 2.521058586504400017e-04 1.719455578769987390e-03 0.000000000000000000e+00 1.169404927191114996e-01 0.000000000000000000e+00 9.832104583580660723e-03
-3.527061760304824323e-01 -4.418175215115922594e-01 2.288650442740106875e-03 1.272603064355776322e-03 0.000000000000000000e+00 6.939650141101015579e-02 0.000000000000000000e+00 1.615359056300391324e-02
-4.697166886785003603e-01 -5.895200426337963151e-01 3.708995347929435350e-03 8.871643351172764716e-03 0.000000000000000000e+00 1.180668244107229425e-01 6.079272979063905136e-06 -1.085018842750825468e-02
-5.601922151737974698e-01 -6.714177738489913727e-01 4.099813345108988157e-04 1.382606983072382986e-02 0.000000000000000000e+00 1.599481315547956195e-01 1.220938134676841033e-06 -6.295984498297102494e-02
-6.361547557486365578e-01 -7.460189760159042782e-01 -6.990999104585785690e-03 4.094694526114136049e-03 0.000000000000000000e+00 1.726593799491748238e-01 -1.837334719156511381e-06 -5.989701776871634437e-02
-5.426654253244495019e-01 -5.798588324426372509e-01 -3.018262150702177501e-02 5.722365680394573238e-04 0.000000000000000000e+00 1.318375840464434123e-01 -3.824695770720930597e-06 -6.502996729350270233e-02
-1.729785123221525556e-01 -4.577501280263789329e-01 -1.124180993545983477e-02 1.026878183801016066e-02 0.000000000000000000e+00 2.414258193822631515e-01 -2.906206715684473054e-06 4.432173062612859704e-02
-1.886518438872275549e-01 -4.363000612173084103e-01 7.001187825625737778e-03 3.048341934194796071e-02 0.000000000000000000e+00 2.203972464264129516e-01 -5.796543558802287518e-07 -1.023305660954997726e-02
-8.729326361748748764e-02 -3.876553631973113090e-01 2.347303532725729218e-03 1.250553059820954868e-02 0.000000000000000000e+00 3.011895598368606319e-01 -2.273918706536332620e-06 -1.567802046926547455e-02
-3.784715133716180513e-01 -6.490254540256027438e-01 -2.007447787020984285e-03 2.888360146038617890e-02 0.000000000000000000e+00 2.592601811505255149e-01 -1.547278014389010328e-06 -1.558084689189158031e-02
-2.443819599820633848e-01 -4.894248182982151585e-01 -3.399424811900616925e-05 1.480141224140746684e-02 0.000000000000000000e+00 2.404866593772817251e-01 -1.838464950125488959e-06 -1.020938058946822477e-02
-2.469823428055785697e-01 -3.590882165889135447e-01 -5.549967261784767092e-04 -2.519341834730106852e-02 0.000000000000000000e+00 1.332779282260517506e-01 0.000000000000000000e+00 4.576360630762776015e-03
