Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-4.016577173688879121e+00 -3.202065479402055992e+00 -1.694036886534147981e-02 8.171193483344435515e-02 0.000000000000000000e+00 1.384909780229123699e+00 -5.358779084926057219e-04 -2.263657162575552384e+00
-4.479815504936623505e+00 -3.881034672483194115e+00 -4.456300112099298438e-03 -2.227526439511951211e-03 0.000000000000000000e+00 1.369884523843619695e+00 -8.590646102687123954e-04 -1.961122465135172854e+00
-4.003091389092038099e+00 -3.817426061730191389e+00 -2.522805039455660019e-03 1.123534060175254284e-01 0.000000000000000000e+00 1.285890038002285740e+00 -7.674747522312925325e-04 -1.580618491589969921e+00
-1.150538800615174218e+01 -1.050623742823935558e+01 -1.384787994238891561e-02 -2.597378870536070083e-01 0.000000000000000000e+00 9.635525482193507685e-01 -6.020175121350782347e-05 -1.689057157384513230e+00
1.800762542840179226e+00 -6.817571359423856281e-01 1.376267325729495575e-02 1.009196935204254242e+00 0.000000000000000000e+00 1.695219053307071289e-01 1.187474317895657059e-03 1.289390944841630748e+00
2.698968050657022388e+00 -8.971951391155267297e-01 1.807562271764167824e-02 1.244861844938446538e+00 0.000000000000000000e+00 7.022833992231690692e-01 1.688182159483217471e-04 1.630773504677345942e+00
1.523275802708958238e-01 -3.200502891192987587e+00 3.664066851843204159e-02 9.467685482525026730e-01 0.000000000000000000e+00 9.547129642502798497e-01 8.392065083041539775e-04 1.419096316181708728e+00
3.501692476426603751e+00 -2.458808890759927479e+00 5.122929123303267968e-02 1.739265548677141560e+00 0.000000000000000000e+00 1.186114262354026394e+00 9.590185210261550127e-04 2.982933246401302085e+00
5.884776130300356733e+00 -8.423160591741952752e-01 3.273604108645176980e-02 1.698567472667126710e+00 0.000000000000000000e+00 1.572136314021483461e+00 1.239105591935957392e-03 3.422413256107562418e+00
8.343678175288610888e+00 1.512463351155027558e-01 6.001889464859627016e-02 2.031996166049452324e+00 0.000000000000000000e+00 1.548578191489677458e+00 1.717092548711790989e-03 4.550121495436668440e+00
1.032915999691833697e+01 1.193445703518077439e+00 4.324499539180927388e-02 2.000573082129461167e+00 0.000000000000000000e+00 1.900104058912347904e+00 1.227031166334717873e-03 5.190878282093196461e+00
1.195641823027807327e+01 1.821118526213707955e+00 2.276157083892907385e-02 2.327698542705609608e+00 0.000000000000000000e+00 2.023390136066609113e+00 4.597274977331423517e-05 5.761403481703448293e+00
1.271401419490758400e+01 1.750185764871184713e+00 7.383302335400789007e-02 2.391889055189799773e+00 0.000000000000000000e+00 1.767610264938835885e+00 2.650893896055971262e-03 6.707796408189609316e+00
1.434012140760306231e+01 1.665287343223758709e+00 7.512118520194906168e-02 2.826646779307513402e+00 0.000000000000000000e+00 2.065760599299676148e+00 4.564276059121675361e-03 7.702741224511039597e+00
1.316818778048260796e+01 5.804787550717224187e-01 4.940850785942304396e-02 3.031072243752577222e+00 0.000000000000000000e+00 1.606561746660499113e+00 9.833278836370376585e-04 7.899683199254777577e+00
1.206022444468862176e+01 -1.083050265157278202e+00 9.805757450757800198e-02 3.054048839962621997e+00 0.000000000000000000e+00 1.477276626758315059e+00 7.509292069325204958e-04 8.513140739410467006e+00
5.288701677823534730e+00 -5.860295780458728565e+00 8.918819592410531794e-02 3.219997483981789976e+00 0.000000000000000000e+00 1.067174304718753464e-01 1.199248594554067635e-03 7.732940887990145562e+00
-5.447838255419232212e+01 -3.124550397024309234e+01 -9.156000675919195864e-02 -4.492488554157241687e+00 0.000000000000000000e+00 -2.876061074580150034e+00 -2.533693927355134688e-04 -1.577251557905987944e+01
-7.547967136302986546e+01 -5.733365907104381165e+01 -5.071057189693051886e-02 -2.985801985694813254e+00 0.000000000000000000e+00 1.083564663869162503e+00 -7.617650752355008487e-04 -1.619230263318826957e+01
-1.054259104862047707e+02 -9.113057042866179813e+01 -9.060764318403080608e-02 -2.574963974602479055e+00 0.000000000000000000e+00 5.453031129079643158e+00 0.000000000000000000e+00 -1.708279956883604456e+01
-1.363620058846382506e+02 -1.214358486223419646e+02 -2.105026525987295158e-02 -4.446259580074831241e+00 0.000000000000000000e+00 9.547275446579760683e+00 -2.676183649125551001e-03 -2.000344667989234537e+01
-1.561955620953798132e+02 -1.426313667993884167e+02 -3.373218610117010435e-02 -4.928664503680081133e+00 0.000000000000000000e+00 1.140930591318573484e+01 -1.361560045878939944e-05 -2.001109090379542721e+01
-1.584351235191938940e+02 -1.448016308269620254e+02 1.754973449537585578e-02 -2.878465094592095319e+00 0.000000000000000000e+00 9.866489817860275124e+00 -1.320697259297014880e-05 -2.063905394302288698e+01
-1.505500109221923992e+02 -1.395191901591349790e+02 -1.511891220332417865e-02 -2.458690968329940496e+00 0.000000000000000000e+00 1.058795042184692470e+01 -4.316548728046385380e-05 -1.914491813888387028e+01
-1.086090073631269632e+02 -9.675160713111367272e+01 -4.170665915649339472e-02 -2.261796318406839035e+00 0.000000000000000000e+00 8.380922317067696525e+00 -4.345575226094656011e-06 -1.793481522594231592e+01
-9.716970265555416120e+01 -8.896933487668519547e+01 -3.336622797722014339e-02 -1.981494894900928339e+00 0.000000000000000000e+00 7.949907155733875186e+00 -3.461985508485631690e-05 -1.413537919186958725e+01
-8.481696391765129306e+01 -7.960857441906802023e+01 -3.316777764429463399e-02 -2.195633091640764700e+00 0.000000000000000000e+00 8.823349803167419125e+00 -5.774748843421747738e-05 -1.180288068497717546e+01
-7.009435918686499178e+01 -6.902745203636240490e+01 -2.259348968070983010e-02 -1.299588998464567657e+00 0.000000000000000000e+00 9.072071905015661741e+00 -1.762846023711677520e-04 -8.816620282770617933e+00
-5.288365074818847944e+01 -5.538070201320086028e+01 -7.876569849226704167e-02 -9.430830105644089079e-02 -1.037610682325896400e-02 8.569262941551324175e+00 -2.794441324276507928e-03 -5.885967128842716001e+00
-3.590380182655902530e+01 -3.997375958765842796e+01 1.314051514944899156e-02 -4.730843477114349271e-01 0.000000000000000000e+00 7.951010531434151929e+00 1.227499340508759649e-04 -3.421231687706762781e+00
-2.316118463684790640e+01 -2.858077056215092782e+01 1.250229287416304569e-02 3.869398878968154099e-02 0.000000000000000000e+00 6.860318364809140590e+00 -1.740269074129128200e-03 -1.490188452095809524e+00
-5.452061431415900472e+01 -5.229452686497938885e+01 8.943629462235246422e-03 -4.503771153382036818e-01 0.000000000000000000e+00 4.189580108024832938e+00 -5.640805182477722315e-05 -5.974177663276720729e+00
-5.447148819177402146e+01 -5.303410183821740276e+01 2.062599840170074167e-02 1.272802055524514253e-01 0.000000000000000000e+00 5.011037917862870117e+00 -2.630097347206563802e-05 -6.596304174400206222e+00
-5.315953838801276277e+01 -5.146383163524787108e+01 1.021247115079920546e-02 -1.306280281751469596e-01 0.000000000000000000e+00 4.324251063626228131e+00 3.065398716759577466e-05 -5.899572913353947179e+00
-4.955341962518749455e+01 -4.900899224971582413e+01 1.252579348511870597e-02 -6.730451356607407287e-02 0.000000000000000000e+00 4.864435167184865350e+00 1.336379829467706712e-04 -5.354217460558618136e+00
-4.436914729465926399e+01 -4.300426432205620841e+01 3.107560918427999461e-02 1.454068507766188290e-01 0.000000000000000000e+00 3.203980451293987119e+00 1.873724785885463984e-05 -4.745364621105772507e+00
-3.924968705693575544e+01 -3.745183091700926070e+01 1.180643971507969701e-02 -1.853634741281208476e-01 0.000000000000000000e+00 2.328586183286695643e+00 -1.538816507067710174e-04 -3.952731407149416398e+00
-3.398766155071195527e+01 -2.712759230875368033e+01 -1.940825594496156312e-02 -5.272824100127894154e-01 0.000000000000000000e+00 -1.096177948013526748e+00 3.033664431185772677e-04 -5.217503994430077618e+00
-2.980987772009127923e+01 -2.440636598421976444e+01 1.822187741856538465e-02 -7.587161022203202654e-01 0.000000000000000000e+00 -1.122571523899315693e+00 -9.139195398958607818e-04 -3.525301021187567052e+00
-2.472875363298478391e+01 -2.132267377362061467e+01 -3.810758646941586614e-02 -9.737868571739670409e-02 0.000000000000000000e+00 -4.583091824494092137e-01 5.581628858357656618e-05 -2.812340221016564890e+00
-1.848764451748036208e+01 -1.777487199573648624e+01 5.784357192937211040e-02 5.410985637620038258e-01 0.000000000000000000e+00 -3.625074300450432663e-01 -4.570387387534398209e-04 -9.487501886514589922e-01
-1.169287470790923322e+01 -1.320276056674039111e+01 -4.828834960565736058e-03 2.698832976140652096e-01 0.000000000000000000e+00 -3.211632093482648109e-01 3.483246013458545756e-04 1.565646280924548606e+00
-3.590837606987435748e+01 -3.343310618835715076e+01 -2.417651573359723763e-02 -9.679485082015859207e-03 0.000000000000000000e+00 2.483244351632984515e+00 -6.278103963850910048e-04 -4.924030421938111246e+00
-2.884180255783282121e+01 -2.947083071968514645e+01 1.130272965942488023e-02 -2.077189344389528403e-01 0.000000000000000000e+00 3.243585268093939433e+00 -2.082983148320842210e-04 -2.417932603147262771e+00
-2.620739665585193734e+01 -2.727020187657205952e+01 -1.987076035265358115e-02 1.731300970848617671e-02 0.000000000000000000e+00 3.594945229326736325e+00 -6.435457757371776247e-05 -2.529517903384879585e+00
-2.329641643494100833e+01 -2.662293918259701542e+01 -1.241064964964254738e-02 3.016866933996678601e-02 0.000000000000000000e+00 4.092057768084065295e+00 -9.805768094004200987e-04 -7.823124633090462465e-01
-1.998108170025745522e+01 -2.417222905739087224e+01 1.616586933463533271e-02 2.664399523614248699e-01 0.000000000000000000e+00 4.885397189487494352e+00 5.618944867019009875e-05 -9.769118434988002253e-01
-1.611700860869093432e+01 -1.991514655704422410e+01 -1.405876276301222180e-02 1.927961589005774412e-01 0.000000000000000000e+00 4.123564923608340926e+00 3.286949524695635276e-05 -5.041972408878646617e-01
-1.130023451157529557e+01 -1.663764359124085246e+01 -4.906822952362093621e-03 4.729917641800781003e-01 0.000000000000000000e+00 3.977225536800572669e+00 0.000000000000000000e+00 8.920986016372548510e-01
-5.987704023801733832e+00 -1.200989141563065132e+01 3.769220224447955570e-02 6.743120675333617031e-01 0.000000000000000000e+00 3.182802060730601568e+00 0.000000000000000000e+00 2.127381061320475109e+00
5.825486735021778717e-01 -6.673916246279420150e+00 2.389828887154882633e-02 7.080335643315983640e-01 0.000000000000000000e+00 2.630703767739603904e+00 -2.359047254040707111e-04 3.895039484492205606e+00
-3.432909336154850166e+01 -3.156653638334034895e+01 -3.290808010234098219e-02 -4.442724033415489382e-01 0.000000000000000000e+00 7.902688463892750814e-01 7.316789163311978065e-04 -3.084943608032250317e+00
-2.823603981331481094e+01 -2.837628026127523029e+01 -1.997376066706698164e-02 -1.398667645849134278e-01 0.000000000000000000e+00 1.759451054367126455e+00 4.405630815104503837e-05 -1.459414137462898386e+00
-2.217403175175510555e+01 -2.481947643833653316e+01 3.422942998945437826e-02 1.957332683788184646e-01 0.000000000000000000e+00 3.295186193657301921e+00 2.735046040906001768e-04 -8.799777100482241154e-01
-1.447185700671771436e+01 -2.048874306825879188e+01 2.665197115062657718e-02 3.659100269124099247e-01 0.000000000000000000e+00 3.886673962818458339e+00 2.274736136790638571e-03 1.735375364522799391e+00
-5.960973653658558469e+00 -1.559417102826087032e+01 6.816367448373322757e-02 1.087523187886888953e+00 0.000000000000000000e+00 5.031102633229901144e+00 1.624033658324677094e-03 3.444783845343490913e+00
1.892780981819045971e+00 -1.062867783201301641e+01 1.060639370772335360e-01 1.398375506433759075e+00 0.000000000000000000e+00 6.267208654976468729e+00 9.737105926972622544e-06 4.749800978238655880e+00
7.784721400618482612e+00 -7.961352077702407826e+00 8.135226728776800975e-02 1.948180372731132648e+00 0.000000000000000000e+00 7.173811387841196208e+00 7.455050207721149701e-04 6.541983945440009052e+00
1.321823540051705770e+01 -6.804342927537773811e+00 6.050244612557831997e-02 2.466022727300022588e+00 0.000000000000000000e+00 8.452344395511090624e+00 1.177822554238294826e-03 9.036814762942295687e+00
-2.665401547476943378e+01 -2.821651273346655131e+01 3.273593474045197182e-02 4.675424406220023421e-01 0.000000000000000000e+00 1.322455981693167137e+00 2.961847324693748758e-04 -2.643795282403956226e-01
-2.290370220119848810e+01 -2.397708088113747138e+01 4.181688011216323775e-02 6.556772029714175165e-01 0.000000000000000000e+00 7.181555268124399927e-01 1.678709348550152963e-05 -3.422877170505161382e-01
-2.096115719823699663e+01 -2.284798596682728089e+01 3.120291916997963363e-02 5.804170720507940695e-01 0.000000000000000000e+00 8.322935241728376399e-01 8.272008524992224138e-05 4.428325331114236207e-01
-2.254132653942176390e+01 -2.444288557162313680e+01 1.511366376580680626e-02 6.247885584857337804e-01 0.000000000000000000e+00 1.125063888737183326e+00 3.817427645443757442e-04 1.362111784481175036e-01
4.361479831256499295e+01 2.590274258415960773e+01 9.408499268905505530e-02 1.541951633758632978e+00 0.000000000000000000e+00 6.613324584590196231e+00 -1.075311647346635841e-04 9.462802048532237720e+00
4.598981099012793550e+01 2.595965466053107562e+01 4.826913522174944293e-02 1.707038314867945550e+00 0.000000000000000000e+00 8.005252472312808010e+00 -4.706369981096011657e-05 1.026964347089418972e+01
5.045260930133869692e+01 2.884824698285357769e+01 8.659439038094754459e-02 1.724560084104585833e+00 0.000000000000000000e+00 8.595510536098943888e+00 1.166726847566232350e-03 1.119653058105297916e+01
5.689315884614045160e+01 3.201479667384174377e+01 6.219441105272315723e-02 2.119775748207608057e+00 0.000000000000000000e+00 9.932757910978050830e+00 9.449402393395737836e-04 1.276268916182104896e+01
6.245826722111758755e+01 3.460929318015082146e+01 1.214069873342546180e-01 2.136737129169576033e+00 0.000000000000000000e+00 1.163823009635231465e+01 1.852877495951691831e-04 1.395841866250148655e+01
6.471322264632902943e+01 3.277544066173088311e+01 -1.483304312870515305e-02 2.292570891294008373e+00 0.000000000000000000e+00 1.409016630890246091e+01 4.698709064797093855e-06 1.556829361026133896e+01
6.421993779240989397e+01 3.105012362454116825e+01 4.648005859958872360e-02 2.289014758555776297e+00 0.000000000000000000e+00 1.555239299633492145e+01 1.203271347041574981e-04 1.528180602724375703e+01
6.518113195575247687e+01 2.918645729042323822e+01 1.518763769680595566e-01 2.607318683240702928e+00 0.000000000000000000e+00 1.598049872955784600e+01 2.964381638857453575e-04 1.725468443739873337e+01
6.860092508451492677e+01 3.357133085404451123e+01 2.535409849703667076e-02 2.506475293259216919e+00 0.000000000000000000e+00 1.585666636334914514e+01 1.407876714739267191e-04 1.664095768769349704e+01
