Total Atlantic Indian Pacific Arctic Southern
-1.348619235619802303e+01 -8.808860654600756845e+00 -3.395798393725722342e+00 -5.484683697657358747e-01 0.000000000000000000e+00 -7.330649381057993130e-01
-1.314241180749472448e+01 -8.244477002384057229e+00 -3.958616342313485692e+00 -5.615444816508152748e-01 0.000000000000000000e+00 -3.777739811463678987e-01
-1.322165898130511685e+01 -8.044186472453317194e+00 -4.591603832316811129e+00 -4.788405710083760702e-01 0.000000000000000000e+00 -1.077129540409540870e-01
-1.373358555606600717e+01 -8.078054997803112869e+00 -4.835570516384192885e+00 -5.819563325365615380e-01 0.000000000000000000e+00 -2.375079475204448787e-01
-1.291691292683328207e+01 -6.663189513000544295e+00 -5.574568072445064359e+00 -4.431989695983161170e-01 0.000000000000000000e+00 -2.359563717893402301e-01
-1.313249828622339876e+01 -7.465911167281662486e+00 -5.089239834193016954e+00 -4.790062529364890742e-01 0.000000000000000000e+00 -9.834103181222728085e-02
-1.294177960666200811e+01 -6.852112625111487887e+00 -5.975295280900122741e+00 -4.687502177594174424e-01 0.000000000000000000e+00 3.543785171090158004e-01
-1.306042434381406458e+01 -7.095371140503289986e+00 -6.648543567929031006e+00 -3.196799347155876991e-01 0.000000000000000000e+00 1.003170299333836057e+00
-1.433796257993888013e+01 -7.338480997481110712e+00 -7.647756052990573039e+00 -3.199451399490530479e-01 0.000000000000000000e+00 9.682196104818521221e-01
-1.576019702295475255e+01 -6.851017492479987148e+00 -9.529555521932033813e+00 -2.158005410689246839e-01 0.000000000000000000e+00 8.361765325261737436e-01
-1.668342716900827938e+01 -6.518647199458378338e+00 -1.076571499697593559e+01 -2.482115095296053842e-01 0.000000000000000000e+00 8.491465369556394638e-01
-1.462631150272815006e+01 -5.982680365180019777e+00 -9.855463869695148205e+00 -3.128586116448862642e-01 0.000000000000000000e+00 1.524691343791899412e+00
-1.661796681229379047e+01 -6.299736936152932287e+00 -1.237171287961021804e+01 -4.852516847913265763e-02 0.000000000000000000e+00 2.102008171948464010e+00
-1.647418463018529167e+01 -5.418789525285198749e+00 -1.302958281243618721e+01 -1.099283724633324522e-01 0.000000000000000000e+00 2.095584313412105271e+00
-1.772059546042170552e+01 -5.824261561654073382e+00 -1.397089108919876566e+01 -1.084996655324652753e-01 0.000000000000000000e+00 2.183056855963604548e+00
-1.713504196934687585e+01 -5.047057980963206347e+00 -1.426710220779075655e+01 1.723432532551511312e-02 0.000000000000000000e+00 2.162724911741845002e+00
-1.808312593209455699e+01 -4.388578970031821846e+00 -1.514329844759366495e+01 -1.647591361733056758e-01 5.317309711085037305e-04 1.612978890733141490e+00
-1.770239359321931616e+01 -4.941437300965816348e+00 -1.511703508409005892e+01 1.409614149136453887e-01 0.000000000000000000e+00 2.215117376922915771e+00
-1.771895158367959056e+01 -3.312498887077757193e+00 -1.622912028660297779e+01 -1.647135661496604009e-01 0.000000000000000000e+00 1.987381156150801909e+00
-1.651442666450995134e+01 -3.198116369093257916e+00 -1.518944413176414443e+01 -8.558088052881548946e-02 0.000000000000000000e+00 1.957384631307907963e+00
-1.509018530105398881e+01 -2.750972780259956618e+00 -1.450208964561698899e+01 -7.620231469090234244e-02 0.000000000000000000e+00 2.239079439513868675e+00
-1.446721032119558714e+01 -2.335399978051934333e+00 -1.422165827580114694e+01 -1.232169615911733324e-01 0.000000000000000000e+00 2.213064894248657932e+00
-1.494388644108254738e+01 -2.205596695061188051e+00 -1.507455803940707462e+01 -9.241223290490524489e-02 0.000000000000000000e+00 2.428680526290632358e+00
-1.561477109641298711e+01 -1.546613509973793654e+00 -1.648530157154212716e+01 -3.870116097736570754e-02 0.000000000000000000e+00 2.432739874659657353e+00
