Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-2.242041471193498836e-01 -1.128830022046797919e-03 -2.764396995906848176e-01 -5.825332789903938518e-02 0.000000000000000000e+00 1.311689245040580376e-01 -1.724120833098120310e-06 -1.954948999080382416e-02
2.763722623971173187e-01 2.503428067282824701e-02 -1.057725832831560159e-01 6.262575609055257009e-02 0.000000000000000000e+00 2.418731068863137490e-01 -3.676228736015418863e-07 5.261206965345237990e-02
2.207025527889296471e-02 1.167954230503843787e-03 -1.662878691479603710e-01 7.136618460462491875e-02 0.000000000000000000e+00 1.007558916562889401e-01 -4.252882176236336706e-06 1.507234681761181368e-02
9.372507851410973034e-02 1.651060591712803782e-02 -2.946789963487209119e-01 1.549314598421174805e-01 0.000000000000000000e+00 1.824253004844665627e-01 -1.523073268787033251e-06 3.453823169238734447e-02
-3.469547338764964461e-01 1.575306129749520431e-02 -5.491927343211638890e-01 1.027326495441814452e-01 0.000000000000000000e+00 1.253225193263551862e-01 -8.589579878730745440e-06 -4.156164014348577573e-02
2.741508386002033948e-02 4.147175232472080642e-02 -3.657007076377177257e-01 1.183320763943460918e-01 0.000000000000000000e+00 2.507049021795143551e-01 -2.687406891766821891e-06 -1.739025199395147561e-02
-1.781161207854339013e-01 9.266653998233238820e-02 -3.604358181849726672e-01 -6.267538222428825634e-02 0.000000000000000000e+00 1.837012023099234836e-01 -6.119568996066359534e-07 -3.137205071152918134e-02
-3.544224938959304738e-02 9.922938370663522689e-02 -2.849195189727685706e-01 -8.890209952683858496e-02 0.000000000000000000e+00 2.812516342359727695e-01 -6.970202177774578961e-07 -4.210095181237610146e-02
-2.561667925270372237e-01 5.706781701353012826e-02 -3.817998977551121942e-01 -1.089897869866586211e-01 0.000000000000000000e+00 2.197592409231582111e-01 -6.397668781835086505e-07 -4.220352595507645410e-02
7.236999559287964935e-03 3.814927396340564436e-02 -2.733975659101948730e-01 -7.514324132803792966e-02 0.000000000000000000e+00 3.556330093781084334e-01 1.034088323347893023e-06 -3.800551063231661503e-02
-3.705917135439669718e-01 -2.985244589082799646e-02 -2.968593631611284867e-01 -6.006217096528038840e-02 0.000000000000000000e+00 1.020393512363069050e-01 -8.617121365677713966e-07 -8.585622305090041817e-02
-2.224933356070358803e-01 -3.941230545415034398e-02 -3.224639204980643825e-01 8.591990636581997923e-03 0.000000000000000000e+00 1.784500840345884520e-01 -1.422896729969312168e-06 -4.765776142926164000e-02
-4.200261434611252120e-01 -1.072583090286492562e-02 -4.180354844584580065e-01 -9.451601182171373572e-02 0.000000000000000000e+00 1.566914654598408341e-01 -2.824127558650229811e-08 -5.344025349665377372e-02
2.591879279001878256e-02 3.419354602807331972e-02 -2.677885193740047742e-01 2.992700670936681434e-02 0.000000000000000000e+00 2.283951306234973111e-01 -9.923808722323568119e-06 1.201552611808449867e-03
-2.722967897379164892e-01 1.863670444497629586e-02 -3.498065146151607130e-01 -7.865176204520757386e-02 0.000000000000000000e+00 1.287140502138141296e-01 -7.319661858361408533e-06 8.778802588531002191e-03
9.714799392927739308e-02 -3.425797953870122342e-02 -2.437375288764583037e-01 9.778812982673799892e-02 0.000000000000000000e+00 2.753165880126181575e-01 -5.540849344434990399e-07 2.039338590015193301e-03
-2.405292134526351711e-01 -3.239756643557067245e-02 -2.717127248798183459e-01 -2.088952610356544642e-02 0.000000000000000000e+00 1.187774143221038692e-01 2.564489490662359078e-07 -3.366820977266364590e-02
-1.370097870104331483e-01 9.665052664546380096e-03 -3.065536232731660982e-01 -1.696777342220696233e-02 0.000000000000000000e+00 1.919460666717548170e-01 1.785194786716823453e-05 -1.511736159922839537e-02
-5.764503362900109673e-01 5.499270430573739710e-02 -8.278140598438316067e-01 -2.905308234689264052e-02 0.000000000000000000e+00 2.482636589643678060e-01 -2.295970564399486221e-06 -2.283726139882743394e-02
-3.881237434859786672e-01 8.484615932015621143e-02 -8.443067344194720159e-01 5.450918930126887052e-02 0.000000000000000000e+00 3.378661017081812101e-01 -3.502436264191677588e-06 -2.103495695984872182e-02
-6.967572500290892812e-01 -2.429549583240868393e-02 -8.193158354664781262e-01 -8.242071843013829002e-02 0.000000000000000000e+00 2.561705517153775591e-01 -1.920421893154381044e-06 -2.689383159354856445e-02
-2.719729939179456046e-01 -2.682790261558798406e-02 -5.441130934401667840e-01 4.896093203626614154e-02 0.000000000000000000e+00 2.762584590255208750e-01 -4.916636615810442833e-06 -2.624647228736193966e-02
-3.402790121409198648e-02 -2.161726370908077094e-02 -1.634478232886431570e-01 -1.181718558142030168e-02 0.000000000000000000e+00 1.706917911892014139e-01 -5.140321795831464178e-07 -7.836905791969620005e-03
2.865582210424957310e-01 -6.018569418240502650e-03 1.772360248149245894e-03 7.677115897731043304e-02 0.000000000000000000e+00 2.099210607071959889e-01 0.000000000000000000e+00 4.112210528080584293e-03
-1.508599386316481286e-02 -1.052301307317060272e-02 -7.372098120514872233e-02 -1.670832113303944225e-02 0.000000000000000000e+00 7.662822337883475055e-02 0.000000000000000000e+00 9.238098169359203887e-03
1.872259511602877291e-01 9.247278034171082031e-03 -1.380396040088867071e-01 5.513784746973978551e-02 0.000000000000000000e+00 2.202180738683212069e-01 -4.158803158347974175e-07 4.066277167725816655e-02
