Total Atlantic Indian Pacific Arctic Southern
-2.259706323904436265e-01 -1.289481475998368524e-04 8.329636182660363902e-03 -3.278937079576982327e-01 0.000000000000000000e+00 9.372238753219401530e-02
-1.673915424712814903e-01 4.568585540423226359e-04 1.037207346273560579e-02 -2.243097349361164172e-01 0.000000000000000000e+00 4.608926044805699423e-02
-9.289232515567290294e-02 -1.366135523476877823e-03 1.717184009863020845e-03 -1.549267854508934450e-01 0.000000000000000000e+00 6.168341180883440272e-02
-1.056402274059004692e-01 1.874156579850764495e-03 4.409568885138479840e-05 -1.849564834078909759e-01 0.000000000000000000e+00 7.739800373328836747e-02
-6.133433185767264706e-02 9.784578639027495355e-04 2.092919891469319097e-04 -1.162093991961614531e-01 0.000000000000000000e+00 5.368731748543910387e-02
-5.725654224974911777e-02 5.564985269268758273e-04 3.696190401165231048e-03 -1.050816239586990775e-01 0.000000000000000000e+00 4.346954458488157258e-02
-9.069327880378424966e-02 3.159355093443964781e-03 4.813280293349961152e-03 -1.264080138887220817e-01 0.000000000000000000e+00 2.774209969814389262e-02
-1.206279741075453049e-01 1.380272705846717109e-03 4.049975146801609860e-03 -1.586790977232296895e-01 0.000000000000000000e+00 3.262087576303605158e-02
-5.239997431945674078e-02 9.375359759540364407e-03 1.173568749675299450e-02 -1.261546892051327307e-01 0.000000000000000000e+00 5.264366762938262750e-02
5.889460066198915281e-03 9.069458566302082345e-03 1.455487316574976923e-02 -8.428449152542225042e-02 0.000000000000000000e+00 6.654961985956929504e-02
4.250311179620052532e-02 5.244647296586961438e-03 1.777971380822578398e-02 -7.779103656714821124e-02 0.000000000000000000e+00 9.726978725853600849e-02
-5.041526277496173776e-03 1.083456535588581821e-02 1.589152464767483453e-02 -8.175669371654809003e-02 0.000000000000000000e+00 4.998907743549123317e-02
3.569477785442857175e-03 1.416423310896441608e-03 2.422556625778523112e-02 -5.756049558924922205e-02 0.000000000000000000e+00 3.548798380601039804e-02
-1.137436989213175542e-01 -1.117603113056372341e-04 1.629753551858846919e-02 -1.902206290980437420e-01 0.000000000000000000e+00 6.029115496944333769e-02
-1.161336448569465218e-01 -5.730154784513694132e-04 2.877769395925632370e-02 -2.136195667062837089e-01 0.000000000000000000e+00 6.928124336853223875e-02
-1.519796894973442225e-01 3.727374462832155482e-05 1.646646127066666784e-02 -2.147591093684818875e-01 0.000000000000000000e+00 4.627568485584258873e-02
-1.120841376090808000e-01 -7.347551393038174181e-04 1.911758776224602163e-02 -1.994892122094925335e-01 0.000000000000000000e+00 6.902224197746953394e-02
-7.311153784365383157e-02 4.831330136426095247e-03 2.419942814822305735e-02 -1.970493152166425121e-01 0.000000000000000000e+00 9.490701908833951150e-02
-6.559898481449130681e-02 3.626951705024260113e-03 5.343102996329045055e-03 -1.841259451896526400e-01 0.000000000000000000e+00 1.095569056738080749e-01
-2.561591591123750233e-01 1.118494366932198253e-02 2.027661236415007756e-02 -3.045680972660582131e-01 0.000000000000000000e+00 1.694738212021116783e-02
-3.131969557526966819e-01 9.617441513019598168e-03 -4.478698641313123840e-03 -3.157468578428316297e-01 0.000000000000000000e+00 -2.588840781571634039e-03
-3.176016671829626770e-01 5.720112277029759662e-03 4.161864408976946421e-03 -4.025909982598367964e-01 0.000000000000000000e+00 7.510735439086747844e-02
-3.323260389575585227e-01 -2.779335845316453085e-03 2.415667949492036892e-03 -4.313655816980676572e-01 0.000000000000000000e+00 9.940321063633360266e-02
-2.782722187859549279e-01 1.479347446362098105e-03 -2.223012230269315673e-03 -3.851655615539491540e-01 0.000000000000000000e+00 1.076370075519014619e-01
-2.743743176435781694e-01 -3.954082246464809755e-03 6.186497947429673780e-03 -4.333613843629247619e-01 0.000000000000000000e+00 1.567546510183816799e-01
-1.900665227194499318e-01 1.002236302321034842e-03 2.183277100938911877e-02 -4.233088782789871662e-01 0.000000000000000000e+00 2.104073482478270307e-01
-2.173610995342265262e-01 -2.739539628012628916e-03 3.686456308060831900e-03 -3.453594999808299870e-01 0.000000000000000000e+00 1.270514837665552565e-01
-2.962830742634059988e-01 8.666033737121101640e-04 -8.958426813943897978e-04 -4.427711274597109781e-01 0.000000000000000000e+00 1.465172925039873175e-01
-4.078552327049558279e-01 2.435836871268699853e-04 -1.737404238151434672e-03 -4.616942283837746630e-01 0.000000000000000000e+00 5.533281622984338732e-02
-3.239088399934416662e-01 8.571125686405438749e-04 3.507284803553285379e-03 -3.855414820195094405e-01 0.000000000000000000e+00 5.726824465387388846e-02
-3.396707063091137790e-01 3.513424671650975956e-03 7.012582998166847631e-03 -4.750982081897543452e-01 0.000000000000000000e+00 1.249014942108227638e-01
-1.334617716459833014e-01 9.448991457639619026e-04 2.222906227195342100e-04 -2.735218202797397580e-01 0.000000000000000000e+00 1.388928588652728890e-01
-1.770622360503475157e-01 -1.991048855670892685e-03 5.658794308476306108e-03 -3.300812626612508183e-01 0.000000000000000000e+00 1.493512811580979538e-01
-1.992810795218223074e-01 8.249477830561917488e-04 8.395628811393109417e-03 -3.096482714028097605e-01 0.000000000000000000e+00 1.015929103436246511e-01
-1.316806211207300070e-01 -1.155028747435182758e-03 3.033411610290761250e-03 -1.996831438423718741e-01 0.000000000000000000e+00 6.612413985878624889e-02
-1.141292024409358979e-01 1.344212408174533246e-03 5.963676113913331245e-03 -1.286466986579871408e-01 0.000000000000000000e+00 7.209607694963392210e-03
-8.306986264998418579e-02 -6.719227348058945740e-03 -7.557324389419863356e-04 -1.140768772459548053e-01 0.000000000000000000e+00 3.848197438297153855e-02
-1.251953345865842449e-01 -2.406517591393889533e-03 1.423146800597112523e-02 -1.587536177349644639e-01 0.000000000000000000e+00 2.173333273380298122e-02
-3.704596046624691885e-02 -2.837925242883272345e-03 3.586668908212583412e-02 -1.308225322015169612e-01 0.000000000000000000e+00 6.074780789602751002e-02
-6.800626123443757887e-02 7.015229069659151273e-04 4.878910868844167636e-02 -1.915250490188916965e-01 0.000000000000000000e+00 7.402815618904649841e-02
-9.368667876320081744e-02 -1.775797510937199850e-03 3.522397488057021908e-02 -1.994634895222892335e-01 0.000000000000000000e+00 7.232863338945537401e-02
-1.606821219006980273e-01 7.277329682655873586e-03 3.005390163363471853e-02 -3.120925300671429370e-01 0.000000000000000000e+00 1.140791768501543124e-01
-2.367646130062865117e-01 -3.123144329227621301e-03 3.308696354725261524e-02 -4.065584451735184679e-01 0.000000000000000000e+00 1.398300129492068833e-01
-1.366859647813623013e-01 7.931480864640669205e-05 -1.646546248389413672e-02 -2.331173839188451502e-01 0.000000000000000000e+00 1.128175668127306130e-01
-1.812799571298146506e-01 -1.932897468919004798e-03 -1.142892435595196585e-03 -2.167323264693773732e-01 0.000000000000000000e+00 3.852815924407691078e-02
-1.972962636087553789e-01 3.077853425946738570e-03 2.281939614261976217e-04 -3.317614345926210295e-01 0.000000000000000000e+00 1.311591235964927327e-01
-1.536081091371150620e-01 -9.165889042851981276e-05 -1.917450316446217551e-03 -2.765204978976969485e-01 0.000000000000000000e+00 1.249214979674566350e-01
-1.600452837945617046e-01 3.939497321677220588e-03 -1.601866339410100903e-03 -2.912037403719515694e-01 0.000000000000000000e+00 1.288208255951227565e-01
-1.144636269638540094e-01 4.592465139845316536e-04 2.863752964994786127e-03 -2.316946230107554128e-01 0.000000000000000000e+00 1.139079965679220541e-01
-2.044969441571873048e-01 1.805405229217172693e-04 1.192444803619478050e-02 -2.886218551943697808e-01 0.000000000000000000e+00 7.201992247806590641e-02
-1.798966038453962413e-01 -8.908615305275633485e-05 9.711477100763260843e-05 -2.847918528388447834e-01 0.000000000000000000e+00 1.048872203754936255e-01
-1.424166654589414660e-01 -9.379092723677523837e-04 5.979346093005848649e-03 -2.318751073194672552e-01 0.000000000000000000e+00 8.446140265028592720e-02
-1.797758767131571178e-01 -4.217042939511516817e-04 8.404643293533586162e-03 -2.930018954667021891e-01 0.000000000000000000e+00 1.052430797539627289e-01
-1.031283748461489513e-01 1.910915950488463553e-03 -2.150570746631385276e-03 -2.136554515752083772e-01 0.000000000000000000e+00 1.107667315252023332e-01
-1.345271516887366070e-01 -2.774761450529733466e-04 1.568203205729506305e-02 -2.428297312347642845e-01 0.000000000000000000e+00 9.298613420679205377e-02
-1.039221729527111705e-02 -1.326227068062541144e-04 2.431674185393835341e-02 -1.691007912294539284e-01 0.000000000000000000e+00 1.345244547870506624e-01
-1.962650749229624958e-01 -9.221115771835774978e-04 5.222492743610440170e-03 -2.921397049885987585e-01 0.000000000000000000e+00 9.157424889920945388e-02
-2.736764557894107441e-01 1.430359912652197493e-03 2.002367948405307969e-03 -3.496934420557780143e-01 0.000000000000000000e+00 7.258425840530985385e-02
-3.605167906853110060e-01 8.218859547155110299e-04 -1.730653382693131404e-02 -3.758686202135890775e-01 0.000000000000000000e+00 3.183647740049398017e-02
-3.539189472085518817e-01 -1.548305816017535265e-03 -2.129998938538334510e-02 -4.013872071987140133e-01 0.000000000000000000e+00 7.031655519156300438e-02
-4.024533799614289920e-01 2.137662395281618444e-03 4.697854037198857281e-03 -5.041471831824640981e-01 0.000000000000000000e+00 9.485828678855472151e-02
-3.153120344633699723e-01 1.485677939195645218e-03 -9.324445862766227275e-05 -4.435890629558217335e-01 0.000000000000000000e+00 1.268845950118838439e-01
-2.836305847770348998e-01 -1.846721574789773673e-03 -1.421034721756020414e-02 -3.699229571999323452e-01 0.000000000000000000e+00 1.023494412152474581e-01
-3.112244483071112122e-01 -4.759122572255730828e-03 -7.050868684309364448e-03 -4.122779604784608809e-01 0.000000000000000000e+00 1.124766593530610731e-01
-3.571335818887939051e-01 -1.120570081959891898e-02 -1.592222474180389480e-02 -4.468020067038633303e-01 0.000000000000000000e+00 1.167963503764723326e-01
-2.439172264007665458e-01 -1.396999534309417354e-02 7.758571558112114380e-03 -3.488149941965655310e-01 0.000000000000000000e+00 1.111091915807810721e-01
-4.111085619146882530e-01 -1.324859637864296211e-02 8.817058734851076704e-03 -4.553381681735600428e-01 0.000000000000000000e+00 4.866114390266357975e-02
-3.404812813841844310e-01 -4.314003168564158573e-03 1.042819607299734844e-02 -4.475946262448369239e-01 0.000000000000000000e+00 1.009991519562193074e-01
