Total Atlantic Indian Pacific Arctic Southern
-2.218903132541881984e+00 1.903502629018264114e-01 1.243006299157379857e+01 -1.604822233981456137e+01 0.000000000000000000e+00 1.208905952797045158e+00
-3.213340484292446675e+00 1.557072468832068901e-01 1.128838851662595033e+01 -1.688593761983764452e+01 0.000000000000000000e+00 2.228501372036024719e+00
-3.947891911074235871e+00 2.186982560841858880e-01 1.162630896932045665e+01 -1.794529568064841740e+01 0.000000000000000000e+00 2.152396544169560055e+00
-4.170100041734061236e+00 1.932454303221126379e-01 1.118404583994207613e+01 -1.830262883705657373e+01 0.000000000000000000e+00 2.755237525058323644e+00
-4.024324318919477506e+00 3.097129035367719441e-01 1.064263294580987562e+01 -1.813143588582594390e+01 0.000000000000000000e+00 3.148573851621617070e+00
-2.394944536875440289e+00 3.645836748495827617e-01 1.192648553691877922e+01 -1.791949429794264148e+01 0.000000000000000000e+00 3.233480549298850537e+00
3.323546444501964542e-02 3.588464570463166248e-01 1.146614024789580988e+01 -1.498079355533930901e+01 0.000000000000000000e+00 3.189042314842193360e+00
3.263936135972256292e+00 3.560484275796826359e-01 1.151989698505567716e+01 -1.229041380066314204e+01 0.000000000000000000e+00 3.678404524000002507e+00
6.714518698613797909e+00 4.377027803164266762e-01 1.117771239411325368e+01 -9.074929159373299470e+00 0.000000000000000000e+00 4.174032683557427958e+00
8.694663641165806922e+00 3.972484609033155034e-01 1.140692715388129663e+01 -8.445641950278430343e+00 0.000000000000000000e+00 5.315735770539022909e+00
8.698023719198438641e+00 4.441634980223929663e-01 1.068595640267860425e+01 -7.556355479566566835e+00 0.000000000000000000e+00 5.124259298064009371e+00
-1.324631453448093588e+01 1.141290014638134120e-01 -1.116455574962833541e+00 -1.316412662017341084e+01 0.000000000000000000e+00 9.201386591914982871e-01
-1.141754561537455714e+01 -5.396522045000205769e-02 -7.565505679518121918e-01 -1.270565437370582806e+01 0.000000000000000000e+00 2.098624546733090401e+00
-1.133495868360855674e+01 8.068823552103869534e-02 -8.242961265183946784e-01 -1.224429085415833462e+01 0.000000000000000000e+00 1.652940061547130135e+00
-8.406807024612946933e+00 1.221855062203922038e-01 -3.177650400628944660e-01 -1.065214797446359363e+01 0.000000000000000000e+00 2.440920483693156395e+00
-7.793403193646960325e+00 6.819486945750323492e-02 -2.875433671821249759e-01 -9.777870492644204603e+00 0.000000000000000000e+00 2.203815796721863673e+00
1.092341676264717876e+01 4.920882213086167356e-01 8.879056737520476972e+00 -6.722950300570480486e+00 0.000000000000000000e+00 8.275222104388570088e+00
1.296874734499848003e+01 5.899031809576250618e-01 8.149497628464182242e+00 -4.566065476285378288e+00 0.000000000000000000e+00 8.795412011862048018e+00
1.338848918518880815e+01 5.902877304955863602e-01 8.593571968050305543e+00 -4.839176407604030672e+00 0.000000000000000000e+00 9.043805894246956356e+00
1.521311226041718179e+01 5.736052662532624691e-01 8.543070626028487879e+00 -3.657410933501718642e+00 0.000000000000000000e+00 9.753847301637165401e+00
2.187337765707360049e+01 5.949527565926840955e-01 9.116135494161129671e+00 2.224732084483695083e+00 0.000000000000000000e+00 9.937557321836093749e+00
2.388785247127040634e+01 6.957919792902048650e-01 8.619527947272032975e+00 2.448808386080898902e+00 0.000000000000000000e+00 1.212372415862730968e+01
2.463883122326531705e+01 7.099876412366927791e-01 8.705999717716439434e+00 1.855615737743385729e+00 0.000000000000000000e+00 1.336722812656879533e+01
2.290151036489423220e+01 8.053322311104911257e-01 7.775436679704633036e+00 1.351042382658881102e+00 0.000000000000000000e+00 1.296969907142019451e+01
2.235893401562404392e+01 6.128194423986843553e-01 7.426472406364885259e+00 1.978571229307575452e+00 0.000000000000000000e+00 1.234080043649602132e+01
2.185820261124207775e+01 7.344117252295031539e-01 6.450796739129900814e+00 5.010843288386613859e-01 0.000000000000000000e+00 1.417190981804401062e+01
2.378463259756274795e+01 8.380390265448642850e-01 5.863504337329893623e+00 1.246878985237315662e+00 0.000000000000000000e+00 1.583621024845067815e+01
2.378691663863042294e+01 7.164595822328508889e-01 5.857286821534780863e+00 2.125280164983579301e+00 0.000000000000000000e+00 1.508789006987922576e+01
2.524238715383382470e+01 7.710252052404333867e-01 5.449924340947259971e+00 2.531596689071704098e+00 0.000000000000000000e+00 1.648984091857442991e+01
2.587371927282591244e+01 8.070703984569818079e-01 4.944459377946898826e+00 3.148060356651062541e+00 0.000000000000000000e+00 1.697412913977097659e+01
2.728453961257303106e+01 9.266480076108235542e-01 5.247459428319347197e+00 3.245865652690909986e+00 0.000000000000000000e+00 1.786327352703413140e+01
-1.303752850071943747e+01 -5.991925921285406326e-02 -9.190551679001390806e-01 -7.485436021798935968e+00 0.000000000000000000e+00 -4.573118051807511186e+00
-1.359694279006270712e+01 -2.893059947694559195e-02 -6.638126599512402803e-01 -8.032683647196588339e+00 0.000000000000000000e+00 -4.871515883437939287e+00
-1.240833979638780526e+01 1.267553432770237298e-01 -2.835874506998362077e-01 -8.868819222812092562e+00 0.000000000000000000e+00 -3.382688466152913964e+00
-1.191158293165929116e+01 5.539985252491380630e-02 -6.015091984889093801e-01 -8.043957904762185862e+00 0.000000000000000000e+00 -3.321515680933098125e+00
-1.169231384566339926e+01 2.441225875457995673e-02 -6.065121064808519646e-01 -9.831691414301353404e+00 0.000000000000000000e+00 -1.278522583635778087e+00
-1.102082097478244904e+01 1.268346699361289631e-01 -1.460458155505915956e-01 -1.047603555938445119e+01 0.000000000000000000e+00 -5.255742697835285027e-01
-1.176389323245019369e+01 6.080502540426960256e-02 -7.068073865313624637e-02 -1.189130926909473551e+01 0.000000000000000000e+00 1.372917498934002889e-01
-1.004823639216597364e+01 2.071237522554966737e-01 2.418660045354849297e-01 -1.153237138242740301e+01 0.000000000000000000e+00 1.035145233470450732e+00
-9.301684474331676000e+00 2.522851882322593164e-01 1.599728657429458009e-02 -1.133818232845505314e+01 0.000000000000000000e+00 1.768215379316829372e+00
-9.278195599800540094e+00 1.408063788721309884e-01 3.375826036779709660e-02 -1.093468174983514984e+01 0.000000000000000000e+00 1.481921510794669494e+00
-9.426185601646208667e+00 1.552473051991877517e-01 -2.191943473315803581e-01 -1.090251673770181462e+01 0.000000000000000000e+00 1.540278178188004388e+00
-7.863438190390894533e+00 -1.089185861733404231e-01 2.042288486008691506e-01 -1.023106332738748314e+01 0.000000000000000000e+00 2.272314874569060450e+00
-8.261306048072748709e+00 1.512124405036459687e-02 1.148618797557333371e-01 -1.068527417541215030e+01 0.000000000000000000e+00 2.293985003533300482e+00
-8.858421789145976888e+00 6.409739863592275183e-03 -2.306162190659941449e-02 -1.152708988099983500e+01 0.000000000000000000e+00 2.681581651606918637e+00
-9.190211081491522549e+00 1.090520254320475300e-02 -1.115244411863695745e-01 -1.224495592307860470e+01 0.000000000000000000e+00 3.155364080230255386e+00
-8.767349055262130264e+00 1.228582277185015781e-01 7.632101672945618143e-02 -1.237903325166622359e+01 0.000000000000000000e+00 3.412504951956135457e+00
-1.012718693367029843e+01 5.202563831717436915e-02 4.339403372437073553e-02 -1.265813160159154904e+01 0.000000000000000000e+00 2.436012449196626850e+00
-9.991976450820262201e+00 1.650534739656028260e-01 -2.115329862122645455e-01 -1.338628376189748259e+01 0.000000000000000000e+00 3.440786823323884747e+00
-1.060823764670148783e+01 8.275443481694516601e-02 2.171392108443370716e-01 -1.401089022978930032e+01 0.000000000000000000e+00 3.102758937426536967e+00
-8.843874223713040550e+00 3.497180838938235975e-02 -1.958248432537700034e-01 -1.255806038814997372e+01 0.000000000000000000e+00 3.875039199301335557e+00
-9.331354898383969143e+00 8.485838768805582799e-02 -5.598273911336869996e-02 -1.317839995396662545e+01 0.000000000000000000e+00 3.818169407007972360e+00
-8.150112398802749070e+00 6.241611594021456016e-02 5.017348917407135067e-01 -1.222515873385988350e+01 0.000000000000000000e+00 3.510895327376198249e+00
-8.577037536201318702e+00 1.515998737574760225e-01 1.287981282129261329e-01 -1.245449118392295595e+01 0.000000000000000000e+00 3.597055645751227271e+00
-8.343277325314776505e+00 1.319849800186103927e-01 -2.415129090312320148e-01 -1.253305093642150325e+01 0.000000000000000000e+00 4.299301540119357057e+00
-8.079090473245505777e+00 6.008062868186923172e-02 3.396461230440031009e-01 -1.254699283462905868e+01 0.000000000000000000e+00 4.068175609657685321e+00
-8.201132226502824807e+00 4.695748575239766520e-02 1.400396589067889330e-01 -1.261889822256781635e+01 0.000000000000000000e+00 4.230768851405806608e+00
-9.129068547733400152e+00 2.958868680235093862e-02 7.943005608154035668e-02 -1.324948019077958605e+01 0.000000000000000000e+00 4.011392900162308095e+00
-7.679754205997891603e+00 -7.615865702503212160e-03 6.557406514584523949e-02 -1.238602247234218190e+01 0.000000000000000000e+00 4.647091557593810762e+00
-9.021643110384417241e+00 -7.230759181564402893e-02 6.631059591082312521e-02 -1.369879427636902136e+01 0.000000000000000000e+00 4.683029776725144977e+00
-8.900591416410083667e+00 1.229905832570250650e-02 -1.891222609996616455e-01 -1.297463068772099781e+01 0.000000000000000000e+00 4.246625415775873158e+00
-1.010709045774737547e+01 2.581518781024661965e-02 -2.370552078860082290e-01 -1.358674469858725153e+01 0.000000000000000000e+00 3.690894260915638547e+00
-1.100243087437313960e+01 -2.328804426364722985e-02 -3.226309246777175344e-01 -1.378737514248747154e+01 0.000000000000000000e+00 3.130863237055686810e+00
-1.241553875854151556e+01 -5.293823834400279010e-02 -3.291592437583404918e-01 -1.451976075697050739e+01 0.000000000000000000e+00 2.486319480531344883e+00
-1.339236472414543577e+01 -3.945576055308289143e-02 -5.098445692194040202e-01 -1.479605522846279086e+01 0.000000000000000000e+00 1.952990834089829653e+00
-1.511835805603984539e+01 -6.359342056088806983e-02 -5.844086817314171345e-01 -1.657353935890575869e+01 0.000000000000000000e+00 2.095732692300513289e+00
-1.599471701812939450e+01 -2.117104380947798792e-01 -4.773120532625729218e-01 -1.720602151456328954e+01 0.000000000000000000e+00 1.900326987791226330e+00
-1.589997310693082611e+01 -9.618604816103412669e-02 -4.490793224873629308e-01 -1.690120445410860128e+01 0.000000000000000000e+00 1.539406501770159030e+00
-1.713602998406460642e+01 -6.649360760518366331e-02 -5.627369817979078759e-01 -1.835556887264107573e+01 0.000000000000000000e+00 1.850188868136147136e+00
-1.802493781488934488e+01 -2.103443164688622580e-01 -4.846216812585278921e-01 -1.857538055521559528e+01 0.000000000000000000e+00 1.246877350537138440e+00
-1.873660823972696221e+01 -7.623525713722387187e-02 -6.939568131315543287e-01 -1.997664690908887763e+01 0.000000000000000000e+00 2.010230739630690433e+00
-1.715204302033643913e+01 -1.858193950237400083e-01 -8.149307907419763852e-01 -1.808668919736456360e+01 0.000000000000000000e+00 1.935396362793867286e+00
-1.936543443802617048e+01 -8.482770759130621452e-02 -5.671549567931789548e-01 -2.081350798438405292e+01 0.000000000000000000e+00 2.100056210742425655e+00
-2.336283232610041338e+01 -1.298149528963469523e-01 -9.160005099852976951e-01 -2.406639024927229187e+01 0.000000000000000000e+00 1.749373386053527879e+00
-2.326091394892435105e+01 -4.396325363774966632e-02 -6.444269812769962691e-01 -2.442274072840163868e+01 0.000000000000000000e+00 1.850217014392078640e+00
-2.307821779774041104e+01 -3.346707382163945088e-02 -5.872828622267667331e-01 -2.540028256363585513e+01 0.000000000000000000e+00 2.942814701943885503e+00
-2.372517502517426635e+01 -2.705984785979891061e-02 -1.148096829975201905e+00 -2.532887677609300425e+01 0.000000000000000000e+00 2.778858428753679721e+00
-2.503651449928381112e+01 -4.815707972957451038e-02 -8.154236539992627542e-01 -2.692820927440951806e+01 0.000000000000000000e+00 2.755275508854470257e+00
-2.467220205574203007e+01 -2.086806481978381034e-01 -4.216759545492868022e-01 -2.711545094469170536e+01 0.000000000000000000e+00 3.073605491696827841e+00
-2.157772795232045482e+01 3.163755202727235732e-02 -5.833081373927415658e-01 -2.388388703704256599e+01 0.000000000000000000e+00 2.857829670087573604e+00
-2.221525159617696943e+01 -7.798582427707491382e-02 -5.902624086535395165e-01 -2.450401792557660841e+01 0.000000000000000000e+00 2.950782816771901018e+00
-2.078155632194997438e+01 -2.804258132787588315e-02 -7.609169672418658603e-01 -2.293395043227883789e+01 0.000000000000000000e+00 2.941353658898627987e+00
-1.788818796501804442e+01 9.882527023062548724e-03 -7.934133733613895068e-01 -1.950066635958514993e+01 0.000000000000000000e+00 2.397500370184992402e+00
-1.648110121880327839e+01 -4.529940217711687749e-03 -7.363951153890911927e-01 -1.804345202024423855e+01 0.000000000000000000e+00 2.303275857047768049e+00
-1.864946311055719974e+01 -9.728267056126409240e-02 -9.119046257039833403e-01 -1.952306019795398129e+01 0.000000000000000000e+00 1.882784383662008620e+00
-1.670310693455528295e+01 2.071821043948587210e-02 -7.982274017031962821e-01 -1.809365066318952842e+01 0.000000000000000000e+00 2.168052919897956343e+00
-1.623073398555040114e+01 1.926559315150980223e-02 -8.323922488986850166e-01 -1.711497488226952512e+01 0.000000000000000000e+00 1.697367552466297003e+00
-1.633214845020341954e+01 1.411793858927475574e-02 -1.119452584679723861e+00 -1.754726352379047327e+01 0.000000000000000000e+00 2.320449719677532219e+00
