Total Atlantic Indian Pacific Arctic Southern
2.370022897660634814e-02 -2.086864029952633162e-03 -7.543750019275490167e-03 3.434362122764465786e-02 -1.012778201810189422e-03 0.000000000000000000e+00
8.075845580925854195e-03 -1.681836467962437819e-03 -3.172133686229535593e-03 1.511809667071041009e-02 -2.188280935592584221e-03 0.000000000000000000e+00
1.907844805114806974e-02 -4.046432163678711190e-03 -1.698881897569863445e-03 2.681381662133044963e-02 -1.990054508933808940e-03 0.000000000000000000e+00
8.097438274185577226e-03 -3.403861857830378992e-03 -5.864284764852140813e-04 1.594903156355768556e-02 -3.861302955056516127e-03 0.000000000000000000e+00
1.135940586789375463e-02 -2.117377200684676924e-03 -9.693768011439278737e-04 1.993721268197123225e-02 -5.491052812248877271e-03 0.000000000000000000e+00
1.837987399016464615e-02 -6.346030110322241694e-03 -4.909341498675948417e-04 2.694959661943145679e-02 -1.732758369076972584e-03 0.000000000000000000e+00
1.777071992276010523e-02 -7.908638104158618315e-03 -5.783472968359521914e-04 2.849374043016234676e-02 -2.236035106407663862e-03 0.000000000000000000e+00
4.024771494032520353e-02 -8.372908646812926223e-03 1.066441550417939746e-03 5.119168282467240205e-02 -3.637500787952207930e-03 0.000000000000000000e+00
2.911655260894453062e-02 -2.064869267871667982e-03 3.577241351312617987e-03 3.184823374908901661e-02 -4.244053223585441195e-03 0.000000000000000000e+00
1.377944791535566822e-02 -6.207386188438056458e-03 3.739323958552699580e-03 1.851350831029459354e-02 -2.265998165053573644e-03 0.000000000000000000e+00
2.563232892434775742e-02 -4.412770354038180604e-03 7.999769954139632211e-03 2.507838598525705467e-02 -3.033056661010737152e-03 0.000000000000000000e+00
8.394984993325324205e-03 -6.184061152990292555e-03 -2.868457266964146140e-04 1.844472702227741012e-02 -3.578835149265377231e-03 0.000000000000000000e+00
9.325926705325302078e-04 -6.492480869462959221e-03 2.642199622061244552e-04 1.025904652811852370e-02 -3.098192950329156994e-03 0.000000000000000000e+00
-4.918768504520902064e-03 -6.242950006482062865e-03 -2.568711576509659453e-03 1.202882432870577487e-02 -8.135931250234956780e-03 0.000000000000000000e+00
-2.766321185892534409e-03 -3.650315807847402585e-03 -1.139609387616999023e-03 6.449744618967428837e-03 -4.426140609395561205e-03 0.000000000000000000e+00
-8.477076911534018461e-03 -4.958807909408946557e-03 -7.562853749817326091e-04 2.447209429493633469e-03 -5.209193056636975475e-03 0.000000000000000000e+00
2.595378999187550328e-02 -2.110304840558737977e-03 -1.980067555179724093e-03 3.215784250755650275e-02 -2.113680119942541302e-03 0.000000000000000000e+00
-7.744079621667235985e-03 -1.618106462682374199e-03 -2.857524513741977520e-03 2.247173949653869310e-03 -5.515622594896752058e-03 0.000000000000000000e+00
-2.806543396386324690e-02 -5.843629409978709326e-03 7.344909098656738754e-04 -1.287286345210322813e-02 -1.008343201164699048e-02 0.000000000000000000e+00
-1.981143820189548016e-02 -3.720993627397596246e-03 -4.503676896181722658e-04 -1.101559134247006785e-02 -4.624485542409642602e-03 0.000000000000000000e+00
-1.777159455868094345e-02 -2.496416110964959443e-03 3.677673611975161420e-04 -1.215220549552578286e-02 -3.490740313387717241e-03 0.000000000000000000e+00
1.285400191961381076e-02 -3.963778349609154393e-03 -2.890784966475853750e-03 2.390347539628908530e-02 -4.194910160590270727e-03 0.000000000000000000e+00
-4.764894785889104215e-03 -3.056534085640680819e-03 -2.490130529033273473e-03 3.750944661697779448e-03 -2.969174832912928070e-03 0.000000000000000000e+00
2.677690807327993625e-02 -2.128421212424865157e-03 -1.143169867319460695e-03 3.187674070599243181e-02 -1.828241552968170583e-03 0.000000000000000000e+00
6.888537191261021042e-03 -7.555803909233786177e-03 -7.262777686773848719e-04 1.767258285856562749e-02 -2.501963989393435079e-03 0.000000000000000000e+00
1.594689187146303144e-02 -4.404294268288838632e-03 -6.850948641855992985e-04 2.312243191244458748e-02 -2.086150908507119518e-03 0.000000000000000000e+00
1.094347758408929262e-02 -2.980862567603322771e-03 -1.910490150508114204e-04 1.659984369602910195e-02 -2.484454529285678309e-03 0.000000000000000000e+00
2.397021468824189760e-02 -8.122334069643294104e-04 -2.513629020586500900e-04 2.798426241757120611e-02 -2.950451420306325970e-03 0.000000000000000000e+00
1.973575008613320109e-02 -1.884690694568408060e-03 -3.217846365016768665e-04 2.109134234156949395e-02 8.508830756337940190e-04 0.000000000000000000e+00
9.345180888506814804e-03 -2.437378969242595932e-03 1.358147941732919597e-03 1.102983443510394471e-02 -6.054225190874495564e-04 0.000000000000000000e+00
2.620036555354202795e-03 -1.707535779536110835e-03 -8.990689505891291591e-04 5.586023586854205712e-03 -3.593823013747615138e-04 0.000000000000000000e+00
2.395375730002942405e-02 -1.241068596336958449e-03 -3.801958957230689058e-04 2.770529081877195002e-02 -2.130269026682496663e-03 0.000000000000000000e+00
1.731009738991488595e-03 -1.576595515481236335e-03 -6.354497887895451357e-04 6.718085119301335680e-03 -2.775030076039065180e-03 0.000000000000000000e+00
-2.061813426003041613e-04 -9.003654663847554442e-04 -4.225865453695594313e-04 3.544482660731805915e-03 -2.427711991577793764e-03 0.000000000000000000e+00
9.083847038913508629e-03 -1.397639094995941451e-03 -1.840892211781300835e-03 1.228038777821529801e-02 4.199056747545278718e-05 0.000000000000000000e+00
3.547911248366099769e-03 -3.149233780912946267e-03 -1.516935905089404537e-03 9.703386676338790137e-03 -1.489305741970339348e-03 0.000000000000000000e+00
2.612962535096181697e-03 -7.824303086629389326e-04 -6.856273550431520643e-04 7.071671630956722493e-03 -2.990651432154450232e-03 0.000000000000000000e+00
1.729442641191028963e-03 1.038120012013825551e-04 -1.360304471687013780e-03 4.830511999231598512e-03 -1.844576887554936562e-03 0.000000000000000000e+00
5.943482177807607111e-03 -2.855887864394282376e-03 -9.411357185089227768e-04 1.615005377830217720e-02 -6.409548017591361682e-03 0.000000000000000000e+00
1.466448719369194305e-02 -1.498398193352680615e-03 3.043693919280136915e-03 1.964092572563011854e-02 -6.521734257865635480e-03 0.000000000000000000e+00
4.488799644236873831e-03 -2.825408032623665227e-03 -6.626028077203120585e-04 1.107032352678830912e-02 -3.093513042207457573e-03 0.000000000000000000e+00
3.719898592906248358e-02 -3.110490036236405846e-03 2.613498480322144595e-04 4.564544795539061256e-02 -5.597321838123936293e-03 0.000000000000000000e+00
3.633978753742504991e-03 -4.324571766711908516e-03 -1.070377640454216964e-03 1.160481050710845431e-02 -2.575882346199822107e-03 0.000000000000000000e+00
4.249013254840264958e-02 -2.159098929174007187e-03 -4.140289780767071235e-04 4.798748487495976128e-02 -2.924224419306388229e-03 0.000000000000000000e+00
4.966560067948907337e-02 -2.883424310468813735e-03 3.832613123217765757e-03 5.013240478623173096e-02 -1.415992919491619595e-03 0.000000000000000000e+00
2.677904759554933754e-03 -1.821514502109835903e-03 -1.019301445700965085e-03 7.036225364276475422e-03 -1.517504656910738945e-03 0.000000000000000000e+00
1.253638163005011026e-02 -4.929237055867984225e-03 -4.588305360502916352e-04 1.863023718846580287e-02 -7.057879664974172924e-04 0.000000000000000000e+00
6.073532604860393952e-02 -2.366712081198301103e-03 3.166493833483160461e-04 6.418595418063656466e-02 -1.400565434182643497e-03 0.000000000000000000e+00
