Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-1.974200585639963634e+01 -1.126299514045783878e+00 -9.975130222844521555e+00 1.010217436101570054e-01 -1.237001458252930952e+00 0.000000000000000000e+00 -6.959675158326428246e-01 -6.808628889033917275e+00
-1.790924700254943858e+01 -1.276704940550906109e+00 -7.956679651594685154e+00 -8.386841984581049070e-02 -1.254140744979615363e+00 0.000000000000000000e+00 -6.186084909038639390e-01 -6.719244754674559950e+00
-1.612422394729109598e+01 -1.253962106663560672e+00 -6.277024332837355836e+00 -2.529980146398329577e-01 -1.264501574867472167e+00 0.000000000000000000e+00 -6.259327536420715710e-01 -6.449805164640785016e+00
-1.501807620185890535e+01 -1.224182598188624960e+00 -5.382248321256777324e+00 -1.973428918401927967e-01 -1.545429072346751864e+00 0.000000000000000000e+00 -6.751412156942637743e-01 -5.993732102532302264e+00
-1.851479137125740593e+01 -1.801108164449750193e+00 -4.876217697369283677e+00 -3.348754314704775054e-02 -2.595963934754710767e+00 0.000000000000000000e+00 -8.048226767785638947e-01 -8.403191354758087428e+00
-1.731474759102628624e+01 -1.925233876880124484e+00 -4.242534786020295101e+00 7.348570378626319288e-02 -2.038485324403380261e+00 0.000000000000000000e+00 -8.192220625343745732e-01 -8.364684163982053278e+00
-1.612391034667779266e+01 -1.805847671605406379e+00 -3.664196921390649120e+00 -6.128645116745561755e-02 -1.844325460571117015e+00 0.000000000000000000e+00 -9.079720775088445661e-01 -7.840281764434348766e+00
3.602260705911081384e+00 1.209323083390813763e-01 1.746778827873222362e+00 4.065561609889757899e-01 -4.455229191873071870e-01 0.000000000000000000e+00 1.719392490663867457e-01 1.601577078830728862e+00
3.435416258427245406e+00 7.095202781642633016e-02 1.962497876003313602e+00 4.473588295060503262e-01 -6.514855031037581901e-01 -1.916463291593971819e-04 1.982626805596151842e-01 1.407214562846321071e+00
3.478765057265847283e+00 1.323493735683892725e-01 2.190935044645243135e+00 3.198326934329843718e-01 -8.829930090549575894e-01 0.000000000000000000e+00 2.251414421843533076e-01 1.493499512489833370e+00
3.539787791577656328e+00 8.775945091723102998e-02 2.298535466636762781e+00 4.167550903309212851e-01 -9.186509427985668497e-01 0.000000000000000000e+00 1.819051961548470153e-01 1.471223078133521822e+00
3.419097652635012086e+00 1.395773023823703440e-01 2.527488078515293779e+00 4.772530368953908364e-01 -1.023937325415019473e+00 0.000000000000000000e+00 1.905331486802011309e-01 1.108183411576783461e+00
3.145038440796311452e+00 1.657296118078935288e-01 2.410970247788201348e+00 6.105581608168526575e-01 -1.133361242202816754e+00 0.000000000000000000e+00 1.095984631710490015e-01 9.809915922257621546e-01
9.232587850056092060e-01 -8.449490717121994898e-02 2.036026575673858474e+00 5.156741716852963897e-01 -1.589882412366699027e+00 0.000000000000000000e+00 -2.184943687921008307e-02 6.778479406358325909e-02
8.329993324167827007e-01 -1.218132491762534964e-01 1.948366990322581982e+00 5.976152504437191038e-01 -1.826181978282374052e+00 0.000000000000000000e+00 8.160759477736306833e-02 1.534047243317490372e-01
