Total Atlantic Indian Pacific Arctic Southern
7.972055996516510395e-03 7.050250469551157598e-03 1.524389215081351501e-01 -1.510968215799861347e-01 0.000000000000000000e+00 -4.202944011836452624e-04
1.183981914987961188e-02 4.388905889893757878e-03 1.348022467510893996e-01 -1.272732232433782529e-01 2.881070776942165877e-06 -8.099131850224692653e-05
-4.257951843148927162e-02 7.968097187156423329e-04 1.281015685905110002e-01 -1.723123342558635640e-01 0.000000000000000000e+00 8.344375151476656751e-04
-3.061039100849908753e-02 2.248588355324009514e-03 7.293790929551062507e-02 -1.065392405657601682e-01 0.000000000000000000e+00 7.423519064264607259e-04
-2.736457372460108367e-02 2.634913483933376457e-03 9.271992961102980269e-02 -1.230124207431479155e-01 1.143943676009105906e-05 2.815644868235673420e-04
5.775100631657825723e-02 2.899476161515324342e-03 1.256945889104360004e-01 -7.076060809128932594e-02 2.228642632448288752e-05 -1.047370904082362870e-04
-2.269724406003647416e-02 2.766323007254947296e-03 8.386638110865964058e-02 -1.088956454194212192e-01 6.560407337247960494e-05 -4.999068299023112002e-04
-2.849948578984067352e-02 6.601771635763257345e-03 1.212634449755786714e-01 -1.542221379568632644e-01 0.000000000000000000e+00 -2.142564444319348688e-03
-4.895513166927711879e-02 4.884417122011794170e-03 7.847514270332373032e-02 -1.333504703043002504e-01 0.000000000000000000e+00 1.035778809687631181e-03
2.517438358658897340e-02 4.742676569146892299e-03 8.824840033014028085e-02 -8.696372789635602174e-02 0.000000000000000000e+00 1.914703458365783068e-02
-2.159198780573740387e-02 8.132927204998415677e-03 3.920017340501011360e-02 -7.957892209363448544e-02 0.000000000000000000e+00 1.065383367788856617e-02
-1.331285645974299332e-02 4.566931137357762086e-03 9.247756389948379174e-02 -1.197210743909077335e-01 0.000000000000000000e+00 9.363722894323222787e-03
-3.622563277294218488e-03 3.562762448788929330e-03 1.111106594246992763e-01 -1.349030241299420119e-01 0.000000000000000000e+00 1.660703897915960514e-02
-4.518815412197992563e-03 6.310079774874164521e-03 1.171797364578094358e-01 -1.363824039529812904e-01 0.000000000000000000e+00 8.373772308099717426e-03
-4.781276650201157015e-05 8.231312238813527291e-03 1.024141020971497951e-01 -1.326729376796060567e-01 2.739119737775617735e-05 2.195231937976298980e-02
4.142379993345522704e-02 7.209075883862757841e-03 1.215656943112855548e-01 -1.042485531337008775e-01 0.000000000000000000e+00 1.689758287200779016e-02
-2.253381434230840655e-02 8.456865133708531268e-03 9.469582766119297168e-02 -1.501268946997805775e-01 0.000000000000000000e+00 2.444038756257065417e-02
5.702254123346212761e-02 1.539889699107858945e-02 8.178620164493809186e-02 -7.032506675508454208e-02 0.000000000000000000e+00 3.016250935252997797e-02
8.542620503193083803e-02 1.180758175258691048e-02 1.318358044612353286e-01 -7.108652363776514493e-02 7.550211251427596873e-05 1.279384034335945795e-02
1.704189958998243437e-01 6.763605738334873066e-03 1.788235040496433947e-01 -2.712540686947097213e-02 5.241583200352079209e-05 1.190487714931354364e-02
1.319061613917691944e-01 2.197333795359210883e-03 2.016723975746335384e-01 -7.695389297359472858e-02 3.019827397642468859e-05 4.960124721394723254e-03
1.452408282530930073e-01 1.903563911566405085e-03 1.592930754533002091e-01 -1.651743434552046044e-02 1.598789613846193368e-04 4.017442723622540552e-04
1.695164729543788273e-01 2.782311865629417090e-03 1.781971104940310580e-01 -1.154230036828062661e-02 6.584907071823283681e-05 1.350189228073374590e-05
1.526347523851460941e-01 1.894721004127489835e-03 1.525060313777673315e-01 -1.853415285689342809e-03 7.310803629540144999e-05 1.430725264523739312e-05
8.370387772877604937e-02 3.525097806718823293e-03 8.450614273699147416e-02 -4.727246141533279940e-03 3.916088942210674143e-04 8.274432377967816409e-06
1.520291140232633287e-01 5.350692148703549249e-03 1.503119796406804376e-01 -3.707636583667267127e-03 6.549570731350493513e-05 8.583110233083011126e-06
1.937135806175338815e-01 5.703924390611719158e-03 2.133801184748168600e-01 -2.476264886019788683e-02 0.000000000000000000e+00 -6.078133876967543826e-04
2.284133538574689148e-01 3.241756048207247373e-03 2.467954978848319325e-01 -2.079072806188871775e-02 0.000000000000000000e+00 -8.331720136815727725e-04
1.837061338237837571e-01 8.053659892475429835e-03 2.143136276318341471e-01 -3.738397024240489031e-02 4.553959372212231416e-04 -1.732579395342099485e-03
1.590451151123456197e-01 7.148093640597250054e-03 2.143396225856927795e-01 -6.159212551208750885e-02 0.000000000000000000e+00 -8.504756018569496452e-04
1.663439310857323383e-01 1.432020533683685606e-02 2.258673470435107467e-01 -7.352850971624141918e-02 1.108625408359806654e-04 -4.259741192098231359e-04
7.775113644343972785e-02 6.422165567612191268e-03 1.384901754130453966e-01 -6.749907729573709214e-02 0.000000000000000000e+00 3.378727585192127384e-04
1.727101117282324461e-01 9.803281303850537240e-03 2.234765880403764837e-01 -6.471027563648590331e-02 1.586432645728598663e-03 2.554085374762755326e-03
1.897570054731395062e-01 1.098284841443692740e-02 2.265624607428581849e-01 -5.274064768796912078e-02 2.473252477682162925e-03 2.479091526131361675e-03
2.063345464728320033e-01 5.739151844649352692e-03 2.500168289178010261e-01 -5.664873416999541972e-02 5.123063197893686430e-03 2.104236682483381221e-03
1.823540108737076171e-01 5.959483319374315850e-03 2.374852183565901720e-01 -6.780238351588406542e-02 3.327451643699364577e-03 3.384241069927842668e-03
1.844652457172702431e-01 7.088388742642466774e-03 2.532089839579096946e-01 -7.919233843028623820e-02 3.113436386254660876e-03 2.467750607496297949e-04
1.940722914319240322e-01 1.123176713441607737e-02 2.363226305351245893e-01 -5.764951578164811963e-02 3.460301100893117365e-04 3.821379433942198329e-03
1.460390007002009549e-01 4.111732080618953240e-03 1.984661568821217692e-01 -6.101580354213435864e-02 -9.556356812171955620e-05 4.572478847716290873e-03
4.290278135326148351e-02 5.408607341599696618e-03 9.984129915340780870e-02 -6.073092192017025964e-02 4.572697276951634068e-04 -2.073472949270933376e-03
1.070451476748470257e-02 6.037416699827114104e-03 1.092783216403097751e-01 -1.038568871147102085e-01 -5.518972778102312860e-04 -2.024391801317472776e-04
-1.430749591427950794e-02 8.066655429057552340e-03 9.197342515003753549e-02 -1.159410827272406158e-01 -1.122628770475853337e-03 2.716135004341850394e-03
-3.406075579930555042e-02 1.383547407935981945e-02 7.987876188068557259e-02 -1.258449640894656607e-01 3.147665873862059331e-04 -2.244794257271518802e-03
3.499812146321959472e-02 7.357439322677437193e-03 6.755490764771385215e-02 -4.558467738155608934e-02 1.227980186563708319e-03 4.442471687820690081e-03
7.938872899907829794e-02 1.228143534484835153e-02 1.030965457208379704e-01 -5.309631721000266508e-02 1.092149606519613337e-03 1.601491553687503511e-02
4.790505383337324147e-02 1.413010230785121009e-02 9.203393366201645387e-02 -7.088564889075436859e-02 1.487733402523581504e-03 1.113893335173639539e-02
-4.922941181076345013e-02 9.504998310616503618e-03 8.138187427299403698e-02 -1.446047354077019953e-01 0.000000000000000000e+00 4.488451013328029725e-03
-8.657480159285994847e-02 7.066977774193296605e-03 4.754284240160214225e-02 -1.423993767387394249e-01 0.000000000000000000e+00 1.214754970084045609e-03
-1.916657101442987426e-02 8.820629569585035357e-03 7.481612015375381508e-02 -1.008454767823353665e-01 3.789787625546264609e-04 -2.336822717988001202e-03
-6.239115876982418568e-02 6.315344497151224347e-03 6.645372882205946574e-02 -1.254626157530382979e-01 7.125803725007369493e-06 -9.704742139721576899e-03
-1.452153422745650901e-01 1.021410021931660854e-02 1.504357741314952743e-02 -1.554289216313274602e-01 0.000000000000000000e+00 -1.504409827570374336e-02
-5.524508609601723463e-02 8.587630337965557192e-03 1.243062533431116279e-01 -1.670799782500532737e-01 0.000000000000000000e+00 -2.105899152704113556e-02
-6.466959558197710178e-02 8.173195140754848168e-03 1.011901779625945935e-01 -1.675762877659485450e-01 3.396727575983684894e-04 -6.796353676976370564e-03
-4.345122062282955749e-02 7.146327443293068980e-03 1.234655378051924685e-01 -1.753087535194482738e-01 1.182958854621079511e-04 1.127371762671069803e-03
-1.105964400874390741e-01 5.987078079600869143e-03 8.040080517648554026e-02 -2.007000041269556279e-01 4.837844455603515959e-04 3.231896337869796104e-03
-1.740953011942053819e-01 2.790168561245164481e-03 5.074272028921018862e-02 -2.020139538941845003e-01 1.109583480356210515e-04 -2.572519449851185316e-02
-9.778293269404984833e-02 6.649213211393500966e-03 7.166545980257900406e-02 -1.559367811864758313e-01 4.807628352145770675e-05 -2.020890080506795514e-02
-6.276458338235456347e-02 7.050380324670744471e-03 1.216013487924696018e-01 -1.838301095671919239e-01 1.797230724727846233e-04 -7.765926004775837097e-03
-9.338120777312727827e-02 8.633651407784451171e-03 1.000226139020946453e-01 -1.999912448611887716e-01 5.441955341472670292e-04 -2.590423755964841191e-03
3.509229650581556503e-02 7.325607995397715247e-03 2.038072449966885080e-01 -1.823224542175085339e-01 8.027709974356481138e-05 6.201620631494265436e-03
-4.368793928087939121e-02 6.521996485297954990e-03 9.191240856290010253e-02 -1.426905659416640992e-01 1.438399082276858919e-04 4.243817043589530411e-04
-4.715735048064645385e-02 9.293184179109703971e-03 8.789414738696645080e-02 -1.439801380112203100e-01 -4.376156159718777019e-05 -3.207824739050987905e-04
-2.637772375557050075e-02 7.628608335157290206e-03 9.229894630868899774e-02 -1.261518253681289670e-01 2.171290109479929607e-04 -3.705820422358208489e-04
-9.777459108282327005e-02 3.295940165845006806e-03 5.555444431620611134e-02 -1.567572521695468901e-01 2.617323816160037515e-04 -1.294557769434796042e-04
-8.417924581566199604e-02 5.175251198701720512e-03 4.521078043877900521e-02 -1.347909920295022601e-01 3.059545932903259846e-04 -8.024001693076082047e-05
9.431841495694172350e-02 4.495387948261039129e-03 8.551414262906618935e-02 2.142438115448385642e-03 2.753683942577132382e-04 1.891077869908408234e-03
1.081400154328950175e-01 2.944276935230685441e-03 1.186569549635231730e-01 -1.648503738544547514e-02 2.570163311914060536e-04 2.766804588395179679e-03
-7.244956821165215999e-02 3.388526252329074947e-03 1.482925980317689393e-02 -9.310484215216453807e-02 1.588812140504458647e-04 2.278606670955967729e-03
-1.566341158523000543e-01 2.575871455581716860e-03 4.528365188676580777e-03 -1.641522846923039458e-01 1.646708278330149004e-04 2.492613679126079560e-04
-1.233565654787852905e-01 4.748174185953422770e-03 1.430414988400036634e-02 -1.418950718805643274e-01 3.619224136433306697e-04 -8.757400818180681229e-04
-1.305941341686907009e-01 4.102836138121809459e-03 3.241878319146698079e-02 -1.659819092244429473e-01 3.148877307855103619e-04 -1.448732004622060431e-03
-1.199239990606969924e-01 6.057122888353999590e-03 6.009204530606879202e-02 -1.864137557388342581e-01 6.121833536004333068e-04 -2.715948698859534192e-04
-9.302142565535322094e-02 6.021193374623544196e-03 5.124481079205822631e-02 -1.507093187716928018e-01 4.218889496578525017e-04 0.000000000000000000e+00
2.277499474217578937e-03 6.951353322797797565e-03 1.062103735875290361e-01 -1.112517355278452580e-01 3.663594313584090821e-04 1.148660377596472192e-06
-1.486022620218268309e-01 8.807199391664527130e-03 6.443396401463867551e-02 -2.223148956787953379e-01 4.714702506652677688e-04 0.000000000000000000e+00
5.898484726860581118e-02 1.037754327793923535e-02 1.366193605677375744e-01 -8.563704834179974856e-02 1.847047881235819522e-05 -2.393478714083623060e-03
-1.522980590909665810e-02 1.661032422702031497e-02 1.003031084035316545e-01 -1.188542602035078943e-01 0.000000000000000000e+00 -1.328897833614073841e-02
-4.850154287410673309e-02 1.892998224720719019e-02 1.122324608884530256e-01 -1.723711255342719184e-01 2.676362229031304394e-04 -7.560496698398241899e-03
-4.069442847318106848e-02 7.937942953076206412e-03 8.821737629068898690e-02 -1.307605411763469450e-01 1.228943884646105421e-04 -6.212100929063933338e-03
2.986409332995230634e-02 1.032794520068675524e-02 1.327331277295484557e-01 -1.120863633067507442e-01 0.000000000000000000e+00 -1.110616293532181234e-03
-3.772672426662414258e-02 5.345790333327179664e-03 5.572906806538859698e-02 -9.743203285343894626e-02 1.357290667508878992e-04 -1.505278878651892865e-03
-4.372219312906582001e-02 2.591199336372844702e-03 5.510271177146570248e-02 -1.008799600021309251e-01 0.000000000000000000e+00 -5.361442347734671687e-04
-3.358626802733595540e-02 1.900739151108126910e-03 7.404744387174168330e-02 -1.092256171503679513e-01 2.807316682910663045e-04 -5.895655681088798287e-04
-4.973931119999959460e-02 8.110112176369249984e-03 9.353437517667871626e-02 -1.510744621128380927e-01 1.124085668588642358e-04 -4.217450070683083493e-04
-6.194374489089495700e-02 7.714817459075136094e-03 5.183853145688402386e-02 -1.196016307337071094e-01 0.000000000000000000e+00 -1.895463073147009726e-03
-3.024475844290456031e-02 1.071107258503092852e-02 8.945741553703577542e-02 -1.298170418253977443e-01 1.910809089675205217e-04 -7.872856485410693536e-04
9.922908990299791204e-03 8.937442538161703004e-03 1.277632075003790335e-01 -1.260816008978818958e-01 1.886017669539230730e-03 -2.582157819898274562e-03
-4.251709668960827922e-03 1.280312651820269577e-02 1.417272247380479411e-01 -1.601826204189018832e-01 2.248363232487553699e-03 -8.478037387971248777e-04
-1.072561526522225889e-01 1.582805105279837254e-02 3.143081625768669174e-02 -1.559372197870195487e-01 2.363470198526309435e-03 -9.412703742144066599e-04
-1.539642840652187539e-01 1.890590225664381258e-02 1.896838558936879762e-02 -1.919331013801348906e-01 6.502657146547887118e-04 -5.557362457512855661e-04
-2.031606760598976547e-01 1.809375467132095378e-02 1.059866735697548822e-02 -2.317061617648572269e-01 1.261799653539262447e-04 -2.731162886907570150e-04
-4.734233845638036176e-02 1.037701660208401044e-02 1.167490218109098615e-01 -1.749010607213535295e-01 0.000000000000000000e+00 4.326838519792641064e-04
-9.143670961601369288e-03 8.948692770044461633e-03 7.761223191464304560e-02 -9.572468910258592756e-02 0.000000000000000000e+00 2.009345629702740676e-05
1.019098272235353236e-01 1.036135580245982693e-02 1.540208106724433867e-01 -6.350189360389087156e-02 0.000000000000000000e+00 1.029554352523041373e-03
9.222033093651386959e-02 2.045911712364058450e-03 1.584420058139339726e-01 -6.843841583128541795e-02 9.222655462952012080e-05 7.860268687171050050e-05
4.548708958413127945e-02 8.422470131782072711e-03 1.615080882036141752e-01 -1.228719456002473204e-01 0.000000000000000000e+00 -1.571523151017700749e-03
1.319885230316089619e-01 7.676592480467491625e-03 2.490702748220853247e-01 -1.206792935457884491e-01 6.913433086138839846e-04 -4.770394033769300574e-03
9.426113164504718728e-03 1.014458871507866594e-02 1.429214536334252883e-01 -1.424533038834900067e-01 4.512426505667102312e-04 -1.637867951075967212e-03
4.890666133403744065e-02 1.032029541936244771e-02 1.206982621873037426e-01 -7.888500308474583056e-02 1.844376836784168542e-04 -3.411330871561327194e-03
6.610037908118319983e-02 3.863808390901292498e-03 1.558281602564536850e-01 -9.362976460760358277e-02 3.910758427593245579e-05 -9.325428441592319812e-07
6.216375428279183324e-02 5.387987088833725430e-03 1.656939980154370495e-01 -1.089928256461935308e-01 7.459482471459233767e-05 0.000000000000000000e+00
1.068381808287698909e-01 7.070112688027164680e-03 1.645677510102136754e-01 -6.479968286947093703e-02 0.000000000000000000e+00 0.000000000000000000e+00
6.266974136470326862e-02 1.452447992901648166e-02 1.225529926727892821e-01 -7.440773123710248127e-02 0.000000000000000000e+00 0.000000000000000000e+00
8.438318077763919123e-02 6.235851615194014375e-03 2.018949737412196743e-01 -1.246074009685368550e-01 -3.714044857330790420e-06 8.634704346197286324e-04
1.188806944944781063e-01 7.052877924197372209e-03 1.884179895108209768e-01 -7.463363270595743670e-02 -5.171008475664117681e-05 -1.904830149826156407e-03
1.523325616924657289e-01 7.299948278494053019e-03 2.305490670105479478e-01 -8.418670107814366088e-02 -1.277073071739723295e-05 -1.316981787715196511e-03
2.220314726264549857e-02 2.635765644671540526e-03 1.581816346067799195e-01 -1.346772780642339351e-01 9.635381211629019191e-06 -3.946610305783642032e-03
2.426270196986708011e-02 6.366894491340471460e-03 1.665480783910565643e-01 -1.399334277679116223e-01 9.752432643901626360e-05 -8.816367471057353147e-03
-1.310038522830793764e-02 6.377406822684945735e-03 1.067142200296973820e-01 -1.255010739837623401e-01 0.000000000000000000e+00 -6.909380969279131689e-04
-1.524012892409927315e-02 8.587675056922915509e-03 8.117016390341430521e-02 -1.013166908023937912e-01 4.144315657841362199e-04 -4.095708647826832097e-03
-4.281952104614429599e-02 9.046245153667436048e-03 1.298295261980858262e-01 -1.816952923978975287e-01 0.000000000000000000e+00 0.000000000000000000e+00
-1.866801121664438956e-01 9.450469331901982864e-03 1.363245459553674988e-01 -3.324551274537134171e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.151023573982310089e-02 8.273346559945500556e-03 1.442025695287908194e-01 -2.440761789928331260e-01 0.000000000000000000e+00 9.002716427369653084e-05
-4.186420018592355852e-02 8.969437559834874882e-03 1.696475503024705844e-01 -2.205810902692040276e-01 4.048667348054272891e-05 5.941554749441127714e-05
-1.943329264357916697e-02 6.340079376369114894e-03 1.685500623444175783e-01 -1.943234343643658046e-01 0.000000000000000000e+00 0.000000000000000000e+00
