Total Atlantic Indian Pacific Arctic Southern
-7.835112359873996901e+00 -3.340750907074175657e+00 -3.830778995499534378e+00 -1.193003949252446627e-01 -5.442820623750340703e-01 0.000000000000000000e+00
-7.544873174068974286e+00 -3.410121391245058309e+00 -3.695263011553443722e+00 -6.020780197097368863e-02 -3.792809692995005588e-01 0.000000000000000000e+00
-7.986788450922722049e+00 -3.950334646265347693e+00 -3.791503068019490552e+00 -3.731090793947499512e-02 -2.076398286984095232e-01 0.000000000000000000e+00
-7.687106878115653075e+00 -4.059697682704348054e+00 -3.483030911689017017e+00 -6.235327644284245630e-02 -8.202500727943716485e-02 0.000000000000000000e+00
-7.114742769704138325e+00 -3.711512871902661992e+00 -3.421635328277043087e+00 -4.178669508494739504e-02 7.876914081500838161e-02 0.000000000000000000e+00
-6.115042106982046199e+00 -3.367851400124707517e+00 -3.006441145321208985e+00 -8.104754182651213723e-02 3.402979802903749462e-01 0.000000000000000000e+00
-8.632846111580354531e-01 9.194737601167372043e-01 -2.270510207734051100e+00 1.367216870842739018e-01 3.510301493750041524e-01 0.000000000000000000e+00
-7.675082228806723306e-02 1.093150144570557369e+00 -1.978094187224986200e+00 1.716613245779771701e-01 6.365318957883867590e-01 0.000000000000000000e+00
1.379622231008372557e+00 2.135763408889293391e+00 -1.671573404160885845e+00 1.173367868964547422e-01 7.980954393835130167e-01 0.000000000000000000e+00
7.771455756978602025e+00 8.168603180403161801e+00 -4.232789515923033874e-01 4.079390146480224022e-01 -3.818074864802735169e-01 0.000000000000000000e+00
9.227063663997752130e+00 9.475146973573082221e+00 -6.449088130044228206e-01 5.439227906232259047e-01 -1.470972871941487181e-01 0.000000000000000000e+00
1.207478050273630288e+01 1.212745422978236043e+01 -7.355197282803439540e-01 6.250706531716614389e-01 5.777534806261997585e-02 0.000000000000000000e+00
1.717503972210780816e+01 1.600992516199375260e+01 -2.286001143592463480e-01 6.883288892479593191e-01 7.053857852253431204e-01 0.000000000000000000e+00
2.368199388502655012e+01 2.126176785166502015e+01 7.042282363700288483e-01 6.333568175320192228e-01 1.082640979459457586e+00 0.000000000000000000e+00
2.773297128460381700e+01 2.310702594341791993e+01 2.847532634338615587e+00 7.066621908561846466e-01 1.071750515991085839e+00 0.000000000000000000e+00
2.788250102316192169e+01 2.240821204437496661e+01 3.963592374864556067e+00 7.614435959541437926e-01 7.492530079682034883e-01 0.000000000000000000e+00
6.543365035674982622e+00 7.730829388082918641e+00 -2.253863355724001316e+00 2.509373283107134145e-01 8.154616750053486074e-01 0.000000000000000000e+00
5.411749099947945396e+00 6.151025933303250426e+00 -1.468974360388893619e+00 2.633494639768186873e-01 4.663480630567656271e-01 0.000000000000000000e+00
3.767521091061875715e+00 4.823995330802082648e+00 -1.593837420907312064e+00 2.072315989470855935e-01 3.301315822200202588e-01 0.000000000000000000e+00
4.538384693138377557e+00 5.707557705102428436e+00 -1.720034335703065409e+00 2.473614416772194624e-01 3.034998820617961224e-01 0.000000000000000000e+00
2.122126950969939685e+01 1.947659601629708348e+01 6.192423921503770190e-01 7.727042440344992213e-01 3.527268572174279693e-01 0.000000000000000000e+00
2.468142113630288748e+01 2.236198212261571783e+01 1.077436736832868558e+00 9.031011113143212476e-01 3.389011655399798428e-01 0.000000000000000000e+00
