Total Atlantic Indian Pacific Arctic Southern Stratosphere None
9.806874064757702125e-02 1.121055688831298219e-01 -1.079143915470229392e-01 6.814307059831289579e-03 1.518491251695827268e-06 1.034123353204303118e-02 3.253749079775724879e-03 7.346675514856837452e-02
2.966575326348694364e-01 2.244577112067247526e-01 -1.879556466770849685e-02 1.302046630986214079e-02 0.000000000000000000e+00 1.583710191833617720e-02 4.647087799657815058e-03 5.749073006799707009e-02
1.976940308017021419e-01 1.973917721470148101e-01 -7.532532734764194049e-02 1.442697885406183864e-02 -1.854667240587480061e-04 1.683773194113688185e-02 6.523346480621675450e-03 3.802499545056761687e-02
3.071543623166080872e-01 2.481313918563838594e-01 -3.145368476361916354e-02 1.121407098694281526e-02 0.000000000000000000e+00 1.740225856680320538e-02 4.236580072475078229e-03 5.762374559762218490e-02
9.231206670881593468e-02 1.196808609425650399e-01 -9.211625109341135820e-02 1.606715074419756695e-02 5.798460055581735684e-04 5.152566393859508292e-03 5.713735659799689011e-03 3.723415805624729485e-02
1.162351728489600250e-01 1.063584412292149367e-01 -8.184407839881115143e-02 2.149286119598360981e-02 2.169317971448577321e-04 1.088045662811125761e-02 3.696802038144303588e-03 5.543375835917221245e-02
-5.645026521375508949e-02 3.227730919597793929e-02 -1.493167339411246575e-01 1.392845321645189496e-02 -1.948568253224447171e-05 6.303647902422225384e-03 1.184495402519599935e-03 3.919204869253017226e-02
5.365280809459027633e-02 8.629329139851880937e-02 -1.169655982892678914e-01 4.297901474720674034e-03 1.082744030173331024e-04 9.098494442077930192e-03 1.623322760522323029e-03 6.919712190500110216e-02
-1.618388205156981174e-01 3.937367681734066371e-02 -2.612586485880187270e-01 8.172454091565535539e-03 0.000000000000000000e+00 7.525336150859666430e-03 8.824519341795372456e-04 4.346590907837521306e-02
-6.403641175088131687e-02 8.060487661992117581e-02 -2.062195652177191418e-01 7.152954232519367905e-03 0.000000000000000000e+00 1.220945159561320423e-02 2.404906835597523957e-03 3.981096418318657432e-02
-1.934507364498943074e-02 1.436535251733935536e-01 -2.294136406149210328e-01 5.885540758184433507e-03 0.000000000000000000e+00 3.049977114370729190e-03 6.231997691606865064e-03 5.124752623237599503e-02
1.213204192099129608e-01 1.639667146336732106e-01 -1.052818730888363669e-01 7.153111358064843592e-03 -3.395087448136260605e-04 5.905929403943277999e-03 2.199771159281746751e-03 4.771627448859985798e-02
-1.490556457433260817e-01 5.477067710945430351e-02 -2.252597287066378517e-01 -4.941741816265648372e-05 0.000000000000000000e+00 -8.534141199925992724e-03 2.979181866682592463e-03 2.703778260526351271e-02
2.002867527057806268e-02 7.884957501297149007e-02 -9.421778916336720489e-02 9.126806211304846345e-03 0.000000000000000000e+00 3.698361649236912548e-04 1.832234362775809035e-03 2.406801268196943552e-02
