Total Atlantic Indian Pacific Arctic Southern
1.890274279083840980e+01 1.516423835248776608e-01 2.245196694120658865e-01 1.746859008103129085e+01 1.057990656870180235e+00 0.000000000000000000e+00
1.925495444791559052e+01 2.841117980943140831e-01 2.298768259360563782e-01 1.803148638287527206e+01 7.094794410099484194e-01 0.000000000000000000e+00
1.921442895241235860e+01 2.137687330942822372e-01 1.809232471168438772e-01 1.785599281174845387e+01 9.637441604527802186e-01 0.000000000000000000e+00
2.024294868648139811e+01 3.102912564637861359e-01 1.691341032036683956e-01 1.896897824605220606e+01 7.945450807617339128e-01 0.000000000000000000e+00
2.204072093806807686e+01 2.009822207269315320e-01 2.233623468180402361e-01 2.069875713085894731e+01 9.176192396641517091e-01 0.000000000000000000e+00
2.634961174283148466e+01 1.391677080142101897e-01 2.702303563640233164e-01 2.498238374296628450e+01 9.578299354869759252e-01 0.000000000000000000e+00
2.888256598308656109e+01 2.831741133359931828e-01 1.782972588871400144e-01 2.767802815124573357e+01 7.430664596176819181e-01 0.000000000000000000e+00
2.891708474920451266e+01 9.987626238416405511e-02 3.638003280885699353e-01 2.773334594545035614e+01 7.200622132814328280e-01 0.000000000000000000e+00
2.759358110641914053e+01 1.878628264875154830e-01 2.772274844007547867e-01 2.617763964723211956e+01 9.487350942367942519e-01 0.000000000000000000e+00
3.004511479560005682e+01 3.286051908030766522e-01 2.881682564827752202e-01 2.862052793755967528e+01 8.078134107545353881e-01 0.000000000000000000e+00
2.793536161920633276e+01 4.393677090332600010e-01 2.177505038732177878e-01 2.634141623025875489e+01 9.368271760410945559e-01 0.000000000000000000e+00
8.693523104863553286e+00 2.102386385150057935e-01 1.441691001118091675e-01 7.943340608075350140e+00 3.957747581613970667e-01 0.000000000000000000e+00
8.148137138494172760e+00 2.330721836174637074e-01 1.518769826241259391e-01 7.473451752202779907e+00 2.897362200497939910e-01 0.000000000000000000e+00
6.859775052463267464e+00 2.662696206223043593e-01 1.575101190310465582e-01 6.166428004856337353e+00 2.695673079535724770e-01 0.000000000000000000e+00
2.449439326016368668e+01 4.976086487442903383e-01 4.364246360037014050e-01 2.287179576997934660e+01 6.885642054363496634e-01 0.000000000000000000e+00
2.325875649645480081e+01 8.683154478160834966e-01 3.264401683984177183e-01 2.142622257852536904e+01 6.377783017149447620e-01 0.000000000000000000e+00
2.393983362189247899e+01 1.089213877188174973e+00 3.447757436953201027e-01 2.183511283960640625e+01 6.707311614025920354e-01 0.000000000000000000e+00
4.451166501223463356e+00 4.678367183195608070e-01 -3.280258415502244201e-02 3.994599552861471725e+00 2.153281419745012651e-02 0.000000000000000000e+00
3.527988569965966104e+00 2.298652536652242284e-01 -5.937822537266066597e-02 3.340513804336032067e+00 1.698773733737227176e-02 0.000000000000000000e+00
1.373374817004573867e+00 1.324306852500572174e-01 -1.848959210788890528e-01 1.491890143488110221e+00 -6.605009065470592022e-02 0.000000000000000000e+00
2.196062133303564678e+01 1.189889381418986369e+00 3.882315065074177785e-01 1.985297684315434807e+01 5.295236019548874573e-01 0.000000000000000000e+00
2.205301455096782703e+01 1.280842121612933759e+00 2.543672512877830916e-01 2.011797238245581454e+01 3.998327956113288950e-01 0.000000000000000000e+00
2.408162149950027953e+01 1.541374387595393802e+00 2.856892495955433153e-01 2.176788418767965538e+01 4.866736746296645433e-01 0.000000000000000000e+00
2.559189953818128416e+01 1.904791456694966634e+00 2.165654082740940678e-01 2.309404526245861788e+01 3.764974107535760117e-01 0.000000000000000000e+00
2.551808233589530062e+01 2.368621367189982507e+00 2.162739368428905351e-01 2.264584975609241724e+01 2.873372757699931834e-01 0.000000000000000000e+00
2.576937282489165426e+01 3.058234023126221501e+00 2.606069780068711039e-01 2.221450884665832248e+01 2.360229771002734234e-01 0.000000000000000000e+00
2.157214663107271235e+01 2.909729477888056248e+00 3.098391877202698041e-01 1.809378385113768317e+01 2.587941143267085686e-01 0.000000000000000000e+00
1.836339651018737840e+01 2.294184568843354644e+00 2.517621353777191873e-01 1.560001749907154611e+01 2.174323068947401905e-01 0.000000000000000000e+00
1.449709689645382404e+01 1.863405471472313391e+00 1.900861992677290446e-01 1.224022337181635933e+01 2.033818538974268009e-01 0.000000000000000000e+00
1.542839879932649083e+01 1.354527637795641226e+00 2.827172750090551356e-01 1.355390268521615660e+01 2.372512013056617686e-01 0.000000000000000000e+00
1.446607338052367098e+01 1.419334863555318238e+00 2.886844090027192999e-01 1.252835030915113812e+01 2.297037988145132492e-01 0.000000000000000000e+00
1.443046606178064906e+01 1.346115104339270063e+00 3.438281311832274700e-01 1.254528294796764776e+01 1.952398782904873897e-01 0.000000000000000000e+00
1.420104490785297990e+01 1.234162755837519443e+00 2.368115526886219180e-01 1.258845190751091714e+01 1.416186918159344499e-01 0.000000000000000000e+00
1.551167768685410664e+01 1.216474068737146919e+00 3.726911587601517417e-01 1.370158615974470351e+01 2.209262996121043598e-01 0.000000000000000000e+00
1.591717881581137917e+01 8.806166097329332088e-01 3.553073921630100496e-01 1.446893522758424488e+01 2.123195863312056231e-01 0.000000000000000000e+00
1.435934019732134637e+01 5.210054919951869756e-01 3.285273190774210539e-01 1.333421990482196939e+01 1.755874814267656681e-01 0.000000000000000000e+00
1.279106092799061400e+01 -4.108361594519783777e-01 3.149852603286283359e-01 1.276644283884801645e+01 1.204689882659355227e-01 0.000000000000000000e+00
1.081757184476379585e+01 -1.132261244907706965e+00 2.485068667464079839e-01 1.159957115563280539e+01 1.017550672922905020e-01 0.000000000000000000e+00
8.726353155313224974e+00 -2.121466282633557299e+00 2.984119494969144637e-01 1.047181664942648638e+01 7.759083902339018735e-02 0.000000000000000000e+00
7.830210491481236268e+00 -2.894048254560356082e+00 3.047806227766605702e-01 1.034924027804790647e+01 7.023784521703684003e-02 0.000000000000000000e+00
6.928514709246655912e+00 -4.831751926643951478e+00 2.679856025155686883e-01 1.140174865280848771e+01 9.053238056655038557e-02 0.000000000000000000e+00
5.404833410754881662e+00 -5.980364678641438836e+00 2.359227842336619474e-01 1.105243458814206647e+01 9.684071702059758591e-02 0.000000000000000000e+00
4.690527824241024213e+00 -6.418752825302719067e+00 2.039922655447404809e-01 1.082858011973647905e+01 7.670826426251824148e-02 0.000000000000000000e+00
8.817525577545566762e+00 -4.910857986118350560e+00 3.533251356406921229e-01 1.333743268445434182e+01 3.762574356888807176e-02 0.000000000000000000e+00
8.229969457569158209e+00 -5.313612954521359732e+00 2.760006958299717206e-01 1.315917650469543787e+01 1.084052115651013282e-01 0.000000000000000000e+00
8.482446216925026761e+00 -5.426361786153582223e+00 3.059118950428396655e-01 1.353193623349613439e+01 7.095987453962085412e-02 0.000000000000000000e+00
