Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-4.074992728773326744e-01 -4.961943725851781228e-01 6.717813622229205873e-04 7.093979277795481320e-02 0.000000000000000000e+00 -1.565322533136014299e-04 3.095222909539194298e-03 1.414483491144211645e-02
-5.618663399149346205e-01 -5.933113104051497277e-01 1.469994019236653795e-03 4.564079436313097510e-02 0.000000000000000000e+00 3.842637469234945480e-04 1.040580977313385752e-03 -1.709066261638934880e-02
-5.669650637762395640e-01 -6.396666325444253509e-01 1.141733011357529311e-03 8.382514027123101619e-02 0.000000000000000000e+00 -7.196100255344630293e-05 1.054477547637036258e-03 -1.324782105948645212e-02
-4.830419842072504188e-01 -6.639155898491647667e-01 3.907326545564597325e-05 1.218943518280758698e-01 0.000000000000000000e+00 1.040931515022260230e-03 6.660093789509989029e-04 5.723323965440949707e-02
-4.947810868693367503e-01 -6.750968409873614462e-01 8.738227972908974841e-04 1.340485830040231141e-01 0.000000000000000000e+00 6.490284658351770262e-04 -2.091191616414849342e-03 4.683551146729034165e-02
-5.567821214813950537e-01 -6.949403827337339301e-01 1.451399901249428304e-03 1.294738571726978538e-01 0.000000000000000000e+00 -1.295032028491298511e-03 5.411426032435898365e-04 7.986893603639322672e-03
-4.256059505104933804e-01 -6.470444358032214627e-01 1.147234771271097567e-03 1.767892604715938232e-01 8.592039807560561477e-06 9.562465814865194228e-04 5.452487591130000203e-04 4.199190266945599520e-02
-3.306695357347849695e-01 -5.008080869297029114e-01 3.973764882885980759e-03 1.095748432936083927e-01 0.000000000000000000e+00 -4.321842121818072883e-04 9.446095473186552497e-04 5.607751768328674002e-02
-1.944951977655171027e-01 -4.392202750714116477e-01 3.399496811091584202e-03 1.839552219031399538e-01 0.000000000000000000e+00 2.703241762657737635e-03 2.346346391480701610e-03 5.232077043752447754e-02
-1.323883882679235402e-01 -3.424581797584020371e-01 8.116873797191526694e-04 1.589298055715152591e-01 0.000000000000000000e+00 -3.961506630180809826e-04 1.027358318456391036e-02 4.045086601769819906e-02
-1.643458915704474610e-01 -3.519121092860175160e-01 1.295975609675937982e-03 1.301964131921588552e-01 0.000000000000000000e+00 4.242706287434145664e-04 6.705240108540145953e-03 4.894431817645171490e-02
-2.218470308880072794e-01 -3.575285954336204775e-01 3.371489083984198585e-03 8.607807660650419745e-02 1.293208684564865632e-04 -2.377156016317395954e-04 5.765598915299791939e-03 4.057479467300024317e-02
-2.265359747183496864e-01 -3.729893003412100838e-01 2.058584346793474167e-03 9.601178917815653135e-02 0.000000000000000000e+00 1.767969669412816885e-04 5.071779130234213388e-03 4.313437600073478928e-02
-2.334715941355419710e-01 -3.149506329715952013e-01 1.621043164375578650e-03 5.608904209090243009e-02 1.042642694144821937e-06 -2.787183090667010618e-04 2.826630127806927049e-03 2.121999911934091196e-02
-1.687998292641482712e-01 -3.631460213535267489e-01 1.370264992877532739e-03 1.506539560254632482e-01 0.000000000000000000e+00 -3.222939308709252357e-04 -1.555070406448630859e-04 4.279977204255348139e-02
-1.899044888724719382e-01 -3.533706313067468963e-01 2.795265140132786354e-03 1.071142348372511460e-01 0.000000000000000000e+00 -2.360638080045959091e-04 1.560046520665123041e-03 5.223265974423055291e-02
-1.585525776433630296e-01 -3.546568629502971914e-01 1.856602253441428600e-03 1.434958396807319847e-01 -7.456724832740741730e-05 7.852597859154656929e-04 2.673299402846516636e-03 4.736785143232617040e-02
-1.376174608810641076e-01 -2.539637825514977632e-01 4.011324397696486993e-03 1.244763011332480906e-01 0.000000000000000000e+00 -1.905864603056580862e-04 5.789266924176334796e-03 -1.773998432438161216e-02
-5.135135183299625178e-02 -2.294641999063864735e-01 2.960062975215876652e-03 1.432216930242581343e-01 0.000000000000000000e+00 5.612789599542269237e-05 3.090513073704657422e-03 2.878445110421615216e-02
-3.992963831347262627e-02 -2.182518055324511874e-01 7.674195019049192754e-03 1.307551189293945648e-01 9.386963160459613599e-04 4.869902905167134940e-05 2.736255530167477565e-03 3.616920239526964093e-02
-1.121545009000937954e-01 -2.421110885813537728e-01 2.813370669368715771e-03 8.212677841624929642e-02 -4.643859042367529452e-05 2.011601614926599617e-04 1.517277184870579601e-03 4.334443983970239639e-02
-1.315628750385657297e-01 -2.382560177958776837e-01 3.406261523683998130e-04 7.266371385681648365e-02 -8.283394615437224154e-05 0.000000000000000000e+00 2.643663210217348392e-03 3.112797348406408024e-02
-1.765253945020032467e-01 -2.646640390785609531e-01 1.276407808831742270e-03 6.991646077542108817e-02 -5.193278716865009720e-05 2.234045818715090013e-04 1.861689548775672450e-04 1.658813524272445550e-02
-2.502091331298066934e-01 -3.309704686100590210e-01 3.683741834605245842e-04 7.018481833169326611e-02 1.068911448744635579e-04 0.000000000000000000e+00 1.355538867349027551e-03 8.745712952874998627e-03
-2.473502442868316109e-01 -3.709285081583325039e-01 4.849747504605479535e-03 1.045714773235830175e-01 -2.438928578469894365e-04 0.000000000000000000e+00 1.117998737945387778e-03 1.328293316321384893e-02
-3.551863122705967157e-01 -5.056892717210471622e-01 2.072989912553706553e-03 1.150965627895931265e-01 5.729136920150028995e-04 0.000000000000000000e+00 2.046992789475169782e-03 3.071350026681336082e-02
-4.209076434273898992e-01 -5.503055420662024133e-01 2.093242925200819102e-03 8.403677284051198904e-02 4.000200280983240778e-04 -1.062254773189024142e-04 1.758837053034625376e-03 4.121525126928556743e-02
-3.515723857714341261e-01 -5.486971666376451173e-01 1.552777316489053041e-03 1.305482314757232531e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.367241626762867026e-03 6.365653044723586229e-02
-4.933125628059890078e-01 -6.886133291411057344e-01 2.832000411473075113e-04 1.390019045872729342e-01 0.000000000000000000e+00 -1.379197973177859406e-05 2.766373902783152844e-03 5.326307978364504259e-02
-5.243736366906288637e-01 -7.420929627797645534e-01 1.558352765615695994e-04 1.471292420579003168e-01 -7.775697478787562745e-05 0.000000000000000000e+00 2.071941009026017234e-03 6.844006472043595579e-02
