Total Atlantic Indian Pacific Arctic Southern
-7.687242215590255334e+00 -1.224851160320928750e-01 -1.309357978909972964e-01 -6.705721165490584390e+00 -7.281001361765764290e-01 0.000000000000000000e+00
-1.009452443682846479e+01 -1.389889604707191528e-01 -7.701413517430306943e-02 -8.657615807377624151e+00 -1.220905533805826559e+00 0.000000000000000000e+00
-1.241772363367638654e+01 3.751398213414995353e-01 -6.368003461682453237e-02 -1.064787196629430710e+01 -2.081311454106744563e+00 0.000000000000000000e+00
-1.269119075291311027e+01 2.346711927083168892e+00 -7.657014804980401268e-02 -1.165616327692644560e+01 -3.305169255020026231e+00 0.000000000000000000e+00
-1.270485991706181927e+01 2.589451889074678270e+00 -9.597715935996975478e-02 -1.178920467705121666e+01 -3.409129969725279263e+00 0.000000000000000000e+00
-1.181466466793101588e+01 2.692850345909700849e+00 -2.458270629571515306e-02 -1.032600382427436969e+01 -4.127850086239958749e+00 0.000000000000000000e+00
-1.214920932069469117e+01 3.246007018953421142e+00 -7.351176186523271372e-02 -1.053977794187008499e+01 -4.781926635912790324e+00 0.000000000000000000e+00
-1.259088844552082165e+01 2.431495328662365729e+00 -1.048323718535405236e-01 -9.464192267550286530e+00 -5.453359134779352857e+00 0.000000000000000000e+00
-1.198537896297328587e+01 1.960236781457113997e+00 -1.616981926613128909e-02 -8.206382628052438122e+00 -5.723063297111828263e+00 0.000000000000000000e+00
-1.097059846953462525e+01 1.874086442605275460e+00 -3.746258214031887579e-02 -6.915365136714896721e+00 -5.891857193284690375e+00 0.000000000000000000e+00
-1.151702630383750048e+01 1.379259995245424308e+00 -5.299340989081041675e-02 -6.631651633342699803e+00 -6.211641255849410292e+00 0.000000000000000000e+00
-1.062877689351680921e+01 1.503108751414454769e+00 -2.741669548161860051e-02 -6.485324591180542164e+00 -5.619144358269108075e+00 0.000000000000000000e+00
-1.123346235962373285e+01 1.259632969887427567e+00 -2.403221469254922249e-02 -5.905716259426896819e+00 -6.563346855391708701e+00 0.000000000000000000e+00
-1.086299215662696227e+01 7.979421611291983574e-01 -5.506807993299943881e-03 -5.718853347324468039e+00 -5.936574162438390090e+00 0.000000000000000000e+00
-1.085187172061825400e+01 1.588396832936873837e+00 -3.318642955212834644e-02 -6.426915384158935929e+00 -5.980166739844058554e+00 0.000000000000000000e+00
-9.784963125070675005e+00 2.252221336167379739e+00 -1.589096151911870147e-02 -5.761023624495647866e+00 -6.260269875223301916e+00 0.000000000000000000e+00
-9.175308603633311577e+00 1.845972297555475539e+00 -1.736585845706783288e-02 -5.391072958727832543e+00 -5.612842084003889731e+00 0.000000000000000000e+00
-1.048681216883489142e+01 -2.772956190597226644e-01 -3.797675573790036674e-02 -6.148081203540340489e+00 -4.023458590496911569e+00 0.000000000000000000e+00
-9.025896427270440725e+00 -1.468367891312857276e-01 -4.419883662994762707e-02 -4.977889519696520715e+00 -3.856971281812676899e+00 0.000000000000000000e+00
-8.215748380815155016e+00 3.880654500221208392e-01 -2.365983889899320874e-02 -5.205709643162688138e+00 -3.374444348775600400e+00 0.000000000000000000e+00
-8.643787666044978835e+00 3.894588594307232254e-01 -2.527910009691406584e-02 -5.328744717810981690e+00 -3.679222707567820994e+00 0.000000000000000000e+00
-8.504851695974430470e+00 5.514255546680830733e-01 -1.672339030419217262e-02 -5.080537350410363473e+00 -3.959016509927952399e+00 0.000000000000000000e+00
-7.496299554374049379e+00 6.497811859758119146e-01 -1.444421988830063910e-02 -4.231354806969799931e+00 -3.900281713491759561e+00 0.000000000000000000e+00
-6.678420067812720795e+00 1.325398142519143008e+00 -2.322263347956770099e-02 -4.656542450021240676e+00 -3.324053126831066240e+00 0.000000000000000000e+00
-6.603720626963375473e+00 9.854803838532976146e-01 -2.134449073801576030e-02 -4.542094786700810793e+00 -3.025761733377851925e+00 0.000000000000000000e+00
-5.023400294607324845e+00 8.051707330258855988e-01 -2.033477534472693735e-02 -3.086374920943319111e+00 -2.721861331345159396e+00 0.000000000000000000e+00
-6.232912371247686600e+00 6.294036130990857680e-01 -1.400821933085630994e-02 -2.856632660985569672e+00 -3.991675104030351307e+00 0.000000000000000000e+00
-7.449512940439914743e+00 4.731404542749044484e-02 -2.045719676646024290e-02 -2.887853808985023640e+00 -4.588515980115924542e+00 0.000000000000000000e+00
-7.590771504388036384e+00 5.551818213332313512e-01 -1.176476005702255592e-02 -3.229765936777791779e+00 -4.904422628886456081e+00 0.000000000000000000e+00
-7.971922720968701803e+00 -2.986942425172329219e-01 -1.816080608757230166e-02 -2.798198509938901513e+00 -4.856869162424998443e+00 0.000000000000000000e+00
-7.501220521673852559e+00 -3.945570010152399942e-01 -1.493333523325464721e-02 -2.553409432211598329e+00 -4.538320753213771042e+00 0.000000000000000000e+00
-7.585162679886292558e+00 -1.002437457003065191e+00 -2.970006546920858290e-02 -2.408790569895427947e+00 -4.144234587518593749e+00 0.000000000000000000e+00
-8.023629059667381824e+00 -5.349904675356466077e-01 -2.343775954136913600e-02 -2.711610203608207037e+00 -4.745939023962768566e+00 0.000000000000000000e+00
-6.742404194756178804e+00 -7.016995412492648132e-01 -1.446636846293842919e-02 -2.178093528727240713e+00 -3.848144756316739468e+00 0.000000000000000000e+00
-5.758531173065636999e+00 -9.274205905200197941e-01 4.545450919818396721e-04 -1.880021936937634530e+00 -2.951543190699955410e+00 0.000000000000000000e+00
-5.759378437158514608e+00 -1.137154132336332557e+00 -4.125146684509122669e-03 -1.669356577456768020e+00 -2.948742580680896896e+00 0.000000000000000000e+00
-5.365048349508011682e+00 -1.112559534125470595e+00 -6.563136941016759103e-03 -1.636941915689275717e+00 -2.608983762752249635e+00 0.000000000000000000e+00
-4.931211745708443672e+00 -8.760137899867357358e-01 -7.722748536022310505e-03 -1.545840777839353919e+00 -2.501634429346330180e+00 0.000000000000000000e+00
-4.021084319819336450e+00 -8.569318568495841726e-01 -4.628250555805089005e-03 -1.103937316214341990e+00 -2.055586896199606439e+00 0.000000000000000000e+00
-3.984560783522239635e+00 -6.838843132626168941e-01 -8.407034274288125927e-03 -1.142821042735712611e+00 -2.149448393249628886e+00 0.000000000000000000e+00
-3.225106010210855079e+00 8.279149497904203514e-01 -1.713667092506710073e-03 -1.811553635042478128e+00 -2.239753657866293768e+00 0.000000000000000000e+00
-2.820447756539554263e+00 1.372304197887904476e+00 -9.455665857447114213e-04 -1.938566034253373482e+00 -2.253240353588333189e+00 0.000000000000000000e+00
-1.567908884715451867e+00 1.628478527666708198e+00 -1.097295199733977055e-03 -1.553736556830039195e+00 -1.641553560352386087e+00 0.000000000000000000e+00
-9.079689946424460700e-01 2.035348496152739273e+00 -5.828672023564831529e-03 -1.131542032980699553e+00 -1.805946785790920162e+00 0.000000000000000000e+00
-1.148437239943777222e+00 1.177873225354426845e+00 -2.726426477811006474e-04 -9.266037662517465634e-01 -1.399434056398673576e+00 0.000000000000000000e+00
-5.630601504880516917e-01 1.877327581784025368e+00 8.483694138260137888e-04 -1.183785662854051068e+00 -1.257450438831854811e+00 0.000000000000000000e+00
-7.394199458661643992e-03 2.015484404608064217e+00 -2.139535876425329580e-04 -9.201964431623019802e-01 -1.102468207316782411e+00 0.000000000000000000e+00
1.856010968811645512e+00 2.997707761032410989e+00 -8.603495120012663068e-04 -3.907626966319747708e-01 -7.584655403157304354e-01 0.000000000000000000e+00
2.771862681379960502e+00 3.258024346329714938e+00 2.197249493380140639e-03 -4.108104555903517308e-01 -7.754845885278234541e-02 0.000000000000000000e+00
4.365531156713807093e+00 4.264876730325289245e+00 -1.635095926807290890e-03 -8.595277545146029485e-02 1.882422977667838060e-01 0.000000000000000000e+00
4.255383363568020272e+00 4.056468145768982403e+00 -1.728613794636151089e-03 -2.707316580143808923e-02 2.277169973951103654e-01 0.000000000000000000e+00
4.570719371163602496e+00 4.523918517911215353e+00 -3.607702385195017333e-04 2.467563783695073468e-02 2.248598565395587903e-02 0.000000000000000000e+00
5.008596636405689750e+00 4.946390554088511138e+00 5.334613879034695930e-04 -2.706602612680255801e-02 8.873864705607446834e-02 0.000000000000000000e+00
-2.289996614791630858e+00 -3.141148833758186099e-01 -1.292667092988860700e-03 -7.555895228384631457e-01 -1.218999541484360627e+00 0.000000000000000000e+00
-1.591956705557618923e+00 2.506682668887431076e-01 2.729866735408920239e-04 -4.837183228365956600e-01 -1.359179636283304626e+00 0.000000000000000000e+00
-1.026802703845948850e+00 8.088247223157077892e-01 1.283779250113716497e-03 -3.990965787437666945e-01 -1.437814626668004303e+00 0.000000000000000000e+00
-3.363486732563317205e-01 1.451496730100809707e+00 1.444802833359369869e-04 -5.751371201445542036e-01 -1.212852763495923636e+00 0.000000000000000000e+00
4.416771197788713632e-01 1.675153781496416139e+00 -7.264854280247096639e-04 -1.226314825422406690e-01 -1.110118693747278229e+00 0.000000000000000000e+00
1.651978132438771896e+00 2.624082851515355141e+00 -9.081154966594992550e-03 -1.327096980431488327e-01 -8.303138660668371029e-01 0.000000000000000000e+00
1.978116350877694662e+00 2.704371197131668847e+00 -1.584993465215174687e-04 -1.259885327991330795e-01 -6.001078141083165951e-01 0.000000000000000000e+00
2.539035954364246894e+00 3.143324962650290377e+00 1.872659911467088858e-04 7.157862709727806118e-05 -6.045478529042861426e-01 0.000000000000000000e+00
