Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-1.934443058285078365e+01 -3.526679227960538010e-01 -1.595059849705618982e-01 -1.327378429020853190e+01 -7.667420709724312999e-01 0.000000000000000000e+00 -5.991650883603835132e-01 -4.192565225542821850e+00
-2.601399284413357194e+01 -2.509514838074478060e-01 -1.299302164323557773e-01 -1.797600487206393538e+01 -1.307002945830281426e+00 0.000000000000000000e+00 -7.643852256830002689e-01 -5.585718100316563017e+00
-3.474484700049814734e+01 7.261196719413717804e-02 -9.352785190833368123e-02 -2.481096371607824125e+01 -2.279520413980919535e+00 0.000000000000000000e+00 -7.004918228841682248e-01 -6.932955162840610974e+00
-3.904489809120806143e+01 1.937337508718785406e+00 -8.423990485636667636e-02 -2.890332369805673807e+01 -3.597651343531388601e+00 0.000000000000000000e+00 -8.235582004965399383e-01 -7.573462452985865845e+00
-3.992552792375730775e+01 2.273044770711246443e+00 -1.118682535913570059e-01 -3.043042663773187684e+01 -3.710146130010224308e+00 0.000000000000000000e+00 -1.003331418716378209e+00 -6.942800254418715511e+00
-3.970533841525109864e+01 2.568347701954298845e+00 -3.577322602140236424e-02 -2.962762172115954939e+01 -4.484529766716191190e+00 0.000000000000000000e+00 -7.919185229248195679e-01 -7.304764483352761850e+00
-3.900861983447060766e+01 3.081979007657948522e+00 -9.828180822437254660e-02 -2.823229387450606964e+01 -5.217304755723457532e+00 0.000000000000000000e+00 -9.279224420530625128e-01 -7.614795961621698694e+00
-3.728142509599909715e+01 2.357779317017331788e+00 -9.090942705660888523e-02 -2.596876225326952792e+01 -6.322219271581003497e+00 0.000000000000000000e+00 -9.562842345583545400e-01 -6.301029226550922679e+00
-3.540923027295949765e+01 1.766693443071113867e+00 -6.138118398971453837e-02 -2.266419081699712379e+01 -6.469990618252384529e+00 0.000000000000000000e+00 -1.008200601106871375e+00 -6.972160495684514459e+00
-3.400900648469841769e+01 1.279583594137318148e+00 -1.060415874266208563e-01 -1.971359709477652444e+01 -7.158587127695987817e+00 0.000000000000000000e+00 -1.188792631365737096e+00 -7.121571637570857760e+00
-3.282230530857516726e+01 8.349964404566369014e-01 -6.247894067040467986e-02 -1.895213769452968577e+01 -7.160978549312541297e+00 0.000000000000000000e+00 -1.115247014105837486e+00 -6.366459550413348545e+00
-3.205691777690881139e+01 8.493904265068003001e-01 -2.196646211638661125e-02 -1.846128958469746451e+01 -6.977872163545324469e+00 0.000000000000000000e+00 -1.019036854403162051e+00 -6.426143138653311659e+00
-3.178832405892595503e+01 1.219021518082685995e+00 -5.448384097311801538e-02 -1.697336752520833514e+01 -7.676475047583620537e+00 0.000000000000000000e+00 -1.074406576488644349e+00 -7.228612586754928238e+00
-3.128778665674521164e+01 3.605887771692929955e-01 -1.086598104123329307e-02 -1.679937272510445823e+01 -6.699237538824565519e+00 0.000000000000000000e+00 -9.873602444835519742e-01 -7.151538944460673619e+00
-3.028432914654624497e+01 1.336713814303909231e+00 -4.210933190209422555e-02 -1.584787898529686956e+01 -7.341641313758723086e+00 0.000000000000000000e+00 -1.010416571620793125e+00 -7.378996758271672007e+00
-2.906060980578913089e+01 2.216759522236066537e+00 -2.776777529122843521e-02 -1.467937791405615933e+01 -7.459082812346843561e+00 0.000000000000000000e+00 -1.206230175479665379e+00 -7.904910650851338261e+00
-2.784093750572348469e+01 1.685792452659683915e+00 -2.947739119935158247e-02 -1.385395290059777196e+01 -7.187225788388036385e+00 0.000000000000000000e+00 -1.040779724671563544e+00 -7.415294153526477139e+00
-2.475591865062568431e+01 1.583076462521998407e-01 -5.505666886756186568e-02 -1.405859954874305551e+01 -4.433534089608312634e+00 0.000000000000000000e+00 -8.557637371692636830e-01 -5.511272252489675338e+00
-2.302085628331576928e+01 9.923005464125075892e-02 -5.595965455001065264e-02 -1.218852284301202360e+01 -4.187525667777348026e+00 0.000000000000000000e+00 -7.562595979053767792e-01 -5.931818574712250047e+00
-2.166956761102402851e+01 9.013072251868153861e-01 -3.280319167206750125e-02 -1.297003184756122351e+01 -3.742595824032284746e+00 0.000000000000000000e+00 -6.356999546638260057e-01 -5.189744018281475135e+00
-2.097441758752258778e+01 7.324759180898845479e-01 -3.974140596460673525e-02 -1.209795754989833227e+01 -4.035554544464801552e+00 0.000000000000000000e+00 -8.006298766256312316e-01 -4.733010128659119076e+00
-2.036591153580999602e+01 1.312632092501221592e+00 -2.688741871523742458e-02 -1.186400696404099442e+01 -4.332724156931303305e+00 0.000000000000000000e+00 -7.173107930013947753e-01 -4.737614295622276650e+00
-1.939631958001916701e+01 1.300330455388988726e+00 -1.869242363228694123e-02 -1.143640233974459086e+01 -4.315649151504136860e+00 0.000000000000000000e+00 -6.447085381156378858e-01 -4.281197582411492952e+00
-1.778548641252921669e+01 1.904249585690409363e+00 -2.509111304810997603e-02 -1.091024217267479735e+01 -3.330694692071382690e+00 0.000000000000000000e+00 -6.352559133850251838e-01 -4.788452107040308547e+00
-1.658961872202480592e+01 1.541941989267159530e+00 -2.361917910100727602e-02 -1.037243674450679798e+01 -2.962231028406042910e+00 0.000000000000000000e+00 -6.220548296390387977e-01 -4.151218929639064470e+00
-1.617735526564850801e+01 9.706809918558562122e-01 -2.480285183289855644e-02 -5.998127779741520449e+00 -3.697159278678175287e+00 0.000000000000000000e+00 -7.670819329404038323e-01 -6.660864414311371107e+00
-1.880059501210143580e+01 1.830779180569294950e-01 -3.581614817434489173e-02 -6.165010070077866722e+00 -5.148332265646942574e+00 0.000000000000000000e+00 -8.299761117102262276e-01 -6.804538334548970724e+00
-2.057198262400953936e+01 -7.094669472553912781e-01 -1.702407595860093090e-02 -5.904738645089531168e+00 -5.692204067249846844e+00 0.000000000000000000e+00 -7.486700817484688297e-01 -7.499878806707702239e+00
-2.203071199130760505e+01 -3.788262576008326055e-01 -1.769367921396779522e-02 -6.252050972773033344e+00 -6.455780590601079894e+00 0.000000000000000000e+00 -7.981227043896387263e-01 -8.128237786729025416e+00
-2.327358292101603965e+01 -1.543496885343051073e+00 -3.133375203175674945e-02 -6.336093711928621808e+00 -6.090495134985589587e+00 0.000000000000000000e+00 -8.016114312049599233e-01 -8.470552005522067773e+00
-2.374167851603035473e+01 -1.529135547345008117e+00 -6.572651262571910236e-02 -6.009386609019893299e+00 -6.253239626910096938e+00 0.000000000000000000e+00 -8.335899758515751268e-01 -9.050600244278070861e+00
-2.313516304047574934e+01 -2.273389046639166189e+00 -3.090319913465179244e-02 -5.272821635839437526e+00 -6.023385848261337827e+00 0.000000000000000000e+00 -8.335679905273746249e-01 -8.701095320073772399e+00
-2.218841946701122581e+01 -1.861291639504007334e+00 -2.414810613240480838e-02 -5.059249069719860437e+00 -6.540336581442894648e+00 0.000000000000000000e+00 -8.441244913763134017e-01 -7.851617973816352958e+00
-2.135372333072444206e+01 -2.130014231587923579e+00 -1.456708606931722723e-02 -4.927801991414803240e+00 -5.662600883117355544e+00 0.000000000000000000e+00 -7.508683194137584227e-01 -7.867870819121264958e+00
-2.060703709741631329e+01 -2.938097151996839074e+00 5.871900082445430629e-05 -4.569356528842614118e+00 -4.839375996582411688e+00 0.000000000000000000e+00 -6.874247647140243611e-01 -7.572841374281215288e+00
-1.980839593481273297e+01 -3.100461505374739524e+00 -6.629473824004778783e-03 -4.064448039457844608e+00 -4.963906301840652624e+00 0.000000000000000000e+00 -7.059270651285173281e-01 -6.967023549186948550e+00
-1.858029531923543587e+01 -2.712853185270745815e+00 -1.096289732502764465e-02 -3.959791691922752044e+00 -4.276151961485862074e+00 0.000000000000000000e+00 -6.013259138976837503e-01 -7.019209669333358548e+00
-1.727443679065903481e+01 -2.573863106332455963e+00 -9.344093092461525779e-03 -3.723517854125610871e+00 -4.036895543033948819e+00 0.000000000000000000e+00 -4.232610254650912007e-01 -6.507555168609446383e+00
-1.606767116584350674e+01 -2.600453765033441833e+00 -5.190224475041353702e-03 -3.161037829464526272e+00 -3.832331990271123257e+00 0.000000000000000000e+00 -3.149600533682487269e-01 -6.153697303231132842e+00
-1.410260245293045145e+01 -1.834503760800257677e+00 -1.227079217511756540e-02 -2.958300436581606796e+00 -3.903069852498958436e+00 0.000000000000000000e+00 -3.176299884664643969e-01 -5.076827622408051965e+00
-1.347260365104518343e+01 6.436257449967364153e-01 -3.502703706805292052e-03 -4.644315154057127693e+00 -4.038254336595043625e+00 0.000000000000000000e+00 -5.089933445654026833e-01 -4.921163857117550222e+00
-1.106023417907732487e+01 1.686287015499988717e+00 -4.884177130468395599e-03 -4.084376562563981850e+00 -4.094673636658768601e+00 0.000000000000000000e+00 -4.370398839380750244e-01 -4.125546934286023593e+00
-8.539359900857743213e+00 2.660932325472798343e+00 2.903485980246460312e-04 -3.527739094056930647e+00 -3.221990805274859149e+00 0.000000000000000000e+00 -3.691203686798683048e-01 -4.081732306916907582e+00
-5.772997269599824399e+00 3.930272254930514464e+00 -8.264849000652847028e-03 -3.417427087580631628e+00 -3.288104503386235944e+00 0.000000000000000000e+00 -3.495985650985891091e-01 -2.639874519464223912e+00
-2.353379732844624428e+00 3.630205198947215717e+00 -1.871448150971324854e-04 -2.758468068665168804e+00 -2.181780361987036176e+00 0.000000000000000000e+00 -3.592051495051461485e-01 -6.839442068193894997e-01
-9.349723930595624788e-01 4.494389823910259985e+00 1.043553610536665944e-03 -2.600742714102544539e+00 -2.221566200111849465e+00 0.000000000000000000e+00 -2.666788191192100421e-01 -3.414180372467517932e-01
