Total Atlantic Indian Pacific Arctic Southern
-7.322504135097336331e+00 -1.330409842113025043e+00 -4.444903526700445973e+00 6.678374109133759784e-02 -1.613974507375198986e+00 0.000000000000000000e+00
-7.045179850724825776e+00 -1.389031231541661082e+00 -3.884281772003750799e+00 6.730008231254133721e-02 -1.839166929491950819e+00 0.000000000000000000e+00
-7.031246634728029576e+00 -1.327008570413418020e+00 -3.403972390869787645e+00 -3.265684279537722084e-02 -2.267608830649446183e+00 0.000000000000000000e+00
-6.517803351734375639e+00 -1.177636950391248494e+00 -3.191759784877013395e+00 1.038379228983317935e-02 -2.158790408755955070e+00 0.000000000000000000e+00
-7.749970454377406170e+00 -1.475693308443510432e+00 -3.293808221694203286e+00 8.084734023120129787e-02 -3.061316264470893334e+00 0.000000000000000000e+00
-6.599988299166118288e+00 -1.359918596989826423e+00 -3.188298885798046989e+00 1.071742012611999195e-01 -2.158945017639442465e+00 0.000000000000000000e+00
-5.706686577565254659e+00 -1.330174848856735759e+00 -2.526635811206897841e+00 2.129153526444372852e-03 -1.852005071028065109e+00 0.000000000000000000e+00
1.443358198951775195e+00 2.200667692345041893e-01 8.785609313611569826e-01 5.286914480694309137e-01 -1.839609497133153082e-01 0.000000000000000000e+00
1.118830005296027164e+00 2.840194676684586472e-01 8.013753935227891922e-01 6.716362520328865715e-01 -6.382011079281082466e-01 0.000000000000000000e+00
1.064311603168234255e+00 1.873117699065020847e-01 9.200666436666141701e-01 7.596886181469874044e-01 -8.027554285518703203e-01 0.000000000000000000e+00
7.306383100902690275e-01 3.039459266526965964e-01 8.517986708931953865e-01 5.434378969487284605e-01 -9.685441844043514159e-01 0.000000000000000000e+00
7.709329789522268994e-01 3.033478062778847129e-01 9.666310137456296525e-01 5.374710662734748512e-01 -1.036516907344763316e+00 0.000000000000000000e+00
3.519222671588036477e-01 2.908452836910148109e-01 9.012626911669482377e-01 4.227108009082655160e-01 -1.262896508607423973e+00 0.000000000000000000e+00
