Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-1.187313327104213201e+01 -1.053517604600605928e+01 -4.622688309899582570e+00 -5.171651547576034957e-01 0.000000000000000000e+00 8.982894575064873877e+00 -5.980520348754606594e-04 -5.158098480332694358e+00
-1.084011473620424049e+01 -9.011723444106284120e+00 -6.008101750737604441e+00 -5.531893537468390853e-01 0.000000000000000000e+00 9.705668186099032368e+00 -6.780256747209161428e-04 -4.972090348037811580e+00
-1.031188316425353868e+01 -7.230850616976661094e+00 -6.655161915344304902e+00 -5.276756258851355019e-01 0.000000000000000000e+00 1.002123991566156569e+01 -7.621321042991723808e-04 -5.921545275884962045e+00
-1.113468478596742628e+01 -7.129999069425284830e+00 -8.601033224484869066e+00 -5.734518105994774739e-01 0.000000000000000000e+00 1.054665072067592924e+01 -6.205807247471064290e-04 -5.376287312755445136e+00
-1.206532441455634697e+01 -6.052715463408429031e+00 -1.057301666668834450e+01 -6.093037275459818325e-01 0.000000000000000000e+00 1.157055024229124562e+01 -6.011264788416283535e-04 -6.394557891463507282e+00
-1.266039859172283144e+01 -5.925426985996782747e+00 -1.278359340562613866e+01 -6.962703218267329852e-01 0.000000000000000000e+00 1.311626987946328882e+01 -7.460232898922979474e-04 -6.370631734446615013e+00
-1.439807038303537112e+01 -6.954156467242673223e+00 -1.468505893621345315e+01 -6.601628117043233379e-01 0.000000000000000000e+00 1.432226873384488108e+01 -7.785451962861287970e-04 -6.437310327881504257e+00
-1.869287200039940089e+01 -7.445393233686855794e+00 -1.997181820941221631e+01 -3.593917153174902013e-01 0.000000000000000000e+00 1.489769246506909361e+01 -7.579989756259235441e-04 -5.813203308076356102e+00
-2.407016986522932811e+01 -7.639480141929885448e+00 -2.487012350004788885e+01 -6.993141407857020875e-01 0.000000000000000000e+00 1.535269031716419086e+01 -7.394348681090657203e-04 -6.235122988182592252e+00
-2.930658106737698176e+01 -7.737257911493197859e+00 -3.019687615413556969e+01 -8.325767441404946512e-01 0.000000000000000000e+00 1.593070670655054677e+01 -7.242187006981318925e-04 -6.465621919714780397e+00
-3.417224705909198690e+01 -7.322981253178549643e+00 -3.640081438025285365e+01 -5.226164230191888693e-01 0.000000000000000000e+00 1.692419733745188637e+01 -7.210936655153344808e-04 -6.872302273232173242e+00
-3.862981105433296136e+01 -7.550981723241661392e+00 -4.045071361530602161e+01 -6.362034748335060330e-01 0.000000000000000000e+00 1.673906736482524948e+01 -5.583764377917833704e-04 -6.730421229339249578e+00
-4.336954981316893765e+01 -7.628600833932290826e+00 -4.387346463105311756e+01 -1.665187042451920507e-01 0.000000000000000000e+00 1.610815069267527022e+01 -5.604246533197601750e-04 -7.801884937939759013e+00
-4.677738424709772858e+01 -8.043790911103494423e+00 -4.774318216759719036e+01 -4.314222077499627050e-01 0.000000000000000000e+00 1.639976186396259550e+01 -1.239784397897051964e-03 -6.943884908168306502e+00
-4.983517063030344474e+01 -6.452605771503329812e+00 -5.212042465270750569e+01 -6.871221385675662097e-01 0.000000000000000000e+00 1.614445436668174594e+01 -8.387178779546391105e-04 -6.718633716328814565e+00
-5.277538640715236795e+01 -7.288615027788932998e+00 -5.342702630868427605e+01 -6.212827289454228019e-01 0.000000000000000000e+00 1.534084499338126406e+01 -9.761903897383896085e-04 -6.775890836289347519e+00
-5.597694467615761482e+01 -6.345334642616517584e+00 -5.786023420742353807e+01 -2.617146922297664546e-01 0.000000000000000000e+00 1.515067383610784013e+01 -9.081907526329328819e-04 -6.666799097438831367e+00
-5.855808215039768783e+01 -5.846329148453600411e+00 -5.952725291397157292e+01 -7.146990120375826816e-01 0.000000000000000000e+00 1.493700554484153287e+01 -8.129303977576667669e-04 -7.405993690378811500e+00
-5.933375010447308995e+01 -5.849277021367215390e+00 -6.099366128927476893e+01 -9.677156456456438294e-01 0.000000000000000000e+00 1.505022015391085866e+01 -8.095529362688272824e-04 -6.571000899262293693e+00
-6.010624597920851642e+01 -5.400751885496190674e+00 -6.223844434724809815e+01 -5.656535932357527052e-01 0.000000000000000000e+00 1.440657099534171337e+01 -6.889335170311062682e-04 -6.307278215053236714e+00
-5.979130311100850292e+01 -5.581049367426460961e+00 -6.187311656834467755e+01 -6.441573141059643293e-01 0.000000000000000000e+00 1.401071801561619345e+01 -7.451344517647096781e-04 -5.702952742295851252e+00
-5.931972799917080863e+01 -4.917059424339316642e+00 -5.996825410973865900e+01 -4.474362774006393484e-01 0.000000000000000000e+00 1.284653291164966760e+01 -7.859075876872771748e-04 -6.832381360796576431e+00
-5.800371997258702095e+01 -4.360562663535962891e+00 -6.054510398083149170e+01 -6.999517493785786248e-01 0.000000000000000000e+00 1.330512398811700159e+01 -6.374535858490059824e-04 -5.696784826725660444e+00
-5.627755253268114188e+01 -4.042044610249644343e+00 -5.927857176567048469e+01 -6.958832434930859456e-01 0.000000000000000000e+00 1.354582532943480366e+01 -7.906573743926139730e-04 -5.803038039837400852e+00
-5.492227378276830052e+01 -3.252019674233595392e+00 -5.982871286119141274e+01 -5.232379061265323150e-01 0.000000000000000000e+00 1.368745286879470413e+01 -7.660923106885550796e-04 -5.004990117700711671e+00
