Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-2.091016914258936055e+01 2.631422924120418658e-02 6.834920633893810660e+00 -3.735958439376251050e+01 0.000000000000000000e+00 1.747193979520663132e-01 3.621145480289151859e-03 9.409839844605782488e+00
-2.476315059079059466e+01 -6.761195017175891143e-04 7.646944950441220357e+00 -4.254537767304879736e+01 0.000000000000000000e+00 5.305470061769599344e-01 2.311857519864739209e-04 9.605180059389720526e+00
-2.566469027059326891e+01 1.776429290032008890e-01 6.214878100014395557e+00 -4.319722752528817011e+01 0.000000000000000000e+00 7.192719849779810604e-01 1.481671065780008770e-03 1.041926256963355968e+01
-2.381786630270223881e+01 1.900049874740505906e-01 7.482972379619228676e+00 -4.212030189678115022e+01 0.000000000000000000e+00 2.514809019558871261e-01 3.935397559658421369e-03 1.037404192747013632e+01
-1.871286110979027839e+01 1.438680980530138154e-01 7.212325508541112207e+00 -3.767650835192418413e+01 6.201093205859959637e-05 1.336610069464679862e+00 1.518615798721749616e-03 1.030070729864686996e+01
-1.369933246603637045e+01 -1.942843840538598446e-02 7.441168892106858834e+00 -3.312273089664711989e+01 0.000000000000000000e+00 1.778729608381143468e+00 4.512966722802561927e-03 1.021841540180542829e+01
-7.671933743886060419e+00 1.945732204915978092e-01 6.851957993892240140e+00 -2.960865463152475741e+01 0.000000000000000000e+00 3.858453439713295463e+00 1.718016874470291696e-03 1.103001821666707016e+01
-1.411164979847000511e+00 2.891337300211339056e-01 8.076544832232793070e+00 -2.556654942609875292e+01 0.000000000000000000e+00 4.590563950812316385e+00 4.880354289197296261e-03 1.119426157889630957e+01
4.739589738774977690e+00 3.763447053195960734e-01 6.946835961294659967e+00 -1.990983846047895867e+01 0.000000000000000000e+00 4.775504515056717914e+00 1.413967282067807611e-03 1.257111304816801045e+01
8.423502879018332834e+00 3.664259214376567875e-01 8.025320264908080148e+00 -1.762467086291220753e+01 0.000000000000000000e+00 6.014079794897846831e+00 4.942049729796253385e-03 1.163740571095718579e+01
9.518744315041725912e+00 5.575871947443815646e-01 9.100924241175254892e+00 -1.803468671145378721e+01 0.000000000000000000e+00 5.536709601076325704e+00 7.332064370725218869e-03 1.235087792512884697e+01
-1.083024577772227026e+01 2.941043494106126976e-01 2.109991482609625546e-01 -2.134974033018760409e+01 0.000000000000000000e+00 7.622970487531705253e+00 4.097153228730039979e-04 2.391010851939200155e+00
-1.076259859959160714e+01 1.650101090565314343e-01 1.184348234265967026e+00 -2.245890928181140467e+01 0.000000000000000000e+00 7.246773170687432319e+00 8.223479699297207878e-05 3.100096933412861411e+00
-9.014592308341359939e+00 3.343129151040661329e-01 8.175960615184022506e-01 -2.039953358397242056e+01 0.000000000000000000e+00 7.558123945142535938e+00 1.141027209940976222e-04 2.674794251145065971e+00
-4.844409613030559392e+00 4.044427211224945196e-01 1.045567944111702063e+00 -1.797769952988866393e+01 0.000000000000000000e+00 8.230270593142934743e+00 1.263033850274816045e-04 3.452882355095957312e+00
1.583888060026211964e+00 5.420870015305648826e-01 1.653178327607677689e+00 -1.269344038277887243e+01 0.000000000000000000e+00 8.439898212908671482e+00 4.018355458335004320e-04 3.641763065212326289e+00
9.114923468203647516e+00 7.083090435855320388e-01 8.741871961550332415e+00 -2.300356620616353354e+01 0.000000000000000000e+00 1.012045809061696744e+01 5.351244534923828115e-03 1.254249933407940176e+01
1.257000678449247921e+01 6.441810852301760315e-01 8.217436681848655056e+00 -1.979940881378908912e+01 0.000000000000000000e+00 1.028638368461496988e+01 7.239138316557159822e-03 1.321417500827122993e+01
1.729349831900372436e+01 8.614301821852147212e-01 7.646404074689445274e+00 -1.623645062427817720e+01 0.000000000000000000e+00 1.191159419072670289e+01 3.076244078709359023e-03 1.310744425160185500e+01
2.295523079098116881e+01 8.253097592082391243e-01 7.815514066458879583e+00 -1.181615456161242683e+01 0.000000000000000000e+00 1.292607531806505250e+01 3.121110048666457439e-03 1.320438587353418747e+01
