Total Atlantic Indian Pacific Arctic Southern
-5.134770006765219247e-02 -1.596811057659322519e-01 5.002901414300057505e-04 1.077734331616972546e-01 -3.860814218649663327e-04 4.457638170177988550e-04
-8.661967522694020982e-02 -1.457699587009302911e-01 8.097412985713487409e-04 5.896524937669953698e-02 -3.376318080525096362e-04 -2.870753932283303484e-04
-9.241683369009662252e-02 -1.465726950651896898e-01 6.993556938604242508e-05 5.331254801764291618e-02 1.076464141782867929e-04 6.657313738858271646e-04
-9.178706411701015311e-02 -1.826763012248949769e-01 1.589137380846273803e-04 9.098283155811898171e-02 -1.185184982725837489e-05 -2.406563384915197065e-04
-7.855300120049640844e-02 -1.678732854254126328e-01 3.698207032674461566e-04 8.861586117692285547e-02 -2.737362955148545671e-05 3.619759742774336891e-04
-2.029902303836312594e-01 -2.671661521225944802e-01 2.335037094951939850e-03 6.275603357637042634e-02 2.310641539256930827e-04 -1.146213086284867148e-03
-1.795700629490426248e-01 -2.388351468817879464e-01 1.291893111198619444e-03 5.850420224080347259e-02 2.720716314038255771e-04 -8.030830506605258047e-04
-2.103016337551321391e-01 -2.702611048753480461e-01 4.325854272783529776e-04 6.025388949620255619e-02 5.110591186675071500e-04 -1.238062921932507176e-03
-2.399276233672398562e-01 -2.834549958369746436e-01 9.691382924721950393e-04 4.259500758546504173e-02 2.459785776672209650e-04 -2.827519858697262727e-04
-2.153814527137846990e-01 -2.550314726175941238e-01 1.383930819165666735e-03 3.882366122999186819e-02 2.821885203620260948e-04 -8.397606657101665132e-04
-1.946928226299558251e-01 -2.242480694037375377e-01 2.867824823291903989e-03 2.663039600291718795e-02 9.054728992096096254e-05 -3.352134234830835246e-05
-1.873977560187182201e-01 -2.378217632833066197e-01 3.177496017595960419e-03 4.699988146026410490e-02 2.040906633295810546e-05 2.262207203953594539e-04
-1.578852646592815434e-01 -2.043224909263267330e-01 6.093081938862841829e-03 3.943798906505962404e-02 2.548412102333247759e-05 8.806711420994186830e-04
-1.665311558249835955e-01 -2.059988133021478929e-01 4.549027693993926320e-03 3.505367210680387924e-02 1.165349155979065126e-04 -2.515772392313715363e-04
-7.809934573944138370e-02 -1.752392340283404903e-01 4.261691793864869526e-04 9.641287335237458400e-02 1.861187425385902217e-04 1.147270145994749369e-04
-3.854355368119979225e-02 -2.114108240612004308e-01 3.125030869503297049e-03 1.693536257769604758e-01 3.886137335368840132e-04 0.000000000000000000e+00
-8.103554811555042925e-02 -2.115983504008361327e-01 1.012999975183788860e-04 1.305096126047798344e-01 0.000000000000000000e+00 -4.811031701245994171e-05
-4.526575269805304530e-02 -1.526379586885707740e-01 5.501245939603071657e-03 1.025237276528815911e-01 -6.527676019669786034e-04 0.000000000000000000e+00
-1.517849390344664651e-01 -2.243557108041657755e-01 3.384415754179906453e-03 6.878009727026927755e-02 4.062587452500956292e-04 0.000000000000000000e+00
-2.083737914241838851e-01 -2.481543729468478621e-01 4.176850889545421879e-03 3.570497691475805341e-02 6.946027713779244007e-05 -1.707065587773007038e-04
-2.062803657832552873e-01 -2.730177107674998660e-01 1.506017021344292339e-03 6.519743183943056686e-02 3.389612346976197060e-05 0.000000000000000000e+00
-1.040173167609689808e-01 -1.946739268007600943e-01 2.340626736049897846e-03 8.794948392056405051e-02 5.535186871530280769e-04 -1.870193039758804839e-04
-6.891723405337345232e-02 -1.474415275028475580e-01 1.236375770625813874e-03 7.724690402633212216e-02 4.101365251613057366e-05 0.000000000000000000e+00
3.800395763863933379e-02 -8.775223998709437423e-02 5.888457063130817567e-04 1.250407120732217048e-01 1.266398461988937842e-04 0.000000000000000000e+00
-3.697401645295321905e-05 -9.255182987876746370e-02 4.240472027092444512e-04 9.176261987966703726e-02 5.700584571453108055e-05 2.711829342237045471e-04
3.493927174740009411e-02 -5.032998068597888119e-02 6.249611561340283903e-04 8.469177585313057699e-02 -1.237414910864834324e-05 -3.511042677699186698e-05
-8.730228801028534769e-03 -9.048432186082193407e-02 2.449738781488702984e-04 8.130470298837642884e-02 4.373360218876797944e-04 -2.329198286195436371e-04
-3.582226515112264115e-02 -9.574848744072815554e-02 3.438867535503539589e-04 5.926826596700605909e-02 4.932939355457198949e-04 -1.792243664966236484e-04
-5.551380276445058021e-02 -1.166923458307686234e-01 3.511325666365516839e-04 6.064329431362188577e-02 7.914083961423952094e-05 1.049753464453925735e-04
-5.181144628744488445e-02 -1.085600931333797342e-01 -1.475784796443641998e-04 5.779209476792651623e-02 -7.393009221599560073e-05 -8.219393501312846888e-04
-8.749756568455726094e-03 -7.440411717203600228e-02 2.182039446535829618e-04 6.540063757338536454e-02 1.418087818183007237e-05 2.133820735951482431e-05
-3.316229826929423252e-02 -7.168270661928112519e-02 7.017334867579092461e-05 4.167949860133564333e-02 0.000000000000000000e+00 -3.229263600024537013e-03
-3.677800787803000432e-02 -8.728725517006800938e-02 -3.185899643281066068e-04 5.310702850466557379e-02 -5.383192501482558356e-04 -1.740871998151192731e-03
-8.148590924769016919e-02 -1.160092850893647831e-01 4.264749673592373473e-04 3.640028124582850994e-02 7.590415701233433775e-05 -2.379284528525476596e-03
-1.045227817022818390e-01 -1.440359408199923530e-01 5.362806262561144530e-05 3.955147973234972303e-02 0.000000000000000000e+00 -9.194867726479891124e-05
-1.416900793350583665e-01 -1.985647954918604019e-01 -3.175900065370171029e-04 5.705205694846644804e-02 2.726636166836706831e-04 -1.324144018110790888e-04
-1.214303723164696092e-01 -1.869986689082100695e-01 9.826296224757645643e-04 6.364525711063390156e-02 4.272535551114718146e-04 5.131563035192955981e-04
-1.218186644917899075e-01 -1.821513238008187208e-01 1.774783706532656212e-03 5.814357337820163368e-02 1.852660383006458260e-03 -1.438358158711942935e-03
-1.549017175949750080e-01 -2.073960800953853489e-01 6.382884570850882967e-04 5.214881439131928420e-02 3.271684063543098698e-04 -6.199087543483168452e-04
-1.308822483351498034e-01 -1.803470443445487625e-01 4.112913406777902211e-04 4.902893070401106307e-02 7.100233322074316230e-05 -4.642836851063741383e-05
-1.218988654454249421e-01 -1.905950704859912803e-01 4.412695434950939205e-04 6.824085921989064829e-02 1.407627718058121541e-05 0.000000000000000000e+00
-9.140802133132329421e-02 -1.746802271256292782e-01 5.062117468113389073e-04 8.257636701422294001e-02 1.597809229473898653e-04 2.984611032435052782e-05
-1.610397475240129272e-01 -2.321625994532378334e-01 -5.177128540388821552e-05 7.109517316985154711e-02 0.000000000000000000e+00 7.945004477724239972e-05
-1.125036773337829282e-01 -1.977522805193827615e-01 1.068614729768031226e-03 8.463716075440694264e-02 0.000000000000000000e+00 -4.571722985751554779e-04
-1.867010748895565064e-01 -2.388753659511843874e-01 5.351928680107880107e-04 5.158823945061952188e-02 0.000000000000000000e+00 5.085874299760781539e-05
-1.677442906295696368e-01 -2.227553505188800687e-01 4.110765982729559624e-05 5.513053318878472636e-02 0.000000000000000000e+00 -1.605809593016167510e-04
-1.291344040349111100e-01 -2.046223696697682393e-01 1.439806323059997554e-04 7.534398500255115594e-02 0.000000000000000000e+00 0.000000000000000000e+00
-7.119397187623253964e-02 -1.733659385102495065e-01 7.937256621712450357e-04 1.013782409718456956e-01 0.000000000000000000e+00 0.000000000000000000e+00
-2.751673272618204366e-02 -1.398174376613190439e-01 1.512950282611191712e-03 1.100688433831173429e-01 7.189112694084504387e-04 0.000000000000000000e+00
-8.566182051568400901e-02 -1.850183549358932755e-01 1.864046331279658499e-03 9.789077296745395118e-02 0.000000000000000000e+00 -3.982848785243966734e-04
-9.073378280162319731e-02 -1.899238360638723921e-01 1.297618655030014119e-03 9.847440169615757910e-02 0.000000000000000000e+00 -5.819670889384219144e-04
-9.103028507081997733e-02 -1.833758256896076966e-01 3.079646286603869121e-04 9.215450458400799294e-02 2.732152504450529261e-04 -3.901438443256623591e-04
-9.296076470546629777e-02 -2.274488288449646733e-01 3.582937924366281775e-04 1.341297703470617220e-01 0.000000000000000000e+00 0.000000000000000000e+00
-1.161860904438685588e-01 -2.233216153334846021e-01 9.974409603133347572e-04 1.061380839293026984e-01 0.000000000000000000e+00 0.000000000000000000e+00
-1.718617479742239051e-01 -2.581881403727168678e-01 9.879890537992511764e-04 8.311625200625019638e-02 1.514325789568924524e-03 7.078255488745223640e-04
-2.351002699298746501e-01 -2.913974318665382146e-01 1.294746526674255850e-04 5.701153351410461617e-02 0.000000000000000000e+00 -8.438462301084794556e-04
-1.705111192949770038e-01 -2.648451776254877044e-01 5.334189821500092375e-04 9.389923771346726789e-02 -1.220839225299641836e-05 -8.638997285351454635e-05
-1.290889692358981600e-01 -2.259190339535951109e-01 6.024358842841218533e-04 9.618660678173174272e-02 4.102205168105843444e-05 0.000000000000000000e+00
-1.215654356123068436e-01 -1.965804837846901465e-01 5.600392891226072803e-04 7.388639842548502812e-02 -8.902946605181589102e-05 6.576399238274223402e-04
-1.040012094555980843e-01 -1.382498082539516115e-01 9.601401805932259807e-04 3.379485854634865782e-02 0.000000000000000000e+00 -5.063999285883479667e-04
-1.325032758249370668e-01 -1.520774747352138523e-01 1.889477809917950173e-04 1.910831370531040907e-02 0.000000000000000000e+00 2.769374239745544066e-04
-1.772444989146460814e-01 -2.446803836707287239e-01 3.259708728685055271e-04 6.710222030792629966e-02 0.000000000000000000e+00 7.693575287866032900e-06
-1.005175325211091902e-01 -2.080568526781947924e-01 9.681634339803380689e-04 1.067954054834787669e-01 -2.080671626869388024e-04 -1.618159768660477101e-05
-1.476284880677940781e-01 -2.236736105460342128e-01 1.228352232059971979e-03 7.462351099261492482e-02 5.608656899971228106e-05 1.371726845655202309e-04
-5.893894251521313021e-02 -1.164538803452068033e-01 1.842475925215086234e-04 5.732703111848760219e-02 0.000000000000000000e+00 3.659118984557226639e-06
-5.497483410884072830e-02 -1.182258461237884889e-01 7.108524303378229835e-04 6.258688353772857982e-02 2.554724078820014180e-04 -3.021963610006234017e-04
-7.070284834645758354e-02 -1.145153691869562479e-01 1.801271272956369814e-05 4.261854041070450155e-02 0.000000000000000000e+00 1.175967717064581525e-03
-8.081555738895615515e-02 -1.575955803831224633e-01 3.196045177438253766e-04 7.906493189927688015e-02 9.979047148473365225e-05 -2.704303894339145625e-03
-4.883134900068485801e-02 -2.009470638366260276e-01 1.220189550181190749e-03 1.511775729134006430e-01 0.000000000000000000e+00 -2.820476276406584182e-04
-2.766839267714083297e-02 -1.587475048278707557e-01 9.268294191487908701e-04 1.389312790234413786e-01 0.000000000000000000e+00 -8.778996291860290124e-03
-2.460422756107327399e-02 -1.507331226441618321e-01 2.978062931433761787e-04 1.311275865678546426e-01 0.000000000000000000e+00 -5.296497777909432887e-03
-8.141355478734075678e-04 -1.482956895110771889e-01 3.584794790421994004e-03 1.454281446541264011e-01 8.416268835126357144e-04 -2.373012364857258420e-03
-4.187693643355415440e-02 -1.524079616947449367e-01 1.333324903268176499e-03 1.083466170114406740e-01 1.968372821084867440e-04 6.542460643734174415e-04
-8.848018439785051981e-02 -1.642735706230634973e-01 1.421506330944290316e-03 7.471741716746348183e-02 2.451224707896287598e-04 -5.906597439844044626e-04
-6.523107978165063048e-02 -1.488200817606450954e-01 1.727198186707675897e-03 8.156362706850781019e-02 2.390783193753643883e-04 5.909840440363098009e-05
-7.723698742700858821e-02 -1.311668641081449871e-01 2.588488633459022983e-03 4.934932386536791671e-02 1.030103428949054106e-03 9.619607533603934764e-04
-3.615739428456161975e-02 -9.166493033702129145e-02 1.324663510220933441e-03 4.654088212876920233e-02 2.263221892404879317e-03 5.378768521064633198e-03
-5.511423350020038664e-02 -1.018773339575491654e-01 1.288131931233763797e-03 4.278079550537572384e-02 1.941110791994797450e-03 7.530622287445265560e-04
-1.865905944164034796e-02 -1.230024371785349568e-01 4.424265832667889642e-03 9.618489361261101100e-02 1.802579474595804613e-03 1.931638817019881499e-03
-2.813067713182827723e-02 -1.186730509667129757e-01 1.454301203849124287e-03 8.808766895279686315e-02 4.945506510144005502e-04 5.058530272243278369e-04
4.088028757804448854e-02 -7.729410838985960319e-02 1.520430649391760767e-03 1.164229396069461075e-01 -4.499537654921091060e-04 6.809794770583284555e-04
5.162893782635945977e-02 -5.164925117419359724e-02 1.716971735760022431e-03 1.006291873033622053e-01 3.465088751800482069e-04 5.855210862507696356e-04
7.544559717739619809e-02 -6.616114694497601811e-02 2.172717712793475510e-03 1.396527818988416436e-01 -4.207341564249359117e-04 2.019786671620624218e-04
3.586637894560903289e-02 -7.397046332960177661e-02 1.008042731640017677e-03 1.081624267592443123e-01 5.265088407857049149e-04 1.398639435408001236e-04
3.616008014877748061e-02 -8.048738917188646980e-02 2.939668749721936758e-03 1.120956317321721851e-01 5.896291971852899490e-04 1.022539641584550504e-03
5.801690675181377099e-02 -5.067958101539296600e-02 1.544685778770801821e-03 1.053909191613520702e-01 3.392014833298543502e-04 1.421681343754015430e-03
9.695307236490439962e-02 -5.384453343636416700e-02 5.800016904263073994e-03 1.444500006773147271e-01 3.449862565900817355e-04 2.026019631006648731e-04
5.907196257085916419e-02 -3.443853767875421773e-02 2.564591229645887989e-03 8.958836991194547850e-02 1.327790706293713319e-03 2.974840172830371635e-05
6.383748649090026372e-02 -2.803869935371996330e-02 2.227527067119332207e-03 8.859392904084545384e-02 2.307230381142511553e-04 8.240066985411969571e-04
