Total Atlantic Indian Pacific Arctic Southern
-6.675697905750468085e-03 2.774917254777344369e-02 -4.366111173491617984e-04 -3.183069695089450757e-02 -2.157562385280229183e-03 0.000000000000000000e+00
3.351515859944487891e-02 5.758280835335315151e-02 -2.011946057000532900e-03 -2.077484839446651702e-02 -1.280855302441230711e-03 0.000000000000000000e+00
4.408828807311482301e-02 6.061060629334101557e-02 4.398215228683383912e-05 -1.590276239370644676e-02 -6.635379788065728620e-04 0.000000000000000000e+00
4.474147975440869590e-02 5.997425016735251357e-02 1.443662192033120704e-04 -1.476699861826305006e-02 -6.101380138840964331e-04 0.000000000000000000e+00
-2.002475903540237162e-02 3.717310206668113237e-02 -1.408913190250164933e-03 -5.335644777778118797e-02 -2.432500134052148488e-03 0.000000000000000000e+00
-2.424123469970066239e-02 3.443760176686332108e-02 -4.173436260647721600e-04 -5.700350314077697045e-02 -1.257989699722247097e-03 0.000000000000000000e+00
2.234039723856069692e-02 4.046812085665667941e-02 -1.202574547695239973e-04 -1.806037706475748655e-02 5.291090143103523743e-05 0.000000000000000000e+00
9.392591880605236782e-03 1.671666189603451119e-02 -3.728087123058748594e-05 -6.310654579339563044e-03 -9.761345648591238057e-04 0.000000000000000000e+00
1.539565670695453936e-03 1.838730629197455127e-02 8.410509159291285281e-04 -1.679924277734386184e-02 -8.895487598643665120e-04 0.000000000000000000e+00
8.407933231152561748e-03 2.075811029782745690e-02 6.363780328467476721e-05 -1.182653371583347428e-02 -5.872811541260947437e-04 0.000000000000000000e+00
2.016107284199314398e-02 2.051291443250901833e-02 3.825216645537142610e-03 -4.007446941794118832e-03 -1.696112942589007063e-04 0.000000000000000000e+00
3.173120533606661742e-02 4.241870613393395467e-02 8.608955853174723094e-04 -1.064046433714612577e-02 -9.079320460386797794e-04 0.000000000000000000e+00
7.061415252257690137e-03 1.808620672043337319e-02 9.054533694609262278e-04 -1.166129762272407645e-02 -2.689472149125333111e-04 0.000000000000000000e+00
-9.937848417610993523e-03 3.774652284246297375e-03 -1.762471759778773146e-03 -9.065392658255091302e-03 -2.884636283823428619e-03 0.000000000000000000e+00
-1.506867193694709679e-02 -1.062808905293813160e-03 -3.817564430608664464e-03 -7.297487913896655472e-03 -2.890810687147966299e-03 0.000000000000000000e+00
-1.035180993898315339e-02 2.345079236768492312e-03 7.464535392420847994e-04 -8.151665200156586397e-03 -5.291677514837141508e-03 0.000000000000000000e+00
-2.713402719275012989e-03 4.506635957280183229e-03 -1.867896589527525504e-03 -4.852284828795914821e-03 -4.998572582317543748e-04 0.000000000000000000e+00
3.855000842309753550e-03 6.144325363633722920e-03 1.196319124867400920e-04 -1.222383021261676727e-03 -1.186573412549032057e-03 0.000000000000000000e+00
6.071950734768110508e-03 6.087317922674292947e-03 2.612626162281933171e-04 4.318866300613823312e-04 -7.085164341957562442e-04 0.000000000000000000e+00
2.449257149115736942e-02 2.021392110902434439e-02 6.135499776316761513e-05 3.351765938135728429e-03 8.655294462341267710e-04 0.000000000000000000e+00
3.449200243698420654e-02 2.891217369388956321e-02 -4.617171731741938681e-05 6.459806885589465704e-03 -8.338064251773961988e-04 0.000000000000000000e+00
1.074124157283141458e-02 7.443923451123440546e-03 2.332783756793609228e-04 3.512579974205394355e-03 -4.485402281767807316e-04 0.000000000000000000e+00
1.241755219423948918e-02 1.277147697491949271e-02 3.051739719798832987e-04 1.148783002179878466e-03 -1.807881754839766328e-03 0.000000000000000000e+00
1.839236509513087620e-02 2.314630657526775548e-02 1.118292774512464423e-04 -4.029789679778870981e-03 -8.359810778092501091e-04 0.000000000000000000e+00
1.361699795413155376e-02 1.937577258447679973e-02 0.000000000000000000e+00 -5.362791754717967374e-03 -3.959828756272788190e-04 0.000000000000000000e+00
1.037248844250941195e-02 1.478696355375115797e-02 0.000000000000000000e+00 -3.658626795400152319e-03 -7.558483158415920744e-04 0.000000000000000000e+00
-8.667866187970358878e-04 3.259555087953725817e-03 3.698343793085957462e-04 -3.480709223661526599e-03 -1.015466862397828305e-03 0.000000000000000000e+00
-7.456332499946582808e-03 1.046502713867958345e-02 2.075157277136496372e-06 -1.769981453149237216e-02 -2.236202644109283502e-04 0.000000000000000000e+00
-3.761933176169567072e-02 1.113032094302158700e-02 -1.055858634312501192e-03 -4.461688242133758642e-02 -3.076911649067157976e-03 0.000000000000000000e+00
