Total Atlantic Indian Pacific Arctic Southern Stratosphere None
1.619627213020950404e-02 1.244544009830736431e-01 -4.366111173491617984e-04 -9.198870576967757562e-02 -8.794225945397996999e-03 0.000000000000000000e+00 2.841643384673930546e-04 -7.322750358906797777e-03
3.733800677123397249e-02 1.440060152054519760e-01 -2.409192076227755115e-03 -1.137806856643532177e-01 -1.416013560619558062e-02 0.000000000000000000e+00 -2.211304403894131122e-03 2.589330931645264164e-02
1.339559717529574812e-01 2.149189095448919284e-01 -9.853086113574022632e-04 -8.240804236610821398e-02 -7.413343258841826634e-03 0.000000000000000000e+00 -2.579225417414076488e-03 1.242298186178703544e-02
1.796016738684572678e-01 2.009624887970747620e-01 9.303959966559041943e-05 -4.560785594380867281e-02 1.638297808899792781e-03 0.000000000000000000e+00 -2.110354978635418303e-04 2.272673910448933313e-02
6.676970079406764624e-02 1.801281056787743251e-01 -1.584852819001341230e-03 -1.158936919307932828e-01 1.083805079779009755e-03 0.000000000000000000e+00 -1.017714069054676251e-04 3.138106192214325067e-03
-3.432804627390354663e-02 1.669715087163302358e-01 -1.000248213615432874e-03 -1.963537444720185599e-01 8.798138025618083662e-04 0.000000000000000000e+00 -3.189656804142147100e-05 -4.793479539120119003e-03
1.084944684968114359e-01 1.539918318548161302e-01 -1.202574547695239973e-04 -6.605840247430662393e-02 -4.575600158132415995e-03 0.000000000000000000e+00 2.184437631073830790e-03 2.307245909813002496e-02
8.790370229079777498e-02 1.097391785337408637e-01 -4.912903006376784015e-04 -1.485911866834828052e-02 -1.547089113319517935e-02 0.000000000000000000e+00 2.325716609901318059e-03 6.660107249336725925e-03
3.223188580022233463e-02 7.522701028525435873e-02 8.435826606421481392e-04 -4.055764679376461235e-02 -9.111790794195483503e-03 0.000000000000000000e+00 2.129758514096477453e-03 3.700971928189464039e-03
2.418034599959880283e-03 7.531244558995098259e-02 6.363780328467476721e-05 -4.403486745820583970e-02 -2.158061333694151485e-02 0.000000000000000000e+00 9.589556701751340796e-04 -8.301523668303551276e-03
1.252641893211829394e-01 1.716379138999594434e-01 4.109937870810374469e-03 -2.959018448444925356e-02 -2.256159301292631411e-02 0.000000000000000000e+00 -1.820394544739814156e-03 3.488509592528516584e-03
1.545341319232743926e-01 1.609337718399981576e-01 8.608955853174723094e-04 -3.187921119128033637e-02 -1.151186269463891354e-02 0.000000000000000000e+00 1.739019404175378997e-03 3.439151897970259969e-02
8.345410851488554993e-02 1.343110321266304530e-01 1.064417532822255945e-03 -5.137565649255597389e-02 -8.411828933837491376e-03 0.000000000000000000e+00 2.987854767394082598e-03 4.878289514432232986e-03
-1.876376659133730668e-02 4.923059323265630699e-02 -2.688790067894115173e-03 -3.874316795319726614e-02 -8.341147223227903321e-03 0.000000000000000000e+00 -1.085155175919495091e-03 -1.713609940375484392e-02
-6.092407729100534491e-02 1.672033736223607972e-02 -4.823034620925717442e-03 -4.546962231227349299e-02 -9.460572635806283048e-03 0.000000000000000000e+00 -1.827886787957856652e-03 -1.606329829627805086e-02
-1.970528428042126606e-02 6.004624803244803383e-02 7.464535392420847994e-04 -5.957193985644787526e-02 -1.062582467500471431e-02 0.000000000000000000e+00 9.972357080628192760e-04 -1.129745702872160876e-02
3.009104295199923175e-04 4.239307600866981662e-02 -2.824494319512849648e-03 -3.083407805050170786e-02 -7.216338688017796474e-03 0.000000000000000000e+00 -8.863954997697173635e-04 -3.308590213477623416e-04
