Total Atlantic Indian Pacific Arctic Southern
-4.569399585545941625e-03 -1.080829463577332285e-03 -3.683974099073377556e-03 1.215598689728287314e-04 7.384410813193901049e-05 0.000000000000000000e+00
-4.638213377038769535e-03 -4.011214644979632996e-03 -2.955639189935748584e-04 -1.738113758127406345e-04 -1.576234372528212359e-04 0.000000000000000000e+00
-6.792724315846727012e-04 -5.064019342004543725e-04 1.648514862896643298e-05 -1.893556460131849142e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.006385094565238017e-03 1.730514066638235565e-03 6.845558714328969091e-03 2.478775616360871640e-04 1.824347519619486633e-04 0.000000000000000000e+00
1.250525941134221931e-03 -1.553416256730621742e-03 4.416112961735157473e-03 -1.612170763870314667e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.384535386140623530e-03 -1.298167433950406886e-03 4.844414100498341431e-03 3.114760069122978663e-04 -4.731872873196084480e-04 0.000000000000000000e+00
1.262620800266799114e-03 -6.817814885613544958e-05 1.309224611065891572e-03 4.199425873708602548e-04 -3.983682493138174935e-04 0.000000000000000000e+00
8.354103939072846921e-04 8.946222645480293983e-04 1.069525695577565913e-04 -2.255459681397868545e-04 5.938152794128612622e-05 0.000000000000000000e+00
3.196856044620992321e-03 3.863373405018378018e-03 -7.188715820318691482e-04 2.172916682688847182e-04 -1.649374466344022698e-04 0.000000000000000000e+00
4.791312914414599944e-02 3.402556007163141244e-02 1.085460642214950040e-02 2.840403189468232361e-03 1.925594608968650228e-04 0.000000000000000000e+00
4.322927353268766343e-02 1.792833297858025671e-02 2.318077916156584609e-02 1.635237453165568544e-03 4.849239393759878091e-04 0.000000000000000000e+00
4.295857662354398560e-02 3.124281382533593623e-02 1.091466444021697672e-02 1.524052783135448333e-03 -7.229544251443743939e-04 0.000000000000000000e+00
6.725509163424472914e-02 4.182101218431210493e-02 2.391035690049554338e-02 1.215034039136096092e-03 3.086885103009915092e-04 0.000000000000000000e+00
7.837369507308961092e-02 3.303230087530110298e-02 4.389283486982131083e-02 1.448559327967206866e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.163999980706331566e-01 7.763970314054148558e-02 3.591196985660458085e-02 2.848325073487105799e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.285329879616359416e-02 7.266323959124817988e-02 1.492497546486077145e-02 5.265083740054654106e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.798155488730094953e-02 6.465717702416130808e-02 9.899238644177273463e-03 3.425139218962362786e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.059585183136530356e-01 5.332122906347399466e-02 4.906184122915745183e-02 3.575448021021585248e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.258346290641613185e-01 6.592300991260204024e-02 5.833281925827601272e-02 1.578799893283249758e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.969427821496502917e-02 3.075727436441681381e-02 6.661190716347402396e-02 2.325096687074207445e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.179413662858132039e-02 1.222258943629760293e-02 5.889138297488046014e-02 2.590166133476981395e-04 4.211476040555622684e-04 0.000000000000000000e+00
2.236391409585747336e-02 3.455478491004870551e-04 2.151533933978887550e-02 5.030269069681191562e-04 0.000000000000000000e+00 0.000000000000000000e+00
-9.010832916131863990e-02 -8.612102635994165270e-03 -8.092959643586453145e-02 -5.666300894599712651e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.272894992165095003e-03 -1.541649911344438037e-03 4.400134895575004770e-03 -2.187327821401033811e-04 -3.668572099253681056e-04 0.000000000000000000e+00
3.895512711292002141e-03 3.004285103755915086e-03 5.204034437121815918e-04 3.708241638239057341e-04 0.000000000000000000e+00 0.000000000000000000e+00
4.970635234403015384e-03 4.003255228064550586e-03 4.421914762391664653e-04 5.386131550795358706e-04 -1.342462498023792537e-05 0.000000000000000000e+00
1.025219684932270232e-02 6.092538711546965219e-03 2.600637650368558314e-03 1.559020487407176622e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.354397659074039591e-03 4.196941327892906443e-03 -1.969982041170799684e-04 1.157668440847414498e-03 1.967860944507986458e-04 0.000000000000000000e+00
2.118239529228424164e-03 1.136850863329633707e-03 -1.069933696079182023e-04 1.088382035506709920e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.992324360197028365e-04 -5.041754345295707896e-04 5.011717769539184280e-04 1.002236093595355090e-03 0.000000000000000000e+00 0.000000000000000000e+00
-8.265464821460214231e-03 -4.394654298295369750e-03 -4.537337166014639872e-04 -7.031511355765915968e-05 -3.346761693005721131e-03 0.000000000000000000e+00
-1.514408715684687282e-02 -1.290615392714651241e-02 -2.991994578075877847e-04 -3.320978427268841547e-04 -1.606635929165887381e-03 0.000000000000000000e+00
-1.195819795657314735e-02 -1.157421684583443550e-02 3.138441204853297878e-06 1.154307741381140160e-04 -5.025503260816765712e-04 0.000000000000000000e+00
-4.410261613631158428e-03 -5.184451394915440270e-03 2.401974387990457767e-03 -7.989910890412397484e-04 -8.287935176649362853e-04 0.000000000000000000e+00
1.905695375353216869e-02 1.000120859648161338e-02 9.151361544200665651e-03 3.646823033541382527e-05 -1.320846174855228147e-04 0.000000000000000000e+00
2.091942160817476457e-02 8.786182783485942810e-03 1.273293183723075463e-02 -5.543655217630520573e-04 -4.532749077888814572e-05 0.000000000000000000e+00
3.863232163413771528e-03 -1.711643623123706385e-03 4.600410576703998881e-03 9.744652098334794649e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.729817172298183367e-03 -1.750411674613978289e-03 3.287672563572810545e-03 1.106233323692847135e-03 8.632295964650393589e-05 0.000000000000000000e+00
2.726246267596747763e-02 1.343102713490042753e-02 1.171608295470902630e-02 2.115352586358025533e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.886350956662426775e-02 3.101322986445158650e-02 1.540896760589867062e-02 2.346863880549607002e-03 9.444821572440356510e-05 0.000000000000000000e+00
3.309536286358345791e-02 2.680718897937416426e-02 5.353048604016134859e-03 9.351252801931560872e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.232964549662910109e-02 1.369114395340051936e-02 6.633962897381549470e-03 2.004538645847037028e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.016565280069847870e-04 -1.997460826611109803e-03 1.794539145019063324e-03 5.045782095990328925e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.596644276239483184e-03 4.618512081982449440e-03 3.351598324182223938e-03 6.265338700748063379e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.326950011568234709e-06 7.213612771515017126e-03 -6.154769405376099047e-03 -1.055516416127352027e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.469704344708847921e-02 5.586812662679619540e-03 1.505130819931329786e-02 4.058922585095563543e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.411387104641204482e-02 8.323944175021306263e-03 1.774997723534858102e-02 8.050823131805650082e-03 -1.087349576349624710e-05 0.000000000000000000e+00
2.376021802367884322e-02 7.257267758176198444e-03 1.056180201076975869e-02 5.941148254732896497e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.772699302376400412e-03 6.821523720930766166e-04 4.046378803446995997e-04 2.685909049938624196e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.003650030771389104e-03 6.036554385200259241e-03 4.044303480033639752e-04 2.562665297567769031e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.377416967656544533e-02 2.188009106429195192e-03 1.269702553466512535e-02 -1.110864964528870003e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.296153531041878956e-02 6.025243822131814454e-03 1.446593777571661757e-02 2.470353712570361442e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.863059041441602476e-02 8.098203526270940020e-03 2.701174486654195871e-03 7.831212401490888000e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.207999001143875324e-02 1.073232564360125391e-03 1.090522463692080238e-02 1.015328101578262993e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.613700030943203106e-02 6.293346744660799179e-03 2.717574696198053058e-02 2.667906602790703040e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.301021586421161447e-02 1.269659134576580327e-02 1.896034496474240799e-02 1.353279553703410146e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.998453853047074374e-02 5.269281567457734239e-03 3.760131382435065450e-02 -2.886056861337649767e-03 0.000000000000000000e+00 0.000000000000000000e+00
9.791799027660511023e-02 6.510239691940973399e-03 9.131725604355568626e-02 1.698014256811625970e-04 -7.930688457273610715e-05 0.000000000000000000e+00
6.019623860327556752e-02 2.097501408937383488e-02 3.241002028643272942e-02 6.811204227469003225e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.501251535112233748e-02 2.574911708558400014e-02 2.536198239201919308e-02 3.901415873519134287e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.740154731952399780e-02 2.844395174768142923e-02 3.059361683688014647e-03 5.898233888154560435e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.087160133814980278e-01 2.495793589941035923e-02 7.964184227734315280e-02 4.116235204744506278e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.268869208684054450e-01 4.191909440610223220e-02 8.245784744576603598e-02 2.509979016537145207e-03 0.000000000000000000e+00 0.000000000000000000e+00
8.101568602874470448e-02 3.731837359306827001e-02 4.242374444513915405e-02 1.273567990537273053e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.016325412120685445e-02 4.524822984469046433e-02 5.375941924737732101e-04 4.377430084042620816e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.042311361499305006e-01 6.747839157681718991e-02 3.151649088124663239e-02 5.236253691866679140e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.606996831737326700e-02 2.076227003614391359e-02 -5.765489114319528180e-03 1.073187395548885932e-03 0.000000000000000000e+00 0.000000000000000000e+00
-2.021766574936914194e-04 -1.519410927887924817e-03 5.976706918075068257e-03 -4.659472647680834752e-03 0.000000000000000000e+00 0.000000000000000000e+00
-5.610374402331724103e-02 -4.930258607322648284e-02 -3.871677389669641190e-03 -1.002572647230127751e-03 -1.926907913190992281e-03 0.000000000000000000e+00
-5.625604569170521846e-02 -5.879299027162428193e-02 3.475538114421926599e-03 -2.455350083011710160e-04 -6.930585262016823560e-04 0.000000000000000000e+00
-3.495600090206662375e-02 -3.129674005265038056e-02 3.412763650767434813e-03 3.690629243003395793e-04 -7.441087424484014654e-03 0.000000000000000000e+00
-5.464539284526415477e-03 -1.949247654688705117e-02 1.528082942505078375e-02 1.020635335454413801e-03 -2.273527498144560770e-03 0.000000000000000000e+00
-8.459330338618500575e-04 -4.860363313034648039e-03 3.248658369972240965e-03 7.748050369739345944e-04 -9.033127773379499365e-06 0.000000000000000000e+00
5.767115402042958562e-03 9.074113159034472844e-04 2.215742325690832955e-03 2.775324829192673745e-03 -1.313630687439951519e-04 0.000000000000000000e+00
4.240668734201809287e-02 6.213192114678994793e-03 3.551036209673591459e-02 6.831331306031716627e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.958963335016566790e-02 1.786104769168563727e-02 9.825750670109456922e-03 2.066870901453271570e-03 -1.640359130826921487e-04 0.000000000000000000e+00
1.314693747177798043e-02 5.796599931561427325e-03 4.748495597473366067e-03 2.650699295132933134e-03 -4.885735238974579130e-05 0.000000000000000000e+00
6.831029718522213696e-03 4.090092990272885427e-03 2.395025116704593317e-03 3.459116115447359824e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.932358725248428059e-03 1.898589500475296411e-03 4.085490805617099938e-05 -7.085683283039255962e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.122002536375347678e-02 5.543022592422830290e-03 4.856701186383119602e-03 9.695981943597754621e-04 -1.492966094122490323e-04 0.000000000000000000e+00
4.029952794186494186e-03 1.328331410371490348e-03 1.853385832689491506e-03 1.293480797729656051e-03 -4.452452466041440979e-04 0.000000000000000000e+00
1.226345457007420835e-02 5.576306559406853797e-03 5.632887722619210613e-03 9.264384170093735611e-04 1.278218710387704301e-04 0.000000000000000000e+00
8.944180501723169446e-03 3.753894106914435879e-03 4.911876768307528625e-03 3.281741406319283361e-04 -4.976451413072153693e-05 0.000000000000000000e+00
2.601666078947496505e-02 1.110713697643674232e-02 1.277712232119523547e-02 2.766499853616813040e-03 -6.340983617738292499e-04 0.000000000000000000e+00
2.855058249920546312e-02 1.101615873157653532e-02 1.539503802377511534e-02 2.139385743853810303e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.290569336174537146e-02 1.569620281890189706e-02 2.541661528039161275e-02 2.232566459747331849e-03 -4.396911972954660182e-04 0.000000000000000000e+00
1.618600710596843767e-02 6.585633031949305639e-03 8.905364820007992746e-03 5.054481567819012937e-04 1.895610972292366620e-04 0.000000000000000000e+00
8.112205493778496326e-03 6.757148243633307252e-03 8.111894678043371802e-04 5.438677823408534116e-04 0.000000000000000000e+00 0.000000000000000000e+00
-1.304693388054371187e-03 -2.367973836812559130e-03 1.271637852935736954e-03 4.214524344592736984e-06 -2.125719285221416561e-04 0.000000000000000000e+00
-4.677430733546900955e-03 -2.555960539859755340e-03 -1.914241918482881668e-03 -3.119233300879437152e-04 1.046950548836795913e-04 0.000000000000000000e+00
-2.104376596871355282e-02 -5.346381874812162691e-03 -1.714948817079183299e-02 1.657344745676784690e-03 -2.052406687863430712e-04 0.000000000000000000e+00
7.077394188788740589e-03 -1.627101869410517258e-03 7.766473343227074666e-03 1.132145079938433026e-03 -1.941223649662500070e-04 0.000000000000000000e+00
2.815195419200735086e-02 1.883917666575252170e-02 7.829962914407614938e-03 1.049299177810704376e-03 4.335154340365130420e-04 0.000000000000000000e+00
5.814331773886077803e-02 2.853345576369972075e-02 2.485341406933698136e-02 2.596732256525974974e-03 2.159715649298108754e-03 0.000000000000000000e+00
