Total Atlantic Indian Pacific Arctic Southern
7.513691437628389203e+00 4.136567775099222466e+00 2.934631824065322636e+00 9.924455716562038954e-02 3.432472812982298449e-01 0.000000000000000000e+00
8.782970263408991229e+00 4.239700888988971350e+00 3.307837891985389689e+00 2.276093248124156365e-01 1.007822157622219938e+00 0.000000000000000000e+00
8.984509037455719493e+00 3.405526681796323452e+00 3.609561723102446607e+00 2.206128841921426997e-01 1.746986593673160337e+00 0.000000000000000000e+00
1.544514303854860771e+01 9.635728263472364219e+00 4.936316211754421701e+00 7.059549254526737982e-01 1.671436378691464053e-01 0.000000000000000000e+00
1.487033312889037440e+01 8.658384600160626832e+00 5.561037165122178827e+00 5.854955702942317153e-01 6.541579331334325398e-02 0.000000000000000000e+00
1.473250488243608025e+01 8.893393878257962015e+00 6.018902787538713106e+00 7.377357663348805827e-01 -9.175275496954751198e-01 0.000000000000000000e+00
1.407749484887911606e+01 8.646089461314222291e+00 6.443484034278756489e+00 6.965058715009329049e-01 -1.708584518214790515e+00 0.000000000000000000e+00
1.524427542926274448e+01 8.953388506573107364e+00 6.837520729131346897e+00 8.292408888678050038e-01 -1.375874695309500240e+00 0.000000000000000000e+00
1.782206370301429388e+01 9.961616541454642260e+00 7.928514846576120156e+00 7.263055118223169515e-01 -7.943731968387685027e-01 0.000000000000000000e+00
1.865991813517482356e+01 1.016640087291086836e+01 8.420386736223315793e+00 8.212184220122719092e-01 -7.480878959716332766e-01 0.000000000000000000e+00
1.776067005039031699e+01 9.656134680707195272e+00 7.857477778228893150e+00 7.331192091771755459e-01 -4.860616177229513668e-01 0.000000000000000000e+00
1.730745299567708528e+01 8.746071953095611917e+00 7.875175655485800341e+00 8.583753744974220723e-01 -1.721699874017581233e-01 0.000000000000000000e+00
1.919814117845098522e+01 9.180797974534964823e+00 9.180507322334126030e+00 7.477662474499432443e-01 8.906963413193370871e-02 0.000000000000000000e+00
1.853685808008301450e+01 8.422430987551059900e+00 9.011369583172559317e+00 9.018787609954524997e-01 2.011787483639141116e-01 0.000000000000000000e+00
1.918388549170652269e+01 7.823146123822489528e+00 1.019334967939295922e+01 6.750143666239499796e-01 4.957970306514796754e-01 0.000000000000000000e+00
1.805964688523370398e+01 7.285798811387904195e+00 9.606687748185549935e+00 5.307296735268377530e-01 6.275886589866170873e-01 0.000000000000000000e+00
1.673165200040155298e+01 6.473970729071118591e+00 8.801123422525536810e+00 7.319605520927815467e-01 7.219427784066715370e-01 2.654518305439319478e-03
1.574013419498617061e+01 5.513774110427996256e+00 9.084426218418546028e+00 5.159690896857430653e-01 6.248641650129280745e-01 0.000000000000000000e+00
1.443346070062647435e+01 5.353268863529534904e+00 8.285699738699520367e+00 5.680091292074884723e-01 2.264829691899415687e-01 0.000000000000000000e+00
1.421875856231349822e+01 5.206563124619619565e+00 8.559065572469899408e+00 4.585213177735852907e-01 -1.373992482962255179e-02 0.000000000000000000e+00
1.460323704326746785e+01 5.044084906711430172e+00 9.252482224827657475e+00 6.225175358042046581e-01 -3.158476240758561482e-01 0.000000000000000000e+00
1.570104612232501040e+01 6.514644682111369711e+00 9.067728129343668897e+00 8.811012045974873086e-01 -7.624278937275006385e-01 0.000000000000000000e+00
1.687929149444569887e+01 6.633437816734290671e+00 1.037759610230748386e+01 7.214209258647703571e-01 -8.557679905969994838e-01 2.604640136154119309e-03
