Total Atlantic Indian Pacific Arctic Southern Stratosphere None
2.037400100970389261e+01 8.463860614131375470e+00 3.288455878162156232e+00 2.668324463004211333e-01 1.421426939813509760e+00 0.000000000000000000e+00 5.499119872406316167e-01 6.383513144055764421e+00
2.206924736181956348e+01 9.156017919171462793e+00 3.813082272472771095e+00 3.601078112173643486e-01 2.188260134765636078e+00 0.000000000000000000e+00 3.908766598111414470e-01 6.160902564381188107e+00
2.203083439507553720e+01 7.641629198570107917e+00 4.170343963763745165e+00 3.804188042134176162e-01 3.125142128093898020e+00 0.000000000000000000e+00 4.152986015461050395e-01 6.296180544196613660e+00
3.892167546643037213e+01 1.862620367330845639e+01 5.394275178929721193e+00 1.253136172428482631e+00 6.836119931255989490e-01 0.000000000000000000e+00 1.302364822724226379e+00 1.166208362591395087e+01
3.927479422412419297e+01 1.745261602924329480e+01 6.456448371383650908e+00 1.090891687275637123e+00 9.342738833002655063e-01 0.000000000000000000e+00 1.243287573484412656e+00 1.209727667943692886e+01
3.791601000254516407e+01 1.690914383432942003e+01 6.992729195405887666e+00 1.162710215042437767e+00 -9.371701624092025895e-01 0.000000000000000000e+00 1.219631982763614397e+00 1.256896493741297860e+01
3.775505153839961991e+01 1.672665184288662488e+01 7.832225427684044838e+00 1.167514860731801329e+00 -2.853916826056659417e+00 0.000000000000000000e+00 1.200650963882224032e+00 1.368192526927164288e+01
4.068142452263495557e+01 1.748105489508619215e+01 8.730591409421370130e+00 1.471454963039336539e+00 -2.521131306131850547e+00 0.000000000000000000e+00 1.044954005042439737e+00 1.447450055617749776e+01
4.414689227546240602e+01 1.782500542413881206e+01 1.001486193779124179e+01 1.454696764754838334e+00 -1.436864427784627418e+00 0.000000000000000000e+00 1.030806958291189401e+00 1.525838561827093010e+01
4.618716154223177739e+01 1.850938760673395933e+01 1.043754528458212683e+01 1.527571576182134239e+00 -1.059673867183363649e+00 0.000000000000000000e+00 1.154880915119209650e+00 1.561745002679777983e+01
4.616912949571545965e+01 1.686261220210344902e+01 9.953096507489220812e+00 1.282967154815857880e+00 -7.234591712942090025e-01 0.000000000000000000e+00 1.127863825143430310e+00 1.766604897745769520e+01
4.541780358754186864e+01 1.532872605432934421e+01 1.013054726354419088e+01 1.334480471670994595e+00 -5.179682858210521434e-01 0.000000000000000000e+00 1.085783155626497409e+00 1.805623492819192677e+01
4.599707297322043331e+01 1.466061664280502619e+01 1.192007573771355489e+01 1.239725326692992402e+00 2.308460989658281670e-01 0.000000000000000000e+00 9.560509221827404591e-01 1.698975824486036146e+01
4.583877919236625331e+01 1.296285450861003241e+01 1.229612336637839398e+01 1.332834888831892384e+00 2.851852189975055962e-01 0.000000000000000000e+00 1.077210894775962657e+00 1.788457031477248194e+01
4.601012018219294220e+01 1.267585466377138026e+01 1.356566838399778341e+01 1.064400473862452179e+00 6.286880520718081122e-01 0.000000000000000000e+00 1.026126756366815496e+00 1.705280356090710114e+01
4.428494027617445283e+01 1.136760536464113436e+01 1.341896508552836487e+01 8.999563027069389376e-01 9.552593417162487111e-01 0.000000000000000000e+00 9.292652889193472321e-01 1.670504689951560096e+01
4.116752796540912129e+01 9.829017772819364396e+00 1.259830410433588987e+01 1.231612782978009468e+00 9.008836967079268954e-01 2.654518305439319478e-03 7.820716731865435811e-01 1.582298341707597267e+01
3.931297899190965950e+01 8.624322645499340467e+00 1.337768895670352798e+01 8.660130275832936819e-01 7.820165725687594493e-01 0.000000000000000000e+00 8.275482208281528251e-01 1.483428895728565067e+01
3.698155054894542104e+01 7.966351039629787856e+00 1.272984542539781572e+01 8.967289218281820906e-01 2.500992073670622595e-01 0.000000000000000000e+00 5.966414955383758656e-01 1.454188445918420491e+01
3.529975501064922838e+01 7.662719267970925507e+00 1.241755160795902668e+01 8.010099198483130456e-01 -1.240546387920842819e-01 0.000000000000000000e+00 7.332695415322177945e-01 1.380091083985083067e+01
3.326115132268938623e+01 6.933699757925950280e+00 1.302347364859964785e+01 9.372654027478873884e-01 -6.181124226373551078e-01 0.000000000000000000e+00 5.750215872287194330e-01 1.240980334882453207e+01
3.711740483181777961e+01 8.741149472775243012e+00 1.257022305754060554e+01 1.226366899488189333e+00 -1.061223994335320553e+00 0.000000000000000000e+00 7.364658761538019904e-01 1.490442352019522154e+01
4.014497069930121853e+01 8.970735151312529965e+00 1.453678143838869374e+01 1.125885533790424775e+00 -9.888905469380604440e-01 2.604640136154119309e-03 6.845601650112232983e-01 1.581329431760022253e+01
4.089481878349403843e+01 9.406630854757324300e+00 1.414647030575954822e+01 1.019805363138485799e+00 -9.991633031964549660e-01 9.067025468865958036e-04 7.603704724462601039e-01 1.655979838804204718e+01
1.637405503156131914e+01 2.683244294044196288e+00 9.297088781943028124e+00 2.641076689657180232e-01 -1.044982817214157755e+00 2.911542324333011439e-03 1.924832399868126598e-01 4.979202321511402296e+00
1.755516643241757890e+01 3.007840969740023684e+00 9.859343420298989358e+00 3.269996342180390703e-01 -1.007192931879912434e+00 3.862554085630236656e-03 2.484493671255926239e-01 5.115863418829218467e+00
1.762649248053471851e+01 2.879480870821347516e+00 1.019676314908633508e+01 3.039059034458257980e-01 -8.196059275667781918e-01 0.000000000000000000e+00 9.229909895460405855e-02 4.973649385793387445e+00
1.664412232103601141e+01 2.796684435239101596e+00 9.912452401729408891e+00 1.865032912132253140e-01 -9.115060569111909095e-01 -2.093283846079551942e-03 6.082973345128297321e-02 4.601251800160275351e+00
1.436181958184771545e+01 2.308981678640928070e+00 8.782219609174887864e+00 2.285778359153784745e-01 -9.229519112039576978e-01 0.000000000000000000e+00 1.255830785525755555e-01 3.839409290767917149e+00
1.471243089851710195e+01 2.099256412530370319e+00 9.151171211891016455e+00 2.182009897171099388e-01 -1.150730426956955821e+00 3.059520850713493391e-04 1.526787174831150118e-01 4.241548041767392974e+00
5.409513738566072760e+01 9.704906537780523479e+00 2.582066403018166412e+01 1.053139210725157149e+00 -8.833835452500550245e-01 1.869954319233164703e-03 6.583399637210072264e-01 1.773947696294573717e+01
5.524350049723683753e+01 9.179830451598720131e+00 2.897172535462594567e+01 1.111818817024642359e+00 -1.991433300351681535e+00 0.000000000000000000e+00 4.991914775614251787e-01 1.747236769677780899e+01
5.054136396084211924e+01 8.704809883881317489e+00 2.830210659945429086e+01 8.606903646932203555e-01 -3.241205082331643172e+00 3.338060010487112379e-03 2.856495564263559217e-01 1.562597457870816520e+01
-6.306718960495525828e+00 -8.379447267677987421e-01 4.625653481706804016e+00 -5.853519128599189020e-02 -5.783602854188497844e+00 0.000000000000000000e+00 -9.871790663044989478e-02 -4.153571763329612310e+00
-9.763843552167310591e+00 -1.667076725763315670e+00 4.934487086198397598e+00 -3.011216235876045672e-02 -7.197055633209426873e+00 7.097503575823616018e-03 -1.319709619371913500e-01 -5.679212658672845748e+00
-1.320306464611293684e+01 -1.329719306449209215e+00 2.362784201427740260e+00 -6.622127651229404999e-02 -7.515639585916208176e+00 4.217249721324732239e-05 -2.918319856199234064e-01 -6.362478865540268202e+00
-1.531436388036721041e+01 -1.588236784257154532e+00 9.583471851322600266e-01 -5.723633849525641693e-02 -7.923877847122222207e+00 8.460308390785573757e-03 -3.100100396211393217e-01 -6.401810364394496133e+00
-1.544870929270826210e+01 -1.340617038368031810e+00 1.030691899856871041e+00 -4.879292271386569124e-02 -8.481362277926269400e+00 1.168501078391879182e-04 -2.783058790588675557e-01 -6.330439924605928859e+00
-1.405244395375425626e+01 -1.464736176128265566e+00 2.683557040356304491e+00 -1.008633056876773737e-01 -8.604075565789282010e+00 9.749020075050124920e-04 -3.098992103553661615e-01 -6.257401638157440438e+00
-1.357611048509293639e+01 -1.947161947897132706e+00 4.670015043374116104e+00 -7.212977571348025418e-02 -9.283978323076080841e+00 5.901795851196907925e-04 -2.927277155936587882e-01 -6.650717945771817519e+00
-1.506944141721957031e+01 -1.750499048921406731e+00 3.894994671327095315e+00 -1.386069491499692941e-01 -9.536224883027237809e+00 -1.281434611406710819e-04 -2.527000576519082831e-01 -7.284430918252142284e+00
-1.728168896208682526e+01 -2.035469039453694506e+00 1.035358347124486489e+00 -5.600423675687030839e-02 -9.125560100542738695e+00 0.000000000000000000e+00 -3.428545761563228655e-01 -6.757159356301690067e+00
-4.171427175456206271e+01 -6.999468334106974332e+00 -1.044488135072404233e+01 -7.910682818236903779e-01 -7.275411789176145838e+00 -6.566228128375066562e-04 -5.368083167340161888e-01 -1.566597705918436922e+01
-3.994301778794097402e+01 -7.130106605246282037e+00 -9.148988950041625046e+00 -7.310650486332739284e-01 -7.106615006974505100e+00 0.000000000000000000e+00 -5.377308027164030557e-01 -1.528851137432890539e+01
-3.717240984669528103e+01 -6.944979615994323119e+00 -7.905919975948618728e+00 -7.525634369079777786e-01 -6.398806271692703440e+00 0.000000000000000000e+00 -6.386115365884781347e-01 -1.453152900956319904e+01
-3.630623375141380649e+01 -6.631123249518939389e+00 -7.895585561626497828e+00 -7.177890389002744564e-01 -6.380898503883024375e+00 -8.832989319948801252e-03 -6.188749169312921516e-01 -1.405312949123383781e+01
-3.752076962382484027e+01 -6.584263440529046996e+00 -6.718671886476711208e+00 -9.108294337401420249e-01 -7.574095954817703813e+00 0.000000000000000000e+00 -7.325303651730361576e-01 -1.500037854308821039e+01
-4.349909593534673746e+01 -7.773358948101768640e+00 -7.932497173217598174e+00 -9.427005440100906242e-01 -8.649028929580616420e+00 0.000000000000000000e+00 -8.255445991393298710e-01 -1.737596574129731408e+01
-4.585371687562594190e+01 -7.844073816388736908e+00 -8.971615356506010386e+00 -1.008446219966165458e+00 -8.992322454927409225e+00 -1.135978011027401723e-02 -8.726322032819994190e-01 -1.815326704444533945e+01
-4.506614490729748468e+01 -7.363050828415341975e+00 -9.432787654477737149e+00 -8.692810366145800050e-01 -9.125897331536252821e+00 0.000000000000000000e+00 -9.558463524496951802e-01 -1.730916258469486735e+01
-4.300411974713301078e+01 -6.744599852915952098e+00 -8.652459659245717916e+00 -8.929260433089425408e-01 -9.611294577473659118e+00 -1.699565972287985253e-03 -8.963539726846542210e-01 -1.620478607553183537e+01
-4.063279781048061778e+01 -6.584970170314782045e+00 -6.924892202050357604e+00 -7.879193702265504529e-01 -9.098928769085699031e+00 -1.555937789086989835e-03 -8.865357002757292548e-01 -1.634799566073844090e+01
-3.903723785615559194e+01 -6.134853923516520702e+00 -6.282000408935277669e+00 -7.001548539692201700e-01 -8.663199889655217589e+00 -1.129282748095244808e-02 -1.207621722898772232e+00 -1.602639670426943042e+01
-3.711402886015729052e+01 -5.831039013733351872e+00 -5.756518004952739354e+00 -7.889757127972718553e-01 -8.584528776598348898e+00 0.000000000000000000e+00 -1.119636587546624984e+00 -1.503333076452897465e+01
-3.564986244601242049e+01 -5.438151095536594148e+00 -6.148333767032707620e+00 -6.227710767288588967e-01 -8.472338461942092280e+00 0.000000000000000000e+00 -1.003200399678738863e+00 -1.396506764509344123e+01
-3.469887268995043428e+01 -5.041114749116997196e+00 -5.760365656170432835e+00 -6.380679125790037487e-01 -8.554067445067110143e+00 -1.434475601898639163e-03 -9.144416552086228611e-01 -1.379075020849301403e+01
-3.860054852044781715e+00 -7.479288012000301356e-01 -2.421506618527105026e+00 -7.163581113002562284e-02 9.241507885951759649e-01 0.000000000000000000e+00 4.710462798203825414e-03 -1.547844872580995235e+00
-5.411129826984403479e+00 -7.257744170891516911e-01 -2.517976675320326763e+00 -1.219876677229079776e-01 -1.242509044134021967e-01 0.000000000000000000e+00 -5.329201941600977127e-02 -1.867848143022609708e+00
-6.394030148322871199e+00 -7.886684885796333422e-01 -2.477455029781059359e+00 -1.143588551044421447e-01 -5.499545111217079008e-01 -4.750040369554383375e-04 -1.298763483252429185e-01 -2.333241911373830302e+00
-2.207928631982075274e+01 -4.098215492000935711e+00 -2.260614808884978899e+00 -5.412471161444091239e-01 -4.604847304013985898e+00 0.000000000000000000e+00 -8.386789910020611138e-01 -9.735682607774393205e+00
-2.113887672619987512e+01 -3.859576167692098991e+00 -1.878949691845370973e+00 -5.360475015491921180e-01 -5.030204173221894060e+00 0.000000000000000000e+00 -7.089388598750898662e-01 -9.125160332016250209e+00
-2.160328788965369640e+01 -3.919795551571468639e+00 -1.547768337587793308e+00 -4.491670628922880271e-01 -5.503497485982722814e+00 -4.799110077635007458e-03 -7.980015146227561473e-01 -9.380258826919012805e+00
-1.157920782848267827e+01 -1.562529267350202700e+00 8.395375578938941707e-01 -1.486693355678505579e-01 -6.031026199227775386e+00 0.000000000000000000e+00 -3.171563763821524939e-01 -4.359364207848598127e+00
-1.024576280509533888e+01 -1.328732496087666970e+00 6.568157921977030300e-01 -1.447266846440252441e-01 -4.982304452227354297e+00 0.000000000000000000e+00 -3.953725112607966441e-01 -4.051442453073193839e+00
-6.147247464661382388e+00 -8.778104327783875505e-01 7.954146416749076076e-01 -9.806273236016201100e-02 -3.277857657381627376e+00 0.000000000000000000e+00 -3.058158676839998757e-01 -2.383115416132119524e+00
-3.357542335360305774e+00 -4.603928182678260761e-01 1.232260640325255396e+00 -6.131456359232106273e-02 -2.318843157130856536e+00 0.000000000000000000e+00 -2.107267722179385905e-01 -1.538525664476624533e+00
-6.568599138086890221e-01 -5.684995405759547815e-02 1.464819146033915720e+00 -5.043804751914168077e-02 -1.057978736749244586e+00 0.000000000000000000e+00 -1.670366256647752567e-01 -7.893756958518501898e-01
6.995685369260040698e-01 3.991981217108624830e-02 1.401732464618177021e+00 -8.259005771741729368e-03 -2.976809839491380005e-01 0.000000000000000000e+00 -1.446861720919178917e-01 -2.914575780504641278e-01
1.605986433705839822e+00 1.934717660128491001e-01 1.448478802456820702e+00 -3.490575083081304253e-05 -3.207880328485042398e-02 -2.386620175616223762e-04 -1.073369927983642835e-01 1.037252290877768435e-01
2.235274506589111532e+00 2.529703674466260988e-01 1.630804789336780747e+00 1.371298774972848182e-02 3.696316095152385461e-02 0.000000000000000000e+00 -1.286040507545250233e-01 4.256585778545559640e-01
1.455615012963782151e+00 1.457860664483724145e-01 1.365104875914328275e+00 -1.872034827907783500e-02 4.838961360071891010e-02 0.000000000000000000e+00 -1.368577288621339039e-01 5.191253414157558782e-02
1.227010596558909050e+01 1.612948181101023781e+00 3.865879765812593405e+00 1.926563331123151979e-01 1.241888085011306542e+00 0.000000000000000000e+00 4.792250467645376433e-01 4.877508553787314405e+00
1.152213565889320179e+01 1.415724904649851457e+00 3.838272685146405738e+00 2.173188060219399254e-01 7.890664949642874904e-01 0.000000000000000000e+00 5.936191278259810300e-01 4.668133640284742647e+00
1.032199780164685343e+01 1.189738465666896117e+00 3.511895133374830724e+00 1.691901730173571983e-01 5.602407151004912267e-01 0.000000000000000000e+00 5.173283607345906532e-01 4.373604953752678881e+00
9.916833736733170923e+00 1.144308488363745102e+00 3.364005148886955787e+00 2.044806280791244546e-01 4.190354692853937024e-01 0.000000000000000000e+00 4.709614303625795362e-01 4.314042571755368982e+00
9.712123842041187061e+00 1.042978047872659131e+00 3.500590378483662057e+00 1.800768101290991519e-01 3.725434260543952769e-01 0.000000000000000000e+00 3.979342998178046487e-01 4.218000879683564186e+00
9.380960361928764257e+00 8.893658914971566132e-01 3.658154774477316629e+00 1.735641416439202278e-01 2.435675604082399304e-01 0.000000000000000000e+00 4.185233595176554577e-01 3.997784634384466518e+00
9.025493945285077757e+00 8.825441545535468446e-01 3.711933946330200573e+00 1.940891549343301270e-01 1.342468279920518148e-01 0.000000000000000000e+00 3.662994875758226465e-01 3.736380373899127250e+00
9.231798686286646571e+00 8.212214394428579700e-01 3.828763040804002316e+00 1.841072055676979957e-01 7.404790767274241348e-02 -2.573739882674294026e-04 3.645843868664636611e-01 3.959332079921147773e+00
1.649468951061718158e+01 1.560762405558995036e+00 6.172654965166270991e+00 3.835985562109620606e-01 6.919391995178199029e-01 0.000000000000000000e+00 6.882044722123304981e-01 6.997529911950802095e+00
1.770448288845113893e+01 1.667077432920607505e+00 7.347540774646280859e+00 3.780571922021825348e-01 5.577719155692766329e-01 0.000000000000000000e+00 7.210016405887028634e-01 7.033033932524074494e+00
1.891352257087453381e+01 1.652015084484836915e+00 8.492389264826146089e+00 3.803108281434036120e-01 3.174225035045274423e-01 0.000000000000000000e+00 7.542062289764737137e-01 7.317178660939127610e+00
1.937836670669209838e+01 1.668871848033265159e+00 8.878956881779011212e+00 4.899037753409915541e-01 2.092801355837019539e-01 0.000000000000000000e+00 7.252579612039410373e-01 7.406096104751191511e+00
1.892325523877265780e+01 1.554527896072035009e+00 9.072454996923793757e+00 4.774943812939195231e-01 1.648910146935349819e-01 0.000000000000000000e+00 6.230148899020138131e-01 7.030872059887358638e+00
