Total Atlantic Indian Pacific Arctic Southern Stratosphere None
1.136363080664664210e-01 -5.252101725684133783e-03 2.262520907852333635e-04 1.374160166685537143e-01 -5.990694070586861410e-03 0.000000000000000000e+00 1.240585086271606824e-03 -1.400374998287313467e-02
6.141684646402088832e-02 2.534259733538284879e-03 8.332972778601977284e-04 7.763931976835339310e-02 -3.264197857282204358e-03 0.000000000000000000e+00 5.970344521345737889e-04 -1.692286691058333611e-02
1.335234367732765215e-01 3.724562409614889155e-03 4.568830442628635529e-04 1.361575967787331531e-01 3.539665203501288627e-04 0.000000000000000000e+00 1.539978798485441402e-03 -8.709550778170016203e-03
1.997402551715589669e-01 4.599688778972906358e-03 3.343118859890090947e-03 1.926897006922415889e-01 -4.288368046752329306e-03 0.000000000000000000e+00 4.773395012198086880e-03 -1.377280124991349776e-03
2.144167816406081228e-01 1.466694580249879552e-03 1.724516752927704932e-04 2.005776060750845691e-01 -5.912205217919431436e-04 0.000000000000000000e+00 5.136930358472678246e-03 7.654319473300140106e-03
1.343608209997032843e-01 -1.072348118043640712e-03 4.627449410950578530e-04 1.250325401906642597e-01 1.465568276100993189e-03 0.000000000000000000e+00 1.774047777088776307e-03 6.698267932797823294e-03
6.739605925805797204e-02 -6.467175813756833973e-03 5.201141703972778996e-04 8.565753403883862027e-02 -4.214953830723074113e-03 0.000000000000000000e+00 2.477869024942300560e-03 -1.057732833164031806e-02
7.552793908637839282e-02 -1.851671729383546012e-03 -3.751641578342450106e-04 8.574664260307215957e-02 -3.940488874744575189e-03 0.000000000000000000e+00 1.576540554385904127e-03 -5.627919309117298922e-03
4.834939029620068107e-02 -6.575925255842112946e-03 -6.572218513846821435e-05 7.498074936570965632e-02 -3.249022726657628882e-03 0.000000000000000000e+00 8.388329788776947979e-04 -1.757952188074845754e-02
3.942255127002830539e-02 -9.883037489269937831e-03 1.321277640402647620e-04 6.981625346022322931e-02 -4.554589430926557839e-03 0.000000000000000000e+00 -6.800140396829811289e-04 -1.540818899435573465e-02
1.032021504501989817e-01 -7.456759506483704239e-03 -3.762364576235363491e-04 1.117602375005411486e-01 -3.695905051031109223e-03 0.000000000000000000e+00 -1.484093122957386211e-04 3.119223277091924020e-03
5.822600879999929868e-02 -7.383716340706443330e-03 -6.018589938048069313e-04 9.133574727469807863e-02 -4.075046783055012896e-03 0.000000000000000000e+00 -1.699770927334232160e-03 -1.934934542979830155e-02
4.388536775120466943e-02 -6.582003687449974882e-03 -1.107200395539019937e-04 6.881008507241349881e-02 -2.897912297529553829e-03 0.000000000000000000e+00 -8.701750422965176838e-04 -1.446390625437890542e-02
4.742038033744333525e-02 -7.525789517601992260e-03 1.184258170635651758e-03 5.610415977884901373e-02 -3.606866390597584463e-03 0.000000000000000000e+00 1.278570808842523047e-03 -1.395251268425956445e-05
4.270624342158593073e-02 -1.171180721974388744e-02 2.647346516893082203e-05 7.229753568494194649e-02 -3.593072477087744417e-03 0.000000000000000000e+00 -1.946972824588899921e-03 -1.236591320710440055e-02
1.467082170810650975e-02 -1.326852646846464999e-02 -7.340298131419423721e-05 4.543111582836909662e-02 -1.305468416551209274e-03 0.000000000000000000e+00 -7.682327583810130310e-04 -1.534466349555152140e-02
6.802503284972407326e-03 -1.670591597628617170e-02 2.065046985687513342e-04 3.390462881784048893e-02 -1.942008563112878651e-03 0.000000000000000000e+00 -3.326143708800701555e-04 -8.328091321157705604e-03
3.509747383254334212e-03 -1.327560074014931361e-02 3.290667205126518305e-05 3.794548574369229627e-02 -5.336881102767512298e-03 0.000000000000000000e+00 -9.261544639933775701e-04 -1.493000872557901856e-02
-1.790088990190190008e-02 -9.872830334944127095e-03 -7.909343710994470433e-04 2.078938972313398165e-02 -1.973582560677867182e-03 0.000000000000000000e+00 -1.102144442284121243e-04 -2.594271791408602965e-02
-1.166020527944459061e-02 -1.380098791532666236e-02 -3.379962057983018804e-03 2.932654295741654940e-02 -3.864010674731252828e-03 0.000000000000000000e+00 -1.011995815648139433e-03 -1.892979177317205899e-02
-4.758651655579239359e-03 -1.392101134435441874e-02 -1.649536375076773300e-03 3.651949446402196625e-02 -2.595506429814156517e-03 0.000000000000000000e+00 -2.467562939635592175e-04 -2.286533567639228645e-02
5.407633586703592538e-02 -1.348957257284719331e-02 -9.172248126420208536e-04 7.342638539986529045e-02 -1.298827835009885683e-03 0.000000000000000000e+00 -1.448714016140206177e-03 -2.195710296190045603e-03
2.893324587937299783e-02 -1.899852102043190008e-02 -3.296666076669016367e-03 6.754265684806136372e-02 -4.088966510809039466e-03 0.000000000000000000e+00 -1.745593431792176161e-03 -1.047966392898625268e-02
2.450390718367467108e-02 -1.496065408131570448e-02 -1.331692360346103856e-03 5.629733412840394469e-02 -4.579014345033358829e-03 0.000000000000000000e+00 -1.896331223400020069e-03 -9.025734934634080733e-03
5.252934826065923379e-02 -1.103044603373166607e-02 -5.942251614732557349e-03 6.885225410901474330e-02 -1.355739646955601190e-03 0.000000000000000000e+00 -1.553027764656879004e-04 2.160834223529979614e-03
1.958522599740101788e-01 -7.469116587350353720e-03 -3.097675528589440702e-03 2.039839961869572005e-01 -2.864755366155797602e-03 0.000000000000000000e+00 4.168388553348333601e-03 1.131422715800255640e-03
2.041625784946591027e-01 -8.223032337549760623e-03 -4.118472292028880002e-03 2.288413803517877487e-01 -2.974723061283086542e-03 0.000000000000000000e+00 2.299217597872208006e-03 -1.166179176413912298e-02
2.511507787471163877e-01 -1.513322186657883178e-02 -3.400936763093467124e-03 2.695146867667609358e-01 -5.523356798931019530e-03 0.000000000000000000e+00 4.492278332875287278e-04 5.244379575671262797e-03
3.029123086708466750e-01 -1.199929939763335479e-02 -3.804851113595993442e-03 3.429226810652355462e-01 -4.216592527097462809e-03 0.000000000000000000e+00 -2.971555482354057052e-04 -1.969247380782664439e-02
2.300282285020586182e-01 -1.063466005797784018e-02 -2.149103571128783453e-03 2.347798589073084585e-01 -3.364890893235010798e-05 0.000000000000000000e+00 2.769145753863060284e-03 5.296636378926143467e-03
1.882169714839021513e-01 -7.247715505139343609e-03 -1.775577626747840013e-03 1.854699663559760958e-01 -2.408615323536613534e-03 0.000000000000000000e+00 4.104282762615592099e-03 1.007463082073423340e-02
8.310335600466135786e-02 -1.775298382676133296e-02 3.968638926811043411e-04 1.060744946761796037e-01 -2.121158013435495496e-03 0.000000000000000000e+00 2.842602360455027000e-03 -6.336463084457587269e-03
8.270824014562593030e-02 -1.797197457575730808e-02 2.106645583665831955e-04 1.037845572394513471e-01 -3.017276727756164085e-03 0.000000000000000000e+00 4.741170333858722198e-03 -5.038900682537239203e-03
1.947130285040439279e-01 -1.751409049136404966e-02 -3.925993368939833996e-04 2.086038217581120402e-01 -1.876403630215985746e-03 0.000000000000000000e+00 6.284579281992264815e-04 5.263842276206649913e-03
1.370378936952234006e-01 -1.173224446907506456e-02 -4.670413506566506619e-03 1.599545814352941187e-01 -2.508338514766463544e-03 0.000000000000000000e+00 3.351573208038639319e-04 -4.340848570466574602e-03
6.605273536393958811e-02 -1.187503160470065357e-02 -3.275711564428113350e-03 8.830358494722723162e-02 -6.847444314299813012e-04 0.000000000000000000e+00 3.796892577870296381e-03 -1.021225456059918039e-02
2.670360009480050867e-02 -1.091407406876369543e-02 -5.162657766582586655e-03 5.259151604241368849e-02 -3.514849260036401711e-03 0.000000000000000000e+00 2.505429902293718029e-03 -8.801764754524215792e-03
5.567682037087878788e-02 -3.974093775624637156e-03 -2.731780474143673601e-03 5.011818251733671237e-02 -1.030087636651017772e-03 0.000000000000000000e+00 3.448001831606178468e-03 9.846597908355236850e-03
5.165953308366541541e-02 -4.026126968530401376e-03 -3.045903566112203968e-03 5.865931667925605025e-02 -5.236705929684519825e-03 0.000000000000000000e+00 1.479289851347677853e-03 3.829663017388820496e-03
9.805768968702231747e-02 -8.136487376259656651e-03 3.482936444669272602e-04 9.406673910150173401e-02 -3.949322774842987417e-03 0.000000000000000000e+00 -1.486985722861145528e-04 1.587716566444244762e-02
1.704891634107491560e-01 -9.850291326222710905e-03 -1.699398080513642162e-03 1.538002348547050924e-01 -7.831355689401552035e-04 0.000000000000000000e+00 2.734540008994807651e-03 2.628721352272577264e-02
1.516966561261514079e-01 -1.035831736284166180e-02 -2.790561972473109414e-03 1.403184122370009779e-01 -5.236246661786567126e-04 0.000000000000000000e+00 5.325298103831692170e-04 2.451821808026065710e-02
9.438533611476743190e-02 -1.520510191082442321e-02 -3.819741140192689467e-04 1.081848447057002227e-01 -1.310374008392241330e-03 0.000000000000000000e+00 2.631296705855496430e-03 4.666447364476583896e-04
6.453885877329915144e-02 -1.810219727089928260e-02 3.992894954331826975e-04 8.318905203117533953e-02 -7.739279195301699893e-04 0.000000000000000000e+00 1.757624534208361523e-03 -1.930982097088292191e-03
7.706424329486340208e-02 -1.722799049405085783e-02 8.297784635269829468e-04 1.008732296062019446e-01 -8.774419220585543203e-03 0.000000000000000000e+00 1.887550585766845394e-03 -5.239056459959820413e-04
9.359471958042560324e-02 -1.560880721871100302e-02 7.499873194926283989e-05 1.040593251007357473e-01 -2.089524815993911485e-03 0.000000000000000000e+00 1.702298407993460940e-03 5.456429374452028032e-03
7.232199588745093222e-02 -1.700165940806667997e-02 -5.311953383832641569e-04 8.987197145646126650e-02 -3.941187649252566282e-03 0.000000000000000000e+00 4.809197547833435164e-03 -8.851307211412973164e-04
5.843011503997510431e-02 -1.212104565241469561e-02 -8.184235920692877831e-04 8.058683140057479322e-02 -2.835829870036978440e-03 0.000000000000000000e+00 1.799729026124284505e-03 -8.181146272202996506e-03
2.961977323435826745e-02 -2.241068059066965781e-02 -2.272867047530829996e-03 6.993470945694339747e-02 -1.278444940027612716e-03 0.000000000000000000e+00 2.854283987980121753e-03 -1.720722763233714647e-02
2.931389309277272065e-02 -3.641847607334663950e-02 -6.212432604682910614e-05 8.837713212204054147e-02 -6.233280407042296467e-03 0.000000000000000000e+00 1.518613745988207876e-03 -1.786797196882028080e-02
3.596603124464019252e-02 -2.253756926862522311e-02 -6.652213169505620614e-04 9.100959410059185350e-02 -4.187680798698054790e-03 0.000000000000000000e+00 -1.304158430816479961e-04 -2.752267562859617156e-02
