Total Atlantic Indian Pacific Arctic Southern
2.117166740111232404e+00 2.067497650382738861e-01 2.259842001752386587e+00 -2.069802733325668276e-01 -1.424447533468609639e-01 0.000000000000000000e+00
2.317154463781535778e+00 1.449335771355676761e-01 2.496493544874683668e+00 -2.401828220520045576e-01 -8.408983617671195177e-02 0.000000000000000000e+00
2.510521682536455579e+00 2.177177877952781171e-01 2.827015762692875800e+00 -3.188432435573158030e-01 -2.153686243943848944e-01 0.000000000000000000e+00
2.928408318904700547e+00 1.633329750358218924e-01 3.040343087097196140e+00 -1.385566559959691413e-01 -1.380517630074575841e-01 0.000000000000000000e+00
8.056181460486138590e+00 9.044787590899792118e-01 6.329370763682720558e+00 1.217838736419514511e-01 7.005480640714747409e-01 0.000000000000000000e+00
8.118834117385887339e+00 8.693540126826215797e-01 6.754205956028303426e+00 8.774738297073324256e-02 4.075267657042396241e-01 0.000000000000000000e+00
7.998108520302952940e+00 6.622502413093254159e-01 6.882486541286580994e+00 1.460615735994972297e-01 3.073101641075450807e-01 0.000000000000000000e+00
8.063053915040569564e+00 7.656933927375686455e-01 6.912527572948237164e+00 1.918629506722739630e-01 1.928056222052456359e-01 1.643764772550833668e-04
7.311445253177900838e+00 6.969695369529576023e-01 6.407124052568209827e+00 1.049870607867969124e-01 1.023646028699273930e-01 0.000000000000000000e+00
7.036030119257165261e+00 6.644786663427065809e-01 6.270837697978089764e+00 8.647027835874734891e-02 8.119748704443981863e-03 6.123727873183248613e-03
8.435753487428993225e+00 1.081355012257148474e+00 7.012884714886534532e+00 1.582001276734784911e-01 1.833136326118361970e-01 0.000000000000000000e+00
9.301537586471670949e+00 1.023892146235318101e+00 8.145266398789795304e+00 1.518755107309158886e-02 1.144551702036199076e-01 2.736320169851214242e-03
1.155511599002942091e+01 1.118685082443089618e+00 1.030166413509524759e+01 9.771055742156161891e-03 1.203077634910504345e-01 4.687953257864018244e-03
1.517921382411327613e+01 1.688228490373447466e+00 1.361380914416983323e+01 -1.914925857137394771e-01 6.866877528371828632e-02 0.000000000000000000e+00
1.748367072673158518e+01 1.964502129436645594e+00 1.614941162694264776e+01 -9.563326998203071083e-01 3.250559854984650943e-01 1.033684674159843827e-03
