Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-4.394821107715021075e-02 4.761597645394360576e-03 3.590229912952140889e-01 -4.616391835495105012e-01 7.663044962100185910e-04 2.634539544062860280e-03 1.118966227628084452e-03 4.938657326385088864e-02
-2.219807396607008099e-01 5.360247350182369488e-03 2.637102390354798542e-01 -5.281876951042155932e-01 5.699068564217012986e-05 6.982314494157679935e-03 5.799677332214660990e-04 2.951719614483135773e-02
-2.279799181000448649e-01 5.408083518196778183e-03 2.375833922583354685e-01 -5.022291990540139750e-01 3.613842478665947974e-05 4.326011478885045600e-03 1.087633526826411014e-03 2.580802174693866066e-02
-1.354830906372345156e-01 5.609302325784396026e-03 2.924610764173162236e-01 -4.597089444481248788e-01 3.796512366332256293e-05 -2.189155214679004962e-03 6.044037096360472920e-04 2.770226144916932906e-02
-2.645960068999081080e-02 1.946178312785194677e-03 3.264851876494814786e-01 -3.910322385212229301e-01 1.486386698429177687e-04 4.562223985651803681e-04 1.693110437892414661e-03 3.384330036266505054e-02
-8.184074252248629703e-04 4.719443252856440028e-03 4.105552899655625088e-01 -4.361836003029434528e-01 0.000000000000000000e+00 -3.817043154049779442e-03 1.658697726961819727e-03 2.224880508638753598e-02
9.857211140420879536e-02 4.676838162998438533e-03 3.907566186804282138e-01 -3.426055566372926964e-01 6.820011599976261553e-05 2.588039506307717851e-03 1.275107180524566583e-03 4.181286439524283666e-02
-2.004112898219333541e-02 6.705726881064322589e-03 4.022480198094817161e-01 -4.671513454570789259e-01 9.043014532174731138e-05 -1.113581897855357890e-02 9.666624690004529171e-04 4.823519614857086496e-02
3.913333675789803200e-03 5.150267975668507831e-03 3.621753441009398777e-01 -4.044515486050009878e-01 0.000000000000000000e+00 -6.523838525405709077e-03 1.226548675543296914e-03 4.633656005404476058e-02
1.322686092783226242e-01 3.870853956907534602e-03 4.531532561334687959e-01 -3.536144337078829802e-01 3.892012592541277036e-05 -6.150211251363020722e-03 1.676939403524334510e-03 3.329328461774253012e-02
