Total Atlantic Indian Pacific Arctic Southern
-1.611032081486540313e-01 1.001959362926857153e-02 -2.544253308957007964e-01 -9.968044864336885608e-03 0.000000000000000000e+00 9.327057398211510697e-02
2.851062737557619881e-02 3.580341972440787522e-03 -2.285978958967938290e-01 5.236520199671613335e-02 0.000000000000000000e+00 2.011629793032131130e-01
-6.195555286068291784e-02 -4.882620021232695132e-03 -2.130059687646866373e-01 1.109087075890738405e-02 0.000000000000000000e+00 1.448421651663290566e-01
-4.531236428154656812e-03 -2.842109226227770673e-03 -1.753106445229914712e-01 1.855744655355899206e-02 0.000000000000000000e+00 1.550640707675056129e-01
-1.832273742548538309e-01 -1.677915151846420469e-02 -2.016951097040450835e-01 -2.607468750264246848e-02 0.000000000000000000e+00 6.132157447029792235e-02
-1.450808089589206706e-01 -1.098214135138631496e-02 -3.274720202806685188e-01 2.432556255901320748e-03 0.000000000000000000e+00 1.909407964172327998e-01
-2.492047303716601048e-01 -1.874502341744729850e-02 -3.665500974039589410e-01 -2.541314046574806931e-02 0.000000000000000000e+00 1.615035309154942977e-01
-1.127835666595553531e-02 2.261817454792765594e-02 -2.527968567891059615e-01 3.524516941705494941e-03 0.000000000000000000e+00 2.152004180782945697e-01
-8.953925146277251501e-02 4.067182655995086465e-02 -4.240595301648474869e-01 -1.554965089927332934e-02 0.000000000000000000e+00 3.093981030413975319e-01
-2.998265813056095186e-01 1.255340354288312851e-02 -6.477735415405371233e-01 5.114042315817807910e-02 0.000000000000000000e+00 2.842531335338663312e-01
-3.068791766159282841e-01 1.670496329922768752e-02 -3.455526467158914761e-01 -7.016301199008862302e-03 0.000000000000000000e+00 2.898480799974439970e-02
-2.825372406512832724e-02 -1.014734421297960052e-03 -1.689712787592756171e-01 -7.929422276610895853e-03 0.000000000000000000e+00 1.496617113920561681e-01
-1.195632200983759788e-02 8.316763565773559533e-03 -8.774417935203526753e-02 -4.334063836668948511e-02 0.000000000000000000e+00 1.108117321431135865e-01
1.193432841358198493e-01 9.690487141924166228e-03 5.920178974119760231e-04 4.934888449101932500e-02 0.000000000000000000e+00 5.971189460546440231e-02
-1.407149665707569663e-01 1.958513562875683288e-04 -1.446341933311530992e-01 -5.034127205744480527e-02 0.000000000000000000e+00 5.406464746155335149e-02
4.018036436954438781e-03 -1.257213052788287884e-02 -1.896779903820804136e-01 8.191752532377281903e-02 0.000000000000000000e+00 1.243506320231448914e-01
-1.172046986734527341e-01 -3.168856698668695571e-02 -2.009293283049098933e-01 1.291054631584644292e-02 0.000000000000000000e+00 1.025026503022976876e-01
-6.275304793459561548e-02 -3.060087350022749897e-03 -2.035866029645293229e-01 8.957177101312363207e-03 0.000000000000000000e+00 1.349364652786440855e-01
-2.870914923077034775e-01 -2.764640189198688119e-02 -3.762587241190362697e-01 -1.588628537024387374e-02 0.000000000000000000e+00 1.326999190735635992e-01
-2.311499126081296707e-01 -2.954492762405743541e-03 -4.402281091111481248e-01 -1.971819471163022489e-02 0.000000000000000000e+00 2.317508839770544282e-01
-3.177858780984890719e-01 -2.494844816740935875e-02 -3.978477709107681171e-01 -2.446171095332931242e-02 0.000000000000000000e+00 1.294720519330176400e-01
-1.629460556277646521e-01 -2.622159668658330736e-03 -3.081580480250885046e-01 -4.873161732194031953e-02 0.000000000000000000e+00 1.965657693879225287e-01
-3.113398543467516544e-01 -8.752580219819248997e-03 -3.232551950473164237e-01 -5.036925743923450355e-02 0.000000000000000000e+00 7.103717835961860516e-02
-7.181249957777731396e-02 4.944047144892549372e-03 -1.751058548036577012e-01 -1.739624620351572226e-02 0.000000000000000000e+00 1.157455542845036295e-01
-1.697167552656746459e-01 -1.256621107839185148e-04 -1.626101216739857247e-01 -2.867064419617162963e-02 0.000000000000000000e+00 2.168967271526661689e-02
2.560501304672077247e-02 -8.026574661865567423e-03 -8.043075184174712511e-02 2.006259060329293811e-02 0.000000000000000000e+00 9.399974894704050954e-02
-1.174034567599689105e-01 -6.520177107638949667e-04 -1.684228866194674989e-01 -1.434732303689927220e-02 0.000000000000000000e+00 6.601877060716174195e-02
1.026196804537679586e-01 -3.217900257503304804e-03 -1.708924585872943214e-01 5.609815719648345717e-02 0.000000000000000000e+00 2.206318821020821219e-01
-1.706049035515883050e-01 5.902679857763775892e-03 -3.284913581379592662e-01 8.496418503538280889e-03 0.000000000000000000e+00 1.434873562250688905e-01
-3.272369695128046069e-02 8.171062608881249009e-03 -1.548973774561495653e-01 -6.716133167900671663e-02 0.000000000000000000e+00 1.811639495749946260e-01
-1.639609320074985055e-01 4.200543217951763567e-03 -2.727660582397005706e-01 -7.196249412616315122e-02 0.000000000000000000e+00 1.765670771404133921e-01
-7.288036799591358916e-02 7.584222439021845626e-03 -2.000027826511908413e-01 -6.387083736381080068e-02 0.000000000000000000e+00 1.834090295800662740e-01
-1.657062585969555357e-01 5.362801927421488287e-04 -2.163393314343221019e-01 -6.830323615668511261e-02 0.000000000000000000e+00 1.184000288013095092e-01
-4.673235306741674311e-02 -6.340160650606023116e-03 -1.001589520760179514e-01 -5.728484233695860239e-02 0.000000000000000000e+00 1.170516019961658355e-01
-2.231776167579128667e-01 -6.781242422495291182e-03 -2.418419018279752142e-01 -8.225089773292393325e-02 0.000000000000000000e+00 1.076964252254814930e-01
2.587565933758112849e-02 -8.686469330361542424e-03 -1.706748528810030918e-01 3.931378971885712142e-02 0.000000000000000000e+00 1.658964779804766310e-01
