Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-2.243588602036520641e+01 -7.270379349498919730e+00 -5.822909802265074042e+00 -4.289515426273735055e-02 -2.109699967368742435e+00 0.000000000000000000e+00 -3.252759648667536974e-01 -6.864725782102956586e+00
-2.168345598602381585e+01 -7.312363998955085265e+00 -6.049237681472193096e+00 -2.037874538051350215e-01 -1.407705720674721439e+00 0.000000000000000000e+00 -3.154379578290170127e-01 -6.394923173287653917e+00
-2.117053511741589844e+01 -7.401942656760102324e+00 -5.315678791474128140e+00 -1.988294181660824889e-01 -7.451358724181142978e-01 0.000000000000000000e+00 -3.597770121100426488e-01 -7.149171366487420798e+00
-2.078590925049243054e+01 -7.724891645147398123e+00 -5.449095775794115859e+00 -3.120884677144868391e-01 -5.194475998261036676e-01 0.000000000000000000e+00 -3.373845231033715253e-01 -6.443001238906949091e+00
-1.983036788484127655e+01 -7.825507424901424258e+00 -5.054318986346825859e+00 -2.368273390348333285e-01 -2.261690465643351466e-01 0.000000000000000000e+00 -3.595070823565825191e-01 -6.128038005637288954e+00
-1.848305494331811616e+01 -7.766062539375103491e+00 -5.106703643821387750e+00 -3.028291600911605097e-01 5.924030154887371946e-01 0.000000000000000000e+00 -3.940534477643304334e-01 -5.505809167754883937e+00
5.519449775394125179e-01 2.783690612879486714e+00 -4.081031748821521532e+00 3.422677605529236833e-01 6.854811610045498105e-01 0.000000000000000000e+00 1.953463011151743145e-01 6.261908908088028580e-01
2.385048983751751450e+00 4.105493234926343327e+00 -3.878630607219270665e+00 4.528731518538993694e-01 6.055078684400901912e-01 0.000000000000000000e+00 2.086894023691040767e-01 8.911159333815875661e-01
3.847971399018617955e+00 4.440747342034119249e+00 -3.214806389579917933e+00 4.303863390262347988e-01 9.065045427776379228e-01 0.000000000000000000e+00 1.140160447605561289e-01 1.171123519999991425e+00
3.373480170897170893e+01 1.934029104120157072e+01 8.705478329899314638e-02 1.674128352621893967e+00 1.134468896031002282e-02 0.000000000000000000e+00 9.967426428274164252e-01 1.162524020006152270e+01
3.627659389263837397e+01 2.161699050518350873e+01 -3.223537254691634102e-01 1.493591588268228465e+00 4.890587822815543051e-01 0.000000000000000000e+00 1.042987396766352326e+00 1.195631934560787180e+01
4.406108678443820281e+01 2.827851563484603759e+01 -1.389352240495326685e+00 1.572793100560185175e+00 7.954024403930914922e-01 0.000000000000000000e+00 1.150038784095656741e+00 1.365368906503854873e+01
5.713484320110559622e+01 3.850447426541978757e+01 -1.195903494081747898e+00 2.041069922507206424e+00 1.118461375295981108e+00 0.000000000000000000e+00 1.172053332566780126e+00 1.549468779939755869e+01
6.930106456459164121e+01 4.771378115845502066e+01 -5.142042156042685441e-01 1.843692049967047941e+00 1.401243598984088345e+00 0.000000000000000000e+00 1.041497908059804578e+00 1.781505406472983211e+01
7.388689405966520951e+01 4.811259777911820379e+01 1.287940711779137493e+00 1.982229042994996027e+00 1.289255557648038675e+00 0.000000000000000000e+00 1.380686082635917300e+00 1.983418488548892000e+01
6.900983327567438153e+01 4.231028348556192498e+01 3.201378585740894955e+00 1.797144038326551785e+00 8.773586476278315560e-01 0.000000000000000000e+00 1.357253802813199295e+00 1.946641471560394976e+01
2.302658293757427543e+01 1.882855715490030946e+01 -3.156565792775329449e+00 5.885202066479677807e-01 8.792945011945760836e-01 0.000000000000000000e+00 3.920932031483723157e-01 5.494683664458369421e+00
1.854210910948133062e+01 1.479408259754210775e+01 -2.253405766234680030e+00 6.165316177991158053e-01 5.199971472881887991e-01 0.000000000000000000e+00 3.023318379872207418e-01 4.562571675099372115e+00
1.444567044370408482e+01 1.134181573126348752e+01 -2.270241114534933491e+00 4.734517429274359701e-01 4.847122515070753090e-01 0.000000000000000000e+00 2.900445979630570936e-01 4.125887234577938933e+00
1.583660385295845074e+01 1.182080190215275373e+01 -1.879753782687892949e+00 6.731151513782754892e-01 2.922233844672124659e-01 0.000000000000000000e+00 3.916221779960523675e-01 4.538595019652055029e+00
5.656242919543406344e+01 3.629707335113791800e+01 -2.211877733169733684e-01 1.755449948767066726e+00 5.728556890083075226e-01 0.000000000000000000e+00 1.065339807413169471e+00 1.709289817242455456e+01
6.354460153394418853e+01 4.236186799326816299e+01 -1.477726571920529308e-01 1.510410978468420096e+00 5.650606418174997092e-01 2.186101939271292878e-03 1.018023488368550833e+00 1.823482498727425138e+01
6.257844636747227440e+01 4.051256280747232097e+01 2.538616064917395554e-01 1.786159168874301040e+00 6.299342605390958472e-01 0.000000000000000000e+00 1.035576023709811500e+00 1.836035250038496258e+01
6.087365966516723859e+01 3.885957428117769297e+01 9.156073049198072411e-01 1.737570886471784704e+00 4.570843361832729324e-01 4.024393894243025356e-03 9.968849909961444711e-01 1.790291347152426482e+01
5.638564994240918082e+01 3.501424008110653574e+01 1.205642409281245442e+00 1.411488278637205829e+00 4.355858456033910864e-01 0.000000000000000000e+00 1.022944058550989022e+00 1.729574926922986222e+01
4.994636386098288483e+01 2.997443214641736020e+01 1.218562074363648051e+00 1.225603802372537965e+00 2.196681145904066101e-01 0.000000000000000000e+00 8.306891958754671901e-01 1.647740852736344053e+01
4.349383889080182541e+01 2.403738785025226221e+01 9.019952257810723850e-01 1.289320742434020062e+00 1.984380003876532461e-01 2.880160135517362188e-03 8.505485266181771475e-01 1.621326838519311409e+01
4.199235657679383849e+01 2.317653293515914825e+01 8.711846355774385264e-01 1.417500932638962263e+00 2.214175629137217494e-01 2.119483990842462029e-02 7.590313020864969396e-01 1.552549436850963005e+01
-2.232344592827511676e+01 -6.228948843140130975e+00 -1.473132765736235861e+00 -1.030197246456560300e+00 2.177398009296115794e-02 -8.041070753229214232e-03 -6.055546722052487230e-01 -1.299934531007667537e+01
-2.436970032086810889e+01 -8.046995163340309176e+00 -1.412864127242701606e+00 -1.106294496654692150e+00 1.487584696267586770e-02 -7.128221362284255670e-04 -6.765325487251777625e-01 -1.314117700973168468e+01
-2.741895092774999299e+01 -1.044849364852612084e+01 -1.467328588878946682e+00 -1.358587665724084292e+00 3.127401925754872553e-02 0.000000000000000000e+00 -6.715515440159671723e-01 -1.350426349986244112e+01
3.574854455746646664e+01 2.898683127402127724e+01 -3.591345238062311762e-01 5.055388187928905319e-01 6.939501679801207690e-01 2.044500740063390980e-04 2.368457323424391359e-01 5.684308638061944308e+00
3.903383696185322549e+01 3.107125138809396603e+01 -3.829111923453177857e-01 4.510213972728073784e-01 4.078462912768550108e-01 -2.775079173430194425e-03 1.880761295626997842e-01 7.301328027165645551e+00
3.231584352403120874e+01 1.422448205381543929e+01 9.913118542719205895e-01 1.444242128207878118e+00 1.450000533857908891e-01 3.779444823404122522e-03 6.301839712549940353e-01 1.487684401827178604e+01
3.183721421469642721e+01 1.317747784730020300e+01 1.278726671001614301e+00 1.321777438368026303e+00 4.258599206095816520e-02 1.568428425097779730e-02 6.890064862944540458e-01 1.531195549542016465e+01
3.256839395370094081e+01 1.401700809869275233e+01 1.284591682417826508e+00 1.139747471508588905e+00 9.574666358261987864e-02 1.288776875567145333e-02 5.768024489174723435e-01 1.544160981982600056e+01
3.490085622304313517e+01 1.514769529388066616e+01 1.624872991164110658e+00 1.322853963695073132e+00 2.115886540691769568e-01 5.549183362534290849e-03 7.527631312379508000e-01 1.583553300563359834e+01
3.893249102047545307e+01 1.747695501902736126e+01 1.923390682156892906e+00 1.147824941503928553e+00 2.077529992823216320e-01 6.428532701352751740e-03 5.141710967080412864e-01 1.765596774909552025e+01
4.300694122944461384e+01 1.911611161825045713e+01 2.885990397139976515e+00 9.547059109983944136e-01 1.898509933309203424e-01 1.123031108475690786e-02 6.743896244149700792e-01 1.917466237422509678e+01
4.559696433240225844e+01 2.024981572125176044e+01 3.358055327232698506e+00 1.078301744765444159e+00 1.723121473086146049e-01 7.151957038805286694e-03 5.757852640938566635e-01 2.015554217071111154e+01
4.662244662427580266e+01 2.058607274898500705e+01 3.734442110771157619e+00 1.113191576609827926e+00 3.078248756053567070e-01 2.353158027370910038e-02 5.107622319005266087e-01 2.034662150013017268e+01
4.650185928542115477e+01 2.108851424813198605e+01 3.916274663831756264e+00 1.055663402735936618e+00 1.521566752946063306e-01 1.490690294952708161e-02 4.490073773071665553e-01 1.982533601517021893e+01
4.503342738080267793e+01 2.276103763618771225e+01 2.569694584124142089e+00 1.069484108727134286e+00 7.409839439969033437e-02 2.533527769399035803e-02 2.659830714838015697e-01 1.826779430818614713e+01
3.607251609481311050e+01 2.346529612395860909e+01 -2.152088363356472911e+00 9.728820600824015230e-01 -3.229373611570499764e-02 1.844756705166228014e-02 5.506728498704699382e-01 1.324959959332221615e+01
3.188089403475817107e+01 2.097402812026610164e+01 -3.536181253937646485e+00 7.014483584150918993e-01 5.868927443997617663e-03 1.028224213662874177e-02 2.572591304577723781e-01 1.346818850997630790e+01
2.202685170283633909e+01 1.007465644854790909e+01 -3.420497569423485706e-01 5.593020236147445701e-01 2.996562343301373971e-02 1.232627372155947580e-02 1.815358050765460834e-02 1.167449750995381486e+01
1.812915486795565556e+01 1.088191291954316675e+01 -4.184338820079180010e+00 5.030712719067342853e-01 1.699459745527631335e-02 1.281556659852675986e-02 1.857420906242993330e-01 1.071295724190682463e+01
2.102438576404506776e+01 1.810405794006501168e+01 -8.948095080803820878e+00 6.717281351796838829e-01 -1.676753800429615360e-01 1.496157611311126762e-02 1.960735433939182204e-01 1.115333503014011285e+01
1.737403017833328533e+01 1.729739974857037055e+01 -1.103710678107828436e+01 6.767781118400583162e-01 -1.364053969424118273e-01 1.407804555088234405e-02 1.611923813910184633e-01 1.039809406900169542e+01
1.417609814422335823e+01 1.749510309595749291e+01 -1.279239666639670503e+01 5.554918219170771332e-01 -1.978124415387517154e-01 2.181833028732637139e-02 2.046587193006458860e-01 8.889235284696242800e+00
6.223223823663825982e+00 9.501119325160324536e+00 -1.064455904058583613e+01 1.369448587449472177e-01 -1.275289856134805833e-01 2.124414375097401220e-02 1.917814566004128959e-02 7.316825376546831627e+00
7.071280211807946081e+00 1.122902211817546636e+01 -1.028419199853215282e+01 2.339872593594076455e-01 -2.893101877533818533e-01 7.006469473425253405e-03 -1.787772439927993659e-02 6.192644275484443739e+00
7.717142933831421026e+00 1.181626374041125338e+01 -1.103223196318012178e+01 1.839544156337621361e-01 -2.223999380085218414e-01 3.526404226191535984e-02 8.002211474947837355e-02 6.856270521963674369e+00
