Total Atlantic Indian Pacific Arctic Southern Stratosphere None
4.771166998240816781e+01 2.081390102158972855e-01 1.246133050808347353e-01 3.654832837346005903e+01 5.935776991220724774e-01 0.000000000000000000e+00 1.217849877949652937e+00 9.012159204778498633e+00
4.828981614099832598e+01 2.754503571672253792e-01 1.955200181831463768e-01 3.713152490216723578e+01 5.775396694673843312e-01 0.000000000000000000e+00 1.063000362361226303e+00 9.046780831652069921e+00
4.862219261010262983e+01 1.699148442531077385e-01 2.159584497767934042e-01 3.620889873272308535e+01 7.065428693526996096e-01 0.000000000000000000e+00 1.182047879788071798e+00 1.013882983420888095e+01
5.029906440168041826e+01 2.735826875032654759e-01 1.954934033851002118e-01 3.733651604769334398e+01 5.522625760692959629e-01 0.000000000000000000e+00 1.193506371564282631e+00 1.074770331546514335e+01
5.613126820960241048e+01 -7.196002539157325510e-03 2.759321685160392446e-01 4.154145612197716986e+01 5.934114984695680883e-01 0.000000000000000000e+00 1.211278568713249904e+00 1.251638585446556817e+01
6.363826572693784556e+01 2.820684993198597779e-01 3.763380226853225152e-01 4.826759024622784011e+01 4.600692579378757308e-01 0.000000000000000000e+00 1.189199221231654446e+00 1.306300047953530985e+01
6.824938394200583502e+01 -1.601190943543290002e-01 3.329209215451499060e-01 5.097340225020727900e+01 6.810276620447134333e-01 0.000000000000000000e+00 1.316070849231426143e+00 1.510608135333159474e+01
6.935887532974764724e+01 1.429966711390024403e-01 2.734554380672933327e-01 5.166464189785972394e+01 6.379128789223638130e-01 0.000000000000000000e+00 1.324432319104089872e+00 1.531543612465519999e+01
6.694950704801924246e+01 7.823802868390263843e-01 3.447979798477171509e-01 4.797024094097513824e+01 5.327867803341267416e-01 0.000000000000000000e+00 1.308208546474257217e+00 1.601109251354899143e+01
6.582990359171196815e+01 8.743246328266364165e-01 3.130866968156157948e-01 4.575393535001835232e+01 6.584675286600851773e-01 0.000000000000000000e+00 1.232445630107527501e+00 1.699764375328371457e+01
6.245329206326628224e+01 1.111401157248404825e+00 3.769221358161954916e-01 4.232220888318902041e+01 5.458268732027438119e-01 0.000000000000000000e+00 1.427142822818251444e+00 1.666979019099163040e+01
3.296538614789802324e+01 4.401959099588902968e-01 3.820289573789938942e-01 2.262274531257881804e+01 4.708113430519366704e-01 0.000000000000000000e+00 8.523153465957289399e-01 8.197289278333727225e+00
3.024485746984645118e+01 2.472968347211356999e-01 3.014870524817853115e-01 2.127125608727450157e+01 4.566858780064580459e-01 0.000000000000000000e+00 8.353201455426446653e-01 7.132811471819934468e+00
2.802743156412395464e+01 2.524373468989759006e-01 2.261386388720621476e-01 1.948195366486431013e+01 3.428992708263363665e-01 0.000000000000000000e+00 8.553310279289141338e-01 6.868671614733337982e+00
5.321056857643550586e+01 7.436320019195048481e-01 4.018343353390778638e-01 3.546607176242389414e+01 6.128837725516490531e-01 0.000000000000000000e+00 1.101854327547407308e+00 1.488429237665394922e+01
4.910615424457712663e+01 7.293223458765979439e-01 3.869481193135469455e-01 3.172083354072866612e+01 5.539928639566688018e-01 0.000000000000000000e+00 1.213441881826372137e+00 1.450161549287528473e+01
5.027823841375630565e+01 6.785575488277280076e-01 3.558673110253497973e-01 3.255741596904876900e+01 6.563989518298984915e-01 0.000000000000000000e+00 1.210235082601163192e+00 1.481976355042333182e+01
-3.524344819761312309e+00 2.005751550973659536e-01 -7.761156102396550571e-02 -2.699044938114387282e+00 -1.614047853647317676e-01 0.000000000000000000e+00 -3.927656085668266295e-01 -3.940930817887683402e-01
-4.367188520015758080e+00 4.217099545459523369e-01 -2.172361085074296372e-01 -3.391460807772417319e+00 -1.668190057983670316e-01 0.000000000000000000e+00 -2.574086024926336425e-01 -7.559739499908554317e-01
-7.016297534939702985e+00 1.597427480610821016e-01 -1.672279476173502144e-01 -4.749942909787720602e+00 -1.284812092292487995e-01 0.000000000000000000e+00 -3.967116656519305562e-01 -1.733676550714532638e+00
4.737637356473386774e+01 1.076875922764925164e+00 3.861974073604446112e-01 2.957762736601298315e+01 7.147401476931104503e-01 0.000000000000000000e+00 1.125868878853007571e+00 1.449506384204943465e+01
4.534584172571641147e+01 1.344860111487642840e+00 3.499295571569817631e-01 2.786835146448742861e+01 4.798865806093148834e-01 0.000000000000000000e+00 1.090458870558958404e+00 1.421235514141618950e+01
4.735363332134460279e+01 1.118102177869496172e+00 3.349552581496951786e-01 2.885909323540078475e+01 5.242349052637420570e-01 0.000000000000000000e+00 1.024953987335160077e+00 1.549229375732564229e+01
5.130264117497024046e+01 1.226222440841069572e+00 3.201968368854446467e-01 3.223231966638337553e+01 3.631953707306675994e-01 0.000000000000000000e+00 1.168488053235456237e+00 1.599221880689430364e+01
5.409131909130260851e+01 1.135981518434600268e+00 3.731045133504141131e-01 3.431682857760370098e+01 3.975276481915599458e-01 0.000000000000000000e+00 1.082360788113861494e+00 1.678551604560845334e+01
5.323579645304936747e+01 2.030844921598506936e+00 3.311193804258745765e-01 3.360258857168911817e+01 3.389663396982379173e-01 0.000000000000000000e+00 9.641762757095355685e-01 1.596810096392806066e+01
4.796760192479984397e+01 1.765775599360103421e+00 3.138426392925275366e-01 2.981387909426879901e+01 4.089544859176443836e-01 0.000000000000000000e+00 9.900531738350096811e-01 1.467509693212569744e+01
4.207557681494205326e+01 1.935840988722697720e+00 2.045006277085562318e-01 2.542829893373139782e+01 3.757070700393129736e-01 0.000000000000000000e+00 9.936474208021670584e-01 1.313758177393794568e+01
3.721039925766820744e+01 1.755033701785270628e+00 3.660718519448895591e-01 2.169249435451362729e+01 2.681866123447869676e-01 0.000000000000000000e+00 9.079106901225350024e-01 1.222070204695711837e+01
4.546581833908127379e+01 1.516839625821801985e+00 4.475673880265528815e-01 2.718839071825541254e+01 3.384534359648601609e-01 0.000000000000000000e+00 1.197629369527715815e+00 1.477693780148489111e+01
4.414000192221388374e+01 1.983218772563085874e+00 4.658510450098985456e-01 2.595222397519043867e+01 3.399185925065465463e-01 0.000000000000000000e+00 1.093252829346131438e+00 1.430553670759782037e+01
4.352246361777701367e+01 2.054300330961414289e+00 4.385932662993809461e-01 2.595193847311183433e+01 3.010333973075270397e-01 0.000000000000000000e+00 1.079271763183312638e+00 1.369732638691349180e+01
4.398383522738024709e+01 2.316887527236539235e+00 4.368172395030487376e-01 2.568076917149329574e+01 3.172191584748448867e-01 0.000000000000000000e+00 1.010655147178688207e+00 1.422148698349388596e+01
4.669539609980733985e+01 2.466383070727311111e+00 5.297964455337835776e-01 2.781804015603737312e+01 2.095740464931386549e-01 0.000000000000000000e+00 1.009305584260642874e+00 1.466229679675506503e+01
4.783062541046810168e+01 1.387851478977983000e+00 4.935602552821862776e-01 2.927844586184478715e+01 2.258064995673940423e-01 0.000000000000000000e+00 1.253129340387669988e+00 1.519183197440808364e+01
4.670050692192802444e+01 3.375529342805971833e-01 4.752085923141027846e-01 2.956227811517124948e+01 1.538910878954493910e-01 0.000000000000000000e+00 1.288077220947659862e+00 1.488349897131905131e+01
4.439156391014292780e+01 -2.108389971008982899e-01 4.555843731319602075e-01 2.830829905736546337e+01 3.009784952564737992e-01 2.156883153102491252e-03 1.152466058108473357e+00 1.438291804022826703e+01
4.108970514634502536e+01 -4.391578792158239430e-01 6.363111370154035384e-01 2.593490576318186314e+01 1.787600578484907776e-01 0.000000000000000000e+00 1.054923297860362874e+00 1.372396276965469930e+01
3.845457823515538109e+01 -1.183334646435116433e+00 5.609940171351639471e-01 2.479698883945471621e+01 1.299021466617395204e-01 0.000000000000000000e+00 1.087582377092926045e+00 1.306244550124591441e+01
3.799316207356896768e+01 -2.075998958967526065e+00 4.202679465594096886e-01 2.605372564303513272e+01 1.205884895542351093e-01 0.000000000000000000e+00 9.463797819475301409e-01 1.252819917144018724e+01
3.907425939966520900e+01 -4.653235230924530619e+00 4.597457759841567237e-01 2.929526131539131129e+01 1.072646305754612062e-01 0.000000000000000000e+00 9.254423634430656298e-01 1.293978054519575593e+01
3.779959056033786169e+01 -5.903254547174363154e+00 3.707600290113328700e-01 2.951227429856900031e+01 1.052538579458203033e-02 0.000000000000000000e+00 8.217963684535513069e-01 1.298748902568376451e+01
3.519321526639667042e+01 -5.881494456192910114e+00 4.056982240321231892e-01 2.784400285743191716e+01 8.073959852196087306e-02 0.000000000000000000e+00 7.927172378131934760e-01 1.195155180479037860e+01
4.414896117082776072e+01 -2.794759315518660525e+00 3.450152038396724907e-01 3.148224077064447712e+01 4.445889165918724684e-02 0.000000000000000000e+00 7.545170825169611462e-01 1.431748853768615071e+01
4.095306112550418476e+01 -2.949475830783967023e+00 2.840022232378201505e-01 2.946811241240792967e+01 7.343465941409749176e-02 0.000000000000000000e+00 7.002823261109913933e-01 1.337670533511725424e+01
3.651068351973067649e+01 -2.897362362825809612e+00 3.660578499596632840e-01 2.584611377853387637e+01 1.253247135340744001e-01 0.000000000000000000e+00 5.663975900756176296e-01 1.250415195045323813e+01
3.240483639487256085e+01 -3.633279317157807942e+00 2.897164268385749031e-01 2.357869931210655423e+01 6.589683789924227764e-02 0.000000000000000000e+00 5.148287281710767216e-01 1.158897440701493053e+01
2.867652740962141422e+01 -4.525062220039267835e+00 3.323231702880186100e-01 2.137927575429847948e+01 8.285428550267737169e-02 0.000000000000000000e+00 5.314963812212185612e-01 1.087564003835026227e+01
2.592172837691066078e+01 -5.609204451033624750e+00 3.297668905689389307e-01 2.042529063408438716e+01 5.918677899756893956e-02 0.000000000000000000e+00 5.129541001398609801e-01 1.020373442415353438e+01
