Total Atlantic Indian Pacific Arctic Southern Stratosphere None
9.917201754733169505e-02 3.951662831288785954e-03 6.897041360068013882e-02 5.037125003964735160e-04 6.708701525586402599e-04 0.000000000000000000e+00 2.177750121300699084e-03 2.289760834110692034e-02
8.034398526364588955e-02 1.305598655018662402e-02 4.208086273449283127e-02 1.325388541130952374e-03 8.442858352009658535e-04 0.000000000000000000e+00 4.211667015379385801e-03 1.882579458725515756e-02
4.507418143873878624e-02 1.107795773139945254e-02 2.580639276571723012e-02 6.814507517695448388e-04 -3.755337954428886920e-04 0.000000000000000000e+00 2.438768561489978656e-03 5.445145423805473547e-03
4.768270589693489325e-02 9.398659844167879876e-03 3.218545202306168779e-02 -2.339905485468520669e-04 -4.972147184587056689e-04 0.000000000000000000e+00 5.282890987172168384e-04 6.301510197993657678e-03
2.335072356290779708e-02 3.719004161835314827e-03 1.330828244471268275e-02 1.300122081472076174e-03 -1.858264810925029480e-03 0.000000000000000000e+00 1.263222059937974331e-03 5.618357625874773921e-03
-3.001758663199391008e-03 2.181661636551077577e-03 -9.981390448542877894e-03 4.876839030767555062e-04 -3.006887025159690058e-03 0.000000000000000000e+00 2.443657618683628538e-04 7.072807509006982796e-03
9.059979528760069706e-03 4.507869164658565714e-03 -1.058857206075389072e-02 1.178700619462806978e-03 -1.866233270514965374e-03 0.000000000000000000e+00 1.581363862764669729e-03 1.424685121314288316e-02
4.341009372158229421e-03 5.110993654528954780e-03 -9.076031263277344399e-03 8.914659168729025017e-04 -3.050440481107464814e-03 0.000000000000000000e+00 2.051130996917906266e-03 8.413890548223270857e-03
8.821161163104000030e-03 1.682647778582280033e-03 -7.986032817829112271e-03 1.140745388182273518e-03 -5.124068406451200673e-03 -8.532142890059942191e-05 -3.136820750779692419e-05 1.922455885702815601e-02
7.078123339465988706e-02 5.507829911645301460e-03 5.244452064323933127e-02 1.076463655158743822e-03 -2.675505026713518447e-03 7.306103836225081391e-06 8.537298469144214167e-04 1.356688826057938710e-02
9.691842407708219087e-02 -1.584181922572983113e-03 8.634942865525734035e-02 -1.690836594529298870e-03 -3.391751299239500507e-03 0.000000000000000000e+00 1.040665308539662865e-03 1.619509992962699790e-02
1.481913657253634276e-01 4.930451033619292654e-04 1.366432985147847667e-01 7.081629017996043116e-04 -5.839889797296423345e-03 0.000000000000000000e+00 1.005311577499512022e-03 1.518143742521406783e-02
9.264699305442038180e-02 -3.529386451233395942e-03 9.880783208070072210e-02 -9.591978839092235771e-05 -3.269937724771741858e-03 0.000000000000000000e+00 2.128906552628932487e-03 -1.394501614513205760e-03
8.081831196501119974e-02 -3.815339338365365297e-03 8.114905578562353616e-02 1.914118298404001405e-03 -2.052643081084706486e-03 0.000000000000000000e+00 3.353509232242757321e-03 2.696110681910084540e-04
-1.985094201942496153e-02 1.233225034046795505e-04 -7.106076704724814327e-03 1.977070250529453996e-03 -1.060112475380808536e-02 0.000000000000000000e+00 -1.326856739588492618e-03 -2.917276575237706757e-03
-2.051640118099885834e-02 3.110602358207787722e-03 -1.971859255517155810e-02 2.904455956692164956e-03 -1.160644149469873890e-02 0.000000000000000000e+00 1.417110130923247087e-04 4.651863540879157440e-03
-5.515554877267154522e-03 -4.042900869779633179e-03 -2.998271797180814685e-03 1.131838176161160909e-04 -3.460198653077091371e-03 0.000000000000000000e+00 5.231203516159094223e-04 4.349512273538365392e-03
-1.811570702011362083e-02 -4.283850643137866385e-03 1.196819656618925527e-04 -2.791549949803266793e-03 -2.734316721357437415e-03 0.000000000000000000e+00 -3.365096095072925915e-04 -8.089162061969650333e-03
-3.510393411963843441e-02 -4.937129468567514820e-03 -1.473730627354524368e-03 -1.836997861835945427e-03 -1.369477860920132253e-02 0.000000000000000000e+00 -8.069373679928486254e-04 -1.235436018468627842e-02
5.997730332630743511e-02 1.127338764932980797e-02 3.882753436628041954e-02 1.828355333620540306e-03 -3.855376358135848870e-03 0.000000000000000000e+00 2.722368443836528694e-04 1.163116549082887294e-02
1.495328338080337827e-01 1.185495220862796753e-02 1.088804871706995775e-01 -3.227175989880300545e-04 -2.053221854094610288e-04 0.000000000000000000e+00 3.230818378711778401e-03 2.609461583439195986e-02
1.602945149905687927e-01 2.477764434748680120e-02 1.056033745064630935e-01 -1.176000752148414910e-03 -9.898537631340921170e-04 0.000000000000000000e+00 2.229531849405554881e-03 2.984981880249585121e-02
7.878291624185397579e-02 2.940043985839272019e-03 7.671329643365698558e-02 -1.979434653671174801e-06 -9.679943867256936936e-04 0.000000000000000000e+00 3.689675581916087698e-03 -3.590125938179030991e-03
1.367162725403126868e-02 1.024421375560522277e-02 -1.938211235610796512e-03 3.222502515561916428e-03 -1.285379517260418214e-03 0.000000000000000000e+00 2.371150139773148605e-03 1.057351595962189314e-03
2.552361570545432640e-02 9.798074455105047764e-03 -8.754349691383254278e-03 4.015789005263274702e-03 -1.025069669466860834e-03 0.000000000000000000e+00 1.188279876857949949e-03 2.030089172907817083e-02
7.174516383267862119e-02 2.344142508837977409e-02 -3.857995659166924950e-03 2.388965520294181709e-03 7.920542552760514261e-04 0.000000000000000000e+00 5.862698193977052257e-04 4.839444480849783986e-02
8.193700500111376905e-02 2.976087005378827074e-02 7.577027623203618986e-03 2.222864729585637307e-03 4.038943365559483859e-04 0.000000000000000000e+00 1.255155688875728799e-03 4.071719256910456830e-02
4.171580357318457194e-02 2.073779396119054472e-02 3.250041873901607283e-03 3.683147648330725374e-03 -2.040260403667757544e-03 0.000000000000000000e+00 -2.593718793453418160e-04 1.634445237277478910e-02
6.704642304003938236e-02 1.818797956455332765e-02 1.700227005847659498e-03 4.761890601623309724e-03 -9.312819620756149783e-04 0.000000000000000000e+00 2.825668894743390094e-04 4.304504094061634145e-02
7.675159547825728679e-02 1.905243338319069502e-02 8.889138622305309267e-03 3.217219338139428678e-03 3.177859770978761411e-04 0.000000000000000000e+00 2.896995691476597200e-03 4.237802246604736173e-02
-6.908573831034309394e-03 -6.134946249791476194e-03 7.086442466304966950e-03 -1.546588943360851891e-03 -2.710164779173003069e-04 0.000000000000000000e+00 7.401894785063262887e-04 -6.782654104775969958e-03
-2.754655421702545751e-02 -4.653829177735124313e-03 1.052214566496235655e-03 4.282528915449496879e-04 -1.533035044020932599e-03 2.060186795552159099e-05 5.201990767642049622e-04 -2.338095839803031734e-02
-2.947874269554891583e-02 4.135424746212406494e-03 -1.712798322819490335e-02 3.593695352501530185e-03 -7.927182818686729152e-03 0.000000000000000000e+00 -9.701510254430792185e-04 -1.118254572193814154e-02
1.691308039447030759e-02 7.205196763501206351e-03 -6.276270349207675389e-03 2.640626245112399212e-03 -5.702479089949034213e-03 0.000000000000000000e+00 3.156782716091737027e-03 1.588922410892167417e-02
9.314091644254454683e-02 5.076303420349365450e-03 6.606637896164546664e-02 1.406840977239491716e-03 1.233022324179632208e-03 0.000000000000000000e+00 9.947354881298189639e-04 1.836363527100079787e-02
1.280168099754652733e-01 8.348768885615339211e-03 8.654569088225966267e-02 2.119025234046665912e-04 2.382583194164113356e-03 0.000000000000000000e+00 7.594529525004275767e-04 2.976841153752107436e-02
1.195187558399010697e-01 -1.485647574829236607e-03 8.861789164400099561e-02 -9.440824951509359914e-05 -4.660563976140500407e-04 0.000000000000000000e+00 3.739061322242829329e-03 2.920791509561562055e-02
1.191722834789677166e-01 7.332829004953360548e-03 8.213149694875869489e-02 1.064306653336384882e-03 -1.534895585368636255e-03 0.000000000000000000e+00 2.121430495029906927e-03 2.805711596225799603e-02
9.084081936747773200e-02 9.632460141887231805e-03 6.108078722932275967e-02 7.394368945583530651e-04 -8.295184202503343780e-05 0.000000000000000000e+00 5.511585472424722007e-04 1.891992839649193903e-02
3.290623278660487205e-02 2.648549951372061902e-03 1.560245489806444570e-02 2.010025039939395460e-03 -1.797886816862075653e-03 0.000000000000000000e+00 2.171898448120665806e-03 1.227119126597037667e-02
2.864751236260379419e-02 1.617341776343156692e-02 -8.232885397848407547e-03 3.296517201032877088e-03 -3.840790816150802499e-03 0.000000000000000000e+00 1.187956914203680200e-03 2.006329669793488826e-02
4.239037975231715882e-02 1.790264447919124105e-02 3.772969259416342289e-03 1.845370464935319667e-03 -1.318009457197626307e-03 0.000000000000000000e+00 2.070780397714922557e-03 1.811662460825696000e-02
6.674034663550355850e-02 2.869975211710318677e-02 1.417957479596519688e-02 1.967649165603829395e-03 -1.363662374494504278e-03 0.000000000000000000e+00 1.819551008775495068e-03 2.143748192255035684e-02
1.027675982218293482e-01 4.236996827740381610e-02 1.564342426844663597e-02 3.123506461287872769e-04 3.924590703063696173e-04 0.000000000000000000e+00 1.535176924750798581e-03 4.251421903479297298e-02
9.072011118323577983e-02 2.608754802327991132e-02 2.316759908833669265e-02 3.209092208614238925e-03 -1.948838073725080936e-04 0.000000000000000000e+00 8.663173520618672879e-03 2.978758214975876784e-02
