Total Atlantic Indian Pacific Arctic Southern
-2.559771560135585489e+00 -2.958185758898268070e+00 -2.481356318194171198e-02 -6.101259090661159679e-01 0.000000000000000000e+00 1.033353671010744046e+00
-2.811185870967354283e+00 -3.332575182737473440e+00 -2.757884788660277045e-02 -3.894806831444275197e-01 0.000000000000000000e+00 9.384488428011495964e-01
-2.878784482734057182e+00 -3.587189568117267413e+00 -1.332424559305480684e-02 -1.889133070900586853e-01 0.000000000000000000e+00 9.106426380663293907e-01
-8.118465313510506931e+00 -8.947169537049834531e+00 -1.671816610859059790e-02 -1.952479828699897058e-01 0.000000000000000000e+00 1.040670372517903175e+00
2.275451713825433320e+00 7.042025107134872730e-01 1.318407868537047403e-02 1.095979701304116372e+00 0.000000000000000000e+00 4.620854231224560960e-01
2.480142473392691560e+00 4.333288308655688370e-01 3.287422870950763854e-02 1.450241738902446897e+00 0.000000000000000000e+00 5.636976749151668686e-01
9.996272951040635624e-01 -1.043900821720631589e+00 1.507010954641655603e-02 1.314070596296741389e+00 0.000000000000000000e+00 7.143874109815386841e-01
2.558061734806278409e+00 -6.255537986744295065e-01 2.655722925344552315e-02 1.569058007430810697e+00 0.000000000000000000e+00 1.588000296796451494e+00
3.742731053082311909e+00 1.387501164643465679e-01 2.542893105282661992e-02 1.589046475412532855e+00 0.000000000000000000e+00 1.989505530152603230e+00
4.668910795050733142e+00 6.940298693857128720e-01 4.592586980759053722e-02 1.521175576238612992e+00 0.000000000000000000e+00 2.407779479618818108e+00
5.857964989031922975e+00 1.432799673186598177e+00 4.995335148043379692e-02 1.676695001662697804e+00 0.000000000000000000e+00 2.698516962702201649e+00
7.444473728611090912e+00 1.998020691309364327e+00 2.815782042035055652e-02 2.065177130843959041e+00 0.000000000000000000e+00 3.353118086037422785e+00
7.008245919270569502e+00 1.715840383366822985e+00 2.919522324420356293e-02 2.177755192019042330e+00 0.000000000000000000e+00 3.085455120640501647e+00
7.377437972962675339e+00 1.870555859866077419e+00 3.344621968954043789e-02 2.307591139615677189e+00 0.000000000000000000e+00 3.167045630406891465e+00
6.515661615513806737e+00 1.242922813399442772e+00 3.948554969326772274e-02 2.261341988335489717e+00 0.000000000000000000e+00 2.971911264085600912e+00
4.862965093263183824e+00 -4.317174674891131603e-01 4.243905404354395700e-02 2.585127155688453637e+00 0.000000000000000000e+00 2.667116351020304865e+00
1.761895758569010706e+00 -2.935431172122219934e+00 7.710519025804836446e-02 2.411544861165589193e+00 0.000000000000000000e+00 2.208676879267589932e+00
-2.717662164390285184e+01 -2.333804627284658650e+01 -4.354485662424524561e-02 -1.626821983504056934e+00 0.000000000000000000e+00 -2.168208530927933975e+00
-4.562367242913396126e+01 -4.342212236674424020e+01 -4.327840542778688820e-02 -1.999885893287445260e+00 0.000000000000000000e+00 -1.583857636744956388e-01
-7.323407878045530595e+01 -7.306666578818932578e+01 -9.168145750000294969e-02 -1.498522166215063178e+00 0.000000000000000000e+00 1.422790631449159404e+00
-9.004787263636079331e+01 -9.206248376360622387e+01 -5.385345539284410593e-02 -1.661863802991548233e+00 0.000000000000000000e+00 3.730328385629861021e+00
-1.054889504770638524e+02 -1.074807547004062940e+02 -9.476338895695211526e-03 -1.799156257638588885e+00 0.000000000000000000e+00 3.800436819876612304e+00
-1.063667858676621734e+02 -1.083104664976964813e+02 -3.622736284900703041e-02 -1.042456379277594491e+00 0.000000000000000000e+00 3.022364372160834645e+00
-9.936662906028837483e+01 -1.003193312740362444e+02 -2.119644797944909495e-02 -5.918195575607361203e-01 0.000000000000000000e+00 1.565718219288148916e+00
-6.733706519691462233e+01 -7.079405862747076128e+01 -3.064497185183583799e-02 -8.811831210048712837e-01 0.000000000000000000e+00 4.368821523412882435e+00
-5.764346616540691315e+01 -6.164258952205054953e+01 -4.819347115203642673e-02 -9.416614070432260952e-01 0.000000000000000000e+00 4.989551583651048006e+00
-4.863593795402333342e+01 -5.260897957532078095e+01 -2.310197271868051974e-02 -4.660796939618946366e-01 0.000000000000000000e+00 4.462223287978066111e+00
-3.910063302186895839e+01 -4.376139572329715577e+01 -6.405694187131374950e-02 -3.912960422500663116e-01 0.000000000000000000e+00 5.116115685549599945e+00
-2.893202643518303674e+01 -3.395455371614551154e+01 -9.777906411848660481e-03 -3.047972954160206860e-01 0.000000000000000000e+00 5.337102482790342606e+00
-1.819916275511021553e+01 -2.186948909929031970e+01 -2.367882954911166779e-02 -1.238151144043298096e-01 0.000000000000000000e+00 3.817820288133563889e+00
-9.053150679101884535e+00 -1.287778609510250050e+01 -1.212383288470150235e-02 8.521229091031926745e-03 0.000000000000000000e+00 3.836891846741127932e+00
