Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-1.704173930600907938e-01 -4.187530119699250583e-03 8.371839785498814274e-03 -4.644210032217717665e-01 0.000000000000000000e+00 2.498294908928670455e-01 -3.848064816882187258e-06 3.999365766783122972e-02
-1.663273461674371068e-01 5.108984448237753780e-03 5.426940995856034677e-02 -6.609466507706746041e-01 0.000000000000000000e+00 3.450176204000663382e-01 -7.312295451585238119e-07 9.022402102591821349e-02
-1.517230395906134788e-01 -5.160286548467396539e-03 1.066359813558628716e-01 -6.522247020777489634e-01 0.000000000000000000e+00 3.808587531470831733e-01 -2.853230338101153305e-06 1.551526781757347692e-02
-7.406984209781602990e-02 -2.594470797636260623e-03 1.173105821609997795e-01 -6.598599588850360131e-01 0.000000000000000000e+00 4.454198326778079364e-01 1.951405362424312935e-06 2.565222134068616267e-02
-1.352034421200508374e-01 -2.130315610856921716e-03 1.080694280356129938e-01 -4.807454226601847735e-01 0.000000000000000000e+00 2.451251674142296277e-01 2.259378790991760230e-07 -5.522525236730849683e-03
-2.411135372900259366e-01 -3.507132503149588661e-04 5.361119281874220099e-02 -5.619067967825966958e-01 0.000000000000000000e+00 2.353988473743961474e-01 -6.788275373463923339e-07 3.213461137728469003e-02
-3.072589236006671443e-01 -2.327537689580546493e-03 5.920546630572497832e-02 -4.999286982157400416e-01 0.000000000000000000e+00 1.337570157979893759e-01 -4.798010479710396638e-07 2.035310001987014096e-03
-2.548734743085430132e-01 1.421186675140252709e-02 -1.108592428207001365e-03 -4.879598627008969181e-01 0.000000000000000000e+00 1.823001512958119796e-01 2.400884065301876896e-06 3.768056188928108063e-02
-3.663157180558712089e-01 2.120433391356755376e-02 5.139552600093293989e-03 -5.519492982260082448e-01 0.000000000000000000e+00 1.434395203459915558e-01 2.208499021671291245e-06 1.584796481146301395e-02
-3.042192969372805589e-01 3.088722330792719600e-02 1.540362985427496355e-02 -5.544086719791390117e-01 0.000000000000000000e+00 1.719261580076867635e-01 -4.802875197967868681e-07 3.197284415948938030e-02
-3.961760260733934724e-01 -6.006655980357711961e-04 -4.474794824858113924e-03 -5.989757694428727852e-01 0.000000000000000000e+00 1.964669676565841128e-01 -4.850917971089071101e-06 1.141308705376016357e-02
-2.140965644532595025e-01 8.785753870843279745e-03 -9.781787008748790875e-04 -4.670240827505172665e-01 0.000000000000000000e+00 2.299828749667461592e-01 -5.121442118260344364e-06 1.565738313867374304e-02
-2.992447074336962443e-01 1.044926690038049111e-03 -1.847965240048724325e-02 -4.933590612159275413e-01 0.000000000000000000e+00 2.395668373376846905e-01 -2.199877220178182966e-06 -2.801555796778406812e-02
-4.960413574034845952e-01 9.638354748683225243e-04 -1.127218928950602002e-02 -6.536626020918695490e-01 0.000000000000000000e+00 1.980487331990957722e-01 -3.444322424354441598e-06 -3.011569037364859522e-02
-5.177660820591190038e-01 5.525323304557436949e-03 -4.358041902141036351e-03 -6.666123555319483085e-01 0.000000000000000000e+00 1.950993333467290758e-01 -5.936690468571870901e-06 -4.741440458584766926e-02
-6.108128737652733786e-01 1.880105296283673608e-02 8.083495528375323966e-03 -8.589850787925217279e-01 0.000000000000000000e+00 2.313842289915295225e-01 -3.713741042699194492e-06 -1.009285871445042559e-02
-3.335050515107782498e-01 1.900226269447432420e-02 -1.358875873278870064e-03 -6.574180957807347347e-01 0.000000000000000000e+00 2.937388344886652236e-01 5.753219839949819444e-06 1.252506974025612008e-02
-2.034899535536061899e-01 3.205668820463831309e-02 -7.856428658328261415e-04 -5.817399550015467380e-01 0.000000000000000000e+00 3.632779330641956461e-01 -3.135250201132358594e-06 -1.629584170485942965e-02
-2.879067950094154060e-01 1.091001226014970925e-02 1.726924657554738132e-05 -7.031027338646564928e-01 0.000000000000000000e+00 3.977054311445112345e-01 -4.867049101759320433e-06 6.568093253106422648e-03
-3.274595268966709605e-01 1.010895927037596537e-02 1.093377255753713237e-02 -7.181954968873064393e-01 0.000000000000000000e+00 3.454358455283614293e-01 -2.002537689754667093e-06 2.425939517205057128e-02
-2.996556987597471244e-01 7.552585508456365233e-03 1.330249201172357780e-02 -5.946726015129687459e-01 0.000000000000000000e+00 2.594443570507650176e-01 -3.804221375679392917e-06 1.469754022222590460e-02
-3.268927739220535700e-01 1.516455762848871631e-02 2.645835327866139994e-02 -5.835503213516509691e-01 0.000000000000000000e+00 2.051436190598046605e-01 -1.473032418719148322e-06 9.892490495061263128e-03
