Total Atlantic Indian Pacific Arctic Southern
1.675778790855400757e+01 2.429778553304364208e-01 6.821320543744663345e-02 1.639272018445205248e+01 5.387666333406524594e-02 0.000000000000000000e+00
1.625483681380974943e+01 2.793538332451875883e-01 7.989205608072025289e-02 1.583701258002266421e+01 5.857834446116799709e-02 0.000000000000000000e+00
1.561187518419914610e+01 2.355768162521611475e-01 7.827514686219498585e-02 1.528374395052269463e+01 1.427927056209827780e-02 0.000000000000000000e+00
1.592946244588088334e+01 3.088756897206007546e-01 5.195300728489571362e-02 1.552649477381249632e+01 4.213897506289222133e-02 0.000000000000000000e+00
1.816982658977166309e+01 3.127328556048530328e-01 8.061983222668349380e-02 1.771543888956959378e+01 6.103501237053508138e-02 0.000000000000000000e+00
2.072117399986558439e+01 4.097268551221995847e-01 9.472918055905581169e-02 2.020232983530055648e+01 1.438812888377164444e-02 0.000000000000000000e+00
2.222409552678720956e+01 3.692527256532862623e-01 9.735728898108028662e-02 2.170046842727973768e+01 5.701708487310473694e-02 0.000000000000000000e+00
2.212370801052181690e+01 3.823771172138337171e-01 8.440820246620031608e-02 2.163850970859041567e+01 1.841298225136399694e-02 0.000000000000000000e+00
2.039190864369147604e+01 3.217885234595126986e-01 8.273327469146243840e-02 1.997402766261698304e+01 1.335918292352096005e-02 0.000000000000000000e+00
1.930847311191733340e+01 2.793064561791513412e-01 1.100807528851498879e-01 1.889078708015016517e+01 2.829882270287399290e-02 0.000000000000000000e+00
1.789754887522324722e+01 3.468845569059013645e-01 1.013962278166106595e-01 1.742191779550128672e+01 2.735029499945140774e-02 0.000000000000000000e+00
9.589691983230817840e+00 2.033017360757405911e-01 9.319887132773634064e-02 9.274862963720909903e+00 1.832841210642895818e-02 0.000000000000000000e+00
8.879811518877509968e+00 1.339179707403758413e-01 6.341600168396244186e-02 8.648938225659620116e+00 3.353932079355175649e-02 0.000000000000000000e+00
8.426523901739400912e+00 1.294649542578614754e-01 5.826775402530648407e-02 8.220815701543129350e+00 1.797549191310100769e-02 0.000000000000000000e+00
1.380089863113673765e+01 2.936986528359440407e-01 9.732669072193766979e-02 1.339880750597617620e+01 1.106578160267585910e-02 0.000000000000000000e+00
1.222474112649655176e+01 3.309197470078303338e-01 1.251592924912578175e-01 1.174492359874705549e+01 2.373848825040301286e-02 0.000000000000000000e+00
1.241064719015887974e+01 3.324219528104297439e-01 9.061681604311992710e-02 1.195757887184375079e+01 3.002954946157562754e-02 0.000000000000000000e+00
-6.365610588982546503e-01 1.225737838186853057e-01 -1.544428842841118546e-02 -7.395741388690952878e-01 -4.116415419432817475e-03 0.000000000000000000e+00
-1.117673741362366968e+00 1.593692980420136907e-01 -3.469912767673631604e-02 -1.225290169659681183e+00 -1.705374206796482148e-02 0.000000000000000000e+00
-1.699692407658111026e+00 5.885839089081883191e-02 -4.125437183711018474e-02 -1.712040830645169764e+00 -5.255596066650287251e-03 0.000000000000000000e+00
1.064014428995740857e+01 4.124778645999331306e-01 9.432817971274151669e-02 1.011326499962090786e+01 2.007324602382868500e-02 0.000000000000000000e+00
1.009523831666679783e+01 4.576662523607498700e-01 8.888833337399300316e-02 9.528523596793174733e+00 2.016013413888257180e-02 0.000000000000000000e+00
1.071988460751898842e+01 5.279134324561443048e-01 1.031782943024621979e-01 1.004723093675517553e+01 4.156194400520767107e-02 0.000000000000000000e+00
1.177187401702635228e+01 7.383383177965164856e-01 1.081556653621208036e-01 1.092167946581471050e+01 3.700568053006278620e-03 0.000000000000000000e+00
1.280246240339713459e+01 1.012924650215447420e+00 1.109328384749335150e-01 1.164326726014727953e+01 3.533765455947857070e-02 0.000000000000000000e+00
1.230115673940807497e+01 1.143180179263076912e+00 1.242854515502876539e-01 1.102072231243625211e+01 1.296879615846270248e-02 0.000000000000000000e+00
