Total Atlantic Indian Pacific Arctic Southern
-8.161974924256355735e+00 -1.378587242150254577e-01 -3.717313291178798995e-02 -7.943575385283947909e+00 -4.336768184559253170e-02 0.000000000000000000e+00
-1.113573914289899314e+01 -2.102481352660764691e-01 -6.186894574951103815e-02 -1.079774476758144885e+01 -6.587729430194981528e-02 0.000000000000000000e+00
-1.637468204725481513e+01 -3.122168792086061351e-01 -5.166533363405519802e-02 -1.581875019935687554e+01 -1.920496350552811093e-01 0.000000000000000000e+00
-1.957625939928842840e+01 -4.057508255605720149e-01 -3.985415303571567675e-02 -1.869076549444754676e+01 -4.398889262445894732e-01 0.000000000000000000e+00
-2.043276249186408933e+01 -3.996939709999566825e-01 -2.967070174183746717e-02 -1.951414993311243506e+01 -4.892478860098583016e-01 0.000000000000000000e+00
-1.987161217989104500e+01 -3.710196624028663237e-01 -2.936263128273233769e-02 -1.894928130369659769e+01 -5.219485825088436837e-01 0.000000000000000000e+00
-1.882231241364712560e+01 -4.173030734317295654e-01 -2.376288262207153917e-02 -1.789471291922468410e+01 -4.865335383686351101e-01 0.000000000000000000e+00
-1.677532466928506238e+01 -2.876628531018993185e-01 -3.091785064809516800e-02 -1.579595033275005633e+01 -6.607936327850164604e-01 0.000000000000000000e+00
-1.548996917940989171e+01 -1.528650657730354356e-01 -4.192634489771202705e-02 -1.471259163272005743e+01 -5.825861360190762728e-01 0.000000000000000000e+00
-1.466503411694493408e+01 -3.433591632769559254e-01 -3.156386863778037899e-02 -1.354036580326723538e+01 -7.497452817629668420e-01 0.000000000000000000e+00
-1.340375495769757741e+01 -1.326911032568864057e-01 -2.366547549659648447e-02 -1.250109180451152291e+01 -7.463065744325746431e-01 0.000000000000000000e+00
-1.279620043799797990e+01 -1.109588411171682498e-01 -1.500675896227547310e-02 -1.180621885827029161e+01 -8.640159796482373977e-01 0.000000000000000000e+00
-1.222256960113308644e+01 -4.881686047327975231e-02 -1.685022757422643958e-02 -1.128064957669773172e+01 -8.762529363878467370e-01 0.000000000000000000e+00
-1.210910573074565910e+01 -4.453884317294486972e-01 -1.230480077466944086e-02 -1.067833363663640434e+01 -9.730788616051357920e-01 0.000000000000000000e+00
-1.168466176026710457e+01 -3.395199391309144388e-01 -1.666382906031089323e-02 -1.010015144740220272e+01 -1.228326544673678411e+00 0.000000000000000000e+00
-1.130257182070795707e+01 -5.642947365553195871e-01 -1.519062492539435295e-02 -9.509262398244242576e+00 -1.213824060982995112e+00 0.000000000000000000e+00
-1.122616355266051791e+01 -7.841578412477434590e-01 -1.742233424781658435e-02 -9.217088015568442927e+00 -1.207495361596514494e+00 0.000000000000000000e+00
-9.708690246840060212e+00 2.327468517406180715e-01 -1.265712529860048285e-02 -9.493697444583739653e+00 -4.350825286983399098e-01 0.000000000000000000e+00
-9.410605402068856762e+00 1.677594340831180253e-01 -1.013867228342324109e-02 -9.174511617846153655e+00 -3.937145460223991367e-01 0.000000000000000000e+00
-9.096410851244774776e+00 3.281575727981990154e-01 -3.355455709266549815e-03 -8.975165095057027642e+00 -4.460478732766771648e-01 0.000000000000000000e+00
-9.220071085155497670e+00 2.918671519484056232e-01 -7.002421776792134948e-03 -9.027459752578348429e+00 -4.774760627487628639e-01 0.000000000000000000e+00
-8.473765349322693652e+00 3.478601135673439759e-01 -1.481386629261585361e-02 -8.457971925245940881e+00 -3.488396713514813618e-01 0.000000000000000000e+00
-8.681296480307004515e+00 2.865308959423136237e-01 -1.362559863960722054e-02 -8.468142789512276281e+00 -4.860589880974354182e-01 0.000000000000000000e+00
-7.990817655712206147e+00 3.256239927128458111e-01 -8.182381717518928677e-03 -8.084653550763913898e+00 -2.236057159436213304e-01 0.000000000000000000e+00
-7.845481440660679873e+00 3.082449295116530541e-01 -6.238609926955506271e-03 -7.755269408026563838e+00 -3.922183522188137372e-01 0.000000000000000000e+00
-4.589228637181941295e+00 -3.668583059495417187e-01 -3.484951214814480027e-03 -3.074670857100634702e+00 -1.144214522916950250e+00 0.000000000000000000e+00
-5.127856543981889281e+00 -6.696867784678506297e-01 -4.765414342698450281e-03 -3.113103204636198829e+00 -1.340301146535142207e+00 0.000000000000000000e+00
-5.147579150817321647e+00 -8.608825701874719405e-01 -3.393166549197791822e-03 -2.826225579173307079e+00 -1.457077834907343439e+00 0.000000000000000000e+00
-5.132301731711099713e+00 -8.247855660803760092e-01 -2.610214678801694999e-03 -2.731561322040119588e+00 -1.573344628911800935e+00 0.000000000000000000e+00
-5.235505300277351282e+00 -9.433668933882520813e-01 -4.277873948317462496e-03 -2.804869779927061657e+00 -1.482990753013718077e+00 0.000000000000000000e+00
-5.408384222581409162e+00 -9.627805924745558297e-01 -1.348716330124532722e-02 -2.736633029599874867e+00 -1.695483437205736577e+00 0.000000000000000000e+00
-5.058510320547101813e+00 -8.392611572139088150e-01 -2.063863231269273246e-03 -2.554665977873203708e+00 -1.662519322228718677e+00 0.000000000000000000e+00
-4.399602066805127443e+00 -7.407244443156183467e-01 -1.777748383418706292e-03 -1.914732539479363727e+00 -1.742367334626724329e+00 0.000000000000000000e+00
-4.391015549392854211e+00 -8.027406035650004323e-01 -4.098479814756070396e-05 -1.998673745836420323e+00 -1.589560215193286608e+00 0.000000000000000000e+00
-4.497165308989380605e+00 -9.281819204913741572e-01 -1.199630006885971101e-03 -2.022114793410319855e+00 -1.545668965080800206e+00 0.000000000000000000e+00
-4.086357246761749273e+00 -8.143566452227863905e-01 1.385130717794872410e-03 -1.786483492090913838e+00 -1.486902240165844047e+00 0.000000000000000000e+00
-3.979083032474183934e+00 -8.033189542502636726e-01 -7.574673618352565849e-04 -1.825177813824925277e+00 -1.349828797037159855e+00 0.000000000000000000e+00
-3.759127659451612313e+00 -8.163445306649947941e-01 -5.872633011576333141e-04 -1.614834176110019559e+00 -1.327361689375440523e+00 0.000000000000000000e+00
-3.750861692587916796e+00 -8.458876461589422968e-01 -1.672411982291791314e-04 -1.376923346952806826e+00 -1.527883458277938145e+00 0.000000000000000000e+00
-3.517525906641508548e+00 -5.996120007011263020e-01 -1.607258439462899745e-03 -1.161598124041618885e+00 -1.754708523459301173e+00 0.000000000000000000e+00
-2.953524997968274501e+00 7.009602445015445937e-01 -4.140986982274105733e-04 -2.081126447996838102e+00 -1.572944695774753487e+00 0.000000000000000000e+00
-2.494939125337165553e+00 8.879854692737335631e-01 -1.409308536421801468e-03 -1.737116256412490900e+00 -1.644399029661986145e+00 0.000000000000000000e+00
-2.122051499500059002e+00 1.142524785445541813e+00 -2.870972752556396170e-04 -1.644847075902513112e+00 -1.619442111767832371e+00 0.000000000000000000e+00
-1.583381998779029853e+00 1.579775698226856040e+00 -9.196896750783150904e-04 -1.687912746107842255e+00 -1.474325261222964256e+00 0.000000000000000000e+00
-5.534257699849058909e-01 1.988682737588297611e+00 -2.048751748460726307e-04 -1.569458087757942710e+00 -9.724455446404161041e-01 0.000000000000000000e+00
-1.845655709405851219e-01 1.942156576049701489e+00 -9.039504858149344680e-05 -1.332435188197249598e+00 -7.941965637444551307e-01 0.000000000000000000e+00
-1.272750687844848572e-01 1.904742567781270379e+00 1.030395301183407590e-04 -1.330642898371618310e+00 -7.014777777242563461e-01 0.000000000000000000e+00
2.371586564777730111e-01 1.522521559305986205e+00 -1.845502045949546526e-04 -3.921552026524417478e-01 -8.930231499711760446e-01 0.000000000000000000e+00
1.414598509988187924e+00 2.201233332864932724e+00 -2.356818829960137995e-04 -3.117851851643272942e-01 -4.746139558294201199e-01 0.000000000000000000e+00
1.951147181632021610e+00 2.276353898956244404e+00 0.000000000000000000e+00 -4.121360353167289464e-02 -2.839931137925492677e-01 0.000000000000000000e+00
1.710676354837323387e+00 1.974464366807126225e+00 -2.833506516266907330e-04 -7.407993576670336699e-02 -1.894247255514721895e-01 0.000000000000000000e+00
1.445172304711412004e+00 1.609834426346290481e+00 -1.551759769295762612e-04 4.014909645138251687e-02 -2.046560421093329418e-01 0.000000000000000000e+00
1.108426608411242853e+00 1.619682638251823903e+00 -1.000211133983509816e-04 -3.531672131612503124e-02 -4.758804767488792331e-01 0.000000000000000000e+00
-5.045792885272432082e-01 8.538746191241267658e-01 -1.104820089051142799e-04 -8.163031081067924077e-01 -5.420403175356727221e-01 0.000000000000000000e+00
-3.610926122834045571e-01 9.577892148130103811e-01 1.113768990360862579e-04 -7.761699048768140319e-01 -5.428232991186368039e-01 0.000000000000000000e+00
1.367576768427460898e-01 1.396034271602190513e+00 1.730777849617008468e-05 -6.701437258253026830e-01 -5.891501767126380296e-01 0.000000000000000000e+00
6.386982482409326867e-01 1.745798926468825174e+00 -9.940551964586991443e-05 -6.509202759750196687e-01 -4.561261532446520550e-01 0.000000000000000000e+00
1.116593117535580770e+00 1.880645045995771536e+00 -8.938005045307351030e-05 -5.621667950656493717e-01 -2.013868055865395412e-01 0.000000000000000000e+00
9.578410640261783016e-01 2.069298365094041081e+00 6.237987171173359517e-04 -6.080988852765166763e-01 -5.039306542511703402e-01 0.000000000000000000e+00
1.087338549061656945e+00 2.213315100803760593e+00 -4.378102947492113706e-06 -5.900916074161025593e-01 -5.358805662230545774e-01 0.000000000000000000e+00
1.719767598571452893e+00 2.597603294760067350e+00 1.530514759284709180e-04 -5.322129234679626730e-01 -3.457758241965804835e-01 0.000000000000000000e+00
2.248288672589292325e+00 2.643951339292292424e+00 6.295432338755907551e-05 -4.180094379583326747e-01 2.228381693194771834e-02 0.000000000000000000e+00
2.296662466265702474e+00 2.629701043978783570e+00 4.415937337951405617e-05 -3.912991531613300156e-01 5.821641607486915948e-02 0.000000000000000000e+00
2.342997317569982307e+00 2.598777826463276597e+00 -2.642182177997884416e-04 -3.401339059008939292e-01 8.458864180060014781e-02 0.000000000000000000e+00
2.387635207591087827e+00 2.572455826445632088e+00 -1.084555493059283302e-04 -2.971097158437904229e-01 1.123975525385511737e-01 0.000000000000000000e+00
2.125256410545310448e+00 2.325237001217068666e+00 4.013612759008873906e-05 -3.042579754204305376e-01 1.042372486210817045e-01 0.000000000000000000e+00
7.247525804816339068e-02 4.890838719715063232e-01 -2.370917053136871043e-04 3.768584917304874105e-01 -7.931629667012639606e-01 0.000000000000000000e+00
6.209214684827564223e-01 6.539770092494839870e-01 -5.105962711383265143e-04 3.706782483127345484e-01 -4.032231928083236383e-01 0.000000000000000000e+00
4.065047809747447616e+00 3.220103982395156272e+00 -5.289230802603126554e-04 5.312672394154509536e-01 3.142055110170992593e-01 0.000000000000000000e+00
4.384259907612788609e+00 3.390497769525432581e+00 1.454358059203071532e-04 6.560730327203909695e-01 3.375436695610422033e-01 0.000000000000000000e+00
