Total Atlantic Indian Pacific Arctic Southern
-8.668203680068261363e+00 -3.979898943544601941e+00 -3.952743594757637702e+00 -6.581104263072853899e-02 -6.697500991352891564e-01 0.000000000000000000e+00
-8.484934165944970630e+00 -4.049732520391147617e+00 -3.886835169935969336e+00 -9.984506675300582057e-02 -4.485214088648495911e-01 0.000000000000000000e+00
-8.251155432471705353e+00 -4.236145381384348596e+00 -3.688191468079539792e+00 -1.012160809101158715e-01 -2.256025020977050488e-01 0.000000000000000000e+00
-7.976710501420180677e+00 -4.319926366961394315e+00 -3.421357775752709163e+00 -1.024430237208187044e-01 -1.333841937648268805e-01 0.000000000000000000e+00
-7.608010310531364340e+00 -4.430270708587421780e+00 -3.177930309860333757e+00 -8.748778221254117915e-02 9.139389317983279137e-02 0.000000000000000000e+00
-6.465384705334448867e+00 -4.021114175044528949e+00 -2.795439545059855924e+00 -8.279232464019807558e-02 4.339613394101298205e-01 0.000000000000000000e+00
8.747646399135362572e-01 2.240552728036944607e+00 -1.944881261548207174e+00 2.053467563377001093e-01 3.737464170870993252e-01 0.000000000000000000e+00
1.978124441383921850e+00 2.876610818110891810e+00 -1.695205096084444474e+00 2.394248947549775242e-01 5.572415323798722842e-01 0.000000000000000000e+00
2.793935385306259178e+00 3.395025406946115876e+00 -1.439291968300886237e+00 2.299275549395675411e-01 6.082743917214630258e-01 0.000000000000000000e+00
1.224499876184750669e+01 1.177748459700042005e+01 -1.796073904017564740e-02 6.544704210886372886e-01 -1.689955172013835327e-01 0.000000000000000000e+00
1.369093667583149099e+01 1.301544571371508674e+01 -6.870633948449254846e-02 7.314784888066699908e-01 1.271881279422950629e-02 0.000000000000000000e+00
1.674553431823137117e+01 1.587822854581674470e+01 -1.023513034863177962e-01 7.709826110823156942e-01 1.986744648186342388e-01 0.000000000000000000e+00
2.215648145645315736e+01 2.069396911680557238e+01 5.304186773043280401e-02 8.173347647739698241e-01 5.921357071431845309e-01 0.000000000000000000e+00
2.767097122607151505e+01 2.518884097045439319e+01 8.467778302128048384e-01 7.859693813440487009e-01 8.493830440602583298e-01 0.000000000000000000e+00
