Total Atlantic Indian Pacific Arctic Southern
1.049662598926865087e+01 5.460159382858936539e+00 4.336371272619421902e+00 1.446267391998733720e-01 5.554685945904146438e-01 0.000000000000000000e+00
1.143188084319115561e+01 5.421427290872484761e+00 4.656755159816685641e+00 1.613286226404892776e-01 1.192369769861495898e+00 0.000000000000000000e+00
1.154086789059680918e+01 4.814817417328702831e+00 4.742948212875020886e+00 1.319410854860235405e-01 1.850796943968733954e+00 0.000000000000000000e+00
1.794603669937683676e+01 1.111078907017606454e+01 6.338939558794469242e+00 5.893146140121479082e-01 -9.300654360584133251e-02 0.000000000000000000e+00
1.801989146875226311e+01 1.059657894999558359e+01 6.857845826992962301e+00 5.884245582339486802e-01 -2.295786647022665661e-02 0.000000000000000000e+00
1.829438850570741693e+01 1.058789393676987167e+01 7.770566966932688224e+00 6.164613371137044329e-01 -6.805337351088467379e-01 0.000000000000000000e+00
1.830658908578222821e+01 1.056692836058748952e+01 8.647237644754140362e+00 5.887667679383510322e-01 -1.496343687497767805e+00 0.000000000000000000e+00
2.005552417729304437e+01 1.098998359761243648e+01 9.606877347572446268e+00 6.077708841483044910e-01 -1.149107652040138872e+00 0.000000000000000000e+00
2.169320301683349683e+01 1.117821692658150923e+01 1.038045332093398976e+01 6.670566854724910844e-01 -5.325239161545012312e-01 0.000000000000000000e+00
2.163610559203911876e+01 1.107323491603707666e+01 1.021394149444433630e+01 6.068778070623450649e-01 -2.579486255046541943e-01 0.000000000000000000e+00
2.140935857181987245e+01 1.080126742681408203e+01 1.005243386842471587e+01 6.789214294722352161e-01 -1.232641528911683909e-01 0.000000000000000000e+00
2.075050429092213378e+01 9.891707023162277679e+00 1.011893861323158816e+01 6.353253648329056924e-01 1.044442264428265127e-01 8.906325254027094645e-05
2.102942362626887274e+01 8.985532137674747233e+00 1.100966243121234100e+01 5.864105018046499307e-01 4.478185555771247439e-01 0.000000000000000000e+00
2.036307526485276398e+01 8.486909160365826210e+00 1.075497078959942066e+01 6.213369298295182697e-01 4.998583850579813026e-01 0.000000000000000000e+00
1.985068258183814649e+01 8.051422558071438473e+00 1.060109706151137132e+01 6.042578558450460990e-01 5.945894481671663012e-01 0.000000000000000000e+00
1.877903843652085314e+01 7.461320779402003112e+00 1.027826049594504276e+01 5.406682889876576192e-01 4.968047569988541801e-01 2.157165579330357834e-04
