Total Atlantic Indian Pacific Arctic Southern
-6.978449685138603975e+00 -1.127292929902794727e+00 -4.716122532364307673e+00 2.206952447560252273e-01 -1.355413028044232249e+00 0.000000000000000000e+00
-6.607417687138473994e+00 -1.138131017811377266e+00 -3.980708808868654636e+00 5.244489364571854745e-02 -1.539909836515824137e+00 0.000000000000000000e+00
-6.341087087798028321e+00 -1.155840884030995941e+00 -3.491072115238333939e+00 -1.946145557037172458e-02 -1.674712632958325953e+00 0.000000000000000000e+00
-6.300873048468496940e+00 -1.071644742666547412e+00 -3.363583935976227846e+00 -1.219014287111533229e-01 -1.742296113066157393e+00 0.000000000000000000e+00
-7.659228073419299676e+00 -1.472440021066527160e+00 -3.239700747842673589e+00 6.807908954063543461e-02 -3.015166394050735832e+00 0.000000000000000000e+00
-6.857556226150670398e+00 -1.462066213641593837e+00 -3.033483075378267113e+00 9.533498602668802335e-02 -2.457476311097594568e+00 0.000000000000000000e+00
-6.128606292895296903e+00 -1.384561752963563874e+00 -2.667109366839537810e+00 -7.049051799408514833e-03 -2.069958706142156935e+00 0.000000000000000000e+00
1.621409088426604139e+00 1.552228757996060027e-01 1.174004407440635500e+00 5.501921278272793314e-01 -2.580103226409163897e-01 0.000000000000000000e+00
1.465361125124880370e+00 1.606021330281096338e-01 1.182111098215559597e+00 6.417703450419069977e-01 -5.191735504044189264e-01 -3.832926583187943638e-05
1.296620670297387479e+00 1.861748872762642171e-01 1.232835045352113745e+00 5.593751185218897026e-01 -6.823208437942221982e-01 0.000000000000000000e+00
1.087575652439395357e+00 1.964468656292550075e-01 1.136666310513644085e+00 4.823363190953724455e-01 -7.294435907335048430e-01 0.000000000000000000e+00
1.062434428304191325e+00 2.085336787588439600e-01 1.274026533104168468e+00 4.979576185937727439e-01 -9.180834021525934308e-01 0.000000000000000000e+00
8.912479246347150275e-01 1.787468146569638205e-01 1.223543784187651084e+00 5.119504576921778405e-01 -1.023155818530195438e+00 0.000000000000000000e+00
2.380935766898012451e-02 2.248209809750712981e-02 8.652603566966398096e-01 5.196196119142021397e-01 -1.384356264352718302e+00 0.000000000000000000e+00
-2.009049539461157108e-01 -4.477705597499199996e-02 8.284394447296763442e-01 5.478913441749164726e-01 -1.532458686875717735e+00 0.000000000000000000e+00
-1.031401435604715894e-01 -4.444397864847034890e-02 9.374432832195946919e-01 5.295937098237960550e-01 -1.526133964059596781e+00 0.000000000000000000e+00
7.918246956916372148e-02 -6.690776849949761629e-02 9.997958219725207041e-01 5.885890900792474234e-01 -1.440816534488734257e+00 0.000000000000000000e+00
-7.853682031667858610e+00 -1.491389642822472883e+00 -2.356884426731925331e+00 -2.024061920391225511e-01 -3.803001770074332821e+00 0.000000000000000000e+00
-8.013419367581612107e+00 -1.650448698995756747e+00 -2.175943608365937365e+00 2.849014798222361255e-01 -4.473261632306830826e+00 0.000000000000000000e+00
-7.473991414769278308e+00 -1.771842320181789221e+00 -2.171971368321297557e+00 1.089454961945402145e+00 -4.620376516843880843e+00 0.000000000000000000e+00
-7.173877809971675568e+00 -1.789945835373507155e+00 -2.129818910800897580e+00 1.590877264726116236e+00 -4.844990328523382850e+00 0.000000000000000000e+00
-9.960556440797207145e+00 -1.901829835852023809e+00 -2.753812266712130530e+00 -4.736866610640488862e-03 -5.304650602664748860e+00 0.000000000000000000e+00
-9.778017630638075275e+00 -1.810075575790029534e+00 -2.539264855618902139e+00 -4.386028442849614351e-01 -4.990074354944179724e+00 0.000000000000000000e+00
2.577895488960577630e+00 1.885518358015011997e-01 8.412094571997761339e-01 1.076482300201280440e+00 4.709861371367444205e-01 0.000000000000000000e+00
3.130497310926716459e+00 1.933401974233033838e-01 9.266412874877362205e-01 1.401885890287431824e+00 6.097571175529494791e-01 0.000000000000000000e+00
2.717479242286126695e+00 2.232361274399464468e-01 8.654223037393918849e-01 1.579530334455551133e+00 4.938004608955065544e-02 0.000000000000000000e+00
1.945117279882546679e+00 8.982615945421561221e-02 9.167698273935217523e-01 1.766257445357751976e+00 -8.282050062273074165e-01 0.000000000000000000e+00
-7.740110562952684958e+00 -1.877564489826395899e+00 -1.443729621400713370e+00 2.551589813255078720e+00 -6.970406264980650413e+00 0.000000000000000000e+00
-7.969734480319547565e+00 -2.153851515874110500e+00 -1.497538141964624758e+00 3.377539036863194788e+00 -7.692411260649796745e+00 0.000000000000000000e+00
-7.508146282256392468e+00 -2.368878763842027446e+00 -1.543180141580776432e+00 4.344911201408057089e+00 -7.941226425439316117e+00 0.000000000000000000e+00
-7.051767783138194190e+00 -2.511641998764239325e+00 -1.524414779217547533e+00 4.615918594135655084e+00 -7.630351387116545148e+00 0.000000000000000000e+00
-1.472869465176265535e+01 -3.228509350695101254e+00 -2.553098958920385630e+00 1.043372543027565547e+00 -9.990458885174735570e+00 0.000000000000000000e+00
-1.637007961481227625e+01 -3.500082189717311110e+00 -2.469162095086242736e+00 8.474499410769521512e-01 -1.124818234411558215e+01 0.000000000000000000e+00
-1.771220343932506935e+01 -4.004408135371527067e+00 -2.291088009497097122e+00 4.158547480724350542e-01 -1.183256204252887045e+01 0.000000000000000000e+00
-1.886585223262606803e+01 -4.225589908800071015e+00 -2.129883823262141096e+00 -2.000254199479616912e-01 -1.231035308061590072e+01 0.000000000000000000e+00
-1.948137904484218907e+01 -4.421503625878696830e+00 -1.822804037333483507e+00 -6.268968553425466883e-01 -1.261017452628745694e+01 0.000000000000000000e+00
1.226625253629741036e-01 -1.158097076424901006e+00 -3.776833370806387171e-03 3.759454904567681499e+00 -2.476952684318846298e+00 0.000000000000000000e+00
6.951766339704229525e-01 -1.138294947449317140e+00 1.641212585788987335e-02 4.631010175127016737e+00 -2.813950719565167180e+00 0.000000000000000000e+00
9.039412971899010163e-01 -1.165167066666046525e+00 9.034972983922723300e-03 5.003785961568864238e+00 -2.943712570696840114e+00 0.000000000000000000e+00
1.104762198337796208e+00 -9.111599621597550325e-01 3.814231707307189773e-02 4.682773291928432613e+00 -2.704993448503954845e+00 0.000000000000000000e+00
8.396803373870966869e-01 -1.086930898667341383e+00 3.747098504749828141e-02 4.860068575676320002e+00 -2.970928324669380949e+00 0.000000000000000000e+00
1.096954811641431826e+00 -9.737289905216586217e-01 5.976877670968070572e-02 5.068106622506264536e+00 -3.057191597052857368e+00 0.000000000000000000e+00
8.762014455724231876e-01 -9.650660227767385857e-01 6.594568366831080053e-02 4.829378404292434368e+00 -3.054056619611581702e+00 0.000000000000000000e+00
5.402816504374623463e-01 -1.044056609099352828e+00 1.196297557967230529e-01 5.040330579017195056e+00 -3.575631299942229724e+00 0.000000000000000000e+00
5.762008220401430014e-01 -1.008878179439509193e+00 6.713878059024590284e-02 5.280637480741107836e+00 -3.762697259851703002e+00 0.000000000000000000e+00
2.090549242563990440e-01 -1.147083801867993191e+00 1.105228615814587423e-01 5.124935196457224507e+00 -3.879319331914288682e+00 0.000000000000000000e+00
-2.272466992844124434e+01 -3.571795480716109861e+00 -1.219305975235051909e+00 -4.885329129039432061e+00 -1.304811343057466821e+01 0.000000000000000000e+00
-2.315255409145933641e+01 -3.739164332300577431e+00 -1.125165163871352680e+00 -4.777954590953457092e+00 -1.350919792339313119e+01 0.000000000000000000e+00
-2.288884193958501712e+01 -3.679707108990295517e+00 -1.038061227355212557e+00 -4.513250676569610320e+00 -1.365565879384745429e+01 0.000000000000000000e+00
-2.215853289302664564e+01 -3.780446699283038559e+00 -8.612065985475872987e-01 -4.320531379946016770e+00 -1.319608863539140486e+01 0.000000000000000000e+00
-2.253654297825694997e+01 -3.716645123320577504e+00 -8.172898516708151373e-01 -4.048873045475681387e+00 -1.395373495778986594e+01 0.000000000000000000e+00
-2.165246378543681161e+01 -3.632823134210413141e+00 -6.958572488461435279e-01 -3.452826609756615373e+00 -1.386753550952652425e+01 0.000000000000000000e+00
-2.045674285939215764e+01 -3.560292009706786054e+00 -5.908633551449671284e-01 -2.976801095848778722e+00 -1.332878639869162463e+01 0.000000000000000000e+00
-1.893258954750717038e+01 -3.317015714757896028e+00 -4.825878575264113124e-01 -2.946679300997257833e+00 -1.218630667422560521e+01 0.000000000000000000e+00
-1.783643064861307437e+01 -3.284695411520919262e+00 -4.393382014730778384e-01 -2.662261627904147332e+00 -1.145000347633288840e+01 0.000000000000000000e+00
-1.627797895343410772e+01 -3.110943440765661983e+00 -3.482049462676226614e-01 -2.458145038459847775e+00 -1.035386178331205720e+01 0.000000000000000000e+00
-8.540359030771833559e+00 -3.163671580267528038e-01 -1.855498290471543632e-01 -3.039236822184098408e+00 -4.999621699846212408e+00 0.000000000000000000e+00
-8.035640741860250458e+00 -3.473688511737641482e-01 -1.514535790107618130e-01 -2.191412304602710304e+00 -5.346616827610006339e+00 0.000000000000000000e+00
-6.457523377827665279e+00 -2.984210433530934403e-01 -1.246230097128635944e-01 -1.153891453530724309e+00 -4.876916177961162724e+00 0.000000000000000000e+00
-5.103242850319672286e+00 -2.149932361099204103e-01 -1.361971433949027976e-01 -6.118577926096377961e-01 -4.139564454775287672e+00 0.000000000000000000e+00
-3.577545322289956253e+00 -6.074476691410307660e-02 -1.174467384124568969e-01 2.461391826975912467e-01 -3.645492999660986388e+00 0.000000000000000000e+00
-2.166089621511232188e+00 1.281681811081798392e-02 -1.026741610198002308e-01 6.042016859900041226e-01 -2.683257352846206700e+00 0.000000000000000000e+00
1.238042820956273360e+01 2.558138154902707573e+00 2.253191993928370107e-01 2.072709916896902094e+00 7.523455024731141805e+00 0.000000000000000000e+00
1.210573380584089520e+01 2.668637613044794854e+00 2.610235469994772184e-01 1.926037446522750995e+00 7.248801821133970869e+00 0.000000000000000000e+00
1.175166330489173383e+01 2.682343756623894127e+00 2.594961162795720311e-01 1.517816133869517081e+00 7.285651314542405999e+00 0.000000000000000000e+00
1.192355954530295925e+01 2.926693421716121790e+00 2.404230333454260848e-01 1.315424084266293203e+00 7.438170243481444288e+00 0.000000000000000000e+00
1.146157757831549340e+01 2.785638862057449039e+00 2.822698680404381877e-01 6.020812423606148878e-01 7.791482813855687084e+00 0.000000000000000000e+00
1.092670695201703523e+01 2.761578601583345893e+00 3.155947913966594132e-01 3.435186387555562160e-01 7.505417039432496829e+00 0.000000000000000000e+00
1.089391915148411449e+01 2.862949662007071794e+00 3.446614817798184238e-01 1.498132229057536902e-01 7.536956508281465794e+00 0.000000000000000000e+00
-1.109214054159100371e+01 -2.062552215332051908e+00 -4.360867777330452166e-01 -4.375170367795842563e-01 -8.155984511746328991e+00 0.000000000000000000e+00
-1.092285100201822168e+01 -1.974491159162306886e+00 -4.903869454010209017e-01 -3.570679568497930889e-01 -8.100102065890704139e+00 0.000000000000000000e+00
-1.047639766981451537e+01 -1.950178574712204238e+00 -3.346642119557302619e-01 -6.289528409498219563e-01 -7.562602042196759911e+00 0.000000000000000000e+00
-1.403130204082154897e+01 -3.580786258067857997e+00 -4.158697211379470682e-01 -2.539064336389253995e-01 -9.780739627976815953e+00 0.000000000000000000e+00
