Total Atlantic Indian Pacific Arctic Southern
2.307559850466357254e+00 2.780427591742830051e-01 2.175269790182796648e+00 -2.354737944283940010e-01 8.962383388294702102e-02 0.000000000000000000e+00
2.440106920842890048e+00 2.813539275152521779e-01 2.587497639927272441e+00 -3.364356976976231595e-01 -9.230894890201044034e-02 0.000000000000000000e+00
2.608977126830546389e+00 2.690956536083025097e-01 2.830103816835797925e+00 -4.055520232710136952e-01 -8.484493924374948703e-02 8.175148085534813771e-06
2.905671768039260527e+00 2.633767839889680218e-01 3.008172068857658310e+00 -2.668309717786234159e-01 -1.003304710989953302e-01 0.000000000000000000e+00
8.636501680872928688e+00 1.064420868321478864e+00 6.838505740223105533e+00 -1.303010611343796352e-02 7.466051784417844228e-01 0.000000000000000000e+00
9.124662118470334704e+00 1.057820605391212254e+00 7.455141064818727514e+00 9.734471628442369073e-02 5.118169092039439594e-01 8.734561393094664086e-04
9.414985496511194540e+00 9.777386295381511605e-01 7.931870385735924067e+00 1.027387582090042717e-01 4.025264971701109085e-01 1.112258580077260859e-04
9.670834614620542169e+00 1.046802479172385336e+00 8.262163103211765502e+00 9.017101231615373691e-02 2.714138139667127136e-01 2.842059535292022049e-04
9.192607210538373153e+00 1.042547047977211427e+00 7.870212261659713882e+00 1.052953334130118240e-01 1.721622868238522064e-01 6.153583405345286212e-04
8.667634478558387201e+00 9.562615945008481333e-01 7.540410925576947143e+00 8.655605896150059264e-02 8.190977635919494126e-02 2.496123159893697506e-03
1.087045196020581450e+01 1.408127912666317316e+00 8.945402321210437435e+00 2.490236943241450618e-01 2.662672521074277987e-01 1.630779897478856809e-03
1.179531430055867069e+01 1.374357833504534776e+00 9.972948872201047976e+00 2.384578565768237512e-01 2.071097460369117904e-01 2.439992239353906689e-03
1.448423124861842481e+01 1.507875843976226538e+00 1.248175076261097516e+01 3.253756820683862960e-01 1.674690109410509609e-01 1.759949021794019299e-03
1.963464357346514788e+01 2.138340126537523478e+00 1.715616012384863964e+01 1.694019568244749252e-01 1.685433787239474235e-01 2.197987530560157644e-03
2.236214653546594633e+01 2.470790704329077769e+00 1.962789683753931769e+01 5.330335805318446585e-02 2.075788463995321409e-01 2.576789144837031160e-03
2.473682307260943958e+01 2.806837707733098597e+00 2.193350188187689653e+01 -2.868224202780779164e-01 2.806710902363063753e-01 2.916741437908425272e-03
2.686385672656240331e+01 3.040079522018760194e+00 2.400225621520180397e+01 -4.384245289733124662e-01 2.582760418293372773e-01 1.669476485811877088e-03
3.004378885607875915e+01 3.294286382993769191e+00 2.766691649816993959e+01 -1.203038473602031200e+00 2.808568753660242168e-01 4.767573151061744487e-03
3.642841686994925965e+01 3.362721452898310481e+00 3.421638331302592917e+01 -1.537192441119796138e+00 3.853343856253535482e-01 1.170159519450045954e-03
3.844843674489322893e+01 3.422760320069186069e+00 3.609029040124890741e+01 -1.415661120630374414e+00 3.489171837541333865e-01 2.129960451361855196e-03
3.916446772310961677e+01 3.171682006124866060e+00 3.690535568856830650e+01 -1.293250595672039038e+00 3.724630481758519074e-01 8.217575912628661411e-03
3.595068505000175207e+01 3.104441221783754035e+00 3.562334993668709160e+01 -3.240060489199568572e+00 4.583550968609813592e-01 4.599283869505504940e-03
3.471745416232985093e+01 2.803377536317835705e+00 3.529343181417515041e+01 -3.696450412078097880e+00 3.121110936530805957e-01 4.984130261882606557e-03
3.334731055214209761e+01 2.484864520703616630e+00 3.428626106603659451e+01 -3.707527783748147066e+00 2.770195197331630221e-01 6.693229416867699406e-03
3.129060536951682181e+01 2.160522734492218433e+00 3.252215726136532936e+01 -3.750594109076469174e+00 3.557623906130208957e-01 2.757092122721554323e-03
2.988374047245395815e+01 1.907622598363502009e+00 3.171199586618574173e+01 -4.008111748280725806e+00 2.678744835378926159e-01 4.359272647530425954e-03
2.868948260699543340e+01 1.704278665231219181e+00 3.126210106064512928e+01 -4.453951572096025657e+00 1.761760098182821033e-01 8.784433968494504558e-04
2.734609203150375834e+01 1.498987714974437946e+00 3.003628954475185964e+01 -4.391429253133242838e+00 2.006588426771579725e-01 1.585182233553213528e-03
2.533525006712936900e+01 1.234889382148995463e+00 2.854775593180406901e+01 -4.630588735908595766e+00 1.803575837838410356e-01 2.835905301057348431e-03
2.406288220543842371e+01 1.025081292980227321e+00 2.775132897979242941e+01 -4.856627012465134285e+00 1.402679883001915206e-01 2.830956830713759857e-03
2.283337641954377517e+01 7.628898429754272792e-01 2.817413687289542423e+01 -6.233739714330594595e+00 1.282292210444528346e-01 1.860196959060238285e-03
2.149046218737635527e+01 6.859622003967912329e-01 2.848918871663562413e+01 -7.932028581499007025e+00 2.430875079469125011e-01 4.252343896029334505e-03
2.059853687728879734e+01 5.354354215107266501e-01 2.853029307756634125e+01 -8.550268875002720037e+00 8.178314647786304181e-02 1.738723499660278391e-03
1.911015786033756214e+01 4.415990659229437343e-01 2.863099123929192302e+01 -1.005023909985811414e+01 8.723890843702644671e-02 5.677465437803078325e-04
1.745649417036255358e+01 2.804986240336865277e-01 2.880891163869797111e+01 -1.169503948462461906e+01 6.072579096526749265e-02 1.397601290249895134e-03
1.497208619941632435e+01 3.238613604237696175e-01 2.857460433324392213e+01 -1.408154328415366230e+01 1.540254429661592206e-01 1.138346936125842358e-03
1.362708900574761550e+01 2.480762306977317699e-01 3.036174170033214637e+01 -1.705600772686923605e+01 7.296100276769258708e-02 3.177988192754125350e-04
1.369031718235884476e+01 2.457359228859630207e-01 3.237542584356051378e+01 -1.903659766854993052e+01 1.053865972046154897e-01 3.664872576734805104e-04
1.468521858943480574e+01 2.102288080166672124e-01 3.526548113153764774e+01 -2.083088684311631056e+01 3.990295075742224945e-02 4.925422393737064050e-04
1.395764004472358977e+01 2.064101681217746231e-01 3.699906926419667741e+01 -2.331435765614390476e+01 6.627615666124957172e-02 2.421118877867607861e-04
1.549590598045912238e+01 1.837513481712321206e-01 4.045249150559443763e+01 -2.520117484888575987e+01 6.035931927918951334e-02 4.786563000550001531e-04
1.775671962468656062e+01 1.684631271711737599e-01 4.509007974328683588e+01 -2.754911524615631535e+01 4.703355460425395068e-02 2.584457805876680674e-04
1.958935613341571269e+01 2.070108401850916380e-01 4.854424429578790523e+01 -2.919007082993392288e+01 2.845137566141604443e-02 -2.795482848024225995e-04
2.059950752063333823e+01 1.671207420889138651e-01 5.093445091971996419e+01 -3.059184883026524560e+01 8.965570147737558782e-02 1.289876123390655788e-04
2.073181116980169847e+01 2.170207522097352959e-01 5.267971008444813208e+01 -3.219622726313999550e+01 3.123504435832527570e-02 7.255192548527023813e-05
1.926622768406169683e+01 2.213566180570801512e-01 5.181478527389837296e+01 -3.279276402153345771e+01 2.262436142491779101e-02 2.254522147817849772e-04
1.837568802909504839e+01 1.592948207334174415e-01 5.137476997799029732e+01 -3.318053322170580088e+01 2.218036442018500587e-02 -2.391234305692459752e-05
1.629309417081385192e+01 1.386248593978184340e-01 4.962354397307249343e+01 -3.348076040364905737e+01 1.168574199259332473e-02 0.000000000000000000e+00
1.173870236663555744e+01 6.724789876797729327e-02 3.529384983281146049e+01 -2.362498766426900332e+01 2.592299325144554242e-03 0.000000000000000000e+00
8.456331123062264865e+00 6.755453379493792099e-02 3.287108661118445241e+01 -2.451825935194596795e+01 3.608614066734523035e-02 -1.368106385052266774e-04
6.379288807984740295e+00 1.388844054501534031e-01 3.046565121610307614e+01 -2.425730627490382574e+01 3.237694390267355921e-02 -3.174825673454195122e-04
2.760993695592865560e+00 1.024246116441807491e-01 2.723408645717650600e+01 -2.459875467755705714e+01 2.339139807284907474e-02 -1.540937436006422463e-04
8.866362375076798363e-01 5.785191354420717025e-02 2.447253143200086356e+01 -2.365086013044317781e+01 7.287190149557839884e-03 -1.741677437715802149e-04
-2.506572288413304594e-01 1.885095118348463147e-02 2.163219205858509397e+01 -2.192185675399800360e+01 2.015651538809204446e-02 0.000000000000000000e+00
-2.305519258029783636e+00 3.953724317046806297e-02 1.881203019749858285e+01 -2.117208045027777530e+01 1.499286383056280293e-02 8.877483821098539782e-07
1.068306846040684821e+00 7.748599759464280812e-02 2.555961020366330061e+01 -2.456464384089588293e+01 -4.145514321367230887e-03 0.000000000000000000e+00
2.380326591573632466e+00 5.828674985674178050e-02 2.440283813752808584e+01 -2.209068232319538083e+01 9.909072707658251114e-03 -2.504532347896052137e-05
6.077438512903126977e+00 7.334395571926352608e-02 2.625249701471640762e+01 -2.025875509907597660e+01 1.250870337159106990e-02 -2.156061828142757410e-03
7.659344986462504501e+00 5.931768694382557466e-02 2.671642186830707288e+01 -1.912279228534208642e+01 6.397716553689954469e-03 0.000000000000000000e+00
