Total Atlantic Indian Pacific Arctic Southern
-1.478285008733960071e+00 -2.230238953601545226e+00 -1.100850381169441589e-02 -4.026261758614930741e-01 0.000000000000000000e+00 1.164942427623724353e+00
-1.875909699867288838e+00 -2.673117139850174517e+00 -8.974990519240177295e-03 -2.587321784564169391e-01 0.000000000000000000e+00 1.064914608958542619e+00
-1.834009492422030929e+00 -2.812651103598043267e+00 -1.097110414278898438e-02 -5.156704666115321384e-02 0.000000000000000000e+00 1.041179761979954099e+00
-6.517581081522183517e+00 -7.507324031330296243e+00 -8.417090437505891226e-03 -1.587158420902053946e-01 -5.259437366883459484e-05 1.156928476709491616e+00
1.087758568832923656e+00 8.883999881626200579e-02 1.086575011248020264e-02 8.267699175556234570e-01 0.000000000000000000e+00 1.613909531824015142e-01
1.165162390379663959e+00 -2.938650541929713755e-01 1.815692915799772128e-02 1.113011428300404226e+00 0.000000000000000000e+00 3.278590871142322838e-01
-5.933888984919110099e-01 -1.860044546597989124e+00 1.547047806289387518e-02 9.025025958591331721e-01 0.000000000000000000e+00 3.497280206335203201e-01
7.315931896377897425e-01 -1.401019986549117746e+00 1.690723741329703753e-02 1.162514188980464436e+00 0.000000000000000000e+00 9.536010364511759985e-01
1.967805159675737103e+00 -4.825873214868786620e-01 2.310650099198312962e-02 1.092878824259416293e+00 0.000000000000000000e+00 1.333751361505000510e+00
2.818176191269456954e+00 8.706611911442159457e-02 3.297568389487769147e-02 1.154783826185851847e+00 0.000000000000000000e+00 1.543350562074305099e+00
3.807262518855112798e+00 7.050931212546448501e-01 3.194082267251767415e-02 1.284559084571468057e+00 0.000000000000000000e+00 1.785732121615062340e+00
4.678970937794404428e+00 1.076305349207871132e+00 2.383096925677010564e-02 1.503874289003616971e+00 0.000000000000000000e+00 2.074980669715617676e+00
4.585616846475498498e+00 1.059669987170264616e+00 2.727174715669564847e-02 1.644707101218825240e+00 0.000000000000000000e+00 1.850499539292391971e+00
5.184079219071682232e+00 1.204925361012135765e+00 3.331247974110566890e-02 1.884150736200520981e+00 0.000000000000000000e+00 2.061930817441022246e+00
4.418573400909359350e+00 5.248166833914074125e-01 3.857291733727477578e-02 1.847504060177981300e+00 0.000000000000000000e+00 2.007261699903154728e+00
3.193323522643515933e+00 -7.618721545385972460e-01 4.970190464354531934e-02 2.195181702667578616e+00 0.000000000000000000e+00 1.710312069870989715e+00
