Total Atlantic Indian Pacific Arctic Southern
-1.039210470531121722e+01 -6.960303097134534767e+00 -2.917558816988298886e+00 -4.244100998846496720e-01 0.000000000000000000e+00 -8.983269130373443268e-02
-1.066731572985694143e+01 -6.886618189024298786e+00 -3.661984158130292766e+00 -3.414591293871083177e-01 0.000000000000000000e+00 2.227457466847571066e-01
-1.038194966021862875e+01 -6.399398854252669189e+00 -3.850058651111426311e+00 -3.269819451045880010e-01 0.000000000000000000e+00 1.939048811949831974e-01
-1.097820898515083243e+01 -6.376951667313514704e+00 -4.516121183087873803e+00 -3.607576360235041912e-01 0.000000000000000000e+00 2.765184942347326258e-01
-1.102810034266189021e+01 -5.976826938183793736e+00 -5.031594269605153436e+00 -3.044836757651099846e-01 0.000000000000000000e+00 2.897430344916258615e-01
-1.106170825693569348e+01 -6.218952356417447369e+00 -5.078419930579402219e+00 -3.569670743327214013e-01 0.000000000000000000e+00 5.929840805080033306e-01
-1.135286007686080900e+01 -6.151456603560516712e+00 -5.691748855414329178e+00 -3.315104248323522684e-01 0.000000000000000000e+00 8.166025794575132446e-01
-1.183522485834133953e+01 -6.005381864131090985e+00 -6.533976420488846415e+00 -2.135805269147237340e-01 0.000000000000000000e+00 9.177139531933133920e-01
-1.299285933031316098e+01 -5.931799314110114629e+00 -7.818483524069620216e+00 -2.673640444715366660e-01 0.000000000000000000e+00 1.024275147471989333e+00
-1.368549143591575046e+01 -5.840317362482599250e+00 -8.857522110537306759e+00 -1.881801345812594561e-01 0.000000000000000000e+00 1.206160863663307214e+00
-1.447830871995641999e+01 -5.726952337054747488e+00 -1.001242146826077395e+01 -1.524147718873805624e-01 0.000000000000000000e+00 1.408881651885604214e+00
-1.479671285371652800e+01 -5.471468225587178047e+00 -1.067380463678093427e+01 -1.623691679785241038e-01 0.000000000000000000e+00 1.511815697430380023e+00
-1.514380115314007469e+01 -5.449372271126665446e+00 -1.124460620488956764e+01 -9.893743161524312657e-02 0.000000000000000000e+00 1.650148312255597771e+00
-1.627604786886393029e+01 -5.123006389263741411e+00 -1.283603084927361770e+01 -7.272003938740208284e-02 0.000000000000000000e+00 1.758510710907027930e+00
-1.592585268227956519e+01 -4.699826137458478215e+00 -1.296315405563511192e+01 -6.568511079235934969e-02 0.000000000000000000e+00 1.802812621606375343e+00
-1.558755812399032337e+01 -4.173954907276746340e+00 -1.355349784705015637e+01 8.560726570791905854e-02 0.000000000000000000e+00 2.054710330852393518e+00
-1.633783809962789491e+01 -4.003203701879991527e+00 -1.427584375760566537e+01 1.459864468222507594e-02 1.063461942217007488e-04 1.926504368981316606e+00
-1.591769351863615611e+01 -3.733236154968228249e+00 -1.458910606876868954e+01 1.230920062151494160e-01 0.000000000000000000e+00 2.269710681615698000e+00
-1.635422738313224045e+01 -3.468849957853306076e+00 -1.519335188866900310e+01 -8.664442699131423564e-02 0.000000000000000000e+00 2.395197170805249520e+00
-1.570935349196721198e+01 -3.120493168734486567e+00 -1.490052709110931417e+01 2.361529844307328624e-02 0.000000000000000000e+00 2.288690553807280370e+00
-1.575754710786765145e+01 -2.810993029456997583e+00 -1.511652235071239225e+01 -8.506445154679365128e-02 0.000000000000000000e+00 2.255032723848530374e+00
-1.579951546168909360e+01 -2.443655224293254324e+00 -1.546836281167093752e+01 -1.369853172809060680e-02 0.000000000000000000e+00 2.126201106003185792e+00
-1.538813515897649076e+01 -2.222946591001095484e+00 -1.565089179562152388e+01 1.368484572027665533e-02 0.000000000000000000e+00 2.470489467396823624e+00
-1.552962202256978586e+01 -1.884180184781065748e+00 -1.594423568916063516e+01 2.774099873916770556e-02 0.000000000000000000e+00 2.266431798348616855e+00
-1.536413135286717058e+01 -1.642237773188681249e+00 -1.613671795123338271e+01 7.453976348664559382e-02 0.000000000000000000e+00 2.340766836441817933e+00
-1.511871135949896505e+01 -1.554767157994761728e+00 -1.606097953315569171e+01 4.898603318237313570e-02 0.000000000000000000e+00 2.447950734749257062e+00
-1.606028737153685171e+01 -1.473642097088055936e+00 -1.694635420995467356e+01 6.967293608933194937e-02 0.000000000000000000e+00 2.290780660729841323e+00
-1.557468514948415894e+01 -1.245071764533536740e+00 -1.701185202166677612e+01 3.618619787333966775e-02 0.000000000000000000e+00 2.657489043952389718e+00
-1.546759929749596552e+01 -1.044100347906789406e+00 -1.685663697502576497e+01 2.551278801055408690e-02 0.000000000000000000e+00 2.408185387383401377e+00
-1.620330178888944772e+01 -8.084872996773484477e-01 -1.792392109149438539e+01 9.007215576022265316e-03 0.000000000000000000e+00 2.520454316119364879e+00
-1.638917529731121903e+01 -7.103232087797415328e-01 -1.792982799117112691e+01 -7.333929615170236898e-04 0.000000000000000000e+00 2.251690828313008375e+00
-1.648031558149362397e+01 -6.503510994862573558e-01 -1.808912044666233498e+01 4.922644681401196903e-02 0.000000000000000000e+00 2.213043024395974889e+00
-1.578577984478692464e+01 -6.367653911186337279e-01 -1.750150632767821790e+01 7.046194846527138733e-02 0.000000000000000000e+00 2.283611867155268094e+00
-1.595249503740942565e+01 -5.574235828122857672e-01 -1.767041530985838804e+01 3.146131767573565746e-02 0.000000000000000000e+00 2.241716639492358887e+00
-1.549854016155700265e+01 -6.040250836965579406e-01 -1.711693808459188304e+01 3.730646183117497516e-02 0.000000000000000000e+00 2.185462086472548471e+00
-1.595113567803221066e+01 -3.958183474370024491e-01 -1.777316896911034760e+01 4.695262627873214578e-02 0.000000000000000000e+00 2.170561531183995641e+00
-1.624702286159386944e+01 -4.508814287149667810e-01 -1.781621555830171388e+01 1.230302236838212715e-02 0.000000000000000000e+00 2.007013911385336691e+00
-1.593429144564970557e+01 -4.535777846490287035e-01 -1.747470605705806435e+01 2.781675592452452841e-02 0.000000000000000000e+00 1.966175640132855618e+00
-1.579886665931393885e+01 -2.325513478428713476e-01 -1.760444623743790871e+01 1.531585218263444882e-02 0.000000000000000000e+00 2.023394742212086150e+00
-1.630988583977656958e+01 -1.328538749917103912e-01 -1.823347322050945962e+01 5.263316430836192245e-02 0.000000000000000000e+00 2.003807910009662407e+00
-1.657020408246948051e+01 -2.867284628608046670e-01 -1.840747303664247880e+01 2.302874441903780128e-02 0.000000000000000000e+00 2.100968672614769162e+00
-1.643015933638287862e+01 7.472356943559928244e-02 -1.850052881363011537e+01 7.489513171331829700e-02 0.000000000000000000e+00 1.923747956222623845e+00
-1.637043458879735880e+01 -4.659735580997272780e-02 -1.840137222741318013e+01 9.672969448586668517e-02 0.000000000000000000e+00 1.985916469621507030e+00
-1.602399117333706258e+01 3.244852260391643817e-02 -1.820682857506713503e+01 7.243703477601672047e-02 0.000000000000000000e+00 2.078512457581599193e+00
-1.575430703814995503e+01 3.089972303057960529e-02 -1.786730494328294583e+01 9.309336281623241394e-02 0.000000000000000000e+00 1.988936142198838741e+00
-1.501167195565986923e+01 1.475740669202827426e-01 -1.758327204902753138e+01 7.909149063888958053e-02 0.000000000000000000e+00 2.344156753108834756e+00
-1.531832592986279984e+01 2.300495339022242958e-01 -1.768150688524338321e+01 1.059998249011635529e-01 0.000000000000000000e+00 2.026618966193714844e+00
-1.540473279574537813e+01 3.341045640244654225e-01 -1.793531901287051511e+01 1.027322341174844722e-01 0.000000000000000000e+00 2.091199807231374219e+00
-1.484661395063988287e+01 2.976792732067622405e-01 -1.744899432505850001e+01 1.530280810704719163e-01 0.000000000000000000e+00 2.150896295775263756e+00
-1.366075313584804363e+01 3.880238742611833436e-01 -1.641353977481144355e+01 1.256691307159939486e-01 0.000000000000000000e+00 2.238220669666072915e+00
-1.303881958785794914e+01 3.165865765642964513e-01 -1.592500647270530933e+01 1.637887971680110910e-01 0.000000000000000000e+00 2.404937711181532212e+00
-1.290206316633617689e+01 4.947841884015748981e-01 -1.581575269510362247e+01 1.724335981533376416e-01 0.000000000000000000e+00 2.241742344387645858e+00
-1.230554461691099988e+01 4.475662856979074067e-01 -1.541016645081374214e+01 1.494868506496043470e-01 0.000000000000000000e+00 2.507471755954449488e+00
-1.213583447236199575e+01 4.280482929628631195e-01 -1.516569466022600565e+01 1.298480664685251751e-01 0.000000000000000000e+00 2.472159786945023363e+00
-1.243955254331487303e+01 5.802169410682971318e-01 -1.568371634878700682e+01 1.531927091393752993e-01 0.000000000000000000e+00 2.510754155264467880e+00
-1.172915750822897785e+01 4.744172686894326807e-01 -1.476414212332650422e+01 1.491196040692159830e-01 0.000000000000000000e+00 2.411447742338884925e+00
-1.148637119634869741e+01 5.894949723656420781e-01 -1.475613239778622265e+01 1.790774820125509703e-01 0.000000000000000000e+00 2.501510241315930028e+00
-1.086711089757460513e+01 5.272584308658937458e-01 -1.427245201637410332e+01 1.620668233143149339e-01 0.000000000000000000e+00 2.716015864619286013e+00
-1.068521204449266726e+01 6.269014637562040360e-01 -1.433242463214351403e+01 1.473983252455473292e-01 0.000000000000000000e+00 2.870932429436051869e+00
-1.048194128867526942e+01 4.874357231036456350e-01 -1.396794299987080556e+01 1.271778899501501692e-01 0.000000000000000000e+00 2.876217071216434107e+00
-9.561798986420390278e+00 7.315439444513462952e-01 -1.343664629644297648e+01 1.630604676805540998e-01 0.000000000000000000e+00 2.981004214077179970e+00
-8.929304784047570109e+00 7.309158037502930805e-01 -1.288021926501737013e+01 2.031195433858520027e-01 0.000000000000000000e+00 3.016879133833651583e+00
-9.599841771222708431e+00 7.041191794382950508e-01 -1.333853128471110949e+01 1.318197180397098212e-01 0.000000000000000000e+00 2.903210836124912486e+00
-8.725618272488389948e+00 6.528459367106707045e-01 -1.267929999007865760e+01 1.712651097150028889e-01 0.000000000000000000e+00 3.127484886659943619e+00
-8.623032965815303541e+00 6.879458156221351928e-01 -1.251482407689995924e+01 1.622913494353320218e-01 0.000000000000000000e+00 3.040853805559478040e+00
-7.837033453218159806e+00 5.777570425529738873e-01 -1.192093280908306951e+01 2.240882362378452675e-01 0.000000000000000000e+00 3.282054077074090692e+00
-7.939429266809225894e+00 5.910524912853896140e-01 -1.189089950526467554e+01 1.661412900960167194e-01 0.000000000000000000e+00 3.194276457074055831e+00
-7.081805481551985970e+00 5.310276627926352466e-01 -1.103799625939559981e+01 1.597101679972848520e-01 0.000000000000000000e+00 3.265452947053691268e+00
-6.457343636125155051e+00 6.475157562914297671e-01 -1.046893769382291950e+01 2.482234068297487772e-01 0.000000000000000000e+00 3.115854894576583156e+00
-5.590193331763392948e+00 6.045595200351066012e-01 -9.460993643609107551e+00 1.642034695813213152e-01 0.000000000000000000e+00 3.099034213905502710e+00
-5.640783175537667837e+00 5.367508352874859057e-01 -9.612817986978379636e+00 1.590765767663496200e-01 0.000000000000000000e+00 3.276214198654199272e+00
-4.516627835314340089e+00 6.283236242822528572e-01 -8.729301813028499168e+00 1.552648690599799930e-01 0.000000000000000000e+00 3.428968024181696883e+00
-4.384699610200677000e+00 6.901325891599894291e-01 -8.502159056882025112e+00 1.599477240194776273e-01 0.000000000000000000e+00 3.267379133501874033e+00
-3.420271447608428161e+00 6.956354017595979267e-01 -7.977384390206507803e+00 2.170483707328583201e-01 5.797948301916029483e-05 3.644371190622605727e+00
-3.289827628365551426e+00 6.799834653531970918e-01 -7.617931813177331257e+00 1.379352800566789883e-01 0.000000000000000000e+00 3.508251439886559631e+00
-2.669759967119677224e+00 7.181029758142560837e-01 -7.161984782724443832e+00 1.911249913145426638e-01 0.000000000000000000e+00 3.582878602209679464e+00
-2.759152276618066946e+00 6.932776514082811259e-01 -7.300991451142536448e+00 1.653855547303410556e-01 0.000000000000000000e+00 3.684013726501890407e+00
-2.521306242388434704e+00 5.947959696485327630e-01 -7.236094454953407862e+00 1.820433891343732624e-01 0.000000000000000000e+00 3.936416539404434367e+00
-2.401166305067395257e+00 5.914633985079408296e-01 -7.127516658797739879e+00 1.918734484083697567e-01 0.000000000000000000e+00 3.944756947703202066e+00
-2.045570620433891929e+00 7.240845030430597129e-01 -6.786965905588253634e+00 1.688565001496590834e-01 0.000000000000000000e+00 3.847536013920786591e+00
-1.930306976553771703e+00 5.992485818490091987e-01 -6.556436216845644260e+00 2.149665014532259610e-01 -2.090658546841233997e-05 3.811935063575106142e+00
-1.470072501920550279e+00 6.865285072259308397e-01 -6.388682185902061050e+00 1.284022411371260608e-01 -6.154448821613091281e-05 4.103740480106670141e+00
-1.226279083805669856e+00 5.884005931646519860e-01 -6.000433431647242521e+00 1.706153030207736010e-01 0.000000000000000000e+00 4.015138451656144802e+00
-1.213012944956165295e+00 4.917336961279912266e-01 -6.025164348715285279e+00 1.872884495553690798e-01 0.000000000000000000e+00 4.133129258075760148e+00
-1.054049233797638374e+00 5.568796249018194144e-01 -5.851176719824865202e+00 1.209325920729147769e-01 0.000000000000000000e+00 4.116322553109883486e+00
-6.633977679779843317e-01 5.580495442782693605e-01 -5.863318663570066924e+00 2.051469400031396551e-01 0.000000000000000000e+00 4.432923347232159195e+00
-8.485058307764138386e-01 4.976068490291251645e-01 -5.532648947513396642e+00 1.145526227675184722e-01 0.000000000000000000e+00 4.071983644940339708e+00
-1.248068570112502995e-01 5.702299818682787791e-01 -5.419846854970174377e+00 1.423197040894102761e-01 0.000000000000000000e+00 4.582521134112456984e+00
-2.951432143640798089e-01 5.326223615149163759e-01 -5.124942374234624509e+00 1.299041562428084051e-01 0.000000000000000000e+00 4.162044605347004378e+00
