Total Atlantic Indian Pacific Arctic Southern
-6.432176079469482666e+00 2.304999437367468984e-01 8.342252362437097446e+00 -1.590257952569799826e+01 5.391956885167997028e-05 8.975972204858116976e-01
-6.555020082752887056e+00 2.041840587127313478e-01 8.004369081690203558e+00 -1.636260708215088400e+01 0.000000000000000000e+00 1.599033858995059898e+00
-7.628138005651502240e+00 2.282978317527934176e-01 7.735016725084460809e+00 -1.734345784170199778e+01 0.000000000000000000e+00 1.752005279213246114e+00
-7.929665852512181701e+00 1.820309301124405921e-01 7.681620093471728694e+00 -1.770016913528029434e+01 0.000000000000000000e+00 1.913207592264331014e+00
-6.218345277381619240e+00 2.993761691001680658e-01 7.752746507313173829e+00 -1.675846091648858049e+01 1.240218641171991995e-05 2.486742187319566533e+00
-4.827123246620462105e+00 3.328364585127846498e-01 7.865900188205313448e+00 -1.554340282808509599e+01 0.000000000000000000e+00 2.518450559362965357e+00
-2.253129769341927435e+00 3.107344264096112973e-01 7.963430096066138830e+00 -1.380774154759266992e+01 0.000000000000000000e+00 3.280447255774979087e+00
1.227230549814122940e+00 3.498662534831483706e-01 7.684355456399886819e+00 -1.079767671874080115e+01 0.000000000000000000e+00 3.990685558671887012e+00
3.745527281483009396e+00 4.283747198555556968e-01 7.405758858247662779e+00 -8.318091731443056247e+00 0.000000000000000000e+00 4.233842234396275828e+00
5.495378209479084397e+00 3.716801739836365637e-01 7.520803005348196457e+00 -7.193262446859657544e+00 0.000000000000000000e+00 4.791169880630619105e+00
5.959561957152196499e+00 4.718999398480001051e-01 7.273480997525792802e+00 -6.671977933631628055e+00 0.000000000000000000e+00 4.886158953410027372e+00
-2.377462755797210114e+00 1.931687273149552408e-01 7.971338196357965478e-01 -7.526133653601395856e+00 0.000000000000000000e+00 4.162815198914925574e+00
-2.283047031711712638e+00 1.704309064269390328e-01 9.179381905614956150e-01 -7.843340327808235202e+00 0.000000000000000000e+00 4.471658200002640804e+00
-1.461611712181567269e+00 1.745278547941025715e-01 9.358145624079267089e-01 -7.223241949939963824e+00 0.000000000000000000e+00 4.650228004952994709e+00
8.760561000480305074e-03 2.412389694937178697e-01 1.189354930477836803e+00 -6.222065424597131411e+00 0.000000000000000000e+00 4.800232085626059408e+00
1.905757628829530148e+00 2.091152307561663370e-01 1.271213343335837465e+00 -4.587289404671951232e+00 0.000000000000000000e+00 5.012718459409475358e+00
8.964132860673903025e+00 5.285885858480948718e-01 6.578384659143000412e+00 -6.358910294335034408e+00 5.412661251341960734e-04 8.215528643892707095e+00
1.046026608558559090e+01 5.646885916693962226e-01 6.230219176434481199e+00 -5.085706578485821971e+00 0.000000000000000000e+00 8.751064895967541446e+00
1.139783844679221581e+01 5.792150645892067962e-01 6.146663462294005953e+00 -4.714900622378474182e+00 0.000000000000000000e+00 9.386860542287474019e+00
1.334456631274270499e+01 5.352220682527200069e-01 6.093383021612387651e+00 -3.139717485840042066e+00 1.058945656535774306e-04 9.855510601266137982e+00
1.395445796994790477e+01 5.153032427971957485e-01 5.730220381415232822e+00 -1.256505512793529400e+00 0.000000000000000000e+00 8.963210942433736506e+00
1.598746271381055450e+01 5.451387863597739747e-01 5.993367658341282933e+00 -2.832996874128139164e-01 0.000000000000000000e+00 9.723595453964737345e+00
1.693268455620066248e+01 5.090248863431607873e-01 5.710295678936772923e+00 -1.326797869148079179e-01 0.000000000000000000e+00 1.084604377783553630e+01
1.904459770874838753e+01 5.999701336482630154e-01 6.040471380056117390e+00 7.983713701830238429e-01 0.000000000000000000e+00 1.161433193619632753e+01
1.932726516139808126e+01 5.567482520173399063e-01 6.093942128088076338e+00 9.899703037574086872e-01 0.000000000000000000e+00 1.168655037732389523e+01
2.053143436315588843e+01 7.182471806653512036e-01 5.675203037432074993e+00 7.311922731060475078e-01 0.000000000000000000e+00 1.342526232299740663e+01
2.196782948606399444e+01 6.387397224180352273e-01 5.820789070741090754e+00 1.010289853919215775e+00 0.000000000000000000e+00 1.449612257660485781e+01
2.285414452547980702e+01 6.724324216618969841e-01 6.131429674194792234e+00 1.945046214570741672e+00 0.000000000000000000e+00 1.411001064947861394e+01
2.387960975036842726e+01 7.229267911224015464e-01 5.718846242740362129e+00 2.074189460367548588e+00 0.000000000000000000e+00 1.536374961405698514e+01
2.591564945022244615e+01 7.523663431518956557e-01 6.096019494401480721e+00 2.550164713516149817e+00 0.000000000000000000e+00 1.651973867230340076e+01
2.705826752250992584e+01 8.554434737136915601e-01 6.353073503147766310e+00 2.357763011868917680e+00 0.000000000000000000e+00 1.749172893439598653e+01
-7.386873367068984564e+00 1.036466717592710307e-01 -2.930720458595408862e-01 -4.859198479501069201e+00 0.000000000000000000e+00 -2.338995535699309958e+00
-7.613050150288472651e+00 1.155257990114023636e-01 -1.640261199326173425e-01 -5.691457432221225687e+00 0.000000000000000000e+00 -1.873092397146035371e+00
-7.087983842527440181e+00 1.849674956478198073e-01 -2.286571347085179506e-01 -6.222125816239303830e+00 0.000000000000000000e+00 -8.221551816693513093e-01
