2014,,,,,,,,,,,,
,Americas,,,,Africa,,,,East Asia,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean ,corr,mean,corr,mean,corr,mean,corr
total,-0.232,1,1.003,1,-0.092,1,1.187,1,0.092,1,1.433,1
Atlantic,-0.45,0.94,0.592,0.86,0.247,0.73,0.445,0.71,0.005,-0.11,0.008,0.02
Indian,0.002,0.34,0.003,-0.14,-0.378,0.83,0.581,0.75,0.402,0.93,0.663,0.81
Pacific,0.201,0.7,0.306,0.16,0.005,0.28,0.011,0.12,-0.319,0.79,0.627,0.4
Arctic,0.003,0.14,0.006,0.08,0,0.02,0.001,-0.19,0.003,0.48,0.006,0.26
Southern,0,-0.09,0.001,-0.13,0.005,0.41,0.018,-0.01,-0.003,0.22,0.016,-0.12
Stratosphere,0.003,0.46,0.005,-0.22,0.001,0.12,0.003,0.21,0.001,-0.27,0.001,-0.11
No origin,0.01,0.55,0.09,0.31,0.027,0.53,0.128,0.47,0.002,-0.11,0.113,0.11
,,,,,,,,,,,,
,,,,,,,,,,,,
,Arctic Atlantic,,,,Arctic Indian,,,,Arctic Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,0.1,1,0.788,1,0.032,1,0.269,1,0.02,1,0.714,1
Atlantic,0.205,0.48,0.396,0.9,0.012,0.51,0.033,0.23,-0.014,0.17,0.039,-0.13
Indian,0.002,0.2,0.012,0.26,0.064,0.65,0.101,0.81,-0.003,0.16,0.009,0.53
Pacific,-0.029,0.45,0.082,0.25,0.001,0.34,0.005,-0.05,0.149,0.59,0.319,0.95
Arctic,-0.087,0.43,0.169,0.84,-0.056,0.63,0.082,0.6,-0.106,0.31,0.241,0.94
Southern,0,nan,0,nan,0,-0.06,0,-0.03,0,nan,0,nan
Stratosphere,0.002,0.41,0.016,0.65,0.001,0.48,0.004,0.01,-0.001,0.45,0.015,0.7
No origin,0.007,0.4,0.113,0.72,0.009,0.45,0.044,0.01,-0.004,0.53,0.091,0.57
,,,,,,,,,,,,
,,,,,,,,,,,,
,Southern Atlantic,,,,Southern Indian,,,,Southern Pacific,,,
,net,,mag,,net,,mag,,net,,mag,
,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr,mean,corr
total,-0.215,1,1.491,1,-0.294,1,1.342,1,-0.376,1,1.62,1
Atlantic,-0.465,0.88,0.792,0.88,-0.019,0.41,0.078,0.12,-0.004,0.11,0.02,-0.04
Indian,-0.001,0.08,0.006,0.04,-0.45,0.85,0.686,0.95,0.009,0.17,0.06,0.41
Pacific,0.009,0.12,0.06,-0.06,-0.003,0.23,0.044,0.43,-0.648,0.88,0.857,0.93
Arctic,0,nan,0,nan,0,-0.01,0,-0.05,0,-0.03,0,-0.05
Southern,0.235,0.42,0.489,0.77,0.201,-0.01,0.374,0.77,0.287,-0.15,0.488,0.75
Stratosphere,0,0.01,0,0.12,0,0.06,0,-0.29,0,-0.06,0,-0.2
No origin,0.007,0.3,0.144,0.44,-0.023,0.45,0.159,0.29,-0.021,0.22,0.196,0.59
