Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-2.034045396191509525e+01 -7.783460503356121940e+00 -4.495049338395832983e+00 -1.379576108334932272e-01 -1.784485222560122653e+00 0.000000000000000000e+00 -2.938008171509571831e-01 -5.845700469618560824e+00
-1.940883738238073164e+01 -7.635256836182986895e+00 -4.374638799168455883e+00 -1.516830697887256996e-01 -1.114021082067067736e+00 0.000000000000000000e+00 -3.140126892999742791e-01 -5.819224905873523923e+00
-1.875137757754054846e+01 -7.746915666246081855e+00 -4.064509567321373140e+00 -1.568835644554409936e-01 -6.136346524007938452e-01 0.000000000000000000e+00 -3.144693011787727532e-01 -5.854964825938085760e+00
-1.808506147135783948e+01 -7.688038069009754949e+00 -3.891841415797446135e+00 -1.956713647439540238e-01 -3.456203294723467212e-01 0.000000000000000000e+00 -3.501152903455354570e-01 -5.614175860768371606e+00
-1.681516932724380453e+01 -7.519409652477937911e+00 -3.617499077399413121e+00 -2.323211436145362074e-01 -1.439736681901054860e-02 0.000000000000000000e+00 -2.722687118499012016e-01 -5.155557972032115188e+00
-1.508202156828079765e+01 -7.252988756367801493e+00 -3.259248592949763434e+00 -2.011893396649893639e-01 6.708213554760200648e-01 0.000000000000000000e+00 -2.728331956275503734e-01 -4.766583039146711442e+00
2.380434580988782578e+00 2.461414566897467182e+00 -2.298888734298478731e+00 3.794063208963780465e-01 5.981522414610049854e-01 0.000000000000000000e+00 2.387764638069039269e-01 1.001573722225508112e+00
4.232137810880246320e+00 3.253186112742919356e+00 -2.079006890779783845e+00 4.317154537590890406e-01 8.036990794461731369e-01 0.000000000000000000e+00 3.192201114643821724e-01 1.503271652024840588e+00
5.692698422876019571e+00 3.915579137049293390e+00 -1.757009704620847490e+00 4.094745779628300997e-01 9.800747528952380438e-01 0.000000000000000000e+00 2.481994208978373084e-01 1.896380238691667497e+00
3.133987315754545122e+01 1.890636114444489024e+01 2.275031720855903716e-02 1.407682585001222009e+00 -2.787767459181648699e-01 0.000000000000000000e+00 1.027411119338055956e+00 1.025444473747089624e+01
3.479678489667136176e+01 2.101278619423830918e+01 3.916016466005663166e-02 1.469033417368226013e+00 -3.249553369079476173e-02 0.000000000000000000e+00 1.093481310753579905e+00 1.121481934334197561e+01
4.369402112294987006e+01 2.742770449407903399e+01 -1.739387938643262577e-01 1.568975070879295775e+00 3.068965013194546176e-01 0.000000000000000000e+00 1.132056522823214006e+00 1.343232732771320492e+01
5.772993427217014784e+01 3.810103205246591784e+01 1.454827128640109046e-01 1.677877459089864853e+00 1.000093160621773780e+00 0.000000000000000000e+00 1.200379125687770721e+00 1.560506976144078806e+01
7.141099319458450623e+01 4.778097400984667331e+01 1.045446016175340942e+00 1.632561934417406935e+00 1.384699422943816538e+00 0.000000000000000000e+00 1.309375056859662267e+00 1.825793675434153585e+01
7.762810700184103041e+01 4.980780487419929159e+01 2.719824115922040875e+00 1.893461040043123544e+00 1.614812282824833911e+00 0.000000000000000000e+00 1.390888954955977752e+00 2.020131573389573276e+01
7.351167507935072365e+01 4.428613732486807208e+01 4.053690236030353944e+00 1.736563381795023009e+00 1.214214625004259585e+00 0.000000000000000000e+00 1.241095640937148747e+00 2.097997387071588093e+01
2.386883652979551229e+01 1.800765601281221251e+01 -2.224510407861559624e+00 6.314488971597181921e-01 1.054002834904434582e+00 0.000000000000000000e+00 4.445495666393219913e-01 5.955689626141369430e+00
1.899995061044941735e+01 1.419907434098852761e+01 -1.880425816834556230e+00 6.138064605399113915e-01 6.739914479004240899e-01 0.000000000000000000e+00 4.371064615930461694e-01 4.956397716262070041e+00
1.455751408807190295e+01 1.071326684087074277e+01 -1.817420491404349248e+00 5.881256487694710433e-01 4.424120011521968654e-01 0.000000000000000000e+00 3.877605159569234017e-01 4.243369572726913397e+00
1.575544959176000148e+01 1.155497576626714817e+01 -1.792672467248001000e+00 6.534143418862339292e-01 3.410683454330001307e-01 2.440788216184828878e-04 4.118649986029934706e-01 4.586554527997021680e+00
5.899061414701093042e+01 3.812549615939039427e+01 5.866957384808075826e-01 1.737546345540980308e+00 4.704645404303074985e-01 5.142879102325837413e-04 1.077296641354074991e+00 1.699260043390413344e+01
6.528109593904427754e+01 4.326877444516386362e+01 5.960352109229158923e-01 1.696883052890488575e+00 5.508650853292899052e-01 4.372203878542585756e-04 1.081416017392800466e+00 1.808668490695707476e+01
6.391010074421517118e+01 4.190797623080031542e+01 6.618443473399090449e-01 1.731795676923520544e+00 5.212090925177010892e-01 0.000000000000000000e+00 1.033199981517864741e+00 1.805407541511585379e+01
6.128717405398118956e+01 3.903629685818630435e+01 9.762077143931081613e-01 1.749756978992059286e+00 4.033433183284599322e-01 2.090337447227088967e-03 1.006299413298333612e+00 1.811317943333565239e+01
5.603890282596314876e+01 3.467938365059667660e+01 7.696024997305809245e-01 1.691093122918265523e+00 3.145117246985383863e-01 0.000000000000000000e+00 1.020674477166022109e+00 1.756364019133389576e+01
4.955542372334925005e+01 2.884782314571904038e+01 7.416602145226793841e-01 1.644473680924833259e+00 1.705103003683852425e-01 1.184675616786074089e-03 9.095348082516718780e-01 1.724023689794582737e+01
4.366679181124764142e+01 2.393263859201247357e+01 4.443028706876235856e-01 1.631628668288955364e+00 1.053395424172640232e-01 2.334954287813369254e-03 8.438578386877579884e-01 1.670668934486574386e+01
4.293068177058464840e+01 2.302669147335550548e+01 5.431072200767903535e-01 1.571099074105916316e+00 1.204987029455347747e-01 6.001586482212528315e-03 8.204659351477907592e-01 1.684281777847092343e+01
