Total Atlantic Indian Pacific Arctic Southern Stratosphere None
4.726074860216624529e+01 2.739879650688757939e-01 1.910320057034249341e-01 3.396916574383045884e+01 8.892520544454267650e-01 0.000000000000000000e+00 1.204501099047272872e+00 1.073140923171054695e+01
4.708935214100323208e+01 2.956027526130778904e-01 2.340202559601594623e-01 3.370874778328288102e+01 8.145945836030532572e-01 0.000000000000000000e+00 1.152851225778067645e+00 1.088353553976600985e+01
4.686353588008688575e+01 3.002351338503300715e-01 2.288575197484218893e-01 3.287631565619831520e+01 8.696735714051850863e-01 0.000000000000000000e+00 1.190815057126575871e+00 1.139763894175806058e+01
4.829157599881382623e+01 3.862020455214431047e-01 2.189946833478396415e-01 3.401041614797304646e+01 8.207695118824795966e-01 0.000000000000000000e+00 1.220164500784431949e+00 1.163588149418407269e+01
5.415729620752895102e+01 3.863636665672781634e-01 2.384614457439921398e-01 3.826380735331621707e+01 7.682218356137908710e-01 0.000000000000000000e+00 1.337003390947686166e+00 1.316343851533997622e+01
6.177385050998763205e+01 5.704777174597219780e-01 2.870855242409121044e-01 4.390420347731994610e+01 8.409226756099783540e-01 0.000000000000000000e+00 1.458909407172379158e+00 1.471103732811949882e+01
6.649728495033841114e+01 5.250077112071462881e-01 2.609760053032019189e-01 4.720192694453963611e+01 8.229385800978157306e-01 0.000000000000000000e+00 1.531397860439832170e+00 1.615503784875074089e+01
6.776191885041234286e+01 6.017474697157135788e-01 3.009491561676025939e-01 4.777538272251842955e+01 9.076233875107563298e-01 0.000000000000000000e+00 1.447480933513831669e+00 1.672873518098607093e+01
6.584303420790114103e+01 8.124969332876211814e-01 3.081889560153277530e-01 4.519269048148318291e+01 9.010968843480992030e-01 0.000000000000000000e+00 1.515363242950195533e+00 1.711277449900429559e+01
6.559042259438358258e+01 7.552703685985245885e-01 3.205087029719805303e-01 4.453392999812073327e+01 8.866516765235676889e-01 0.000000000000000000e+00 1.468604640975412989e+00 1.762545720719338505e+01
6.310306908853904417e+01 9.201195706081962689e-01 3.281818176769995543e-01 4.168185970418538489e+01 8.576498893812392055e-01 0.000000000000000000e+00 1.512160475296469020e+00 1.780309763139077361e+01
2.628921076552483171e+01 4.119942065675036846e-01 2.907293258759423016e-01 1.819346273157648142e+01 3.911778550300455404e-01 0.000000000000000000e+00 7.023572217289957287e-01 6.299489424745873478e+00
2.379702002739374223e+01 2.827041293221030371e-01 2.345084822530171809e-01 1.674827358960784451e+01 3.560297452731472356e-01 0.000000000000000000e+00 6.035901530436091900e-01 5.571913927894032170e+00
2.163808181338144010e+01 2.701039959846084915e-01 2.253411791694292232e-01 1.544162717610461755e+01 2.963317189052104283e-01 0.000000000000000000e+00 6.090001189535149129e-01 4.795677624264056860e+00
5.349221292666538830e+01 7.583378158401171687e-01 3.642884584812581261e-01 3.449421195899789438e+01 6.489277413910716774e-01 0.000000000000000000e+00 1.329400080916433247e+00 1.589704687103862923e+01
4.986221358307636820e+01 9.723458643454175876e-01 3.744818203399969958e-01 3.119338564784366596e+01 5.946661079906105929e-01 0.000000000000000000e+00 1.214998469748792997e+00 1.551233567280787007e+01
5.106083478493636818e+01 9.452829906629032219e-01 3.567721359872570441e-01 3.209653396927649993e+01 6.468604646664554148e-01 0.000000000000000000e+00 1.326024559268204062e+00 1.568936066507502325e+01
3.233176417360302146e+00 4.316856089686996190e-01 -7.253968987745031127e-02 1.441824780206554690e+00 -1.996249061494902860e-02 0.000000000000000000e+00 -9.489376462023293990e-02 1.547061973297675586e+00
1.785755627123661871e+00 4.153631101380533819e-01 -1.252084655693896931e-01 7.012326996248761102e-01 -2.377793405247003930e-02 0.000000000000000000e+00 -1.146545446664496010e-01 9.328007616490436860e-01
