Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-2.142909048265044447e+01 -2.197898232939731744e-01 -1.376255732460912040e-01 -1.486037526979007417e+01 -7.716326049778540197e-01 0.000000000000000000e+00 -6.663955883229263355e-01 -4.770008135106235336e+00
-2.810309105253246642e+01 -2.280506002747650085e-01 -1.718532766114554966e-01 -1.979360473856234393e+01 -1.186210343436921999e+00 0.000000000000000000e+00 -8.047913125547960789e-01 -5.919436146470576254e+00
-3.780986139092940590e+01 1.769202670500699681e-01 -1.321134376557819012e-01 -2.724622284784233983e+01 -2.219921096098111502e+00 0.000000000000000000e+00 -8.712216196658486567e-01 -7.517302656717427922e+00
-4.301740572690388831e+01 1.013019229787907705e+00 -1.381364257674892460e-01 -3.110248045450057219e+01 -3.471503744095101318e+00 0.000000000000000000e+00 -9.068842547274093002e-01 -8.411420077601214018e+00
-4.441018210637572849e+01 1.278405100530346949e+00 -1.146179837564435672e-01 -3.194421120532732772e+01 -4.285652218978067474e+00 0.000000000000000000e+00 -9.450680588535138593e-01 -8.395380300446770860e+00
-4.334643559519601297e+01 1.310312045960020599e+00 -9.096251047033805659e-02 -3.037123212199562516e+01 -4.878679200090548562e+00 0.000000000000000000e+00 -8.604229605290093508e-01 -8.444351503798008807e+00
-4.104403126750899844e+01 1.778558223843945241e+00 -1.140758433856911280e-01 -2.864995314330804987e+01 -5.045003001716326096e+00 0.000000000000000000e+00 -9.531945163294448520e-01 -8.051863867850068246e+00
-3.797622733391728644e+01 1.984492703085349419e+00 -1.178800788768994134e-01 -2.548007969060765276e+01 -5.468823741417329742e+00 0.000000000000000000e+00 -9.442343504114223407e-01 -7.947136076580338049e+00
-3.539802499594220819e+01 2.269525505932558751e+00 -8.458298886929482840e-02 -2.323522471136903533e+01 -5.549280061681296949e+00 0.000000000000000000e+00 -9.563557772287882841e-01 -7.841664695690745646e+00
-3.336583180946798421e+01 2.529792057086163837e+00 -9.544601454614873304e-02 -2.132026636695758981e+01 -5.928371606444358122e+00 0.000000000000000000e+00 -1.002753721334554537e+00 -7.548786157271477393e+00
-3.151592654666571747e+01 2.574395065335440158e+00 -7.713840091933388265e-02 -2.020296610901978340e+01 -5.806128788128708251e+00 0.000000000000000000e+00 -9.825932131429657712e-01 -7.021495100790367871e+00
-3.025437698890884164e+01 2.458451436008753266e+00 -6.468259866467336583e-02 -1.893344332042769196e+01 -5.694940224308953525e+00 0.000000000000000000e+00 -1.070477402701876191e+00 -6.949284878814393274e+00
-2.983917941573016464e+01 2.308966426483406220e+00 -6.201527920538583982e-02 -1.787473664478874724e+01 -5.746629062174045899e+00 0.000000000000000000e+00 -1.026003074910244450e+00 -7.438761781135154294e+00
-3.000353902174028420e+01 1.464380596675928903e+00 -5.044599469389351304e-02 -1.715745599226731244e+01 -5.911222474187757925e+00 0.000000000000000000e+00 -1.004553541386026705e+00 -7.344241615881233365e+00
-3.003199972526210715e+01 1.342291983033623293e+00 -4.956735747916244522e-02 -1.657769686013837074e+01 -6.150033416604940406e+00 0.000000000000000000e+00 -9.524706726659672995e-01 -7.644523401407295360e+00
-2.973310030644080371e+01 9.363517853354361709e-01 -5.406046273276641362e-02 -1.590501204653644685e+01 -5.920631221282012469e+00 0.000000000000000000e+00 -9.789980916525653498e-01 -7.807352881699257452e+00
-2.907549032927924060e+01 2.976535653121626934e-01 -3.731450482698811522e-02 -1.486319316811711211e+01 -5.923586195343991889e+00 0.000000000000000000e+00 -1.016768424374220103e+00 -7.532281601929097015e+00
-2.818070192954441922e+01 -2.807740703392344606e-01 -3.568561154319815215e-02 -1.656744566042803868e+01 -4.296573969221326728e+00 0.000000000000000000e+00 -7.843655840111147803e-01 -6.212890755859208802e+00
-2.669120217488811520e+01 -3.284498547233312415e-02 -3.561358914533429426e-02 -1.568192802318507084e+01 -4.409505673157865679e+00 0.000000000000000000e+00 -7.611106379644601017e-01 -5.770199265963045221e+00
