Total Atlantic Indian Pacific Arctic Southern Stratosphere None
2.507617659047409475e+01 1.025492511078761382e+01 4.931819152466305312e+00 3.108882739983674925e-01 1.644518037033077418e+00 0.000000000000000000e+00 4.420145608445994467e-01 7.492011455344126603e+00
2.653512102986716314e+01 1.013517010674868146e+01 5.327873033959415139e+00 3.375787133782971461e-01 2.576369413560751109e+00 0.000000000000000000e+00 4.405053895233291827e-01 7.717624372696699986e+00
2.633929802535751108e+01 9.105767333388666174e+00 5.400410905217853497e+00 2.764749524137653514e-01 3.618653870602977385e+00 0.000000000000000000e+00 4.425197961294300986e-01 7.495106936666504183e+00
4.358271734042887147e+01 1.962604114185428017e+01 7.104856949488943307e+00 1.207738778146521419e+00 6.447379532408715752e-01 0.000000000000000000e+00 1.208329789613349359e+00 1.379101272808491352e+01
4.438945162829566016e+01 1.888275923320465566e+01 7.909603020327471867e+00 1.109965681723755981e+00 8.475718864997278112e-01 0.000000000000000000e+00 1.149322489513333601e+00 1.449022931702670824e+01
4.377429394800643792e+01 1.835493100446638692e+01 8.968658929034607041e+00 1.175390326704949917e+00 -7.746237795741064414e-01 0.000000000000000000e+00 1.124278664661444882e+00 1.492565880271313539e+01
4.461705975592882822e+01 1.849586778224625760e+01 1.032110184253200735e+01 1.184697592801816191e+00 -2.439055303396684415e+00 0.000000000000000000e+00 1.158091202826653232e+00 1.589635663891877115e+01
4.805666946863831868e+01 1.951074149426473880e+01 1.168692310892263819e+01 1.265590776953000374e+00 -2.047672182458879497e+00 0.000000000000000000e+00 1.062427332614027442e+00 1.657865893834279447e+01
5.116778910951855153e+01 1.936288343756495678e+01 1.271981752626663997e+01 1.286543157895693401e+00 -9.443083751753151844e-01 0.000000000000000000e+00 1.079642096198674572e+00 1.766321126676792375e+01
5.238743649371474476e+01 1.923296268862947045e+01 1.304452108581557113e+01 1.189737619104873634e+00 -4.657432065129927246e-01 0.000000000000000000e+00 1.069001357996386181e+00 1.831695694868144031e+01
5.153802351896513301e+01 1.801453327552013661e+01 1.294169822617866394e+01 1.275211856867880522e+00 -4.316825954720262537e-01 0.000000000000000000e+00 1.099545333479079456e+00 1.863871742239138740e+01
5.010443370371011440e+01 1.632433671348745818e+01 1.310985831178100192e+01 1.197220219470507718e+00 -2.347541706785405413e-01 8.906325254027094645e-05 1.061370964394238836e+00 1.864631260200292928e+01
4.909413286025151990e+01 1.431653035238878502e+01 1.439178458228463775e+01 1.084127499604181200e+00 4.523558628537932558e-01 0.000000000000000000e+00 8.549436145083271210e-01 1.799439094861179456e+01
4.785264780863030154e+01 1.313002061641048002e+01 1.453979198879430967e+01 1.101261344510013895e+00 5.829088051327672160e-01 0.000000000000000000e+00 8.941014959874845625e-01 1.760456355779528437e+01
4.700393146981618031e+01 1.250153084491711475e+01 1.467720331670634515e+01 1.083690475890660698e+00 7.385703384995944143e-01 0.000000000000000000e+00 8.680325660169433410e-01 1.713558826954240288e+01
4.443264898922729600e+01 1.149881698437059541e+01 1.438413709001784468e+01 9.887364716530825381e-01 6.971014000897588492e-01 2.157165579330357834e-04 8.259668615578352746e-01 1.603590606635088278e+01
4.100695882243267931e+01 1.010578809938764167e+01 1.337948322375337185e+01 1.061019412492759662e+00 4.646619139508708085e-01 5.309036610878639173e-04 7.689081332935534530e-01 1.522656713589340072e+01
3.912478230122281531e+01 9.338219782957470017e+00 1.355918101042603574e+01 8.974340196600174568e-01 1.124175946192766118e-01 7.236681646369014535e-04 7.384985911024631866e-01 1.447808751200470923e+01
3.708135559963135819e+01 8.569813546563784357e+00 1.333719632348674544e+01 9.226637523115129857e-01 -3.871495236668979767e-01 0.000000000000000000e+00 6.850038410920203935e-01 1.395303370357863670e+01
3.594502959448719537e+01 7.985082555986636521e+00 1.371188550341797807e+01 9.305095030850655258e-01 -5.973267877800993997e-01 3.020436638830739217e-03 6.532248265738658244e-01 1.325696386210890054e+01
3.435604410420122434e+01 7.574821017091601050e+00 1.376950421529672397e+01 8.758479437844399751e-01 -9.814369943032495991e-01 1.891704853038227857e-03 6.227596083749306066e-01 1.249265660910373477e+01
3.928615904692833993e+01 9.393635503466956749e+00 1.436514357616719373e+01 1.221727668119516164e+00 -1.103169648410489589e+00 5.265456762308197208e-04 6.938427099985853275e-01 1.471445269191032779e+01
4.232937817720694085e+01 9.735734131147989245e+00 1.617886955109299407e+01 1.137396054437991522e+00 -1.068993244140321153e+00 1.886266792330260804e-03 7.214921056756730122e-01 1.562299331220032528e+01
4.329681540805788842e+01 9.866020267625490447e+00 1.674753419737003668e+01 1.105798972131886604e+00 -1.234893560996039641e+00 2.544912275244466844e-04 6.571275533920555301e-01 1.615497348730694682e+01
1.588794771419370910e+01 2.363986961019693300e+00 9.825306681995281011e+00 2.763787548764671254e-01 -1.291731713296488504e+00 5.823084648666022661e-04 1.407771352926807107e-01 4.572647585841218998e+00
