Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-2.029947350366537151e+01 -1.454622717607124693e+00 -9.252326077644051239e+00 7.612122311248388506e-02 -1.390631110618623101e+00 0.000000000000000000e+00 -7.136452216731935527e-01 -7.564053159651566993e+00
-1.879541250651575979e+01 -1.478087541292853135e+00 -7.631415771710829077e+00 -7.113776618027210785e-02 -1.582063438808307243e+00 0.000000000000000000e+00 -6.843641580807064972e-01 -7.347230912854461060e+00
-1.742631185090862544e+01 -1.485477737122936626e+00 -6.229697283819097819e+00 -1.473243752809938467e-01 -1.710724827554065630e+00 0.000000000000000000e+00 -7.002334783783858985e-01 -7.152854148753140073e+00
-1.655687444822883592e+01 -1.410160093971854600e+00 -5.596580406435796462e+00 -2.314596797973534348e-01 -1.779052966561858184e+00 0.000000000000000000e+00 -6.905954626830143050e-01 -6.847579010730543203e+00
-1.975283708157222762e+01 -1.996053809996217954e+00 -4.850281297987477203e+00 -3.945503118076311433e-02 -3.068870327840474310e+00 0.000000000000000000e+00 -8.482681954852011597e-01 -8.949908419082095890e+00
-1.852933279937284183e+01 -1.986730141566110275e+00 -4.457398819108044918e+00 -7.983303628690598466e-03 -2.515470320892930545e+00 0.000000000000000000e+00 -8.559264004700418704e-01 -8.705958201647119310e+00
-1.696779513108293713e+01 -1.910392856618663204e+00 -3.810544341383251599e+00 -1.021705469247701503e-01 -2.120392155007035040e+00 0.000000000000000000e+00 -8.530601110082738359e-01 -8.171307704990315557e+00
4.744916072131144524e+00 1.509865809994873076e-01 2.156299993873315834e+00 5.859033824293277126e-01 -2.705340675192499655e-01 0.000000000000000000e+00 2.011331630740103849e-01 1.921127019274254222e+00
4.588920185050186618e+00 1.734269255610975113e-01 2.331326172566809962e+00 6.967827584398900154e-01 -5.430134915401767515e-01 -3.832926583187943638e-05 2.023108484340164492e-01 1.728035872344826585e+00
4.507234274727023760e+00 2.192063691356936350e-01 2.454965454879864506e+00 6.084606780728822883e-01 -6.942891836372535597e-01 0.000000000000000000e+00 1.981559729461246366e-01 1.720178520388373489e+00
4.447679173744046643e+00 2.272423162388476359e-01 2.452223783508051813e+00 5.177300932254890187e-01 -7.415302376598513767e-01 0.000000000000000000e+00 2.237349752424477034e-01 1.766708495254430078e+00
4.191946464039368436e+00 2.453075020295246433e-01 2.581456806171833485e+00 5.409625095379559934e-01 -9.366349623989543849e-01 0.000000000000000000e+00 1.854498354699455065e-01 1.575404773229062583e+00
3.800234206390487479e+00 2.164279359368793121e-01 2.470869293264360778e+00 5.781827142652116169e-01 -1.049899964861786827e+00 0.000000000000000000e+00 1.692483189218520478e-01 1.415243222235854414e+00
1.419245648328337550e+00 -4.473117581745783902e-03 1.940184329849915290e+00 5.842721688441231409e-01 -1.404658527478880092e+00 0.000000000000000000e+00 6.561415955643780384e-02 2.375030798251371311e-01
1.099772786368688804e+00 -9.221075117746377336e-02 1.896035389074099298e+00 6.140514581311158349e-01 -1.577057371396802798e+00 0.000000000000000000e+00 4.412953031763219153e-02 2.148245314201072120e-01
1.105141291072587517e+00 -8.244443366034422127e-02 1.977361030367273287e+00 5.930039309186556640e-01 -1.547654162056720351e+00 0.000000000000000000e+00 2.537278757836302148e-02 1.391013318211561933e-01
1.006801802261028778e+00 -1.278896384887595328e-01 2.020797761219932376e+00 6.847837664198308527e-01 -1.477285490610158902e+00 0.000000000000000000e+00 1.904022115636462564e-02 -1.111666779418074291e-01
-1.940912379424989354e+01 -2.093750482953073089e+00 -3.418174847151248308e+00 -1.678127137771318889e-01 -3.893677615789587598e+00 0.000000000000000000e+00 -8.610841310244705671e-01 -8.974624003554383833e+00
-1.987633391513535841e+01 -2.350612434989682864e+00 -3.196351436336256846e+00 4.370118300463874950e-01 -4.559934749691793243e+00 0.000000000000000000e+00 -8.910537951830839187e-01 -9.316726421245617118e+00
-1.933904354649247281e+01 -2.587242827236120757e+00 -2.983712813102177286e+00 1.345959849553142851e+00 -4.726832031623383834e+00 0.000000000000000000e+00 -9.469578172950765538e-01 -9.441001735421146179e+00
-1.920708170547701243e+01 -2.639098214455331437e+00 -2.903630507482217293e+00 1.815731731698407625e+00 -4.913266557784412569e+00 0.000000000000000000e+00 -1.022581206929189301e+00 -9.544236950524261687e+00
-2.553441136009307755e+01 -2.819660901526011454e+00 -4.277300137801637092e+00 -7.527775698622199418e-02 -5.432155580157932206e+00 0.000000000000000000e+00 -1.194250838958783367e+00 -1.174023927570482329e+01
-2.468740070236617612e+01 -2.722616848674775270e+00 -4.028884079447780486e+00 -6.292965106794567998e-01 -5.124201512956846116e+00 0.000000000000000000e+00 -1.129288358605661458e+00 -1.105311339200165399e+01
6.278873950861376230e+00 2.539187468999449249e-01 1.631221238702083465e+00 1.285131021428057796e+00 4.701453925108584064e-01 0.000000000000000000e+00 1.915058709563749184e-01 2.446285921742783476e+00
