Total Atlantic Indian Pacific Arctic Southern Stratosphere None
7.437321956536320222e+00 3.436135381125524080e-01 4.788371447786783364e+00 -1.825082156337777817e-01 9.977717938973298950e-02 0.000000000000000000e+00 2.130232814366258831e-01 2.174947463789681290e+00
7.845113050600135196e+00 3.489450513880100191e-01 5.575731368627330653e+00 -2.873513172012973627e-01 -1.080353434015743630e-01 0.000000000000000000e+00 1.796958892006169373e-01 2.136127401987048646e+00
8.690513293390218053e+00 3.542957489595826570e-01 6.314081271019224673e+00 -3.251502178894904449e-01 -8.438239573287838191e-02 8.175148085534813771e-06 1.743161381421903522e-01 2.257178129990379478e+00
9.185905010542390059e+00 3.492975492699345597e-01 6.701151660108235042e+00 -1.729215718127087298e-01 -1.110590469892206167e-01 0.000000000000000000e+00 1.567697165824831207e-01 2.261382345313417197e+00
2.438904885121428023e+01 1.431533151888898736e+00 1.395503334005592855e+01 2.565173001733809799e-01 7.620242999215653956e-01 0.000000000000000000e+00 5.500567054282450297e-01 7.433884053746261600e+00
2.567561244199187698e+01 1.415887322988237385e+00 1.499997898229488236e+01 3.974341692662630710e-01 5.384345817819149449e-01 8.734561393094664086e-04 5.097499398086465794e-01 7.811588623079901872e+00
2.612322871997469065e+01 1.329607069296137478e+00 1.576768855658212942e+01 4.045377860248018931e-01 4.298638771349559962e-01 1.112258580077260859e-04 5.261202479838932300e-01 7.665299957094783068e+00
2.550322939575884362e+01 1.366807387745977875e+00 1.560460864944958814e+01 3.891253041111765176e-01 2.943047986216230649e-01 2.842059535292022049e-04 5.392917234463717735e-01 7.308807326430565965e+00
2.422020904028778077e+01 1.380453801502106170e+00 1.467574635679351935e+01 4.330702703247255592e-01 2.031313489883551371e-01 6.153583405345286212e-04 5.231571384213540288e-01 7.002259843593138910e+00
2.288005744257285201e+01 1.245677664752187663e+00 1.376532739623085000e+01 4.281347747650652846e-01 8.534865540991974642e-02 4.850571194488806706e-03 4.926738083128947565e-01 6.858044571907437437e+00
2.895436509039940987e+01 1.814159887485672584e+00 1.601295061415159893e+01 7.928029783370096339e-01 2.821091865703031498e-01 1.630779897478856809e-03 7.888331541491006016e-01 9.261878489808239578e+00
3.120667125614152226e+01 1.797971871504069785e+00 1.757096131410216344e+01 9.318220095974159012e-01 2.273771569402830151e-01 2.439992239353906689e-03 7.932328675986465294e-01 9.882866044159587915e+00
3.710365380662585721e+01 1.987880021382348872e+00 2.200268251935998975e+01 1.362591782586080935e+00 1.892963273306585426e-01 1.759949021794019299e-03 7.254412792796193221e-01 1.083400192766541537e+01
5.020024646811017277e+01 2.813969237003056012e+00 3.106832339268747845e+01 1.409907118543456184e+00 2.065680725381518756e-01 2.197987530560157644e-03 8.336225927348506204e-01 1.386565806707259085e+01
5.845357059400693345e+01 3.285791878775214947e+00 3.657505391391919147e+01 1.529574547427503983e+00 2.277899840546957488e-01 2.576789144837031160e-03 7.690652892915558203e-01 1.606371819139392088e+01
6.315646796090489090e+01 3.704438936819937744e+00 3.948750885665915433e+01 1.190622699080247759e+00 3.612913154381039993e-01 2.916741437908425272e-03 7.137162829450083290e-01 1.769625505692119560e+01
6.643482632217033768e+01 3.965013506424496903e+00 4.166455044498288629e+01 7.537561078800869563e-01 3.469726895179122694e-01 1.669476485811877088e-03 7.100095395077319349e-01 1.899285455737138406e+01
7.346488979790457563e+01 4.341412878800342767e+00 4.771428718243483047e+01 -1.487665164849120703e-01 3.337020044852869738e-01 4.767573151061744487e-03 6.783517225359017022e-01 2.054113495298203773e+01
8.437271021374453994e+01 4.512949580844025199e+00 5.739171695825432096e+01 -6.778688544044976227e-01 4.714041688958930942e-01 1.170159519450045954e-03 5.750588620576894128e-01 2.209827933857767590e+01
8.946097197481047658e+01 4.510395079791048367e+00 6.196344323772002838e+01 -5.371869589588522675e-01 3.728153703224670323e-01 2.129960451361855196e-03 4.566238747156760036e-01 2.269275141076867186e+01
8.865427642167439615e+01 4.232755552647363473e+00 6.222220960290621861e+01 -7.786394355287244995e-01 3.699775848566290160e-01 1.328639214479088171e-02 4.058581860084640169e-01 2.218882853863962623e+01
7.701068244143807817e+01 4.022705288534348611e+00 5.733079986993648447e+01 -4.797124585987148748e+00 4.826613795013754427e-01 4.599283869505504940e-03 3.477279788513789605e-01 1.961931322673210332e+01
7.469792202946656801e+01 3.515441644912017605e+00 5.768861555531806573e+01 -6.410247379303049442e+00 3.574215281484890427e-01 4.984130261882606557e-03 2.688716800024906206e-01 1.927283487012664054e+01
7.290604649339228160e+01 3.159035683817070783e+00 5.874017489675532033e+01 -6.826285338402679592e+00 3.208663492093585812e-01 7.173156664770257915e-03 2.335456532115118833e-01 1.727153609213697649e+01
6.956655871492972665e+01 2.628581317373339665e+00 5.781396672707345630e+01 -7.411701646373694885e+00 3.695096923457356075e-01 9.637517494592124159e-03 2.405472736012594370e-01 1.591601783341504905e+01
