Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-4.140151943988835015e+00 -2.717826620528465575e+00 -1.396816803871578881e-02 -3.512049569591908504e-01 0.000000000000000000e+00 1.296671723957502520e+00 -9.859116404346414224e-04 -2.353484207696580732e+00
-4.588531640507224729e+00 -3.442478369600908028e+00 -1.213741831419572204e-02 -1.994898181072893018e-01 0.000000000000000000e+00 1.123188729999311075e+00 -1.267873340080916209e-03 -2.056346891144058553e+00
-4.100946406657627108e+00 -3.791880498850408454e+00 -1.052122416743695235e-02 -4.508088603008508950e-03 0.000000000000000000e+00 1.124733439519838729e+00 -1.473022362819584102e-03 -1.417297012193788674e+00
-1.192591428396296394e+01 -1.069335338447178785e+01 -9.969119890338344961e-03 -2.909149417332208554e-01 -5.259437366883459484e-05 1.163116339157864720e+00 -6.096246740252761476e-04 -2.094130957977781371e+00
1.967311280524007611e+00 -8.199737539522452545e-01 1.559324258210892031e-02 1.230146859624361655e+00 0.000000000000000000e+00 2.051178072691045018e-01 1.009287824565276723e-03 1.335525888009954087e+00
2.825398817032538368e+00 -1.323180542021221262e+00 2.404799357364326845e-02 1.593190141272730953e+00 0.000000000000000000e+00 5.111315778484287753e-01 5.555017271737028913e-04 2.019654144631779502e+00
-2.300612882021786307e-02 -3.551484325950855059e+00 2.153601648981142563e-02 1.260941417505814233e+00 0.000000000000000000e+00 7.787173993189021592e-01 2.145131052747348364e-03 1.466183679212834212e+00
2.925522292051123685e+00 -2.822299523096689189e+00 2.532913799937083071e-02 1.649915910531362995e+00 0.000000000000000000e+00 1.191049041438589473e+00 8.521913754767705251e-04 2.881084820461041751e+00
5.141563121832072980e+00 -1.478125042527675070e+00 3.084331880582467239e-02 1.757945090201281868e+00 0.000000000000000000e+00 1.436607155927679624e+00 6.238779138556064261e-04 3.393012927104889886e+00
7.584083978313136853e+00 -3.203677861770715118e-01 4.205751975080331689e-02 1.887005588794615107e+00 0.000000000000000000e+00 1.591422353759130548e+00 9.878146871832127300e-04 4.382978487498476738e+00
9.608939123647420644e+00 5.405499196630988434e-01 3.896046000749416732e-02 2.124182320529934831e+00 0.000000000000000000e+00 1.866130192871185756e+00 8.212211069100061470e-04 5.038357640727373798e+00
1.134259378408954078e+01 1.132879376662356163e+00 2.772085393917693777e-02 2.515296736790449295e+00 0.000000000000000000e+00 2.072555670670406247e+00 1.089794977336069112e-03 5.593071690439291643e+00
1.212237619414008449e+01 1.151937537623586527e+00 3.555747362573941778e-02 2.674094967000981704e+00 0.000000000000000000e+00 1.828212281846861575e+00 1.592362992504447062e-03 6.427513099413093123e+00
1.372511714342480715e+01 1.286889876247274689e+00 4.193892859304272636e-02 3.049841945362211870e+00 0.000000000000000000e+00 2.041400832876520521e+00 2.758750380932712375e-03 7.302526985287930650e+00
1.247031801584308042e+01 2.552675452393038391e-01 4.455196776358559541e-02 2.997652093341220070e+00 0.000000000000000000e+00 1.832568073296899414e+00 7.542307301836764831e-04 7.339106065372348553e+00
1.108162381381460548e+01 -1.483779092317423220e+00 6.526301292139088939e-02 3.259474995256469665e+00 0.000000000000000000e+00 1.377815224637254587e+00 1.426290140729924005e-03 7.861423383176187940e+00
4.515856864268631199e+00 -6.180565975405301060e+00 7.184113258859683993e-02 3.271784597138958084e+00 0.000000000000000000e+00 4.319313858861962840e-01 1.411804631007853184e-03 6.919663077165219889e+00
-4.602030246623279908e+01 -2.858685883917791060e+01 -5.205588313570776865e-02 -3.281479092472160630e+00 0.000000000000000000e+00 -2.339461401221668346e+00 -8.075623284944561959e-04 -1.176263820018278849e+01
-6.978578539208974973e+01 -5.488302171029298648e+01 -4.029996984076942429e-02 -3.127924081568750125e+00 0.000000000000000000e+00 1.139513954837870768e+00 -8.034768337125540883e-04 -1.287325010839142791e+01
-1.030082381852552516e+02 -8.934046308096756661e+01 -4.071741175957641762e-02 -2.657237578893570706e+00 0.000000000000000000e+00 4.609931445940039119e+00 -3.661500818130377722e-04 -1.557938540949276174e+01
-1.373074732322411933e+02 -1.247164066338068835e+02 -7.572183380502553636e-03 -3.254695442940757744e+00 0.000000000000000000e+00 8.183677664171053578e+00 -1.337809251268292764e-03 -1.751056824372759735e+01
-1.605382089280435309e+02 -1.483141484066335067e+02 1.481318366802288414e-02 -2.988517052640047744e+00 0.000000000000000000e+00 8.729073216101715715e+00 -2.443731802632716351e-04 -1.797970696984879524e+01
-1.661277974045998178e+02 -1.530437922863426934e+02 3.034618003758223631e-02 -2.211155156314743575e+00 0.000000000000000000e+00 7.843771801261818943e+00 -6.110323746742624953e-04 -1.874679444366558556e+01
-1.598507921511831569e+02 -1.470715067273087584e+02 -2.472927135167923146e-02 -1.836009066452350513e+00 0.000000000000000000e+00 6.912062820211639647e+00 -6.647121789650628498e-04 -1.782994519410316769e+01
-1.114581759019734761e+02 -1.014322652718023221e+02 8.974616943641787470e-03 -2.038681052617159928e+00 0.000000000000000000e+00 7.240039182997376699e+00 -1.578185932826893598e-03 -1.523466519156209564e+01
-1.002076650320410209e+02 -9.289462032796980395e+01 -1.590652828842602923e-02 -1.511690144981463702e+00 0.000000000000000000e+00 6.911615456126722457e+00 -2.833857109882558303e-04 -1.270580344639611603e+01
-8.810768378773283871e+01 -8.329283061242739450e+01 -1.838405400922956540e-02 -1.193035477057535987e+00 0.000000000000000000e+00 7.102736126708018460e+00 -1.978263464184723281e-03 -1.070419150748248249e+01
-7.379613800003620838e+01 -7.195566464039815457e+01 -3.239722631512201995e-02 -6.060185355865888024e-01 0.000000000000000000e+00 7.414808137579614211e+00 -6.248610791130151769e-04 -8.616599343514643294e+00
-5.669442556746564321e+01 -5.757605205501700141e+01 -1.978148452782845651e-02 -2.296815414180507775e-01 -2.075221364651792626e-03 6.864723579311103663e+00 -2.131780207369166763e-03 -5.729427064241853884e+00
-3.895843365702883432e+01 -4.104765093805593779e+01 -6.250377034496762754e-03 -3.459892385211020549e-02 0.000000000000000000e+00 6.108442738701334029e+00 -2.637629366701020627e-04 -3.978112393850928186e+00
-2.432988662298883398e+01 -2.779637632299732175e+01 2.786022318243106324e-03 9.609260874564715116e-02 0.000000000000000000e+00 5.184230926829291874e+00 -1.017060012496224294e-03 -1.813872032482808816e+00
-6.544443275563331497e+01 -6.256694428208633951e+01 -3.155415285901907898e-04 -2.472073774241863586e-01 0.000000000000000000e+00 3.149323754388184238e+00 1.591560842146478205e-04 -5.777330426247515582e+00
-6.491677348019213412e+01 -6.238570925362267872e+01 1.990701212955423797e-03 -1.479408906297046133e-01 0.000000000000000000e+00 3.558327925164839201e+00 -5.980085229424854685e-05 -5.943382161465267544e+00
-6.280418028225333416e+01 -6.122561683073938354e+01 1.576518273998846241e-03 -1.993015536492722395e-01 0.000000000000000000e+00 3.609726146920524847e+00 3.307268433568238204e-04 -4.990336758172018605e+00
