Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-1.972210264024398185e+01 -1.277145494392099501e+01 -6.759154422226809622e+00 -9.041175172145031746e-01 0.000000000000000000e+00 8.242656882311997890e+00 -7.390728012679894732e-04 -7.521949359365362575e+00
-1.932304165689764730e+01 -1.146428469511085169e+01 -8.253451536271301237e+00 -8.652595346810153520e-01 0.000000000000000000e+00 9.078673777042554960e+00 -6.428091762314103695e-04 -7.817117940568868661e+00
-1.914305197802258718e+01 -1.009926966518233016e+01 -9.508187724868175650e+00 -7.976304785670700337e-01 0.000000000000000000e+00 9.302395222788806706e+00 -7.507182573686139873e-04 -8.041908281688396443e+00
-1.968538208493069774e+01 -9.541005343374438397e+00 -1.129409591604987106e+01 -8.054553524580748691e-01 0.000000000000000000e+00 9.764176072239092008e+00 -7.030773402172836844e-04 -7.808136324702795505e+00
-1.994289559158647407e+01 -8.504990869641925855e+00 -1.316598195593165244e+01 -8.401217834274105067e-01 0.000000000000000000e+00 1.068713535834369033e+01 -7.839411011175146651e-04 -8.109742246226497642e+00
-1.962096033367120285e+01 -8.273602033279633616e+00 -1.505128992122471310e+01 -7.837626823948319332e-01 0.000000000000000000e+00 1.227738999786105900e+01 -7.330784309249084585e-04 -7.786566769763692442e+00
-2.013437331139181907e+01 -7.882652082812808381e+00 -1.756743760924688402e+01 -7.114280061604554284e-01 0.000000000000000000e+00 1.386511329257649017e+01 -6.967665068783629890e-04 -7.839168083206734750e+00
-2.291635981817019996e+01 -7.980477605002073815e+00 -2.219203538661040298e+01 -5.259751181535188280e-01 0.000000000000000000e+00 1.487090961461874805e+01 -6.519805381547448628e-04 -7.087845512948573123e+00
-2.695200656257068772e+01 -7.611258798409901161e+00 -2.681077913102817689e+01 -5.716338212242481065e-01 0.000000000000000000e+00 1.528861952640833444e+01 -7.443025307695887247e-04 -7.245841319024250993e+00
-3.102801001542930592e+01 -7.286453639655602998e+00 -3.220625391918483871e+01 -5.174717775848629575e-01 0.000000000000000000e+00 1.588485403850634370e+01 -5.871001914880047195e-04 -6.896762825943975272e+00
-3.480665415767706605e+01 -7.140713561384998798e+00 -3.674489402664200810e+01 -5.497810607663747851e-01 0.000000000000000000e+00 1.649014064320234141e+01 -6.016429321476633079e-04 -6.864285950223399269e+00
-3.773836954334453964e+01 -7.105302543980835495e+00 -3.987514444185397622e+01 -4.645432930067020516e-01 0.000000000000000000e+00 1.686624560348402468e+01 -4.701140065907020429e-04 -7.155311109529145952e+00
-4.044393021561582202e+01 -7.103001238801503803e+00 -4.259635008965587133e+01 -3.524076399459743492e-01 0.000000000000000000e+00 1.643485310098995456e+01 -5.254858052291993056e-04 -6.828869532498897499e+00
-4.210111301479359724e+01 -6.722509724544927678e+00 -4.500809869276817210e+01 -3.287878437666867382e-01 0.000000000000000000e+00 1.670778940886703978e+01 -6.643221805307890620e-04 -6.744074996432499525e+00
-4.323431273589999080e+01 -6.027835726459402466e+00 -4.725976308663253178e+01 -4.223765595909901860e-01 0.000000000000000000e+00 1.679871610870957710e+01 -5.238254189931575589e-04 -6.318852165006195953e+00
-4.401585603436746652e+01 -5.519768023789873190e+00 -4.880207519158071960e+01 -1.673479744909694977e-01 0.000000000000000000e+00 1.659301260668811295e+01 -4.620710978365494509e-04 -6.118577891307416472e+00
-4.459567086386626045e+01 -5.236944478334808473e+00 -5.009819469046690443e+01 -1.911675039233295126e-01 1.063461942217007488e-04 1.658997935417417224e+01 -3.859575417685993069e-04 -5.658055058589589237e+00
-4.494330053960969451e+01 -4.872872851183425169e+00 -5.130576169279747489e+01 -1.931448737297275509e-01 0.000000000000000000e+00 1.695540044795974310e+01 -3.530279392681470447e-04 -5.536103511390183307e+00
-4.445106702812022803e+01 -4.202966367731440833e+00 -5.205123948230482256e+01 -3.856501540759368352e-01 0.000000000000000000e+00 1.729122659932858141e+01 -3.399996173968725132e-04 -5.107424888161896881e+00
-4.348819261628346311e+01 -4.095761287405695228e+00 -5.139141779249710140e+01 -2.717585727579149846e-01 0.000000000000000000e+00 1.704182923603142541e+01 -2.017344592015931357e-04 -4.769541608140465350e+00
-4.207413353320231408e+01 -3.741458066309471864e+00 -5.034050502711245656e+01 -3.534271224947221901e-01 0.000000000000000000e+00 1.681441589073151732e+01 -1.670723605785577235e-04 -4.460779452436768544e+00
-4.120471702455602525e+01 -3.214869500763938959e+00 -4.988301046899901792e+01 -3.955132987912078901e-01 0.000000000000000000e+00 1.669667218790638330e+01 -1.504384714634334505e-04 -4.413823549026012927e+00
-4.061131915369232104e+01 -2.760364778887050896e+00 -5.018095970623463842e+01 -2.858856869686023927e-01 0.000000000000000000e+00 1.665024939508303703e+01 -2.490936017653954163e-04 -4.033362321410189466e+00
-3.998427668123725454e+01 -2.394239949807061230e+00 -5.009982907958329434e+01 -1.868140616282600308e-01 0.000000000000000000e+00 1.653620674278148073e+01 -2.164596040099601532e-05 -3.843873781501583320e+00
-3.950057873603045522e+01 -2.201465585899399446e+00 -4.992959221535289771e+01 -2.113368059466924631e-02 0.000000000000000000e+00 1.652814038505985295e+01 -2.020941361334900534e-04 -3.875843316733616373e+00
-3.936952775239156210e+01 -2.125096937938763197e+00 -4.948930092074330389e+01 -1.617139113650530591e-01 0.000000000000000000e+00 1.631572014801407278e+01 -5.881433715412912868e-05 -3.905155569264721294e+00
-3.933458817398544483e+01 -1.825647202865023022e+00 -4.986587588556123762e+01 -6.939051097028692272e-03 0.000000000000000000e+00 1.610433142832500764e+01 -2.642155064841661210e-04 -3.738589146782093309e+00
-3.966684191265770920e+01 -1.811868111620710042e+00 -5.020046537674931386e+01 -2.297929801660067162e-01 0.000000000000000000e+00 1.653841723312349998e+01 -4.107057002787366289e-05 -3.949463003901043212e+00
-4.030489383960092198e+01 -1.636144347725014381e+00 -5.117728112215469594e+01 -1.701416391984547083e-01 0.000000000000000000e+00 1.637220693205255984e+01 -1.650648749946182685e-04 -3.692808447742956357e+00
-4.078222244291146126e+01 -1.386149287833255306e+00 -5.258345510623813368e+01 -1.277992949414942514e-01 0.000000000000000000e+00 1.677207201185381535e+01 -2.389788878093910955e-04 -3.456296857451474303e+00
-4.080685280684132010e+01 -1.135946833657178301e+00 -5.268478221239287507e+01 -2.064457093460292381e-01 0.000000000000000000e+00 1.648478031224084717e+01 -1.672280820129470847e-04 -3.263841067257725825e+00
-4.057445589612156311e+01 -1.181818877014686464e+00 -5.221955083907649708e+01 -2.491602649118914992e-01 0.000000000000000000e+00 1.625814210441969010e+01 -5.533445657924559839e-05 -3.173035844459060062e+00
-4.059685099614544157e+01 -1.270448625291177525e+00 -5.223527811451890557e+01 -4.347202864691755014e-02 0.000000000000000000e+00 1.655496568617167341e+01 -2.570601471017351799e-04 -3.590915634528077938e+00
-4.111967657165998702e+01 -1.214686412585304520e+00 -5.229375398812523912e+01 -9.768287556161051044e-02 0.000000000000000000e+00 1.556134914622148457e+01 -4.209873750260830503e-04 -3.074926091626649871e+00
-4.210466888145730024e+01 -1.109560633088643389e+00 -5.275573059011558286e+01 -1.903684197426348257e-01 0.000000000000000000e+00 1.519631331045153999e+01 -9.252855859512552374e-05 -3.245054888820088301e+00
-4.288483915715373485e+01 -7.560775899358314067e-01 -5.369103324253633502e+01 -1.313923336914979978e-01 0.000000000000000000e+00 1.495921670474024623e+01 6.595965800054620393e-05 -3.267222210093751578e+00
-4.337790950513086585e+01 -8.030603037052216342e-01 -5.376481690007947378e+01 -1.202911783328856066e-01 0.000000000000000000e+00 1.427123864895113670e+01 -9.726014401679114181e-05 -2.961239125464954380e+00
-4.362957586776408903e+01 -8.908305824171547371e-01 -5.328843781036025717e+01 -2.810110678072509915e-01 0.000000000000000000e+00 1.384964247798732195e+01 -1.506323519830748113e-04 -3.016347217995253072e+00
-4.374539142528059443e+01 -5.045170560271550197e-01 -5.400529194911499786e+01 -1.991205242328480673e-01 0.000000000000000000e+00 1.381898972162697348e+01 -1.109440558193761398e-04 -2.856803005407035023e+00
-4.385113685855846910e+01 -5.076577723947701681e-01 -5.449002265841552628e+01 -1.330288814708301959e-01 0.000000000000000000e+00 1.391825794924162629e+01 -2.391066249368681751e-04 -2.628625123127759533e+00
-4.366098115683210779e+01 -7.992098877499633769e-01 -5.462489588514267780e+01 -1.090192792357430884e-01 0.000000000000000000e+00 1.440171730155964269e+01 -1.883439687844185137e-04 -2.531428266304073027e+00
-4.297113549323406545e+01 -2.238567153513685848e-01 -5.438375713820403234e+01 -3.017552439133578887e-02 0.000000000000000000e+00 1.447165756141816395e+01 -1.773411432666017562e-04 -2.799319696463892448e+00
-4.199529032435721376e+01 -3.296345532001774825e-01 -5.372735879548489635e+01 -7.309757174035386162e-02 0.000000000000000000e+00 1.451118127982460848e+01 -6.998534694940170507e-05 -2.368445565550194587e+00
-4.116275372372047059e+01 -2.734393097512047843e-01 -5.329204864079368065e+01 -4.007731007974441040e-03 0.000000000000000000e+00 1.442878565585227513e+01 -1.046941667493956880e-04 -2.019312264350961339e+00
-4.043400015620351695e+01 -2.438471259377848754e-01 -5.257980459726969968e+01 -3.988809009584370902e-04 0.000000000000000000e+00 1.422740398018919805e+01 -1.301188935224927338e-04 -1.838927990329192408e+00
-3.991751153162455523e+01 -1.493760063534767535e-01 -5.274677127270145860e+01 9.347249783508029819e-02 0.000000000000000000e+00 1.470032425157686973e+01 -4.634722231631522747e-05 -1.816279175654799571e+00
-3.916375702184645746e+01 -1.334914831891680434e-02 -5.210841141734723436e+01 1.399312905002235430e-02 0.000000000000000000e+00 1.464403191870704646e+01 -9.261338839668460828e-05 -1.698789972789090497e+00
-3.779503624894756797e+01 1.673010801242446610e-01 -5.091990987307819694e+01 1.564779274485679772e-01 0.000000000000000000e+00 1.444192429607864447e+01 -1.683171539994663042e-04 -1.640789033296540911e+00
-3.626873375132167610e+01 7.822033222317752166e-02 -4.965937407239037071e+01 2.310611698151511517e-01 0.000000000000000000e+00 1.461880202386469207e+01 6.507897153510903813e-05 -1.538993139819126110e+00
-3.500643151047823665e+01 7.357853490865222390e-02 -4.845718086547572057e+01 1.594185137773413419e-01 0.000000000000000000e+00 1.498836817931916343e+01 1.306352357657931243e-05 -1.770075866024881872e+00
-3.385804586308428554e+01 2.486975110072991435e-01 -4.782502379503252143e+01 7.985174957013982389e-02 0.000000000000000000e+00 1.502611633124259072e+01 4.938587395899650363e-05 -1.389156718474782171e+00
-3.256608851226611989e+01 3.850992285022639128e-01 -4.715320437474103699e+01 1.776084099536598127e-01 0.000000000000000000e+00 1.517682171740659669e+01 8.182451101198189676e-05 -1.153738168430094913e+00
-3.130952308426408948e+01 5.384151815964530741e-01 -4.607828669327130200e+01 2.142465894211904032e-01 0.000000000000000000e+00 1.509067668562928510e+01 6.853400641075409389e-05 -1.083409682488445824e+00
-3.018473415029760787e+01 5.093932288551341614e-01 -4.527090741745167435e+01 1.188889328962760839e-01 0.000000000000000000e+00 1.502277547867638852e+01 1.000801424852345797e-04 -5.568562141912616337e-01
-2.922806980308784119e+01 6.497382402934199774e-01 -4.469935058519828885e+01 2.205705163274514768e-01 0.000000000000000000e+00 1.520583348613208408e+01 1.662425544833361839e-04 -6.049164108243012539e-01
-2.854085247373365775e+01 6.329589714612923190e-01 -4.430291975291795836e+01 2.541740062409805212e-01 0.000000000000000000e+00 1.525480393798677881e+01 6.290361021689202148e-05 -3.793992839422982155e-01
-2.804573296349928313e+01 6.634316955194184962e-01 -4.396304767677385428e+01 2.066604860719098435e-01 0.000000000000000000e+00 1.550064153857615779e+01 -2.500426628399021766e-04 -4.523870711400125311e-01
-2.744934335040437645e+01 6.036493324410161510e-01 -4.354091770451925214e+01 2.044503809315621756e-01 0.000000000000000000e+00 1.574503805521608868e+01 1.814447977750820585e-04 -4.592904851721618664e-01
-2.647677430622028893e+01 7.041573146119071147e-01 -4.327361846335434592e+01 2.407519122590096039e-01 0.000000000000000000e+00 1.622135276123419345e+01 1.737807226888607470e-04 -3.704590816680745635e-01
-2.494080259283086320e+01 5.812986256448769984e-01 -4.182663291017301077e+01 2.363248614259925717e-01 0.000000000000000000e+00 1.635719747838614069e+01 3.186337448197068024e-04 -2.846242813864896526e-01
-2.322267388570590896e+01 9.120984305254159485e-01 -4.097699446388116939e+01 2.433768441206104194e-01 0.000000000000000000e+00 1.666405066484003328e+01 3.376610994146313715e-04 -6.328084207461430466e-02
-2.171055817833853752e+01 6.635531738692239667e-01 -3.994832789698590148e+01 2.584346335586926169e-01 0.000000000000000000e+00 1.709864721955441524e+01 3.595856014160303603e-04 2.168772024175442681e-01
-2.053260674998939095e+01 7.119895312749011662e-01 -3.914706294211101323e+01 1.677770555596599933e-01 0.000000000000000000e+00 1.720049999680080433e+01 4.166233593540687175e-04 5.342332052414271448e-01
-1.942454795816193425e+01 7.372842626276639999e-01 -3.846057396683983143e+01 3.269009442464629878e-01 0.000000000000000000e+00 1.776963184823542719e+01 3.851082228924818151e-04 2.009216132237526264e-01
-1.821431736503915744e+01 8.429067675632955225e-01 -3.724528990496726522e+01 3.173632046964056097e-01 0.000000000000000000e+00 1.754349427888677937e+01 2.919669627049994889e-04 3.260928041520702592e-01
-1.691759222225948278e+01 6.560394376806422123e-01 -3.648158117528809186e+01 4.016576336699254623e-01 0.000000000000000000e+00 1.815517854312044932e+01 4.417670107146391646e-04 3.489226980728035166e-01
-1.543030610349464915e+01 8.687200701738447828e-01 -3.542349582054660573e+01 3.862065495079606281e-01 0.000000000000000000e+00 1.822201051417663464e+01 3.828995949536238776e-04 5.122917053863798031e-01
-1.392511337418511985e+01 8.058993219813137543e-01 -3.412749560629951873e+01 3.314805205417882261e-01 0.000000000000000000e+00 1.832978541579002751e+01 6.051715403175058489e-04 7.348554344087843138e-01
-1.250345862180306611e+01 8.067031717483862385e-01 -3.307686187167935543e+01 4.186124763767432033e-01 0.000000000000000000e+00 1.844771221850317744e+01 4.906497140850392662e-04 9.010245534850689353e-01
-1.099704435825821136e+01 6.856760173626662569e-01 -3.156899890826137423e+01 2.785462147987082249e-01 0.000000000000000000e+00 1.836720109427408687e+01 5.641406175293467527e-04 1.237550387998462620e+00
-9.348820260933182524e+00 7.293222331298976346e-01 -3.033460672031328542e+01 2.276544069519564617e-01 0.000000000000000000e+00 1.871113016795177231e+01 5.700440774054002513e-04 1.316705852623407669e+00
-7.912865339502111794e+00 8.645174659933314576e-01 -2.913939105768678672e+01 2.709887454140661456e-01 0.000000000000000000e+00 1.872555159013944248e+01 5.336252854851302472e-04 1.366660614955281572e+00
-6.918834186933745301e+00 1.029688550292966909e+00 -2.885922094580828201e+01 2.721310968135501884e-01 0.000000000000000000e+00 1.880330096994550360e+01 6.271939323604410876e-04 1.839551633017758148e+00
-5.927957947258228444e+00 1.034033039125785702e+00 -2.832042918613556282e+01 4.132375892375745319e-01 5.797948301916029483e-05 1.910135244924038744e+01 6.059315989692167642e-04 1.843355576481546576e+00
-4.832301451770951495e+00 8.318819593200519336e-01 -2.725615472681262119e+01 3.235741451485121267e-01 0.000000000000000000e+00 1.934362848717041672e+01 4.758982555384141488e-04 1.918779601100265797e+00
-3.798871208105015107e+00 9.559454128192472755e-01 -2.652971833643498911e+01 3.302915720245446218e-01 0.000000000000000000e+00 1.925226257309400424e+01 4.511491949087772959e-04 2.196761273698889738e+00
-2.650217525736215052e+00 8.956941669658879945e-01 -2.561753747245813884e+01 4.182467875235141852e-01 0.000000000000000000e+00 1.951584515903254413e+01 4.542269386096844529e-04 2.139301115920411167e+00
