Total Atlantic Indian Pacific Arctic Southern Stratosphere None
-2.438366867486567813e+01 1.007514249122084121e-01 1.027244587355918881e+01 -4.509565408989303137e+01 5.391956885167997028e-05 4.774979539471470025e-01 1.196232711725816718e-03 9.860040010328265936e+00
-2.912590945274978438e+01 9.457925284461764226e-02 1.025968125198774139e+01 -5.004789386571080456e+01 0.000000000000000000e+00 8.835315474784746215e-01 5.732365587627384152e-04 9.683619124091416452e+00
-3.095150613383232141e+01 1.884932193554837709e-01 9.970077586226512523e+00 -5.240957839085022840e+01 0.000000000000000000e+00 1.094876646931316255e+00 1.200907126391073144e-03 1.020342389737820277e+01
-2.994366882607112146e+01 4.195798299912523871e-02 1.010510810367665790e+01 -5.120549597883179871e+01 0.000000000000000000e+00 1.003214841542119817e+00 1.945261553822319163e-03 1.011595629606937408e+01
-2.496297139320666503e+01 2.006805420741596679e-01 1.048713423546329615e+01 -4.766541811639814341e+01 1.240218641171991995e-05 1.399445217883873216e+00 2.413173022399329581e-03 1.061781165123421644e+01
-1.956402501974728736e+01 1.338999832703302306e-01 1.063978630222003474e+01 -4.276156671019181488e+01 0.000000000000000000e+00 1.624213810877628728e+00 1.572486755794149814e-03 1.080278984466064429e+01
-1.240037908558440982e+01 2.253703749800324840e-01 1.061699721708231081e+01 -3.765376499831527468e+01 0.000000000000000000e+00 2.771349906723241663e+00 1.297884093853163105e-03 1.163837052985142506e+01
-4.340084524329306248e+00 3.228241819566797788e-01 1.057629792274214253e+01 -3.097823882974766363e+01 0.000000000000000000e+00 3.774230570197988133e+00 1.822409798304031048e-03 1.196297922072325548e+01
3.899419083115434059e+00 5.698450406190677109e-01 1.044614745772500086e+01 -2.409159087376685449e+01 0.000000000000000000e+00 4.536801715755387931e+00 1.609953345054382107e-03 1.244096258901121033e+01
9.053182336022670640e+00 4.188917243070108820e-01 1.108064424216988364e+01 -2.049053661351119260e+01 0.000000000000000000e+00 5.621111458273148287e+00 2.781702317942821856e-03 1.241530222608958489e+01
1.073503248573213043e+01 5.639421019851325045e-01 1.061569767550856724e+01 -1.948200464728211756e+01 0.000000000000000000e+00 6.227510290180498842e+00 3.572094406325357959e-03 1.281027204808105679e+01
-1.289391872610372047e+01 2.556970403755080556e-01 7.352177399989804352e-01 -2.220920510972820949e+01 0.000000000000000000e+00 6.031744275756745211e+00 5.650531449391709479e-04 2.293046552331000854e+00
-1.342031394820294032e+01 1.800160672198189427e-01 1.056602462389757191e+00 -2.403750428203877121e+01 0.000000000000000000e+00 6.519536577320712567e+00 3.528436633504551147e-04 2.860416384136740486e+00
-1.218746558482194509e+01 2.358765499173504643e-01 1.117141202667677247e+00 -2.313027110188919977e+01 0.000000000000000000e+00 6.970093322456595963e+00 3.150540003604432250e-04 2.618319572421891284e+00
-8.265879841399696559e+00 3.668719096784751610e-01 1.533602872050765953e+00 -2.033214460090849940e+01 0.000000000000000000e+00 6.967981281856235221e+00 7.633228341787592517e-04 3.197045373089149045e+00
-1.855853044754352421e+00 3.756127502784881722e-01 1.785701831749073154e+00 -1.455257741387811699e+01 0.000000000000000000e+00 7.213926521857712437e+00 3.216412395100330690e-04 3.318886690024974939e+00
9.753642822141713964e+00 7.246553022829677060e-01 1.008039683546772736e+01 -2.458937600559645986e+01 5.412661251341960734e-04 1.047738173496211367e+01 3.099577131466333541e-03 1.305694411176875747e+01
1.370335722429487291e+01 8.306298099472391172e-01 9.702397186981174926e+00 -2.155084069957539583e+01 0.000000000000000000e+00 1.134390627141075214e+01 3.864581244510429010e-03 1.337117472304320742e+01
1.880550889257995806e+01 9.688092794488529780e-01 9.746217290450452708e+00 -1.753759935597568287e+01 0.000000000000000000e+00 1.219058964225563457e+01 3.466796501038112328e-03 1.343402523989966824e+01
2.465878984426151277e+01 9.627261588471250908e-01 9.450238516949752920e+00 -1.216621681715480108e+01 1.058945656535774306e-04 1.329110577553268868e+01 3.535171226577035059e-03 1.311783708635296719e+01
